super_topic,weighted_prevalence
Creative Writing & Roleplay,0.2630371343581903
"Media, Art, and Entertainment",0.13719643904741388
Information/Trivia & Explanatory QA,0.11088130797230478
Education & Homework,0.10326835976164304
Career & Professional Writing,0.09838047196553745
Coding & Technical Help,0.0824185902973219
"Politics, Religion, and Society",0.0725129915677755
"Finance, Law, and Practical Life",0.06024477424342934
Personal Advice & Communication,0.050225237940335524
"Health, Biology, and Medicine",0.021834692846048248
