topic,topic_id,topic_label,super_topic,label_confidence,unsure_flag,mean_proportion,std_proportion,cv_proportion,max_state,max_proportion,min_state,min_proportion,range_proportion,weighted_dispersion,perm_p_value,fdr_q_value
topic_7,7,Fetish Comedy Stories,Creative Writing & Roleplay,High,0,0.023912721738597043,0.1209578727513893,5.058306372172405,Massachusetts,0.7386900742741391,Arkansas,0.0,0.7386900742741391,0.01599859134049984,0.0001999600079984003,0.0001999600079984003
topic_0,0,Sports Script Writing,Creative Writing & Roleplay,Medium,0,0.030233427991795698,0.11435065478815044,3.7822589888053377,Pennsylvania,0.7049976862563628,Alabama,0.0,0.7049976862563628,0.03569878850718317,0.0001999600079984003,0.0001999600079984003
topic_9,9,Scam-Baiting Emails,"Finance, Law, and Practical Life",High,0,0.016795507052443648,0.08349286316688398,4.9711427527140435,Florida,0.5104166666666666,Alabama,0.0,0.5104166666666666,0.009700001748104942,0.0001999600079984003,0.0001999600079984003
topic_1,1,DDLC Fan Fiction,Creative Writing & Roleplay,High,0,0.01601322845797533,0.08198401577505222,5.11976807082276,Michigan,0.5007312614259598,Alabama,0.0,0.5007312614259598,0.021563985021643188,0.0001999600079984003,0.0001999600079984003
topic_2,2,Translation & Word Meanings,Information/Trivia & Explanatory QA,Medium,1,0.045327496105431436,0.0780520646288284,1.721958443183314,Connecticut,0.48391332895600786,Alabama,0.0,0.48391332895600786,0.014886430236398735,0.0001999600079984003,0.0001999600079984003
topic_6,6,Math Problem Solving,Education & Homework,Medium,0,0.05751988157879631,0.06891616596660535,1.1981277442478595,Iowa,0.3522727272727273,Alabama,0.0,0.3522727272727273,0.0014930581683848968,0.0001999600079984003,0.0001999600079984003
topic_11,11,Fan Crossover Shipping,Creative Writing & Roleplay,High,0,0.017285525975266974,0.0669630527887849,3.8739378183067825,Georgia,0.4069554606467358,Connecticut,0.0,0.4069554606467358,0.0071437481564520944,0.0001999600079984003,0.0001999600079984003
topic_3,3,Political History Questions,"Politics, Religion, and Society",High,0,0.05659210108460913,0.06472461392627842,1.1437040273229457,Virginia,0.2774294670846395,Alabama,0.0,0.2774294670846395,0.005035601490600508,0.0001999600079984003,0.0001999600079984003
topic_4,4,AI Art Prompting,"Media, Art, and Entertainment",High,0,0.03724467815639529,0.05538415307046506,1.4870353513705423,Oregon,0.21052631578947367,Indiana,0.0,0.21052631578947367,0.0041126680018526585,0.0001999600079984003,0.0001999600079984003
topic_20,20,AI Concept Questions,Information/Trivia & Explanatory QA,High,0,0.02252356248318307,0.05399815087087983,2.3974072000732325,Wisconsin,0.3339449541284404,Alabama,0.0,0.3339449541284404,0.002068952700415814,0.0001999600079984003,0.0001999600079984003
