token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
hair,2832,3385,6217,0.6022363145043181,41.105224411640364,Arizona,Arizona_vs_rest,1337,67880
hairpin,435,29,464,1.2617785771816639,22.514734884832436,Arizona,Arizona_vs_rest,1337,67880
comb,411,64,475,1.158000251254938,21.19885796241676,Arizona,Arizona_vs_rest,1337,67880
clip,731,832,1563,0.6179841933186374,21.15371827947555,Arizona,Arizona_vs_rest,1337,67880
piercing,561,424,985,0.7538231169779905,20.466847342186394,Arizona,Arizona_vs_rest,1337,67880
headband,359,65,424,1.1317568024492513,19.63563128770739,Arizona,Arizona_vs_rest,1337,67880
makeup,418,210,628,0.8827103088895001,19.039941117222927,Arizona,Arizona_vs_rest,1337,67880
brush,451,294,745,0.801731059113493,18.904417863905334,Arizona,Arizona_vs_rest,1337,67880
nose,508,583,1091,0.6151815279251203,17.592689691476885,Arizona,Arizona_vs_rest,1337,67880
styling,251,60,311,1.0762609253080644,16.0891041788605,Arizona,Arizona_vs_rest,1337,67880
accessories,702,1802,2504,0.3660731840189415,15.693105658386985,Arizona,Arizona_vs_rest,1337,67880
headwear,213,18,231,1.2393240562388392,15.653426596994542,Arizona,Arizona_vs_rest,1337,67880
pcs,682,2019,2701,0.32800677165184844,14.56068774546894,Arizona,Arizona_vs_rest,1337,67880
earrings,535,1245,1780,0.39352059648816606,14.25066157275583,Arizona,Arizona_vs_rest,1337,67880
clips,287,320,607,0.6247204898871388,13.327214998908653,Arizona,Arizona_vs_rest,1337,67880
barrette,138,15,153,1.210293997538047,12.490668200237025,Arizona,Arizona_vs_rest,1337,67880
septum,168,67,235,0.949451062055287,12.474812325094895,Arizona,Arizona_vs_rest,1337,67880
elastic,229,213,442,0.6850890522631676,12.47260519739747,Arizona,Arizona_vs_rest,1337,67880
hoop,255,311,566,0.5949768931893935,12.251877104966571,Arizona,Arizona_vs_rest,1337,67880
jewelry,921,5421,6342,0.178925425817539,11.989895110337608,Arizona,Arizona_vs_rest,1337,67880
lip,180,118,298,0.7998695556691047,11.929191801574605,Arizona,Arizona_vs_rest,1337,67880
