token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
akura,48,2,50,1.3237805456697167,7.715873067491046,Arkansas,Arkansas_vs_rest,304,68913
crusades,42,10,52,1.1062157211421493,6.761410420341647,Arkansas,Arkansas_vs_rest,304,68913
anonymous,56,69,125,0.6206975677169169,6.006266002231188,Arkansas,Arkansas_vs_rest,304,68913
edda,23,0,23,1.3831978936406752,5.4162987053495,Arkansas,Arkansas_vs_rest,304,68913
terran,22,2,24,1.2605953276038093,5.137774450160465,Arkansas,Arkansas_vs_rest,304,68913
hunter,62,256,318,0.27760191584496496,4.197551335368701,Arkansas,Arkansas_vs_rest,304,68913
slander,16,9,25,0.8772605500712665,3.7820681914522365,Arkansas,Arkansas_vs_rest,304,68913
sharpness,12,10,22,0.7506726575428235,3.047846406581203,Arkansas,Arkansas_vs_rest,304,68913
hunts,12,10,22,0.7506726575428235,3.047846406581203,Arkansas,Arkansas_vs_rest,304,68913
fri,12,13,25,0.6633797871345273,2.8722633937297206,Arkansas,Arkansas_vs_rest,304,68913
monster,60,774,834,0.10301863923423937,2.4693573219905702,Arkansas,Arkansas_vs_rest,304,68913
stones,21,105,126,0.2380650506570383,2.2563912167292823,Arkansas,Arkansas_vs_rest,304,68913
kneel,9,18,27,0.4669037515711576,2.0880570549255655,Arkansas,Arkansas_vs_rest,304,68913
dean,19,115,134,0.20303470841259497,1.9765265321430365,Arkansas,Arkansas_vs_rest,304,68913
residence,18,126,144,0.17922381124272135,1.803404813063922,Arkansas,Arkansas_vs_rest,304,68913
pokes,7,15,22,0.44642473586163334,1.8000150801503636,Arkansas,Arkansas_vs_rest,304,68913
hunters,14,86,100,0.20050025804411042,1.6856337038830096,Arkansas,Arkansas_vs_rest,304,68913
despise,6,14,20,0.42178258949030223,1.6189713229531273,Arkansas,Arkansas_vs_rest,304,68913
tripped,6,16,22,0.38466492552686127,1.5444769618053953,Arkansas,Arkansas_vs_rest,304,68913
shells,13,91,104,0.17922261413943552,1.5325891519785726,Arkansas,Arkansas_vs_rest,304,68913
blah,9,43,52,0.24704426287427594,1.5057025768971408,Arkansas,Arkansas_vs_rest,304,68913
nonexistent,9,47,56,0.22970556995407954,1.4500807123898751,Arkansas,Arkansas_vs_rest,304,68913
outwardly,6,20,26,0.3271410793747922,1.4211557806261252,Arkansas,Arkansas_vs_rest,304,68913
valor,6,20,26,0.3271410793747922,1.4211557806261252,Arkansas,Arkansas_vs_rest,304,68913
chan,7,32,39,0.2560083294088198,1.352599600886948,Arkansas,Arkansas_vs_rest,304,68913
cart,11,86,97,0.162692828821843,1.340785605038278,Arkansas,Arkansas_vs_rest,304,68913
suitcase,7,33,40,0.2497349700192757,1.3353622544231314,Arkansas,Arkansas_vs_rest,304,68913
mobility,10,83,93,0.15429250629944136,1.243705853448907,Arkansas,Arkansas_vs_rest,304,68913
katrina,8,54,62,0.18495209276796487,1.2220269741411371,Arkansas,Arkansas_vs_rest,304,68913
gps,8,59,67,0.17125324589281377,1.1742395050566898,Arkansas,Arkansas_vs_rest,304,68913
undefeated,6,32,38,0.2257409588914019,1.1733654551224806,Arkansas,Arkansas_vs_rest,304,68913
supremacist,5,22,27,0.26396193380826993,1.1613732565303074,Arkansas,Arkansas_vs_rest,304,68913
sat,17,304,321,0.07534334826557831,1.1159124723341272,Arkansas,Arkansas_vs_rest,304,68913
teammates,6,38,44,0.19535032216555415,1.0887272535903179,Arkansas,Arkansas_vs_rest,304,68913
exemplary,4,16,20,0.2845809810943525,1.0799088948281648,Arkansas,Arkansas_vs_rest,304,68913
imperfections,4,16,20,0.2845809810943525,1.0799088948281648,Arkansas,Arkansas_vs_rest,304,68913
supremacy,7,54,61,0.16462237569832183,1.07613485112883,Arkansas,Arkansas_vs_rest,304,68913
demands,14,224,238,0.08391261035392539,1.0715177844591373,Arkansas,Arkansas_vs_rest,304,68913
mats,5,27,32,0.22342679534012078,1.0654338917989605,Arkansas,Arkansas_vs_rest,304,68913
lengthy,10,116,126,0.11376465607755115,1.0615454556370902,Arkansas,Arkansas_vs_rest,304,68913
