token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
prompt,17752,12398,30150,0.4752933197798894,71.34668895422101,California,California_vs_rest,11254,57963
description,14018,9221,23239,0.49412704256239426,65.07998975571047,California,California_vs_rest,11254,57963
detailed,13789,9621,23410,0.47507069180304207,62.83815106516353,California,California_vs_rest,11254,57963
prompts,9755,5757,15512,0.5279968796760182,56.73972236205198,California,California_vs_rest,11254,57963
imagine,7776,4883,12659,0.5081069178452831,49.36528571011241,California,California_vs_rest,11254,57963
style,8393,6593,14986,0.43558847500782516,46.14254155195292,California,California_vs_rest,11254,57963
structure,6255,3997,10252,0.5023403446718593,43.929817797568035,California,California_vs_rest,11254,57963
images,6183,3931,10114,0.5039483033298939,43.77020593266548,California,California_vs_rest,11254,57963
lens,5702,3378,9080,0.526227991621413,43.26743564499323,California,California_vs_rest,11254,57963
scenes,5693,3460,9153,0.5181773172975186,42.790756620090335,California,California_vs_rest,11254,57963
coffee,5716,3581,9297,0.5085684687948735,42.342387302047385,California,California_vs_rest,11254,57963
image,5662,4295,9957,0.44671626159850675,38.56305222506492,California,California_vs_rest,11254,57963
dignity,2132,92,2224,0.9864575362186692,38.358674301504045,California,California_vs_rest,11254,57963
composition,4202,2319,6521,0.5480845637077341,38.15172058704603,California,California_vs_rest,11254,57963
midjourney,3875,2197,6072,0.5396884888550293,36.2651268689969,California,California_vs_rest,11254,57963
illustration,3830,2221,6051,0.5326595205225377,35.74219357018086,California,California_vs_rest,11254,57963
concept,4204,2748,6952,0.4948096939323827,35.64206109128583,California,California_vs_rest,11254,57963
photographic,3765,2167,5932,0.534989835261408,35.54010686216268,California,California_vs_rest,11254,57963
reminiscent,3786,2210,5996,0.530593552173487,35.444602823016574,California,California_vs_rest,11254,57963
formatting,3815,2253,6068,0.5269515308567563,35.417623406098016,California,California_vs_rest,11254,57963
capturing,3786,2222,6008,0.5288984875354412,35.369319421858734,California,California_vs_rest,11254,57963
captured,3830,2333,6163,0.5172055725293765,35.04787407701181,California,California_vs_rest,11254,57963
painting,3880,2472,6352,0.5029621545702199,34.62042947810897,California,California_vs_rest,11254,57963
atmosphere,3873,2495,6368,0.49942892251725723,34.42493209381257,California,California_vs_rest,11254,57963
mood,3788,2449,6237,0.4982723145955603,33.99150243809224,California,California_vs_rest,11254,57963
focused,3885,2594,6479,0.4879470611923846,33.93885973303987,California,California_vs_rest,11254,57963
noun,1613,41,1654,1.0108484171314327,33.76891243381509,California,California_vs_rest,11254,57963
camera,3865,2652,6517,0.479150590684128,33.43405392974415,California,California_vs_rest,11254,57963
dog,3883,2694,6577,0.47557334375735394,33.34049846875743,California,California_vs_rest,11254,57963
art,4255,3284,7539,0.44085587854199026,33.11948142751346,California,California_vs_rest,11254,57963
beauty,3908,2781,6689,0.46734783380358014,33.04954351852963,California,California_vs_rest,11254,57963
field,4065,3152,7217,0.4393009284085796,32.29123282886182,California,California_vs_rest,11254,57963
feelings,3866,2878,6744,0.45263829909639064,32.153056095941324,California,California_vs_rest,11254,57963
