token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
adb,821,14,835,1.3429379860315827,31.815305996758788,Colorado,Colorado_vs_rest,552,68665
settings,838,376,1214,0.9299207428831711,27.833204138181017,Colorado,Colorado_vs_rest,552,68665
shell,816,466,1282,0.857346532760797,26.474344262705603,Colorado,Colorado_vs_rest,552,68665
gatsby,362,21,383,1.2866963313272137,20.82499315214941,Colorado,Colorado_vs_rest,552,68665
global,767,1332,2099,0.4948855681988311,19.55628665723489,Colorado,Colorado_vs_rest,552,68665
put,850,2107,2957,0.38952236144670316,18.158684864044364,Colorado,Colorado_vs_rest,552,68665
tcp,240,18,258,1.264897023445128,16.855975938901654,Colorado,Colorado_vs_rest,552,68665
ipv,240,71,311,1.0410118542982705,15.63588018972856,Colorado,Colorado_vs_rest,552,68665
campus,206,177,383,0.7251786026607618,12.286738853794866,Colorado,Colorado_vs_rest,552,68665
daisy,185,123,308,0.8090854241401626,12.269319798198211,Colorado,Colorado_vs_rest,552,68665
apu,97,0,97,1.3678108365734705,10.999331161812771,Colorado,Colorado_vs_rest,552,68665
ebookcom,96,0,96,1.367810597350232,10.942484778801855,Colorado,Colorado_vs_rest,552,68665
ebooks,98,9,107,1.2440836563248148,10.707867626431526,Colorado,Colorado_vs_rest,552,68665
exe,109,33,142,1.0353333931266313,10.51311239098744,Colorado,Colorado_vs_rest,552,68665
true,624,3934,4558,0.1808445723111456,10.259150197913115,Colorado,Colorado_vs_rest,552,68665
established,242,589,831,0.3944981761673798,9.752768008192966,Colorado,Colorado_vs_rest,552,68665
marijuana,92,54,146,0.8486156053436709,8.846621264089007,Colorado,Colorado_vs_rest,552,68665
nethttps,54,0,54,1.367800550061249,8.206803300367493,Colorado,Colorado_vs_rest,552,68665
google,244,918,1162,0.28307697896457107,8.199081219921245,Colorado,Colorado_vs_rest,552,68665
alaska,71,35,106,0.9020471736172659,7.991197782230925,Colorado,Colorado_vs_rest,552,68665
marine,102,129,231,0.5967029244750215,7.84810701191506,Colorado,Colorado_vs_rest,552,68665
tom,191,619,810,0.31870889367193556,7.732576034226087,Colorado,Colorado_vs_rest,552,68665
supported,154,382,536,0.38917035598823624,7.724006229975989,Colorado,Colorado_vs_rest,552,68665
den,79,69,148,0.7197118073275703,7.580710961080986,Colorado,Colorado_vs_rest,552,68665
false,436,3563,3999,0.1411260414979436,7.461668989059792,Colorado,Colorado_vs_rest,552,68665
jordan,73,61,134,0.734376966703282,7.358825402962898,Colorado,Colorado_vs_rest,552,68665
https,54,30,84,0.865708516399728,6.84011476360894,Colorado,Colorado_vs_rest,552,68665
atwood,39,5,44,1.2016700759307817,6.670146414181106,Colorado,Colorado_vs_rest,552,68665
wolfshiem,31,0,31,1.3677950480464336,6.218079129831587,Colorado,Colorado_vs_rest,552,68665
dac,31,3,34,1.2381172157488791,6.0120033911258455,Colorado,Colorado_vs_rest,552,68665
legalization,45,33,78,0.7773052717309064,5.937419432469794,Colorado,Colorado_vs_rest,552,68665
cos,56,66,122,0.6199952377043729,5.9283895996108855,Colorado,Colorado_vs_rest,552,68665
computeamazonawscomhttps,28,0,28,1.3677943303960838,5.909546922699619,Colorado,Colorado_vs_rest,552,68665
segelhorst,26,0,26,1.3677938519629986,5.694579911820374,Colorado,Colorado_vs_rest,552,68665
freesync,26,0,26,1.3677938519629986,5.694579911820374,Colorado,Colorado_vs_rest,552,68665
uswest,26,4,30,1.1736378255359146,5.398166992895302,Colorado,Colorado_vs_rest,552,68665
rcloudfrontnethttps,23,0,23,1.3677931343140948,5.355977056234516,Colorado,Colorado_vs_rest,552,68665
vsync,23,0,23,1.3677931343140948,5.355977056234516,Colorado,Colorado_vs_rest,552,68665
cprogram,24,3,27,1.2052744350427034,5.238285330573103,Colorado,Colorado_vs_rest,552,68665
michaelis,22,0,22,1.3677928950979847,5.238247982253328,Colorado,Colorado_vs_rest,552,68665
fiio,21,0,21,1.3677926558819724,5.117811494455929,Colorado,Colorado_vs_rest,552,68665
bcgoogleusercontentcomhttps,21,0,21,1.3677926558819724,5.117811494455929,Colorado,Colorado_vs_rest,552,68665
disable,54,110,164,0.44601999639567147,4.91445436573074,Colorado,Colorado_vs_rest,552,68665
radeon,20,1,21,1.2971748464553432,4.9083046716171035,Colorado,Colorado_vs_rest,552,68665
university,163,1178,1341,0.15894214868911583,4.877553766194193,Colorado,Colorado_vs_rest,552,68665
residence,50,94,144,0.4702396164253315,4.861459639829832,Colorado,Colorado_vs_rest,552,68665
hdr,24,9,33,0.9800278155520417,4.819287971946384,Colorado,Colorado_vs_rest,552,68665
tuition,35,38,73,0.6472497363110712,4.78876132314611,Colorado,Colorado_vs_rest,552,68665
housing,67,196,263,0.3446983367263634,4.775996489629059,Colorado,Colorado_vs_rest,552,68665
truefalse,31,27,58,0.7206328998268052,4.751644354100174,Colorado,Colorado_vs_rest,552,68665
inquired,26,15,41,0.853987555110816,4.716614709031064,Colorado,Colorado_vs_rest,552,68665
myrtle,23,9,32,0.9684070453124747,4.693486758265648,Colorado,Colorado_vs_rest,552,68665
cannabis,27,18,45,0.8081782493070655,4.6846461955138,Colorado,Colorado_vs_rest,552,68665
