token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
war,1323,1923,3246,0.4751110988357494,23.397752131620848,Connecticut,Connecticut_vs_rest,5247,63420
mughal,481,2,483,1.2852807181545938,23.08730210137678,Connecticut,Connecticut_vs_rest,5247,63420
empire,872,789,1661,0.6317294562453544,22.29391398133438,Connecticut,Connecticut_vs_rest,5247,63420
translate,693,436,1129,0.7504277286739427,21.77371991007946,Connecticut,Connecticut_vs_rest,5247,63420
french,605,464,1069,0.6863481723097227,19.41528660109327,Connecticut,Connecticut_vs_rest,5247,63420
russian,451,206,657,0.8482257303348302,18.682862100556598,Connecticut,Connecticut_vs_rest,5247,63420
france,476,263,739,0.7910793079961813,18.53784207843358,Connecticut,Connecticut_vs_rest,5247,63420
blurb,308,14,322,1.2269084077653556,18.16199253442105,Connecticut,Connecticut_vs_rest,5247,63420
government,822,1523,2345,0.39843803950394996,16.626315140930828,Connecticut,Connecticut_vs_rest,5247,63420
otl,234,0,234,1.2914307244095617,16.129964578015812,Connecticut,Connecticut_vs_rest,5247,63420
century,475,469,944,0.6025671718343872,16.03323365059343,Connecticut,Connecticut_vs_rest,5247,63420
scp,820,1780,2600,0.3509783229251333,15.380947911310793,Connecticut,Connecticut_vs_rest,5247,63420
republic,362,255,617,0.7140502798625281,15.33469606669161,Connecticut,Connecticut_vs_rest,5247,63420
societists,201,0,201,1.2914234032101124,14.94930668800656,Connecticut,Connecticut_vs_rest,5247,63420
dakshina,192,0,192,1.2914214065357097,14.610765342893911,Connecticut,Connecticut_vs_rest,5247,63420
emperor,293,166,459,0.7832787810003321,14.47099256928316,Connecticut,Connecticut_vs_rest,5247,63420
playera,186,0,186,1.2914200754233338,14.380645346770594,Connecticut,Connecticut_vs_rest,5247,63420
nad,194,10,204,1.2187505077029126,14.377637222358581,Connecticut,Connecticut_vs_rest,5247,63420
