token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
ishmael,20,10,30,0.9150138092178359,4.313416462515105,Delaware,Delaware_vs_rest,103,69114
anthony,14,83,97,0.2084421328782824,1.727176641298349,Delaware,Delaware_vs_rest,103,69114
hitler,10,88,98,0.1482523612924087,1.2254519972541769,Delaware,Delaware_vs_rest,103,69114
iot,6,32,38,0.22756123786130367,1.1828269745226714,Delaware,Delaware_vs_rest,103,69114
rehearsal,5,28,33,0.21857889899620098,1.057663099298988,Delaware,Delaware_vs_rest,103,69114
daylight,7,59,66,0.1540127876059465,1.0455399288025777,Delaware,Delaware_vs_rest,103,69114
lighting,14,290,304,0.06704080288889003,0.9648250488773344,Delaware,Delaware_vs_rest,103,69114
sip,4,24,28,0.20635854511256824,0.9184583678421855,Delaware,Delaware_vs_rest,103,69114
firefox,4,29,33,0.17564988745320065,0.8455260362253891,Delaware,Delaware_vs_rest,103,69114
truck,8,138,146,0.07984567497174311,0.7978731890696096,Delaware,Delaware_vs_rest,103,69114
camper,3,19,22,0.19716987671779407,0.7770170164280057,Delaware,Delaware_vs_rest,103,69114
rem,5,75,80,0.09109273323808686,0.674921750689002,Delaware,Delaware_vs_rest,103,69114
parked,3,31,34,0.12839675880553436,0.6234641918629171,Delaware,Delaware_vs_rest,103,69114
saudi,3,32,35,0.12475965618428653,0.6143398953066822,Delaware,Delaware_vs_rest,103,69114
exploit,5,92,97,0.07509238835556964,0.6111958700823267,Delaware,Delaware_vs_rest,103,69114
govern,4,60,64,0.09109249297585542,0.6036667734040828,Delaware,Delaware_vs_rest,103,69114
performance,19,1445,1464,0.018127400409165162,0.568128790616326,Delaware,Delaware_vs_rest,103,69114
installation,5,109,114,0.06381830824625467,0.5621576778133145,Delaware,Delaware_vs_rest,103,69114
nvidia,3,40,43,0.10166690287672075,0.5530987800151589,Delaware,Delaware_vs_rest,103,69114
exploited,3,40,43,0.10166690287672075,0.5530987800151589,Delaware,Delaware_vs_rest,103,69114
default,12,646,658,0.025954148624926177,0.5460210806302518,Delaware,Delaware_vs_rest,103,69114
citations,5,116,121,0.0600883509551462,0.5449998949787206,Delaware,Delaware_vs_rest,103,69114
students,25,2665,2690,0.012632173921018897,0.5361742878629531,Delaware,Delaware_vs_rest,103,69114
dax,2,19,21,0.138480636988648,0.5291912948917368,Delaware,Delaware_vs_rest,103,69114
nonmetals,2,19,21,0.138480636988648,0.5291912948917368,Delaware,Delaware_vs_rest,103,69114
verbatim,2,19,21,0.138480636988648,0.5291912948917368,Delaware,Delaware_vs_rest,103,69114
light,28,3360,3388,0.011095622070627975,0.5284036337592704,Delaware,Delaware_vs_rest,103,69114
culinary,3,48,51,0.08573030894926248,0.5067609604889365,Delaware,Delaware_vs_rest,103,69114
referral,2,21,23,0.12655206570713595,0.505290386710161,Delaware,Delaware_vs_rest,103,69114
device,10,537,547,0.02601977249677212,0.49910445128837116,Delaware,Delaware_vs_rest,103,69114
positively,5,139,144,0.050365988656849936,0.49760168452239795,Delaware,Delaware_vs_rest,103,69114
seasoning,2,22,24,0.12132101608146506,0.49446480011606103,Delaware,Delaware_vs_rest,103,69114
cola,2,22,24,0.12132101608146506,0.49446480011606103,Delaware,Delaware_vs_rest,103,69114
devices,9,466,475,0.027009253057824978,0.48286156127001795,Delaware,Delaware_vs_rest,103,69114
levels,12,835,847,0.019898220908885378,0.47448391364027787,Delaware,Delaware_vs_rest,103,69114
qualify,3,56,59,0.07406836753676771,0.4701007073617369,Delaware,Delaware_vs_rest,103,69114
fluorescent,3,59,62,0.07046283452957702,0.45819780151234124,Delaware,Delaware_vs_rest,103,69114
amplitude,2,26,28,0.10407920881448263,0.45706908363515647,Delaware,Delaware_vs_rest,103,69114
selfinterest,2,26,28,0.10407920881448263,0.45706908363515647,Delaware,Delaware_vs_rest,103,69114
labs,3,61,64,0.06824499190318178,0.45072596796418496,Delaware,Delaware_vs_rest,103,69114
deserving,2,27,29,0.10050138725848079,0.448938954298875,Delaware,Delaware_vs_rest,103,69114
humanistic,2,27,29,0.10050138725848079,0.448938954298875,Delaware,Delaware_vs_rest,103,69114
behavior,12,937,949,0.017629064040626474,0.4448033606945353,Delaware,Delaware_vs_rest,103,69114
cognitive,7,363,370,0.026966506109237898,0.4254865675843851,Delaware,Delaware_vs_rest,103,69114
choir,2,31,33,0.08833085080574854,0.42016398695082624,Delaware,Delaware_vs_rest,103,69114
pillow,3,71,74,0.05893778716680487,0.4179715315970263,Delaware,Delaware_vs_rest,103,69114
exposure,5,196,201,0.03580645660043835,0.41699567727060877,Delaware,Delaware_vs_rest,103,69114
tomatoes,2,32,34,0.08573006889757018,0.4137674330018597,Delaware,Delaware_vs_rest,103,69114
wounded,3,78,81,0.05377870290019615,0.3986992250859318,Delaware,Delaware_vs_rest,103,69114
freedoms,2,35,37,0.07876139895711809,0.39614162959656624,Delaware,Delaware_vs_rest,103,69114
truthful,2,35,37,0.07876139895711809,0.39614162959656624,Delaware,Delaware_vs_rest,103,69114
admiral,2,36,38,0.07668023254517564,0.3907300843721956,Delaware,Delaware_vs_rest,103,69114
greece,3,84,87,0.05001221885621909,0.3840388665548476,Delaware,Delaware_vs_rest,103,69114
dish,3,86,89,0.04886870773797369,0.37947936241532,Delaware,Delaware_vs_rest,103,69114
certification,3,88,91,0.04777508062552904,0.3750684618335748,Delaware,Delaware_vs_rest,103,69114
adhering,2,40,42,0.06933625745693561,0.37102945467798626,Delaware,Delaware_vs_rest,103,69114
dishonest,2,40,42,0.06933625745693561,0.37102945467798626,Delaware,Delaware_vs_rest,103,69114
honoring,2,40,42,0.06933625745693561,0.37102945467798626,Delaware,Delaware_vs_rest,103,69114
physician,2,41,43,0.06771156152181312,0.3665336689471545,Delaware,Delaware_vs_rest,103,69114
judgments,2,42,44,0.06615997062227486,0.36219002018863844,Delaware,Delaware_vs_rest,103,69114
covalent,3,95,98,0.04429643067606648,0.36069025526309767,Delaware,Delaware_vs_rest,103,69114
