token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
maria,282,160,442,0.8727478729302707,15.822844706460653,District of Columbia,District of Columbia_vs_rest,109,69108
textbox,36,0,36,1.3813015818019974,6.766968112628343,District of Columbia,District of Columbia_vs_rest,109,69108
kaynes,31,0,31,1.381300369409466,6.279475138706661,District of Columbia,District of Columbia_vs_rest,109,69108
page,180,1605,1785,0.14285035105568156,5.0382846559072965,District of Columbia,District of Columbia_vs_rest,109,69108
littlegpt,42,63,105,0.5546244124467705,4.9108538899404195,District of Columbia,District of Columbia_vs_rest,109,69108
rat,38,77,115,0.4610973731638097,4.254802740614968,District of Columbia,District of Columbia_vs_rest,109,69108
lab,80,490,570,0.19911284987123956,3.996785527977374,District of Columbia,District of Columbia_vs_rest,109,69108
laboratory,58,260,318,0.2581748000101509,3.8967047740596796,District of Columbia,District of Columbia_vs_rest,109,69108
genesis,56,270,326,0.2433389737543319,3.712761535255575,District of Columbia,District of Columbia_vs_rest,109,69108
listbox,13,8,21,0.8472135123954807,3.3516684906516088,District of Columbia,District of Columbia_vs_rest,109,69108
screenplay,37,163,200,0.26181181848812685,3.1350257154932697,District of Columbia,District of Columbia_vs_rest,109,69108
breakthrough,21,46,67,0.43809972252894447,3.0814527105302707,District of Columbia,District of Columbia_vs_rest,109,69108
ext,22,57,79,0.39061659142611127,2.9737650573647505,District of Columbia,District of Columbia_vs_rest,109,69108
stakes,25,96,121,0.29186092430229316,2.726647121267708,District of Columbia,District of Columbia_vs_rest,109,69108
labour,21,76,97,0.3055437323988741,2.5591217046979287,District of Columbia,District of Columbia_vs_rest,109,69108
playername,13,25,38,0.4768397103052706,2.531484966149832,District of Columbia,District of Columbia_vs_rest,109,69108
outbreak,14,39,53,0.371053077433217,2.310302195083592,District of Columbia,District of Columbia_vs_rest,109,69108
city,100,2305,2405,0.05676888355398724,2.295654381776131,District of Columbia,District of Columbia_vs_rest,109,69108
deepening,12,29,41,0.4099452297521644,2.251439267006338,District of Columbia,District of Columbia_vs_rest,109,69108
reduced,35,306,341,0.145396759625541,2.2421412756889763,District of Columbia,District of Columbia_vs_rest,109,69108
improvement,34,295,329,0.14640614305822375,2.2179223161703585,District of Columbia,District of Columbia_vs_rest,109,69108
dialogue,99,2422,2521,0.05336960331015472,2.208476973327641,District of Columbia,District of Columbia_vs_rest,109,69108
cut,55,783,838,0.09194643340484276,2.2063250092039333,District of Columbia,District of Columbia_vs_rest,109,69108
conveys,14,47,61,0.32350591501266734,2.152282082912874,District of Columbia,District of Columbia_vs_rest,109,69108
voters,16,69,85,0.26631741013744303,2.0799386054332567,District of Columbia,District of Columbia_vs_rest,109,69108
emotional,52,790,842,0.08630188070966227,2.0741130478030674,District of Columbia,District of Columbia_vs_rest,109,69108
foreboding,8,14,22,0.505826043719642,2.046167094636651,District of Columbia,District of Columbia_vs_rest,109,69108
conservatives,10,25,35,0.4004660040887238,2.0307332833782743,District of Columbia,District of Columbia_vs_rest,109,69108
fade,28,243,271,0.14637257232357825,2.0124800598769417,District of Columbia,District of Columbia_vs_rest,109,69108
urgency,26,211,237,0.15551260512540566,2.0019244214286536,District of Columbia,District of Columbia_vs_rest,109,69108
accelerated,17,89,106,0.2273345187733984,1.974338825297876,District of Columbia,District of Columbia_vs_rest,109,69108
exitexitfailure,9,21,30,0.4198838507148164,1.9739007327657991,District of Columbia,District of Columbia_vs_rest,109,69108
narrative,40,519,559,0.10055379721862323,1.973125620657458,District of Columbia,District of Columbia_vs_rest,109,69108
