token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
email,4791,1508,6299,0.9124630764550341,61.76276504892773,Florida,Florida_vs_rest,2686,65981
bank,3191,423,3614,1.0832767434339017,54.52907837444873,Florida,Florida_vs_rest,2686,65981
cameron,2441,10,2451,1.2480029080401973,50.498949677813464,Florida,Florida_vs_rest,2686,65981
funds,2324,178,2502,1.1491420995409687,47.70133255066324,Florida,Florida_vs_rest,2686,65981
mccaffrey,1983,0,1983,1.2540190479656559,45.59527724948531,Florida,Florida_vs_rest,2686,65981
fund,1623,119,1742,1.1531064717767192,39.91631376414258,Florida,Florida_vs_rest,2686,65981
payment,1710,363,2073,1.000965899685606,38.531491180159904,Florida,Florida_vs_rest,2686,65981
dear,1483,371,1854,0.9660725522646985,35.29696481106164,Florida,Florida_vs_rest,2686,65981
presidioanonymizedperson,1279,152,1431,1.0983452018205115,34.72030373561439,Florida,Florida_vs_rest,2686,65981
account,1798,1012,2810,0.7478310527326002,34.18151313262498,Florida,Florida_vs_rest,2686,65981
transfer,1387,353,1740,0.9622127881536926,34.07096448668435,Florida,Florida_vs_rest,2686,65981
regards,1249,204,1453,1.049694344786344,33.64134489815576,Florida,Florida_vs_rest,2686,65981
transaction,1204,171,1375,1.072432712127923,33.34175777729497,Florida,Florida_vs_rest,2686,65981
security,1685,1107,2792,0.6990179056276729,31.910979206321276,Florida,Florida_vs_rest,2686,65981
card,1540,890,2430,0.7395597749848442,31.446608415891784,Florida,Florida_vs_rest,2686,65981
scammer,839,3,842,1.2484350852531954,29.604757184913026,Florida,Florida_vs_rest,2686,65981
scambaiting,836,0,836,1.253774182940461,29.59898591406475,Florida,Florida_vs_rest,2686,65981
fauedu,822,0,822,1.2537711948443118,29.35003118471411,Florida,Florida_vs_rest,2686,65981
cmccaff,822,0,822,1.2537711948443118,29.35003118471411,Florida,Florida_vs_rest,2686,65981
address,1492,1172,2664,0.6408651663216656,28.623055825470324,Florida,Florida_vs_rest,2686,65981
proceed,915,201,1116,0.9938114706028198,28.09047801229123,Florida,Florida_vs_rest,2686,65981
contact,1192,723,1915,0.7243242724173689,27.358736999879202,Florida,Florida_vs_rest,2686,65981
send,1228,913,2141,0.6588551198316894,26.369748390217893,Florida,Florida_vs_rest,2686,65981
receive,1024,582,1606,0.7446507770162833,25.73479909996637,Florida,Florida_vs_rest,2686,65981
atm,661,54,715,1.142433558253309,25.374044099884753,Florida,Florida_vs_rest,2686,65981
kindly,695,102,797,1.0671844959698085,25.27632766215495,Florida,Florida_vs_rest,2686,65981
fee,713,163,876,0.9854434756329891,24.699534046751367,Florida,Florida_vs_rest,2686,65981
response,2008,3491,5499,0.38052647949338425,24.338591961506513,Florida,Florida_vs_rest,2686,65981
posing,588,51,639,1.1362088402137918,23.877779328285914,Florida,Florida_vs_rest,2686,65981
