token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
manipulation,1943,235,2178,1.1392717886182426,44.44447151174799,Georgia,Georgia_vs_rest,3129,66088
tommy,1117,78,1195,1.2006016130906527,34.400318156192355,Georgia,Georgia_vs_rest,3129,66088
ranger,769,69,838,1.175769530440986,28.31073513479322,Georgia,Georgia_vs_rest,3129,66088
abilities,1194,861,2055,0.7120053680040357,27.911639224325818,Georgia,Georgia_vs_rest,3129,66088
spongebob,794,258,1052,0.9467844737091795,26.208014854618252,Georgia,Georgia_vs_rest,3129,66088
saiyan,585,5,590,1.2842095823049142,25.522704315040205,Georgia,Georgia_vs_rest,3129,66088
girlfriend,711,300,1011,0.8764675920604024,23.912092204480107,Georgia,Georgia_vs_rest,3129,66088
eddy,495,15,510,1.2530719371772445,23.26981717423868,Georgia,Georgia_vs_rest,3129,66088
billy,498,30,528,1.212791895604676,23.05682362370876,Georgia,Georgia_vs_rest,3129,66088
powers,912,947,1859,0.5912551696144845,22.076830587826212,Georgia,Georgia_vs_rest,3129,66088
mastery,502,92,594,1.072272674105001,22.025142331657637,Georgia,Georgia_vs_rest,3129,66088
scpxxxx,463,117,580,1.0067898369007047,20.5789277305279,Georgia,Georgia_vs_rest,3129,66088
zack,412,45,457,1.1524514753063855,20.55728077560106,Georgia,Georgia_vs_rest,3129,66088
power,1575,3813,5388,0.32521180472964684,20.474230747478448,Georgia,Georgia_vs_rest,3129,66088
desired,521,231,752,0.8622525511254846,20.307473775216344,Georgia,Georgia_vs_rest,3129,66088
combat,628,473,1101,0.6976734868550167,20.02616513125597,Georgia,Georgia_vs_rest,3129,66088
physiology,380,32,412,1.182438360962733,19.94450909470505,Georgia,Georgia_vs_rest,3129,66088
edd,352,6,358,1.2718067728525249,19.7287177201331,Georgia,Georgia_vs_rest,3129,66088
rangers,379,56,435,1.1092172031071854,19.41173210827288,Georgia,Georgia_vs_rest,3129,66088
joshua,365,45,410,1.1362636160450368,19.239026566957165,Georgia,Georgia_vs_rest,3129,66088
kid,509,318,827,0.7580015920620546,18.821867338564186,Georgia,Georgia_vs_rest,3129,66088
superhuman,346,43,389,1.1351387151741275,18.724018042930982,Georgia,Georgia_vs_rest,3129,66088
super,648,724,1372,0.5668180320958012,18.179305953207646,Georgia,Georgia_vs_rest,3129,66088
