token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
colin,191,22,213,1.2015948685179865,14.646445826670641,Illinois,Illinois_vs_rest,2050,67167
aidriven,141,10,151,1.2551032234007575,12.78600022328785,Illinois,Illinois_vs_rest,2050,67167
defendants,151,32,183,1.1002589889042262,12.58349313413107,Illinois,Illinois_vs_rest,2050,67167
kennedy,177,102,279,0.8394552081441073,12.09427134329817,Illinois,Illinois_vs_rest,2050,67167
pfizer,120,2,122,1.3284050409213624,12.028417610974047,Illinois,Illinois_vs_rest,2050,67167
linguistic,135,106,241,0.7400162175257492,9.941015447433886,Illinois,Illinois_vs_rest,2050,67167
aipowered,78,17,95,1.0945316248895622,9.02480750311664,Illinois,Illinois_vs_rest,2050,67167
informdata,61,0,61,1.3528821678535081,8.627386617273178,Illinois,Illinois_vs_rest,2050,67167
pnf,53,0,53,1.352880282608286,8.041770457253163,Illinois,Illinois_vs_rest,2050,67167
prompt,1761,28389,30150,0.05324113393449981,7.651311222554769,Illinois,Illinois_vs_rest,2050,67167
ssn,52,9,61,1.13862539446189,7.485892090070789,Illinois,Illinois_vs_rest,2050,67167
minority,102,142,244,0.5503452884006137,7.433809266523288,Illinois,Illinois_vs_rest,2050,67167
middlename,45,1,46,1.3204431162163317,7.35105680515875,Illinois,Illinois_vs_rest,2050,67167
koa,42,4,46,1.2250442972971811,6.91733148550919,Illinois,Illinois_vs_rest,2050,67167
linguicism,39,0,39,1.352876983443661,6.898346138069769,Illinois,Illinois_vs_rest,2050,67167
underwriting,47,13,60,1.0421010112378202,6.86478410972033,Illinois,Illinois_vs_rest,2050,67167
dob,52,29,81,0.8496014722406215,6.592259315243292,Illinois,Illinois_vs_rest,2050,67167
mismatch,43,12,55,1.0400055399836,6.560608462777759,Illinois,Illinois_vs_rest,2050,67167
detailed,1343,22067,23410,0.05165865048853302,6.54020779905809,Illinois,Illinois_vs_rest,2050,67167
description,1312,21927,23239,0.05032007582739961,6.346179470029289,Illinois,Illinois_vs_rest,2050,67167
proprioception,35,5,40,1.1705544570347257,6.2078024573804385,Illinois,Illinois_vs_rest,2050,67167
roadmap,56,52,108,0.6844261408442005,6.159365821629238,Illinois,Illinois_vs_rest,2050,67167
emily,131,467,598,0.280692616991141,5.8392670607812995,Illinois,Illinois_vs_rest,2050,67167
criminal,95,243,338,0.36572865909719354,5.760657175879792,Illinois,Illinois_vs_rest,2050,67167
aibased,33,9,42,1.0453908211731253,5.759822894239234,Illinois,Illinois_vs_rest,2050,67167
quotes,99,275,374,0.34340512967017567,5.680195304930132,Illinois,Illinois_vs_rest,2050,67167
