token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
kirby,318,62,380,1.136795035584603,18.701161841805767,Indiana,Indiana_vs_rest,385,68832
circleradius,213,0,213,1.3730078779398358,16.361277146654807,Indiana,Indiana_vs_rest,385,68832
eventkey,114,27,141,1.0971363979484945,11.041171877701197,Indiana,Indiana_vs_rest,385,68832
iscrouching,97,0,97,1.372979983049083,11.040899156734945,Indiana,Indiana_vs_rest,385,68832
immigrants,141,90,231,0.8272959201959615,10.859710588483631,Indiana,Indiana_vs_rest,385,68832
atheism,97,11,108,1.2237192647739406,10.618415203834203,Indiana,Indiana_vs_rest,385,68832
incivility,86,0,86,1.3729773379117294,10.39601661714875,Indiana,Indiana_vs_rest,385,68832
inair,77,0,77,1.3729751737171743,9.836994247179549,Indiana,Indiana_vs_rest,385,68832
theist,75,1,76,1.3533019250281981,9.664093260307514,Indiana,Indiana_vs_rest,385,68832
echo,146,248,394,0.5068248865567782,8.679877330851937,Indiana,Indiana_vs_rest,385,68832
jumpheight,56,0,56,1.3729701239604548,8.388986026615584,Indiana,Indiana_vs_rest,385,68832
intkirby,56,0,56,1.3729701239604548,8.388986026615584,Indiana,Indiana_vs_rest,385,68832
ismovingleft,56,0,56,1.3729701239604548,8.388986026615584,Indiana,Indiana_vs_rest,385,68832
ismovingright,56,0,56,1.3729701239604548,8.388986026615584,Indiana,Indiana_vs_rest,385,68832
isfloating,55,0,55,1.3729698834969177,8.31374550786927,Indiana,Indiana_vs_rest,385,68832
suffering,189,619,808,0.32127474443347026,7.7834088663791405,Indiana,Indiana_vs_rest,385,68832
printmagic,45,0,45,1.372967478866876,7.520052588963854,Indiana,Indiana_vs_rest,385,68832
tippett,45,0,45,1.372967478866876,7.520052588963854,Indiana,Indiana_vs_rest,385,68832
elif,165,531,696,0.3256150694255471,7.3242490887191085,Indiana,Indiana_vs_rest,385,68832
immigrant,55,26,81,0.9196486980512564,7.116724707700955,Indiana,Indiana_vs_rest,385,68832
xspeed,40,0,40,1.3729662765554966,7.08996736533846,Indiana,Indiana_vs_rest,385,68832
crouchscale,40,0,40,1.3729662765554966,7.08996736533846,Indiana,Indiana_vs_rest,385,68832
god,331,2507,2838,0.1571382201881324,7.008901897695273,Indiana,Indiana_vs_rest,385,68832
atheist,54,28,82,0.8919969219362187,6.956032443929392,Indiana,Indiana_vs_rest,385,68832
goto,64,57,121,0.718397018798008,6.842378182943382,Indiana,Indiana_vs_rest,385,68832
accompaniment,38,2,40,1.2988578191566198,6.78645442176481,Indiana,Indiana_vs_rest,385,68832
crouching,43,11,54,1.080143502224864,6.738550627187845,Indiana,Indiana_vs_rest,385,68832
circleyoffset,35,0,35,1.3729650742465402,6.632051383422191,Indiana,Indiana_vs_rest,385,68832
justified,61,58,119,0.6966311387691118,6.580996514665821,Indiana,Indiana_vs_rest,385,68832
thay,33,1,34,1.3291619685044118,6.373078147702637,Indiana,Indiana_vs_rest,385,68832
rationally,42,17,59,0.9642067167463662,6.349667766984706,Indiana,Indiana_vs_rest,385,68832
evil,155,678,833,0.2550010232289672,6.232603504037468,Indiana,Indiana_vs_rest,385,68832
permitting,39,15,54,0.9783118116804506,6.1572361342064434,Indiana,Indiana_vs_rest,385,68832
yspeed,30,0,30,1.372963871940014,6.140081096618374,Indiana,Indiana_vs_rest,385,68832
nanite,29,0,29,1.3729636314789992,6.036878048989452,Indiana,Indiana_vs_rest,385,68832
doi,39,23,62,0.8522880661904715,5.790286929308186,Indiana,Indiana_vs_rest,385,68832
theistic,30,6,36,1.131801802157419,5.733966038477561,Indiana,Indiana_vs_rest,385,68832
circleyspeed,26,0,26,1.3729629100965397,5.716100416952087,Indiana,Indiana_vs_rest,385,68832
premise,49,54,103,0.6474558590030224,5.689872644169858,Indiana,Indiana_vs_rest,385,68832
kirbypinkcolor,25,0,25,1.3729626696359123,5.6050966274956275,Indiana,Indiana_vs_rest,385,68832
omniscient,45,46,91,0.6724941588370523,5.555676261364925,Indiana,Indiana_vs_rest,385,68832
circlex,24,0,24,1.3729624291753844,5.491849716701537,Indiana,Indiana_vs_rest,385,68832
circley,24,0,24,1.3729624291753844,5.491849716701537,Indiana,Indiana_vs_rest,385,68832
hick,24,1,25,1.3135390065434027,5.413735784046418,Indiana,Indiana_vs_rest,385,68832
cls,29,12,41,0.958019753484388,5.261491377437098,Indiana,Indiana_vs_rest,385,68832
discrimination,82,255,337,0.33419292997101735,5.2346728512114336,Indiana,Indiana_vs_rest,385,68832
theists,23,2,25,1.255179148736131,5.217681739708876,Indiana,Indiana_vs_rest,385,68832
fawn,24,4,28,1.1653230557524132,5.186607180290897,Indiana,Indiana_vs_rest,385,68832
fiske,21,0,21,1.3729617077943814,5.137152315726612,Indiana,Indiana_vs_rest,385,68832
cortina,21,0,21,1.3729617077943814,5.137152315726612,Indiana,Indiana_vs_rest,385,68832
circlexspeed,21,0,21,1.3729617077943814,5.137152315726612,Indiana,Indiana_vs_rest,385,68832
citation,52,106,158,0.4509801801434339,4.877304785174715,Indiana,Indiana_vs_rest,385,68832
elle,20,2,22,1.239430070387046,4.843734463630489,Indiana,Indiana_vs_rest,385,68832
theism,22,6,28,1.065477235539099,4.793237991305178,Indiana,Indiana_vs_rest,385,68832
omnipotent,47,94,141,0.4566770248472327,4.667150816813197,Indiana,Indiana_vs_rest,385,68832
notre,37,56,93,0.5434063981208688,4.527802305350119,Indiana,Indiana_vs_rest,385,68832
hanh,26,20,46,0.7668270633040173,4.499829977716776,Indiana,Indiana_vs_rest,385,68832
thich,26,22,48,0.7353855331469621,4.410610589056126,Indiana,Indiana_vs_rest,385,68832
num,55,164,219,0.3449154658973512,4.359178491307629,Indiana,Indiana_vs_rest,385,68832
menu,54,160,214,0.3465532999570389,4.330177736080857,Indiana,Indiana_vs_rest,385,68832
contraception,19,7,26,0.9899689594884595,4.319540029249812,Indiana,Indiana_vs_rest,385,68832
nhat,25,23,48,0.7075950034765945,4.245160513260751,Indiana,Indiana_vs_rest,385,68832
prevented,34,56,90,0.5164924761161807,4.229308720164133,Indiana,Indiana_vs_rest,385,68832
pygamequit,18,7,25,0.9752780036182411,4.177409158244724,Indiana,Indiana_vs_rest,385,68832
rational,44,112,156,0.38715020191138017,4.143229196513292,Indiana,Indiana_vs_rest,385,68832
krabs,41,97,138,0.4076194185799924,4.108801316886642,Indiana,Indiana_vs_rest,385,68832
krusty,26,30,56,0.6321876157139243,4.095882551903876,Indiana,Indiana_vs_rest,385,68832
gravity,77,398,475,0.22143962420254049,4.072157474786553,Indiana,Indiana_vs_rest,385,68832
believing,49,159,208,0.32353515351510787,3.9776702259799217,Indiana,Indiana_vs_rest,385,68832
ethans,16,6,22,0.9851949615169371,3.9556788778326184,Indiana,Indiana_vs_rest,385,68832
krab,23,24,47,0.6656303212935928,3.9518616776230826,Indiana,Indiana_vs_rest,385,68832
lua,22,22,44,0.6798147201468367,3.9052382479222216,Indiana,Indiana_vs_rest,385,68832
dame,32,63,95,0.4614090895976819,3.8716324360810828,Indiana,Indiana_vs_rest,385,68832
premises,21,21,42,0.6798144818470622,3.8154493164584395,Indiana,Indiana_vs_rest,385,68832
purdue,22,28,50,0.5997719995056521,3.6698989550230583,Indiana,Indiana_vs_rest,385,68832
job,144,1728,1872,0.1000218817479972,3.5956547570782584,Indiana,Indiana_vs_rest,385,68832
restart,23,35,58,0.5416645940310971,3.564017340324797,Indiana,Indiana_vs_rest,385,68832
perceived,48,199,247,0.2664769941099969,3.550823244237959,Indiana,Indiana_vs_rest,385,68832
gun,57,287,344,0.22647812870693684,3.5462821434992122,Indiana,Indiana_vs_rest,385,68832
wholly,28,59,87,0.44114158961128247,3.5382058661093194,Indiana,Indiana_vs_rest,385,68832
eventtype,25,46,71,0.48198964633277974,3.5000677815971075,Indiana,Indiana_vs_rest,385,68832
evils,21,30,51,0.5620314267388551,3.4699534016882136,Indiana,Indiana_vs_rest,385,68832
belief,58,312,370,0.21391628815272057,3.4689371916367557,Indiana,Indiana_vs_rest,385,68832
miracles,21,35,56,0.5127603669254768,3.3115084496057023,Indiana,Indiana_vs_rest,385,68832
lumen,14,11,25,0.7598555279117569,3.287637681396718,Indiana,Indiana_vs_rest,385,68832
editor,38,149,187,0.27880753536963887,3.236562324994325,Indiana,Indiana_vs_rest,385,68832
firearm,15,16,31,0.6583068446695552,3.174057143144871,Indiana,Indiana_vs_rest,385,68832
