token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
lizard,75,50,125,0.8241897562844311,7.962429512445165,Iowa,Iowa_vs_rest,176,69041
lizardgame,31,0,31,1.3837948686201056,6.290815283199224,Iowa,Iowa_vs_rest,176,69041
lizards,32,2,34,1.2967837339031831,6.258794418756084,Iowa,Iowa_vs_rest,176,69041
runneronfirst,28,0,28,1.3837941393673923,5.978673998144359,Iowa,Iowa_vs_rest,176,69041
runneronsecond,26,0,26,1.38379365319941,5.761192396284481,Iowa,Iowa_vs_rest,176,69041
segment,102,366,468,0.3100677582241467,5.705497357999435,Iowa,Iowa_vs_rest,176,69041
runneronthird,24,0,24,1.383793167031822,5.535172668127288,Iowa,Iowa_vs_rest,176,69041
currentouts,23,0,23,1.3837929239481763,5.418628713151695,Iowa,Iowa_vs_rest,176,69041
jarusersajglasm,22,0,22,1.3837926808646301,5.299522496698449,Iowa,Iowa_vs_rest,176,69041
groundlizard,21,0,21,1.3837924377811817,5.177677196585877,Iowa,Iowa_vs_rest,176,69041
updatescore,20,0,20,1.383792194697829,5.0528946662372105,Iowa,Iowa_vs_rest,176,69041
ballcount,20,0,20,1.383792194697829,5.0528946662372105,Iowa,Iowa_vs_rest,176,69041
bodysegment,20,0,20,1.383792194697829,5.0528946662372105,Iowa,Iowa_vs_rest,176,69041
inning,20,3,23,1.1937485905909533,4.805175214117328,Iowa,Iowa_vs_rest,176,69041
batter,24,21,45,0.7350977405129147,4.269477377714509,Iowa,Iowa_vs_rest,176,69041
cell,100,813,913,0.15777376588978953,3.9862441420781645,Iowa,Iowa_vs_rest,176,69041
venn,15,12,27,0.7647517659979197,3.4390217920320585,Iowa,Iowa_vs_rest,176,69041
col,36,153,189,0.27193850655047136,3.167987729450797,Iowa,Iowa_vs_rest,176,69041
param,56,427,483,0.16692456368639874,3.071150757613523,Iowa,Iowa_vs_rest,176,69041
dir,19,38,57,0.467501204298026,3.037758729495587,Iowa,Iowa_vs_rest,176,69041
row,70,764,834,0.12097809351720912,2.906937445465152,Iowa,Iowa_vs_rest,176,69041
grid,52,438,490,0.1528868840713713,2.8280376928982056,Iowa,Iowa_vs_rest,176,69041
backward,19,59,78,0.345374799753456,2.602728502885713,Iowa,Iowa_vs_rest,176,69041
upper,50,529,579,0.12447148172899958,2.493246127610749,Iowa,Iowa_vs_rest,176,69041
segments,27,151,178,0.2175988827796953,2.445461963420437,Iowa,Iowa_vs_rest,176,69041
direction,56,711,767,0.105164576439023,2.417955491398929,Iowa,Iowa_vs_rest,176,69041
swung,10,18,28,0.49958733922592025,2.2789903952866286,Iowa,Iowa_vs_rest,176,69041
parenthesis,14,48,62,0.3208965106180983,2.151352924667773,Iowa,Iowa_vs_rest,176,69041
score,48,710,758,0.09107906609184546,2.077561493634393,Iowa,Iowa_vs_rest,176,69041
liz,12,44,56,0.3049805707698283,1.9403138708420924,Iowa,Iowa_vs_rest,176,69041
hit,42,652,694,0.08698770612392792,1.8974876290209632,Iowa,Iowa_vs_rest,176,69041
ball,62,1467,1529,0.05773931361356688,1.8612865586908662,Iowa,Iowa_vs_rest,176,69041
null,65,1694,1759,0.05244374071011215,1.8118023581866085,Iowa,Iowa_vs_rest,176,69041
public,90,3588,3678,0.03399900423856472,1.6935688288812747,Iowa,Iowa_vs_rest,176,69041
given,82,3020,3102,0.03690829259093675,1.6891788027550743,Iowa,Iowa_vs_rest,176,69041
exit,27,346,373,0.1042497646052638,1.6713002594809654,Iowa,Iowa_vs_rest,176,69041
phil,10,44,54,0.2645581701026192,1.646139725082964,Iowa,Iowa_vs_rest,176,69041
returns,42,918,960,0.06244061159371661,1.5960722950645636,Iowa,Iowa_vs_rest,176,69041
return,138,9129,9267,0.019778239271429854,1.5602655446738325,Iowa,Iowa_vs_rest,176,69041
reset,19,209,228,0.12009982765147775,1.5087022166554382,Iowa,Iowa_vs_rest,176,69041
physics,22,291,313,0.10120171596821592,1.485579689245303,Iowa,Iowa_vs_rest,176,69041
method,52,1625,1677,0.04366699563434473,1.4709983485830675,Iowa,Iowa_vs_rest,176,69041
leibniz,5,16,21,0.33781998676586156,1.320087144833023,Iowa,Iowa_vs_rest,176,69041
faith,25,495,520,0.06878793168751329,1.2953323873681895,Iowa,Iowa_vs_rest,176,69041
concave,5,17,22,0.3229165808563561,1.289830265178996,Iowa,Iowa_vs_rest,176,69041
patio,6,27,33,0.2598586839028467,1.2633612905811336,Iowa,Iowa_vs_rest,176,69041
diagram,14,166,180,0.11206287215246569,1.249406565012543,Iowa,Iowa_vs_rest,176,69041
boolean,19,317,336,0.08118530242567701,1.2311696866409658,Iowa,Iowa_vs_rest,176,69041
private,52,2418,2470,0.028920828667977183,1.1796135929450904,Iowa,Iowa_vs_rest,176,69041
width,30,862,892,0.04753814562839764,1.168636475048813,Iowa,Iowa_vs_rest,176,69041
bases,14,197,211,0.09547670334260516,1.1497856939485749,Iowa,Iowa_vs_rest,176,69041
xaxis,5,23,28,0.25532328728224485,1.1428594988800675,Iowa,Iowa_vs_rest,176,69041
int,69,4381,4450,0.020677624313427678,1.1305404888907482,Iowa,Iowa_vs_rest,176,69041
labeled,10,111,121,0.11910248969670434,1.0898009138516451,Iowa,Iowa_vs_rest,176,69041
roof,9,91,100,0.12971675739341215,1.0806010595928863,Iowa,Iowa_vs_rest,176,69041
adjacent,8,72,80,0.144098361486666,1.0757628730876396,Iowa,Iowa_vs_rest,176,69041
str,20,467,487,0.05849215650702355,1.0642672360746739,Iowa,Iowa_vs_rest,176,69041
intersecting,4,17,21,0.27193078304104645,1.055965917762973,Iowa,Iowa_vs_rest,176,69041
superscript,4,18,22,0.2598582013998083,1.031528258900893,Iowa,Iowa_vs_rest,176,69041
move,43,2141,2184,0.02689298464175227,1.0311105344205387,Iowa,Iowa_vs_rest,176,69041
porch,6,45,51,0.16934466903793677,1.0127420870904529,Iowa,Iowa_vs_rest,176,69041
symmetry,5,31,36,0.19952080259798066,1.0062494016040708,Iowa,Iowa_vs_rest,176,69041
height,29,1143,1172,0.034391593327162795,0.9671077529468878,Iowa,Iowa_vs_rest,176,69041
listener,6,50,56,0.15433688156977432,0.9653034479700131,Iowa,Iowa_vs_rest,176,69041
void,38,1955,1993,0.025967757425910065,0.9509631813592924,Iowa,Iowa_vs_rest,176,69041
overlapping,5,37,42,0.17134110208608178,0.9301195183889661,Iowa,Iowa_vs_rest,176,69041
inflection,4,24,28,0.20513329926873958,0.913005056968558,Iowa,Iowa_vs_rest,176,69041
balls,11,200,211,0.07472691242727336,0.8971655348850043,Iowa,Iowa_vs_rest,176,69041
strikes,10,174,184,0.07796768519925834,0.8745557106290096,Iowa,Iowa_vs_rest,176,69041
wall,24,964,988,0.03371967772800133,0.8705114312953275,Iowa,Iowa_vs_rest,176,69041
workings,4,28,32,0.17981548965656735,0.8529397588398019,Iowa,Iowa_vs_rest,176,69041
tostring,5,48,53,0.1359638420719378,0.8252766354721478,Iowa,Iowa_vs_rest,176,69041
column,22,927,949,0.03207446237179923,0.8113190695496166,Iowa,Iowa_vs_rest,176,69041
bishop,3,17,20,0.2152171781018133,0.8105243891183616,Iowa,Iowa_vs_rest,176,69041
else,45,3651,3696,0.01571049916044398,0.7821899817495921,Iowa,Iowa_vs_rest,176,69041
expected,21,908,929,0.031217787628087024,0.7811780257835576,Iowa,Iowa_vs_rest,176,69041
laplace,4,34,38,0.1516446102480451,0.7810259197771082,Iowa,Iowa_vs_rest,176,69041
team,39,2981,3020,0.016810366254880194,0.7566841355354655,Iowa,Iowa_vs_rest,176,69041
cos,7,115,122,0.08239407050132996,0.7530510947703749,Iowa,Iowa_vs_rest,176,69041
inline,4,37,41,0.14059477284054367,0.7510522939085708,Iowa,Iowa_vs_rest,176,69041
padx,6,89,95,0.09082633400001328,0.7334304785657997,Iowa,Iowa_vs_rest,176,69041
distance,21,1053,1074,0.02668665636707601,0.7175004865901793,Iowa,Iowa_vs_rest,176,69041
game,41,3604,3645,0.014326987524976964,0.7082102439801193,Iowa,Iowa_vs_rest,176,69041
insured,3,26,29,0.14904358872105838,0.6703629550121623,Iowa,Iowa_vs_rest,176,69041
scenarios,8,191,199,0.05721407358399233,0.6653239861945845,Iowa,Iowa_vs_rest,176,69041
circles,7,147,154,0.0649358944906524,0.6650587708459671,Iowa,Iowa_vs_rest,176,69041
constructs,5,76,81,0.088742827877768,0.6614989799815213,Iowa,Iowa_vs_rest,176,69041
niece,4,50,54,0.10669321587421443,0.6510434361660099,Iowa,Iowa_vs_rest,176,69041
filepath,4,50,54,0.10669321587421443,0.6510434361660099,Iowa,Iowa_vs_rest,176,69041
downward,3,28,31,0.13946395105022447,0.6477179829608745,Iowa,Iowa_vs_rest,176,69041
import,33,2847,2880,0.014638662876899744,0.6432478923515021,Iowa,Iowa_vs_rest,176,69041
hacker,3,29,32,0.1351150672488739,0.6371872908207976,Iowa,Iowa_vs_rest,176,69041
transcending,3,29,32,0.1351150672488739,0.6371872908207976,Iowa,Iowa_vs_rest,176,69041
mathematical,8,213,221,0.051319479945750146,0.6283304233131647,Iowa,Iowa_vs_rest,176,69041
assumes,4,54,58,0.09927661659126663,0.6271583367279593,Iowa,Iowa_vs_rest,176,69041
region,17,900,917,0.02517828885799034,0.6253624757118732,Iowa,Iowa_vs_rest,176,69041
mlops,4,58,62,0.09280410045775156,0.6055824549366376,Iowa,Iowa_vs_rest,176,69041
javautilarraylist,3,33,36,0.12009600983711621,0.599478413710634,Iowa,Iowa_vs_rest,176,69041
problem,26,2122,2148,0.015600572055384454,0.5921155481970337,Iowa,Iowa_vs_rest,176,69041
tanks,4,61,65,0.08846569763822743,0.5907006094549051,Iowa,Iowa_vs_rest,176,69041
thompson,4,61,65,0.08846569763822743,0.5907006094549051,Iowa,Iowa_vs_rest,176,69041
peer,6,137,143,0.0597982580125862,0.5897012338865453,Iowa,Iowa_vs_rest,176,69041
indicate,11,448,459,0.03323288877008679,0.5847277382677764,Iowa,Iowa_vs_rest,176,69041
otherwise,12,530,542,0.030526199046997604,0.5833977315968725,Iowa,Iowa_vs_rest,176,69041
solution,18,1132,1150,0.02088470079040583,0.5804942891098642,Iowa,Iowa_vs_rest,176,69041
flows,5,100,105,0.06811171386002712,0.5762883027648389,Iowa,Iowa_vs_rest,176,69041
tank,8,256,264,0.04261524771828995,0.5694932099120111,Iowa,Iowa_vs_rest,176,69041
string,26,2275,2301,0.014400178661774454,0.565574920618762,Iowa,Iowa_vs_rest,176,69041
number,46,6019,6065,0.008857054761058691,0.5642541994960159,Iowa,Iowa_vs_rest,176,69041
indicates,7,203,210,0.047091532049647,0.5616650983083332,Iowa,Iowa_vs_rest,176,69041
exited,3,38,41,0.1053826477209121,0.560217194261373,Iowa,Iowa_vs_rest,176,69041
count,16,990,1006,0.02125995320340479,0.5527241021524988,Iowa,Iowa_vs_rest,176,69041
tail,33,3593,3626,0.011120162129153677,0.5479694133106507,Iowa,Iowa_vs_rest,176,69041
bat,6,162,168,0.05060418981767434,0.5401355995904856,Iowa,Iowa_vs_rest,176,69041
bge,3,42,45,0.09593375689493122,0.5335619033349835,Iowa,Iowa_vs_rest,176,69041
true,37,4521,4558,0.009652012616963468,0.5331284501542983,Iowa,Iowa_vs_rest,176,69041
excel,9,366,375,0.033284118632405324,0.5293409789536326,Iowa,Iowa_vs_rest,176,69041
cicd,5,120,125,0.05691755897802686,0.5245481391637231,Iowa,Iowa_vs_rest,176,69041
runners,2,19,21,0.13725539273576004,0.524509134216829,Iowa,Iowa_vs_rest,176,69041
current,24,2217,2241,0.013519609619145001,0.5239462436327201,Iowa,Iowa_vs_rest,176,69041
boxes,8,309,317,0.035116782664513124,0.5136334610290832,Iowa,Iowa_vs_rest,176,69041
head,30,3363,3393,0.010732439645888547,0.5115571601070706,Iowa,Iowa_vs_rest,176,69041
expandtrue,3,46,49,0.08800768999446085,0.5101823488929005,Iowa,Iowa_vs_rest,176,69041
helper,4,83,87,0.06570216050554478,0.505829966120099,Iowa,Iowa_vs_rest,176,69041
impersonal,2,21,23,0.12532682105638848,0.5003982947483951,Iowa,Iowa_vs_rest,176,69041
indie,2,21,23,0.12532682105638848,0.5003982947483951,Iowa,Iowa_vs_rest,176,69041
insurance,9,413,422,0.029318537473034922,0.4943190210494445,Iowa,Iowa_vs_rest,176,69041
message,23,2244,2267,0.0126777906408444,0.4940960055562821,Iowa,Iowa_vs_rest,176,69041
false,32,3967,3999,0.009478319418768422,0.49036736697658867,Iowa,Iowa_vs_rest,176,69041
impeccable,2,22,24,0.12009577123178694,0.48947110265739063,Iowa,Iowa_vs_rest,176,69041
relativity,2,22,24,0.12009577123178694,0.48947110265739063,Iowa,Iowa_vs_rest,176,69041
gilbert,2,22,24,0.12009577123178694,0.48947110265739063,Iowa,Iowa_vs_rest,176,69041
yaxis,2,23,25,0.11527648438878835,0.47919534691032467,Iowa,Iowa_vs_rest,176,69041
contradicts,2,23,25,0.11527648438878835,0.47919534691032467,Iowa,Iowa_vs_rest,176,69041
operative,2,24,26,0.11082213363235915,0.46950824552383524,Iowa,Iowa_vs_rest,176,69041
loaded,4,98,102,0.0557628124982994,0.464143087948576,Iowa,Iowa_vs_rest,176,69041
sitcom,3,56,59,0.07284311562528245,0.46232421910580745,Iowa,Iowa_vs_rest,176,69041
specification,3,56,59,0.07284311562528245,0.46232421910580745,Iowa,Iowa_vs_rest,176,69041
sets,12,788,800,0.019912447346353446,0.46155374935293475,Iowa,Iowa_vs_rest,176,69041
phi,2,25,27,0.10669273988329842,0.4603551747662363,Iowa,Iowa_vs_rest,176,69041
indicated,6,218,224,0.03741094912200715,0.4601391041462101,Iowa,Iowa_vs_rest,176,69041
left,25,2869,2894,0.010427983214250425,0.45902019164499114,Iowa,Iowa_vs_rest,176,69041
todo,5,158,163,0.04316415987645783,0.45328987656757314,Iowa,Iowa_vs_rest,176,69041
gets,15,1215,1230,0.015733711676238826,0.4518997610905696,Iowa,Iowa_vs_rest,176,69041
shuffle,2,26,28,0.10285396316908368,0.4516883557188953,Iowa,Iowa_vs_rest,176,69041
comments,9,486,495,0.024645951027581603,0.44970956652674376,Iowa,Iowa_vs_rest,176,69041
adds,8,391,399,0.027422178054216317,0.449433686916123,Iowa,Iowa_vs_rest,176,69041
win,11,710,721,0.020294272012764125,0.4466019086601889,Iowa,Iowa_vs_rest,176,69041
players,10,600,610,0.021986178695838632,0.44515651980878984,Iowa,Iowa_vs_rest,176,69041
lose,8,400,408,0.026765136151098545,0.4435382654319041,Iowa,Iowa_vs_rest,176,69041
cure,4,109,113,0.050137633382954405,0.43886747844563123,Iowa,Iowa_vs_rest,176,69041
devops,5,168,173,0.040542372542288874,0.4384425265874308,Iowa,Iowa_vs_rest,176,69041
particle,6,239,245,0.03400954614637186,0.43723680121239933,Iowa,Iowa_vs_rest,176,69041
grids,2,28,30,0.09593351951041029,0.4356503917829108,Iowa,Iowa_vs_rest,176,69041
conceptual,5,170,175,0.040053732578670065,0.4356213356647579,Iowa,Iowa_vs_rest,176,69041
dialog,5,172,177,0.039576062780286136,0.4328463236487974,Iowa,Iowa_vs_rest,176,69041
trailer,4,113,117,0.048352315503095156,0.4305467560694531,Iowa,Iowa_vs_rest,176,69041
simplify,4,113,117,0.048352315503095156,0.4305467560694531,Iowa,Iowa_vs_rest,176,69041
forward,19,2015,2034,0.011476152924995375,0.423573311425487,Iowa,Iowa_vs_rest,176,69041
pointing,5,182,187,0.03734002182366147,0.4196207293067611,Iowa,Iowa_vs_rest,176,69041
tested,5,184,189,0.036921032442014834,0.41709750150843017,Iowa,Iowa_vs_rest,176,69041
outlook,3,69,72,0.05936907681038939,0.4154068064133313,Iowa,Iowa_vs_rest,176,69041
ordered,5,189,194,0.03591112653158568,0.4109542365915845,Iowa,Iowa_vs_rest,176,69041
dropdown,2,32,34,0.08450482205858734,0.4078539041096189,Iowa,Iowa_vs_rest,176,69041
poles,2,32,34,0.08450482205858734,0.4078539041096189,Iowa,Iowa_vs_rest,176,69041
arraylist,4,126,130,0.04330342901011974,0.406127470245232,Iowa,Iowa_vs_rest,176,69041
expenditures,2,33,35,0.08205083268997271,0.4016461993099876,Iowa,Iowa_vs_rest,176,69041
logical,6,278,284,0.029020570948063096,0.4013777663546842,Iowa,Iowa_vs_rest,176,69041
runner,4,130,134,0.041945653921722226,0.3993148390344008,Iowa,Iowa_vs_rest,176,69041
selected,8,478,486,0.022086125252627653,0.39915609038264677,Iowa,Iowa_vs_rest,176,69041
file,22,2798,2820,0.009176664070403184,0.3986599027796453,Iowa,Iowa_vs_rest,176,69041
differential,3,75,78,0.054652084490152575,0.39772878838990045,Iowa,Iowa_vs_rest,176,69041
reveal,7,378,385,0.024645508770920088,0.3965994415477003,Iowa,Iowa_vs_rest,176,69041
methods,11,858,869,0.016423306727805453,0.3965314090679661,Iowa,Iowa_vs_rest,176,69041
reconciliation,3,76,79,0.05393498114814044,0.3949745687125622,Iowa,Iowa_vs_rest,176,69041
restrictions,6,286,292,0.028161112438857216,0.39488424323509036,Iowa,Iowa_vs_rest,176,69041
alike,4,134,138,0.04066606158815844,0.3927901312323171,Iowa,Iowa_vs_rest,176,69041
tkend,2,35,37,0.07753615152134508,0.38997907379774915,Iowa,Iowa_vs_rest,176,69041
contradiction,2,35,37,0.07753615152134508,0.38997907379774915,Iowa,Iowa_vs_rest,176,69041
cells,8,500,508,0.021025210574263653,0.38842125528514554,Iowa,Iowa_vs_rest,176,69041
nonnegative,2,36,38,0.07545498491046843,0.3844867398256863,Iowa,Iowa_vs_rest,176,69041
cookies,4,140,144,0.03887910344389134,0.3834991412635279,Iowa,Iowa_vs_rest,176,69041
books,11,912,923,0.015319133174749311,0.38112214686846874,Iowa,Iowa_vs_rest,176,69041
presidential,3,82,85,0.04998385042248188,0.3794540475096762,Iowa,Iowa_vs_rest,176,69041
puzzle,4,143,147,0.03803998045443002,0.3790604405198909,Iowa,Iowa_vs_rest,176,69041
salt,5,219,224,0.0307935122881986,0.37835039772015505,Iowa,Iowa_vs_rest,176,69041
pady,3,84,87,0.04878696137459926,0.37463023591936406,Iowa,Iowa_vs_rest,176,69041
satisfies,2,38,40,0.07160141478037829,0.37411310982170015,Iowa,Iowa_vs_rest,176,69041
endtime,2,38,40,0.07160141478037829,0.37411310982170015,Iowa,Iowa_vs_rest,176,69041
faculty,3,85,88,0.04820875915904921,0.3722783133723933,Iowa,Iowa_vs_rest,176,69041
uncertainty,4,148,152,0.03671459717842929,0.371945469238219,Iowa,Iowa_vs_rest,176,69041
rigid,3,87,90,0.047090606905367594,0.3676888946827783,Iowa,Iowa_vs_rest,176,69041
curve,5,232,237,0.028976231199052904,0.3661012419477859,Iowa,Iowa_vs_rest,176,69041
inner,8,555,563,0.01873442728661523,0.3642206392879433,Iowa,Iowa_vs_rest,176,69041
contains,9,686,695,0.016857263900782016,0.3640132774952014,Iowa,Iowa_vs_rest,176,69041
body,25,3858,3883,0.007139517643135029,0.3638315526454692,Iowa,Iowa_vs_rest,176,69041
identical,4,155,159,0.03499827663469013,0.36253179079042147,Iowa,Iowa_vs_rest,176,69041
backend,4,155,159,0.03499827663469013,0.36253179079042147,Iowa,Iowa_vs_rest,176,69041
universe,14,1495,1509,0.011380287676260537,0.36178279453909107,Iowa,Iowa_vs_rest,176,69041
frontend,5,238,243,0.02820274710611237,0.36076635417358105,Iowa,Iowa_vs_rest,176,69041
discern,2,41,43,0.06648631289245266,0.3599011993156974,Iowa,Iowa_vs_rest,176,69041
volumes,3,91,94,0.04499599812292665,0.35893934598851146,Iowa,Iowa_vs_rest,176,69041
schemes,3,92,95,0.04449970610683529,0.35683591077701066,Iowa,Iowa_vs_rest,176,69041
teammates,2,42,44,0.06493472179398196,0.35548244620271385,Iowa,Iowa_vs_rest,176,69041
tkinter,2,42,44,0.06493472179398196,0.35548244620271385,Iowa,Iowa_vs_rest,176,69041
scored,2,42,44,0.06493472179398196,0.35548244620271385,Iowa,Iowa_vs_rest,176,69041
argument,12,1196,1208,0.012359425096429177,0.3516019883080622,Iowa,Iowa_vs_rest,176,69041
openness,2,43,45,0.06345140838319452,0.35120819983207807,Iowa,Iowa_vs_rest,176,69041
lenses,2,43,45,0.06345140838319452,0.35120819983207807,Iowa,Iowa_vs_rest,176,69041
post,12,1204,1216,0.012261869326096075,0.34997428515456586,Iowa,Iowa_vs_rest,176,69041
divine,7,467,474,0.019565794570759465,0.3490720215369267,Iowa,Iowa_vs_rest,176,69041
pitch,4,166,170,0.03258519651063452,0.3488827679096888,Iowa,Iowa_vs_rest,176,69041
argues,3,96,99,0.04261409738329647,0.3487325302978781,Iowa,Iowa_vs_rest,176,69041
matrix,6,354,360,0.022391837996320163,0.3483112599322228,Iowa,Iowa_vs_rest,176,69041
rows,5,256,261,0.026094697994873073,0.34582587446195495,Iowa,Iowa_vs_rest,176,69041
sin,5,258,263,0.025878201665168632,0.3442562629570197,Iowa,Iowa_vs_rest,176,69041
find,29,5190,5219,0.005821328173828633,0.3438501552199233,Iowa,Iowa_vs_rest,176,69041
compile,3,99,102,0.041296283540162904,0.3429595763895526,Iowa,Iowa_vs_rest,176,69041
spacetime,3,103,106,0.039654470077968185,0.3356332533150281,Iowa,Iowa_vs_rest,176,69041
case,22,3486,3508,0.006889315590484557,0.33368434092187343,Iowa,Iowa_vs_rest,176,69041
listeners,2,48,50,0.05691685902693777,0.33174929265179354,Iowa,Iowa_vs_rest,176,69041
