token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
quadeca,43,0,43,1.3840571147269856,7.410416369927522,Kansas,Kansas_vs_rest,138,69079
knots,30,30,60,0.690906762327522,4.63474346003589,Kansas,Kansas_vs_rest,138,69079
smart,61,452,513,0.17141544192148572,3.2519977438884147,Kansas,Kansas_vs_rest,138,69079
chorus,19,58,77,0.34997749052890015,2.6214200908733094,Kansas,Kansas_vs_rest,138,69079
evilbot,15,65,80,0.26804625153487116,2.03071941588249,Kansas,Kansas_vs_rest,138,69079
casket,7,15,22,0.44727909275054145,1.8034599055830243,Kansas,Kansas_vs_rest,138,69079
haunt,7,18,25,0.39543696142019513,1.693775495824473,Kansas,Kansas_vs_rest,138,69079
verse,27,354,381,0.10230259014211818,1.6570563044974118,Kansas,Kansas_vs_rest,138,69079
iot,8,30,38,0.30003510439629366,1.5716397956410375,Kansas,Kansas_vs_rest,138,69079
appliances,10,56,66,0.21761418544873123,1.489159849478807,Kansas,Kansas_vs_rest,138,69079
album,15,142,157,0.13795397771512263,1.4415296890546985,Kansas,Kansas_vs_rest,138,69079
closed,24,407,431,0.0801844846383144,1.3769519564596104,Kansas,Kansas_vs_rest,138,69079
homeowners,9,56,65,0.1991761943555339,1.349673340131955,Kansas,Kansas_vs_rest,138,69079
haha,9,58,67,0.19332124900277492,1.3290562628274467,Kansas,Kansas_vs_rest,138,69079
amnesia,5,17,22,0.3231759082621277,1.2908661003029387,Kansas,Kansas_vs_rest,138,69079
seizure,5,18,23,0.3095331314935077,1.2625644015545283,Kansas,Kansas_vs_rest,138,69079
standardized,9,69,78,0.16637717388310946,1.2299971580461,Kansas,Kansas_vs_rest,138,69079
remotely,8,54,62,0.18580645527308448,1.2276719712391737,Kansas,Kansas_vs_rest,138,69079
somewhere,18,307,325,0.07974479664944667,1.1890651378533759,Kansas,Kansas_vs_rest,138,69079
anesthesia,5,23,28,0.25558261494060197,1.1440202824530448,Kansas,Kansas_vs_rest,138,69079
home,58,3322,3380,0.02339629337520588,1.1152782402571058,Kansas,Kansas_vs_rest,138,69079
wasnt,19,409,428,0.06363847375203413,1.086309891504686,Kansas,Kansas_vs_rest,138,69079
