token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
dialog,83,94,177,0.6501911573860113,7.48971199073805,Kentucky,Kentucky_vs_rest,192,69025
salad,42,62,104,0.5632372121516855,4.964145646774464,Kentucky,Kentucky_vs_rest,192,69025
simpson,17,11,28,0.8347131520992583,3.8153657242700656,Kentucky,Kentucky_vs_rest,192,69025
jenna,17,11,28,0.8347131520992583,3.8153657242700656,Kentucky,Kentucky_vs_rest,192,69025
homer,19,20,39,0.6745183594944777,3.6478825484165367,Kentucky,Kentucky_vs_rest,192,69025
fingers,43,265,308,0.20151907847356476,2.973110509733189,Kentucky,Kentucky_vs_rest,192,69025
roger,14,37,51,0.38866202743478695,2.376426632240828,Kentucky,Kentucky_vs_rest,192,69025
dental,22,105,127,0.24882243591832953,2.3700863891014676,Kentucky,Kentucky_vs_rest,192,69025
nightmares,12,45,57,0.3007447746951897,1.9294106279550491,Kentucky,Kentucky_vs_rest,192,69025
ava,8,18,26,0.4337810075422066,1.8997175225458387,Kentucky,Kentucky_vs_rest,192,69025
nsfwgpt,12,59,71,0.24291723723028547,1.7289373393845864,Kentucky,Kentucky_vs_rest,192,69025
alternatives,15,118,133,0.16337112976975376,1.5763642714595494,Kentucky,Kentucky_vs_rest,192,69025
simpsons,6,18,24,0.3551373935865758,1.4856463057069347,Kentucky,Kentucky_vs_rest,192,69025
swot,6,22,28,0.30594714839688564,1.3763574162947203,Kentucky,Kentucky_vs_rest,192,69025
horny,18,244,262,0.09986542758077199,1.340781987521187,Kentucky,Kentucky_vs_rest,192,69025
homestar,9,60,69,0.1885067720069067,1.3142680200710608,Kentucky,Kentucky_vs_rest,192,69025
symptom,5,21,26,0.27544898891545877,1.1904842582099124,Kentucky,Kentucky_vs_rest,192,69025
organization,29,885,914,0.04569505947596397,1.136598162888741,Kentucky,Kentucky_vs_rest,192,69025
sales,28,844,872,0.0462582609209381,1.1239586347056119,Kentucky,Kentucky_vs_rest,192,69025
swearing,5,26,31,0.232077055513086,1.090132806822131,Kentucky,Kentucky_vs_rest,192,69025
waters,13,206,219,0.08625948928063742,1.0567266377464104,Kentucky,Kentucky_vs_rest,192,69025
runner,10,124,134,0.10846429168058513,1.0427131652355586,Kentucky,Kentucky_vs_rest,192,69025
alternative,19,462,481,0.057154498481013505,1.0331374422960198,Kentucky,Kentucky_vs_rest,192,69025
aka,7,89,96,0.1059830189491322,0.8620739443315782,Kentucky,Kentucky_vs_rest,192,69025
firm,16,560,576,0.03984996384602901,0.7861512000342141,Kentucky,Kentucky_vs_rest,192,69025
critic,4,34,38,0.15261263884203835,0.7860116256439863,Kentucky,Kentucky_vs_rest,192,69025
indication,4,35,39,0.14874416181430838,0.7757058836304036,Kentucky,Kentucky_vs_rest,192,69025
