token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
yae,33,0,33,1.3839648288840571,6.491370444439117,Louisiana,Louisiana_vs_rest,231,68986
ahri,35,6,41,1.1714038708827808,6.3126225765027915,Louisiana,Louisiana_vs_rest,231,68986
cagentwork,30,0,30,1.3839640995070859,6.1892756098342545,Louisiana,Louisiana_vs_rest,231,68986
jobexecution,26,0,26,1.3839631270058401,5.761897972005773,Louisiana,Louisiana_vs_rest,231,68986
sserversrcpaystarpaystarcorefeaturesjobstasksinitiatefunctionorchestrationcsline,25,0,25,1.3839628838807734,5.6500048140976356,Louisiana,Louisiana_vs_rest,231,68986
jsonproperty,25,0,25,1.3839628838807734,5.6500048140976356,Louisiana,Louisiana_vs_rest,231,68986
syndra,24,3,27,1.221443710122026,5.308559181898105,Louisiana,Louisiana_vs_rest,231,68986
aether,37,41,78,0.6566272405753342,5.02149885386093,Louisiana,Louisiana_vs_rest,231,68986
sona,30,25,55,0.7514415313027349,4.824004214891416,Louisiana,Louisiana_vs_rest,231,68986
meter,61,183,244,0.35435215023254507,4.726540560224819,Louisiana,Louisiana_vs_rest,231,68986
objecttype,20,8,28,0.9784965571181505,4.43804322663006,Louisiana,Louisiana_vs_rest,231,68986
chip,39,87,126,0.43547238237867525,4.199005961324014,Louisiana,Louisiana_vs_rest,231,68986
chips,32,65,97,0.4630334497344233,3.9239027356416107,Louisiana,Louisiana_vs_rest,231,68986
panties,21,37,58,0.5063856776728421,3.325692859635865,Louisiana,Louisiana_vs_rest,231,68986
lumine,13,10,23,0.777824159026343,3.2274914694027634,Louisiana,Louisiana_vs_rest,231,68986
legends,32,122,154,0.29616316703439693,3.1219149751334547,Louisiana,Louisiana_vs_rest,231,68986
mast,12,9,21,0.7861227190960047,3.116288594802628,Louisiana,Louisiana_vs_rest,231,68986
facebook,36,196,232,0.22268208850232973,2.8587089908201944,Louisiana,Louisiana_vs_rest,231,68986
wellendowed,11,14,25,0.6107695865981917,2.642593274368468,Louisiana,Louisiana_vs_rest,231,68986
genshin,11,14,25,0.6107695865981917,2.642593274368468,Louisiana,Louisiana_vs_rest,231,68986
execution,30,237,267,0.161972699986622,2.214211267888584,Louisiana,Louisiana_vs_rest,231,68986
manhood,8,12,20,0.5572801730336909,2.1535351841634283,Louisiana,Louisiana_vs_rest,231,68986
scrum,14,48,62,0.32106598525039054,2.1524891157255586,Louisiana,Louisiana_vs_rest,231,68986
resort,16,82,98,0.2340550816268845,1.955388639406901,Louisiana,Louisiana_vs_rest,231,68986
antibodies,7,14,21,0.4676677704615617,1.8445065613566114,Louisiana,Louisiana_vs_rest,231,68986
league,33,456,489,0.09730013618912103,1.7842246988705337,Louisiana,Louisiana_vs_rest,231,68986
transplant,7,19,26,0.380656391575231,1.6609212895408658,Louisiana,Louisiana_vs_rest,231,68986
mobil,6,14,20,0.4225470920573482,1.621905791476039,Louisiana,Louisiana_vs_rest,231,68986
inf,21,226,247,0.12270623723153662,1.6049278085582799,Louisiana,Louisiana_vs_rest,231,68986
makers,10,48,58,0.24688064931801357,1.5889850669773244,Louisiana,Louisiana_vs_rest,231,68986
antibody,6,15,21,0.40312900582086897,1.583459300576936,Louisiana,Louisiana_vs_rest,231,68986
exxon,6,15,21,0.40312900582086897,1.583459300576936,Louisiana,Louisiana_vs_rest,231,68986
fabrication,7,22,29,0.3425046244728307,1.5734145132491437,Louisiana,Louisiana_vs_rest,231,68986
object,53,1534,1587,0.04736471013867316,1.5530112489954044,Louisiana,Louisiana_vs_rest,231,68986
orchestration,5,15,20,0.35433859852775207,1.3531528744983266,Louisiana,Louisiana_vs_rest,231,68986
reader,25,460,485,0.07404132736306224,1.3475462863591465,Louisiana,Louisiana_vs_rest,231,68986
computing,15,172,187,0.11575851579472207,1.3161167858886453,Louisiana,Louisiana_vs_rest,231,68986
disney,18,266,284,0.09132263980341904,1.2750977391445062,Louisiana,Louisiana_vs_rest,231,68986
naked,12,128,140,0.12370603450827211,1.2183033299860695,Louisiana,Louisiana_vs_rest,231,68986
shrinking,5,22,27,0.26472643718213007,1.164736899765219,Louisiana,Louisiana_vs_rest,231,68986
cells,22,486,508,0.061954589750095934,1.1518929732610759,Louisiana,Louisiana_vs_rest,231,68986
