token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
john,724,988,1712,0.5803722896851102,20.768956899632343,Maryland,Maryland_vs_rest,502,68165
julia,358,28,386,1.269354816682677,20.702147281311728,Maryland,Maryland_vs_rest,502,68165
megan,387,77,464,1.1361795378093156,20.662875477674824,Maryland,Maryland_vs_rest,502,68165
janice,326,10,336,1.3319988287449451,20.07893255861332,Maryland,Maryland_vs_rest,502,68165
optcondalibpython,139,33,172,1.0999097325326161,12.226138722052267,Maryland,Maryland_vs_rest,502,68165
swimsuits,106,6,112,1.2969293037513179,11.34791083947237,Maryland,Maryland_vs_rest,502,68165
swimsuit,105,12,117,1.2259835914019437,11.073947028305374,Maryland,Maryland_vs_rest,502,68165
diclaudio,73,0,73,1.376258077845252,9.600982577108256,Maryland,Maryland_vs_rest,502,68165
bard,75,39,114,0.8944204108470153,8.22441972135516,Maryland,Maryland_vs_rest,502,68165
girly,41,13,54,1.03228741220863,6.470566847647123,Maryland,Maryland_vs_rest,502,68165
inquiryid,30,0,30,1.376247682531302,6.154766744033082,Maryland,Maryland_vs_rest,502,68165
smirks,36,18,54,0.9062454743965773,5.731599636625983,Maryland,Maryland_vs_rest,502,68165
victorias,27,4,31,1.1881947192488145,5.551293157906738,Maryland,Maryland_vs_rest,502,68165
sitepackagesraytunetrainablefunctiontrainablepy,28,8,36,1.0577934548508185,5.401387349767487,Maryland,Maryland_vs_rest,502,68165
kiernan,22,0,22,1.3762457485393824,5.27061994634407,Maryland,Maryland_vs_rest,502,68165
mall,62,134,196,0.4369749498242257,5.258170944816502,Maryland,Maryland_vs_rest,502,68165
nonplayer,23,3,26,1.2076232729528886,5.154436712846059,Maryland,Maryland_vs_rest,502,68165
victoria,53,103,156,0.46861208440503077,5.039803251642216,Maryland,Maryland_vs_rest,502,68165
otakorp,20,0,20,1.3762452650423818,5.025337175489256,Maryland,Maryland_vs_rest,502,68165
sitepackagestorchnnmodulesmodulepy,20,0,20,1.3762452650423818,5.025337175489256,Maryland,Maryland_vs_rest,502,68165
bikini,55,114,169,0.4493055139118649,5.0240620620258065,Maryland,Maryland_vs_rest,502,68165
maguire,21,3,24,1.1939239450972963,4.904543075065114,Maryland,Maryland_vs_rest,502,68165
dressing,41,61,102,0.5521974910953951,4.819428447091854,Maryland,Maryland_vs_rest,502,68165
jayden,30,29,59,0.6944000098726377,4.619121910650847,Maryland,Maryland_vs_rest,502,68165
narotica,45,96,141,0.44079050410195997,4.499794612676112,Maryland,Maryland_vs_rest,502,68165
file,207,2603,2810,0.09859855137949047,4.339737047343247,Maryland,Maryland_vs_rest,502,68165
tmpipykernel,18,6,24,1.019569827807171,4.2651665959324525,Maryland,Maryland_vs_rest,502,68165
action,163,1709,1872,0.11798360093908222,4.25003459038708,Maryland,Maryland_vs_rest,502,68165
trainmodel,27,30,57,0.6480084079233652,4.236252664749652,Maryland,Maryland_vs_rest,502,68165
fnargs,17,6,23,1.00468097356503,4.119387312024899,Maryland,Maryland_vs_rest,502,68165
parody,38,83,121,0.43388650884368474,4.101441106984505,Maryland,Maryland_vs_rest,502,68165
says,130,1186,1316,0.13483345678838177,4.081660663846289,Maryland,Maryland_vs_rest,502,68165
afternoon,63,273,336,0.26025118349950915,4.040708686482459,Maryland,Maryland_vs_rest,502,68165
johnny,50,169,219,0.3168111011308916,3.993095609863607,Maryland,Maryland_vs_rest,502,68165
numsamples,24,29,53,0.62018517870683,3.9081849663604515,Maryland,Maryland_vs_rest,502,68165
museum,40,117,157,0.3531783508193822,3.7808723522646623,Maryland,Maryland_vs_rest,502,68165
teases,24,33,57,0.5777384819272005,3.7722199267151653,Maryland,Maryland_vs_rest,502,68165
adds,64,335,399,0.22232620039046758,3.7461235454859736,Maryland,Maryland_vs_rest,502,68165
entrypoint,14,6,20,0.9513606107876598,3.6517048949641535,Maryland,Maryland_vs_rest,502,68165
selections,19,23,42,0.619584399446385,3.47565609104791,Maryland,Maryland_vs_rest,502,68165
vertex,50,236,286,0.2425485238774634,3.467846631447838,Maryland,Maryland_vs_rest,502,68165
cleverly,15,11,26,0.7857510118340052,3.465217013205358,Maryland,Maryland_vs_rest,502,68165
funcargs,14,9,23,0.8282786291370705,3.4310556477149703,Maryland,Maryland_vs_rest,502,68165
pid,28,72,100,0.3876356880073164,3.3207205886663576,Maryland,Maryland_vs_rest,502,68165
gpt,92,930,1022,0.12221662760931196,3.254818101583751,Maryland,Maryland_vs_rest,502,68165
bing,21,39,60,0.4824275670738061,3.220000733759402,Maryland,Maryland_vs_rest,502,68165
spiderman,36,139,175,0.2855668730994996,3.20799901386088,Maryland,Maryland_vs_rest,502,68165
