token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
fish,1675,412,2087,1.0711076298947262,41.50532173767138,Massachusetts,Massachusetts_vs_rest,2088,66579
ubuntu,1110,37,1147,1.3070536505271484,36.424425347548095,Massachusetts,Massachusetts_vs_rest,2088,66579
pond,1008,94,1102,1.2295965494777503,33.97175854164674,Massachusetts,Massachusetts_vs_rest,2088,66579
fart,781,33,814,1.2947661604893845,30.453734654770344,Massachusetts,Massachusetts_vs_rest,2088,66579
amd,791,90,881,1.2052892428979138,29.87242300859015,Massachusetts,Massachusetts_vs_rest,2088,66579
comedic,687,54,741,1.2475035150518057,28.191599348219597,Massachusetts,Massachusetts_vs_rest,2088,66579
vividly,623,35,658,1.2761667398468557,27.06294342352286,Massachusetts,Massachusetts_vs_rest,2088,66579
buff,491,23,514,1.2885139865145163,24.105554385565483,Massachusetts,Massachusetts_vs_rest,2088,66579
farts,469,21,490,1.2912855492806,23.57671953161903,Massachusetts,Massachusetts_vs_rest,2088,66579
butt,411,68,479,1.148522760937336,21.13975202950949,Massachusetts,Massachusetts_vs_rest,2088,66579
unpacking,366,8,374,1.3229693349502103,20.999110103572384,Massachusetts,Massachusetts_vs_rest,2088,66579
bellyup,317,1,318,1.3501620943657553,19.674057116993275,Massachusetts,Massachusetts_vs_rest,2088,66579
httparchiveubuntucomubuntu,308,0,308,1.3548732542911388,19.414597821220095,Massachusetts,Massachusetts_vs_rest,2088,66579
nude,336,52,388,1.1597491000998001,19.185944126875306,Massachusetts,Massachusetts_vs_rest,2088,66579
describe,1373,4921,6294,0.2816264986558261,19.004738129705377,Massachusetts,Massachusetts_vs_rest,2088,66579
smell,408,232,640,0.8455979975920798,18.448124264234963,Massachusetts,Massachusetts_vs_rest,2088,66579
happily,365,149,514,0.9437487108913487,18.347013744009292,Massachusetts,Massachusetts_vs_rest,2088,66579
farting,278,15,293,1.2790083253901727,18.091407093781104,Massachusetts,Massachusetts_vs_rest,2088,66579
story,1378,5659,7037,0.2506795580449577,17.833025661275897,Massachusetts,Massachusetts_vs_rest,2088,66579
shrek,259,36,295,1.1767606073722678,16.93890629943695,Massachusetts,Massachusetts_vs_rest,2088,66579
biscuit,237,14,251,1.272294782274507,16.67335918332679,Massachusetts,Massachusetts_vs_rest,2088,66579
dinner,351,247,598,0.7778071631253791,16.444557046730818,Massachusetts,Massachusetts_vs_rest,2088,66579
relaxing,297,130,427,0.9239489616345402,16.393447626345306,Massachusetts,Massachusetts_vs_rest,2088,66579
xenialupdatesmain,214,0,214,1.3548510120959651,16.182767598182473,Massachusetts,Massachusetts_vs_rest,2088,66579
stench,206,21,227,1.2190108134997946,15.307483175449695,Massachusetts,Massachusetts_vs_rest,2088,66579
configuring,185,8,193,1.293286216559265,14.814919493069565,Massachusetts,Massachusetts_vs_rest,2088,66579
twink,180,2,182,1.338404230721487,14.78271404988448,Massachusetts,Massachusetts_vs_rest,2088,66579
unpack,187,16,203,1.238772370778264,14.670240210222804,Massachusetts,Massachusetts_vs_rest,2088,66579
throughout,565,1324,1889,0.39229442803776227,14.632824885175069,Massachusetts,Massachusetts_vs_rest,2088,66579
validating,185,22,207,1.1992366939174488,14.418493402855246,Massachusetts,Massachusetts_vs_rest,2088,66579
retrieving,184,26,210,1.174215704964249,14.265326706412248,Massachusetts,Massachusetts_vs_rest,2088,66579
deb,168,4,172,1.3201545495563387,14.216599152668081,Massachusetts,Massachusetts_vs_rest,2088,66579
frodo,164,2,166,1.336820665790377,14.104902553040702,Massachusetts,Massachusetts_vs_rest,2088,66579
physique,262,206,468,0.7415285635534623,13.88147799780347,Massachusetts,Massachusetts_vs_rest,2088,66579
grabs,240,175,415,0.7662217911532156,13.499462573114707,Massachusetts,Massachusetts_vs_rest,2088,66579
cook,211,134,345,0.8107701360400821,13.005669726488122,Massachusetts,Massachusetts_vs_rest,2088,66579
immaculately,136,7,143,1.2822618279368037,12.66472601654521,Massachusetts,Massachusetts_vs_rest,2088,66579
wading,131,1,132,1.3434890917080509,12.626711171375884,Massachusetts,Massachusetts_vs_rest,2088,66579
water,724,3164,3888,0.23715879293716835,12.523227694445165,Massachusetts,Massachusetts_vs_rest,2088,66579
officers,252,296,548,0.6081705488513833,12.325106920127135,Massachusetts,Massachusetts_vs_rest,2088,66579
collects,126,22,148,1.1390125670346691,11.666397583691065,Massachusetts,Massachusetts_vs_rest,2088,66579
police,320,671,991,0.4244940064468832,11.491876858759266,Massachusetts,Massachusetts_vs_rest,2088,66579
looks,526,2070,2596,0.25993878647093993,11.242086751094433,Massachusetts,Massachusetts_vs_rest,2088,66579
dialogue,509,2011,2520,0.2590532801209102,11.037605448848161,Massachusetts,Massachusetts_vs_rest,2088,66579
mmpi,99,0,99,1.3548238020404124,11.006640599291218,Massachusetts,Massachusetts_vs_rest,2088,66579
dfsg,96,0,96,1.3548230922296742,10.838584737837394,Massachusetts,Massachusetts_vs_rest,2088,66579
naturel,96,0,96,1.3548230922296742,10.838584737837394,Massachusetts,Massachusetts_vs_rest,2088,66579
steve,178,184,362,0.6506445398965468,10.720673710993655,Massachusetts,Massachusetts_vs_rest,2088,66579
campfire,106,18,124,1.1439304372839434,10.718554880848071,Massachusetts,Massachusetts_vs_rest,2088,66579
townspeople,96,4,100,1.2953996513692427,10.677949284069772,Massachusetts,Massachusetts_vs_rest,2088,66579
decides,196,259,455,0.5693249330400487,10.505905214336357,Massachusetts,Massachusetts_vs_rest,2088,66579
waistdeep,89,0,89,1.3548214360079438,10.43593662905666,Massachusetts,Massachusetts_vs_rest,2088,66579
relief,239,454,693,0.4541351325181662,10.297872757087221,Massachusetts,Massachusetts_vs_rest,2088,66579
stink,93,13,106,1.1758564672049587,10.14707267877724,Massachusetts,Massachusetts_vs_rest,2088,66579
preparing,194,283,477,0.5371483613566799,10.140105990783283,Massachusetts,Massachusetts_vs_rest,2088,66579
timothee,85,2,87,1.3205314059233508,10.113179310348238,Massachusetts,Massachusetts_vs_rest,2088,66579
