token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
natsuki,17187,355,17542,1.199377284801039,130.3442558232995,Michigan,Michigan_vs_rest,6603,62614
sayori,12374,298,12672,1.1935103858534957,110.32709150305234,Michigan,Michigan_vs_rest,6603,62614
monika,12030,278,12308,1.194818072958669,108.82626374747026,Michigan,Michigan_vs_rest,6603,62614
yuri,10959,221,11180,1.1987827904269528,103.99427785276187,Michigan,Michigan_vs_rest,6603,62614
player,6260,1098,7358,1.010661663543166,72.99690138084466,Michigan,Michigan_vs_rest,6603,62614
clubroom,3573,22,3595,1.2175973914406102,59.69897670529588,Michigan,Michigan_vs_rest,6603,62614
baby,3729,644,4373,1.012911022560214,56.3818213418188,Michigan,Michigan_vs_rest,6603,62614
club,3148,611,3759,0.9912850611245858,51.28462893758027,Michigan,Michigan_vs_rest,6603,62614
okay,2848,561,3409,0.9883865434320969,48.71144657023676,Michigan,Michigan_vs_rest,6603,62614
literature,2398,596,2994,0.9401218756866827,43.64352285514258,Michigan,Michigan_vs_rest,6603,62614
alright,1827,191,2018,1.0874834236297293,40.7331003818957,Michigan,Michigan_vs_rest,6603,62614
sakura,1679,213,1892,1.0617487442436246,38.63861384803642,Michigan,Michigan_vs_rest,6603,62614
don,2671,2077,4748,0.6168285855594444,36.77668016194886,Michigan,Michigan_vs_rest,6603,62614
belly,1588,343,1931,0.9698328617323115,36.045412089967265,Michigan,Michigan_vs_rest,6603,62614
pain,1821,695,2516,0.8338361485380741,35.81621075169977,Michigan,Michigan_vs_rest,6603,62614
wait,1785,690,2475,0.830344476065286,35.38357651373459,Michigan,Michigan_vs_rest,6603,62614
let,3175,3662,6837,0.48594519757878274,34.78790420759875,Michigan,Michigan_vs_rest,6603,62614
little,2624,2612,5236,0.5348812087955155,33.51873844813508,Michigan,Michigan_vs_rest,6603,62614
pregnant,1217,106,1323,1.108314798411742,33.51626034964591,Michigan,Michigan_vs_rest,6603,62614
ambulance,1043,24,1067,1.1926849239241424,31.984273868636116,Michigan,Michigan_vs_rest,6603,62614
maybe,1605,892,2497,0.7241257341490037,31.194476064411806,Michigan,Michigan_vs_rest,6603,62614
yeah,1402,658,2060,0.7751000250693334,30.244873427588033,Michigan,Michigan_vs_rest,6603,62614
sure,2135,2215,4350,0.5210014182989582,29.758155247688467,Michigan,Michigan_vs_rest,6603,62614
contractions,873,11,884,1.207596196668547,29.405757747669774,Michigan,Michigan_vs_rest,6603,62614
room,1928,1820,3748,0.5524401075956895,29.288396102611216,Michigan,Michigan_vs_rest,6603,62614
something,2510,3402,5912,0.43263832024602067,28.772187316006914,Michigan,Michigan_vs_rest,6603,62614
bump,855,52,907,1.141365790243924,28.442832005187196,Michigan,Michigan_vs_rest,6603,62614
everyone,1539,1179,2718,0.6215226671378948,28.034230934347022,Michigan,Michigan_vs_rest,6603,62614
help,2899,4816,7715,0.3673226306928177,27.845274277258202,Michigan,Michigan_vs_rest,6603,62614
worry,1006,287,1293,0.9081267366039771,27.789747544405497,Michigan,Michigan_vs_rest,6603,62614
hospital,992,359,1351,0.8480113982130417,26.662298562881176,Michigan,Michigan_vs_rest,6603,62614
labor,1021,431,1452,0.8056425202203785,26.341206441426827,Michigan,Michigan_vs_rest,6603,62614
everything,1696,1796,3492,0.514089997989986,26.307956585067508,Michigan,Michigan_vs_rest,6603,62614
strange,966,397,1363,0.8131914429364695,25.74692232964936,Michigan,Michigan_vs_rest,6603,62614
snow,845,245,1090,0.9042211155544848,25.41451848327991,Michigan,Michigan_vs_rest,6603,62614
school,2000,2800,4800,0.4219936418093191,25.280514827295544,Michigan,Michigan_vs_rest,6603,62614
hey,995,522,1517,0.7416888424438142,24.88208437520401,Michigan,Michigan_vs_rest,6603,62614
thank,1766,2280,4046,0.44844064856286003,24.680775522187442,Michigan,Michigan_vs_rest,6603,62614
calm,901,386,1287,0.8014225489254674,24.676484358264588,Michigan,Michigan_vs_rest,6603,62614
worried,748,174,922,0.9541832478567311,24.545349046242734,Michigan,Michigan_vs_rest,6603,62614
sorry,994,574,1568,0.7121157875788606,24.322950366576613,Michigan,Michigan_vs_rest,6603,62614
shadecleaver,574,0,574,1.2261424048331815,23.98563546566814,Michigan,Michigan_vs_rest,6603,62614
really,1824,2607,4431,0.4152448326448521,23.896319850475237,Michigan,Michigan_vs_rest,6603,62614
stay,1143,914,2057,0.6073419685800179,23.838659732247358,Michigan,Michigan_vs_rest,6603,62614
pregnancy,625,65,690,1.0878783210172873,23.824922786627948,Michigan,Michigan_vs_rest,6603,62614
going,2144,3603,5747,0.36357522191822067,23.78399906238052,Michigan,Michigan_vs_rest,6603,62614
need,2707,5515,8222,0.3046236431937741,23.76568882196834,Michigan,Michigan_vs_rest,6603,62614
amazing,917,522,1439,0.7165636582579644,23.44175885063924,Michigan,Michigan_vs_rest,6603,62614
daughter,924,571,1495,0.6907930034612528,23.05949538649559,Michigan,Michigan_vs_rest,6603,62614
birth,817,396,1213,0.7654583703207241,22.932773921308172,Michigan,Michigan_vs_rest,6603,62614
blazette,553,42,595,1.1219967312495474,22.709791222773077,Michigan,Michigan_vs_rest,6603,62614
know,2823,6335,9158,0.2762337107902004,22.70544537364991,Michigan,Michigan_vs_rest,6603,62614
cupa,545,37,582,1.1321975228734669,22.631188564406287,Michigan,Michigan_vs_rest,6603,62614
now,3039,7237,10276,0.2592695648866261,22.549126495328704,Michigan,Michigan_vs_rest,6603,62614
