token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
alaric,54,2,56,1.3313948939557516,8.204697725235073,Minnesota,Minnesota_vs_rest,219,68998
kace,48,0,48,1.3845032603048502,7.831933151491546,Minnesota,Minnesota_vs_rest,219,68998
mindgame,24,0,24,1.384497422155686,5.537989688622744,Minnesota,Minnesota_vs_rest,219,68998
boomer,16,4,20,1.096813402498169,4.162114224111875,Minnesota,Minnesota_vs_rest,219,68998
boomers,10,13,23,0.6043354552441631,2.5076201398780587,Minnesota,Minnesota_vs_rest,219,68998
crusader,12,31,43,0.3946154055088158,2.2165441453662256,Minnesota,Minnesota_vs_rest,219,68998
minnesota,13,41,54,0.34216328160322007,2.1447422105893943,Minnesota,Minnesota_vs_rest,219,68998
archival,8,17,25,0.4501842877388622,1.9352688963784788,Minnesota,Minnesota_vs_rest,219,68998
randy,12,48,60,0.28588220040284895,1.879009559398234,Minnesota,Minnesota_vs_rest,219,68998
yumi,8,27,35,0.32541207227942337,1.6397176956482566,Minnesota,Minnesota_vs_rest,219,68998
deprivation,6,18,24,0.35487362113393317,1.4845428663708,Minnesota,Minnesota_vs_rest,219,68998
engineers,15,182,197,0.11039806871178293,1.2872273862864962,Minnesota,Minnesota_vs_rest,219,68998
mentorship,6,29,35,0.24603483788163416,1.2299398481946135,Minnesota,Minnesota_vs_rest,219,68998
cia,8,55,63,0.18334158601711614,1.2206755895790347,Minnesota,Minnesota_vs_rest,219,68998
muttered,5,22,27,0.2652612180199405,1.1670898154079308,Minnesota,Minnesota_vs_rest,219,68998
transitioning,6,34,40,0.21592215635912382,1.1500093237790814,Minnesota,Minnesota_vs_rest,219,68998
gpus,7,48,55,0.18375148904900485,1.1431503459572552,Minnesota,Minnesota_vs_rest,219,68998
aim,26,703,729,0.051240924698333856,1.1392985686112937,Minnesota,Minnesota_vs_rest,219,68998
businesses,16,271,287,0.08072205950728062,1.1311731077614933,Minnesota,Minnesota_vs_rest,219,68998
owners,13,182,195,0.0966404048530567,1.1188790707388199,Minnesota,Minnesota_vs_rest,219,68998
methodologies,7,62,69,0.1468821052234155,1.0186527448587028,Minnesota,Minnesota_vs_rest,219,68998
entrepreneurs,6,45,51,0.17004892622274959,1.0169537985972144,Minnesota,Minnesota_vs_rest,219,68998
highstakes,4,19,23,0.24951261867573926,1.0115200511680342,Minnesota,Minnesota_vs_rest,219,68998
sins,7,71,78,0.13005103605038038,0.956772060661357,Minnesota,Minnesota_vs_rest,219,68998
glucose,6,54,60,0.14480214085491383,0.9361881156262087,Minnesota,Minnesota_vs_rest,219,68998
sale,13,265,278,0.06756143557626437,0.9299556836249966,Minnesota,Minnesota_vs_rest,219,68998
odds,10,161,171,0.08470885130687478,0.9168080950088834,Minnesota,Minnesota_vs_rest,219,68998
responded,10,162,172,0.08421248276522064,0.9140302058778852,Minnesota,Minnesota_vs_rest,219,68998
business,45,3087,3132,0.019682684315110777,0.9025716929697128,Minnesota,Minnesota_vs_rest,219,68998
marginal,5,40,45,0.16071735700188583,0.901758744845026,Minnesota,Minnesota_vs_rest,219,68998
transition,15,419,434,0.049611270114230166,0.8508882758210864,Minnesota,Minnesota_vs_rest,219,68998
replied,10,192,202,0.07158214526673312,0.8403968947829494,Minnesota,Minnesota_vs_rest,219,68998
buyers,8,124,132,0.0878112913896576,0.835385189953999,Minnesota,Minnesota_vs_rest,219,68998
successors,4,31,35,0.16525227154634514,0.8181954493981209,Minnesota,Minnesota_vs_rest,219,68998
itinerary,3,17,20,0.21592143157130117,0.8131766616654494,Minnesota,Minnesota_vs_rest,219,68998
overdose,3,17,20,0.21592143157130117,0.8131766616654494,Minnesota,Minnesota_vs_rest,219,68998
