token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
garfield,525,108,633,1.1162098118242163,23.72721344474294,Missouri,Missouri_vs_rest,1501,67166
jon,239,27,266,1.2140786839268003,16.531980625946655,Missouri,Missouri_vs_rest,1501,67166
parsercheck,102,0,102,1.3628074698195949,11.237998290893884,Missouri,Missouri_vs_rest,1501,67166
tokensthe,83,0,83,1.3628029380996995,10.13739754216151,Missouri,Missouri_vs_rest,1501,67166
voicedportrayed,78,0,78,1.3628017455475927,9.827303143727347,Missouri,Missouri_vs_rest,1501,67166
beatrice,74,10,84,1.1889538236041055,9.127612359942871,Missouri,Missouri_vs_rest,1501,67166
benedick,79,19,98,1.0836305288864008,9.094673881464171,Missouri,Missouri_vs_rest,1501,67166
printfnscrape,65,0,65,1.3627986449233553,8.971038941294022,Missouri,Missouri_vs_rest,1501,67166
lightradius,56,0,56,1.3627964983468477,8.326824147326922,Missouri,Missouri_vs_rest,1501,67166
queryadded,56,0,56,1.3627964983468477,8.326824147326922,Missouri,Missouri_vs_rest,1501,67166
sequences,95,80,175,0.7268167287703893,8.323332329991821,Missouri,Missouri_vs_rest,1501,67166
idpsstagesetup,52,0,52,1.3627955443153414,8.023922904726794,Missouri,Missouri_vs_rest,1501,67166
callbacksaddscript,52,0,52,1.3627955443153414,8.023922904726794,Missouri,Missouri_vs_rest,1501,67166
isvalidobj,51,0,51,1.3627953058077047,7.946393870685716,Missouri,Missouri_vs_rest,1501,67166
actorsactresses,52,2,54,1.307735759510546,7.916066581524455,Missouri,Missouri_vs_rest,1501,67166
tokens,178,484,662,0.3590455687488827,7.904818467641311,Missouri,Missouri_vs_rest,1501,67166
voiced,65,35,100,0.8703220264611513,7.499429105502017,Missouri,Missouri_vs_rest,1501,67166
query,126,276,402,0.4196139582764715,7.229496980626173,Missouri,Missouri_vs_rest,1501,67166
odie,42,0,42,1.3627931592432994,7.21122357555563,Missouri,Missouri_vs_rest,1501,67166
printfrandomrandint,38,0,38,1.3627922052171701,6.859237012711436,Missouri,Missouri_vs_rest,1501,67166
dustie,38,0,38,1.3627922052171701,6.859237012711436,Missouri,Missouri_vs_rest,1501,67166
transcript,94,158,252,0.4999393946388846,6.848357761328618,Missouri,Missouri_vs_rest,1501,67166
lxml,37,0,37,1.362791966710878,6.768380995367258,Missouri,Missouri_vs_rest,1501,67166
xnewr,37,0,37,1.362791966710878,6.768380995367258,Missouri,Missouri_vs_rest,1501,67166
playersize,36,0,36,1.362791728204682,6.676288719574258,Missouri,Missouri_vs_rest,1501,67166
webbrowseropennewtaburl,36,0,36,1.362791728204682,6.676288719574258,Missouri,Missouri_vs_rest,1501,67166
sophomore,42,11,53,1.0646397450002656,6.583485792074061,Missouri,Missouri_vs_rest,1501,67166
printadd,35,0,35,1.3627914896985835,6.582908301240973,Missouri,Missouri_vs_rest,1501,67166
parserchange,35,0,35,1.3627914896985835,6.582908301240973,Missouri,Missouri_vs_rest,1501,67166
printterminating,34,0,34,1.3627912511925775,6.488184122290769,Missouri,Missouri_vs_rest,1501,67166
ynn,34,0,34,1.3627912511925775,6.488184122290769,Missouri,Missouri_vs_rest,1501,67166
