token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
lencodestring,39,0,39,1.382575642126481,7.049780178221001,Nebraska,Nebraska_vs_rest,329,68338
redim,39,1,40,1.3453042467242327,6.989327071296834,Nebraska,Nebraska_vs_rest,329,68338
vbs,38,3,41,1.2746864350134235,6.776269847360705,Nebraska,Nebraska_vs_rest,329,68338
nebraska,54,41,95,0.7807235063066891,6.583205525659857,Nebraska,Nebraska_vs_rest,329,68338
codestring,26,0,26,1.382572479407088,5.75610824435865,Nebraska,Nebraska_vs_rest,329,68338
dim,66,172,238,0.39030546816999134,5.156847043542292,Nebraska,Nebraska_vs_rest,329,68338
filehandlewriteline,20,0,20,1.382571019696078,5.048435565603074,Nebraska,Nebraska_vs_rest,329,68338
rnd,20,0,20,1.382571019696078,5.048435565603074,Nebraska,Nebraska_vs_rest,329,68338
mimi,23,6,29,1.08532022244931,4.96402503208618,Nebraska,Nebraska_vs_rest,329,68338
tbi,14,8,22,0.8717439313745974,3.526377831815517,Nebraska,Nebraska_vs_rest,329,68338
tornado,25,50,75,0.4662814739687704,3.4754569081432307,Nebraska,Nebraska_vs_rest,329,68338
microbiome,15,13,28,0.737050663824709,3.376632955364593,Nebraska,Nebraska_vs_rest,329,68338
fats,11,12,23,0.6604341054295553,2.7427007663327063,Nebraska,Nebraska_vs_rest,329,68338
legislature,22,73,95,0.32763423688479243,2.720911522400137,Nebraska,Nebraska_vs_rest,329,68338
pandemic,34,205,239,0.20307435381356953,2.640391407142043,Nebraska,Nebraska_vs_rest,329,68338
wick,10,11,21,0.6576727013099841,2.6097287914555674,Nebraska,Nebraska_vs_rest,329,68338
gut,21,74,95,0.3131155137799446,2.596895673552911,Nebraska,Nebraska_vs_rest,329,68338
hiddensize,14,29,43,0.455807510672976,2.5709302719692753,Nebraska,Nebraska_vs_rest,329,68338
outputsize,12,21,33,0.507100323338582,2.5123458657583804,Nebraska,Nebraska_vs_rest,329,68338
tesla,18,82,100,0.25610124027540415,2.166844529903189,Nebraska,Nebraska_vs_rest,329,68338
replicating,8,13,21,0.5303562172139547,2.098146684453984,Nebraska,Nebraska_vs_rest,329,68338
warns,9,20,29,0.43518701250021685,2.013289080403281,Nebraska,Nebraska_vs_rest,329,68338
stock,33,406,439,0.10706911432670374,1.8632480548889225,Nebraska,Nebraska_vs_rest,329,68338
beep,8,20,28,0.40173883514815323,1.8221160853693508,Nebraska,Nebraska_vs_rest,329,68338
earnings,14,72,86,0.23199748875700266,1.8155239166046482,Nebraska,Nebraska_vs_rest,329,68338
segregation,14,77,91,0.21941870352004855,1.7637686195214524,Nebraska,Nebraska_vs_rest,329,68338
warning,25,260,285,0.12521140092281335,1.760110425467273,Nebraska,Nebraska_vs_rest,329,68338
materialist,6,14,20,0.4211564380744406,1.6165679018272543,Nebraska,Nebraska_vs_rest,329,68338
malware,9,36,45,0.2839560330769828,1.616306075764877,Nebraska,Nebraska_vs_rest,329,68338
housing,22,241,263,0.1193370919267327,1.6101808125049812,Nebraska,Nebraska_vs_rest,329,68338
debt,21,221,242,0.12385092664191966,1.6039813699208674,Nebraska,Nebraska_vs_rest,329,68338
filename,25,331,356,0.0998899380116125,1.5637847502117201,Nebraska,Nebraska_vs_rest,329,68338
inputsize,6,16,22,0.3840387739052922,1.5419628860736763,Nebraska,Nebraska_vs_rest,329,68338
racial,17,159,176,0.13798267002346876,1.5268931305743958,Nebraska,Nebraska_vs_rest,329,68338
economically,10,56,66,0.21613366790005806,1.4790284911512852,Nebraska,Nebraska_vs_rest,329,68338
emergency,28,479,507,0.0780358876777072,1.4532660110479034,Nebraska,Nebraska_vs_rest,329,68338
counties,7,31,38,0.26197664281943034,1.3672280161674633,Nebraska,Nebraska_vs_rest,329,68338
discuss,41,1171,1212,0.04660871741939765,1.3356503170084177,Nebraska,Nebraska_vs_rest,329,68338
jackson,15,166,181,0.11821240140383082,1.3229879789978625,Nebraska,Nebraska_vs_rest,329,68338
neural,19,289,308,0.08746647826957776,1.2713545944013736,Nebraska,Nebraska_vs_rest,329,68338
retained,9,66,75,0.1714780314639519,1.2441319110379532,Nebraska,Nebraska_vs_rest,329,68338
equity,14,164,178,0.11210691500654413,1.2431554565446141,Nebraska,Nebraska_vs_rest,329,68338
alert,14,165,179,0.11147081096681788,1.239458224579877,Nebraska,Nebraska_vs_rest,329,68338
economy,24,493,517,0.06513818269817229,1.222613138394428,Nebraska,Nebraska_vs_rest,329,68338
racism,10,88,98,0.1458059063603674,1.2052296341395068,Nebraska,Nebraska_vs_rest,329,68338
vitamins,5,21,26,0.2732597799156782,1.181022546760428,Nebraska,Nebraska_vs_rest,329,68338
