token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
macbeth,51,9,60,1.1604596642000207,7.569720285559356,Nevada,Nevada_vs_rest,686,67981
congruent,30,4,34,1.2063278111201523,5.890430547971782,Nevada,Nevada_vs_rest,686,67981
angle,95,281,376,0.35222034255096624,5.833819981339564,Nevada,Nevada_vs_rest,686,67981
krabs,54,84,138,0.5398545854052799,5.477769146727035,Nevada,Nevada_vs_rest,686,67981
movs,22,0,22,1.378176135588367,5.278012765900709,Nevada,Nevada_vs_rest,686,67981
parallelogram,20,0,20,1.3781756511552157,5.032385948947216,Nevada,Nevada_vs_rest,686,67981
triangle,58,132,190,0.42391470147684274,5.0175860207630905,Nevada,Nevada_vs_rest,686,67981
wilson,76,283,359,0.29579938933806105,4.763230124392557,Nevada,Nevada_vs_rest,686,67981
trapezoid,15,5,20,1.021499489534774,3.9009156109598773,Nevada,Nevada_vs_rest,686,67981
duncan,19,15,34,0.7634998240210074,3.8525193633446575,Nevada,Nevada_vs_rest,686,67981
rifts,15,6,21,0.9727093240452316,3.820726377108516,Nevada,Nevada_vs_rest,686,67981
angles,41,130,171,0.33450939560055915,3.730790105700641,Nevada,Nevada_vs_rest,686,67981
speaker,60,301,361,0.23240504023600472,3.7282184970595695,Nevada,Nevada_vs_rest,686,67981
isometric,15,8,23,0.8886262041944679,3.6717002207445963,Nevada,Nevada_vs_rest,686,67981
degrees,47,224,271,0.24252833525273765,3.3746860199569455,Nevada,Nevada_vs_rest,686,67981
pdf,41,172,213,0.26912426300360615,3.3292748305443305,Nevada,Nevada_vs_rest,686,67981
witches,24,57,81,0.4117360292354668,3.179434832206228,Nevada,Nevada_vs_rest,686,67981
topic,125,1892,2017,0.08350979881040921,3.1064647463332977,Nevada,Nevada_vs_rest,686,67981
starved,12,9,21,0.7803367007888653,3.093352095930553,Nevada,Nevada_vs_rest,686,67981
triangles,18,33,51,0.4883176483565137,3.0055287970525315,Nevada,Nevada_vs_rest,686,67981
spongebob,74,972,1046,0.09626203269891498,2.5834386390783757,Nevada,Nevada_vs_rest,686,67981
dungeon,15,37,52,0.40108346032862485,2.4797326404628395,Nevada,Nevada_vs_rest,686,67981
midpoint,11,17,28,0.5419254245657079,2.477070937241726,Nevada,Nevada_vs_rest,686,67981
panel,32,199,231,0.19339993811245293,2.4705964639723543,Nevada,Nevada_vs_rest,686,67981
littlegpt,21,84,105,0.2795634938327147,2.430755948166526,Nevada,Nevada_vs_rest,686,67981
prompt,452,29652,30104,0.014385754632164627,2.045497384535461,Nevada,Nevada_vs_rest,686,67981
negative,54,822,876,0.08301384126806255,2.034923780481006,Nevada,Nevada_vs_rest,686,67981
plankton,11,33,44,0.3485540104607576,1.9742849087325054,Nevada,Nevada_vs_rest,686,67981
description,363,22837,23200,0.015313873122564381,1.9118297877156447,Nevada,Nevada_vs_rest,686,67981
line,150,6106,6256,0.027659723198207864,1.7967045558981376,Nevada,Nevada_vs_rest,686,67981
parallel,25,235,260,0.13296078923340815,1.7881391525879484,Nevada,Nevada_vs_rest,686,67981
detailed,349,23025,23374,0.014245091771747376,1.7847492946833903,Nevada,Nevada_vs_rest,686,67981
traveling,20,155,175,0.158935170106826,1.759602761937557,Nevada,Nevada_vs_rest,686,67981
shown,54,1120,1174,0.060125039947953596,1.7004215187427514,Nevada,Nevada_vs_rest,686,67981
listings,9,31,40,0.3141661863584222,1.6915935929196348,Nevada,Nevada_vs_rest,686,67981
equ,7,18,25,0.3895610851278679,1.6686073495674916,Nevada,Nevada_vs_rest,686,67981
prompts,251,15236,15487,0.016131013447774123,1.6455987834806787,Nevada,Nevada_vs_rest,686,67981
prime,26,323,349,0.10169718306469022,1.577741514156154,Nevada,Nevada_vs_rest,686,67981
intersect,7,21,28,0.34855305743920084,1.5749302178536524,Nevada,Nevada_vs_rest,686,67981
plane,23,268,291,0.1082723562776593,1.5352573822161755,Nevada,Nevada_vs_rest,686,67981
dwarves,7,23,30,0.3256512905116562,1.5200936530590983,Nevada,Nevada_vs_rest,686,67981
lines,98,3815,3913,0.029232826709843174,1.5021563863049094,Nevada,Nevada_vs_rest,686,67981
perpendicular,7,24,31,0.31527826459303654,1.4946024854359232,Nevada,Nevada_vs_rest,686,67981
lengths,19,200,219,0.11942771812917918,1.4713565931761436,Nevada,Nevada_vs_rest,686,67981
advisory,10,56,66,0.21173827005077683,1.44895025895269,Nevada,Nevada_vs_rest,686,67981
style,224,14733,14957,0.014292866847521957,1.432490539878434,Nevada,Nevada_vs_rest,686,67981
imagine,199,12439,12638,0.015435999234530762,1.4223435447148187,Nevada,Nevada_vs_rest,686,67981
krusty,9,47,56,0.22468402582935454,1.4183808094091417,Nevada,Nevada_vs_rest,686,67981
abc,15,136,151,0.13753265257230218,1.4104305642637909,Nevada,Nevada_vs_rest,686,67981
ambition,14,121,135,0.14379571902306232,1.395505530618098,Nevada,Nevada_vs_rest,686,67981
labeled,13,108,121,0.14914442889633328,1.3712728053652858,Nevada,Nevada_vs_rest,686,67981
xyz,7,31,38,0.257581266029149,1.3442890158634286,Nevada,Nevada_vs_rest,686,67981
relation,20,265,285,0.09542161918415992,1.3365800939485026,Nevada,Nevada_vs_rest,686,67981
coordinate,16,173,189,0.1163930406643523,1.3315782728866516,Nevada,Nevada_vs_rest,686,67981
point,86,3610,3696,0.026596740600262514,1.3277074897430137,Nevada,Nevada_vs_rest,686,67981
structure,163,10069,10232,0.01570462836242381,1.302140158635577,Nevada,Nevada_vs_rest,686,67981
scenes,151,8987,9138,0.01658707216165034,1.2998912455336578,Nevada,Nevada_vs_rest,686,67981
