token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
dvd,78,54,132,0.8138742488573083,8.08306058626792,New Hampshire,New Hampshire_vs_rest,344,68873
rio,38,12,50,1.0427060840563858,6.288592579417154,New Hampshire,New Hampshire_vs_rest,344,68873
hampton,30,25,55,0.7531263267847983,4.834820040432246,New Hampshire,New Hampshire_vs_rest,344,68873
usa,97,666,763,0.1847201679395063,4.280128013459648,New Hampshire,New Hampshire_vs_rest,344,68873
released,77,695,772,0.14559749045107928,3.3763970641278997,New Hampshire,New Hampshire_vs_rest,344,68873
date,100,1785,1885,0.07794582512132031,2.7976272003918896,New Hampshire,New Hampshire_vs_rest,344,68873
despicable,11,13,24,0.6369272279033797,2.7012106346297804,New Hampshire,New Hampshire_vs_rest,344,68873
nut,12,27,39,0.4346682118124576,2.3314279864945364,New Hampshire,New Hampshire_vs_rest,344,68873
tangled,11,42,53,0.297503267754756,1.8396913562141648,New Hampshire,New Hampshire_vs_rest,344,68873
credits,18,132,150,0.17455567973111918,1.7910467529248533,New Hampshire,New Hampshire_vs_rest,344,68873
release,40,923,963,0.06104137128996001,1.561966881422284,New Hampshire,New Hampshire_vs_rest,344,68873
production,41,1046,1087,0.05542099083363361,1.5053894361542912,New Hampshire,New Hampshire_vs_rest,344,68873
gabba,6,21,27,0.31780241110038787,1.4053751401203527,New Hampshire,New Hampshire_vs_rest,344,68873
toy,20,363,383,0.0767101957739218,1.2408377958236356,New Hampshire,New Hampshire_vs_rest,344,68873
commerce,12,133,145,0.12112200158202668,1.2132509352384686,New Hampshire,New Hampshire_vs_rest,344,68873
singing,16,243,259,0.09066925046084151,1.2085586237066286,New Hampshire,New Hampshire_vs_rest,344,68873
sesame,5,24,29,0.24856422775429543,1.1312442743869777,New Hampshire,New Hampshire_vs_rest,344,68873
chamber,21,491,512,0.06027010031526103,1.124398810500511,New Hampshire,New Hampshire_vs_rest,344,68873
madagascar,4,19,23,0.2506626214065957,1.0161821433192573,New Hampshire,New Hampshire_vs_rest,344,68873
dinosaur,8,85,93,0.12583330739288456,1.0100995976697125,New Hampshire,New Hampshire_vs_rest,344,68873
birds,12,198,210,0.08390751053036638,1.0060906898537902,New Hampshire,New Hampshire_vs_rest,344,68873
dues,4,20,24,0.24051024983669578,0.9948845696630402,New Hampshire,New Hampshire_vs_rest,344,68873
loud,19,542,561,0.04973805591964009,0.9697247972470004,New Hampshire,New Hampshire_vs_rest,344,68873
studios,8,102,110,0.10659468884001022,0.9280845230993933,New Hampshire,New Hampshire_vs_rest,344,68873
lists,14,344,358,0.05745822499075892,0.8959630322494494,New Hampshire,New Hampshire_vs_rest,344,68873
wii,4,26,30,0.19350420682547131,0.890025866194852,New Hampshire,New Hampshire_vs_rest,344,68873
packet,6,74,80,0.1098905487740609,0.8163272750798803,New Hampshire,New Hampshire_vs_rest,344,68873
movie,22,1148,1170,0.02742746227616344,0.7695324032193225,New Hampshire,New Hampshire_vs_rest,344,68873
rated,6,93,99,0.08896083105362251,0.7329356909720561,New Hampshire,New Hampshire_vs_rest,344,68873
awards,6,93,99,0.08896083105362251,0.7329356909720561,New Hampshire,New Hampshire_vs_rest,344,68873
relocate,3,22,25,0.17455203829927868,0.731176521522709,New Hampshire,New Hampshire_vs_rest,344,68873
patrol,5,65,70,0.10470894744855386,0.7270623613042423,New Hampshire,New Hampshire_vs_rest,344,68873
lola,5,75,80,0.09172175086330014,0.6795822506183825,New Hampshire,New Hampshire_vs_rest,344,68873
frozen,9,253,262,0.050448486840657836,0.6722412087150588,New Hampshire,New Hampshire_vs_rest,344,68873
