token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
necklace,3341,1337,4678,0.9281370287769777,54.41257590803377,New Jersey,New Jersey_vs_rest,1557,67660
jewelry,3139,3203,6342,0.633789433859989,43.71055170328631,New Jersey,New Jersey_vs_rest,1557,67660
brooch,1952,631,2583,0.9845732811396974,42.700877259760965,New Jersey,New Jersey_vs_rest,1557,67660
ring,2676,2199,4875,0.7056724359047921,42.64714663274441,New Jersey,New Jersey_vs_rest,1557,67660
women,3588,7567,11155,0.4016530785332222,36.477472488379135,New Jersey,New Jersey_vs_rest,1557,67660
pendant,1784,1465,3249,0.7056979401554795,34.817021930309856,New Jersey,New Jersey_vs_rest,1557,67660
pin,1322,834,2156,0.7913011455581289,31.729057507002704,New Jersey,New Jersey_vs_rest,1557,67660
gift,1679,2286,3965,0.5380388186983387,29.302160261740443,New Jersey,New Jersey_vs_rest,1557,67660
rings,1271,1098,2369,0.688797088706206,29.025235877437577,New Jersey,New Jersey_vs_rest,1557,67660
chain,1284,1558,2842,0.5758060194900008,26.57017939086071,New Jersey,New Jersey_vs_rest,1557,67660
wedding,947,827,1774,0.6851339904161939,24.984607192655677,New Jersey,New Jersey_vs_rest,1557,67660
brooches,568,150,718,1.0330489394419047,23.516809090808582,New Jersey,New Jersey_vs_rest,1557,67660
fashion,1018,1263,2281,0.5684065520731902,23.49491184322447,New Jersey,New Jersey_vs_rest,1557,67660
choker,551,144,695,1.0354278663434293,23.184985084464778,New Jersey,New Jersey_vs_rest,1557,67660
enamel,578,231,809,0.9278727934164053,22.620825668191472,New Jersey,New Jersey_vs_rest,1557,67660
badge,577,235,812,0.922605231816231,22.542482165776907,New Jersey,New Jersey_vs_rest,1557,67660
pins,566,395,961,0.7587120239683642,20.33311930357734,New Jersey,New Jersey_vs_rest,1557,67660
finger,553,403,956,0.7446411599672533,19.911859211124543,New Jersey,New Jersey_vs_rest,1557,67660
crystal,680,770,1450,0.5985840954441262,19.735440926730426,New Jersey,New Jersey_vs_rest,1557,67660
tape,435,183,618,0.9134553069474869,19.483316341072065,New Jersey,New Jersey_vs_rest,1557,67660
necklaces,381,122,503,0.9866112038492609,18.878503476806213,New Jersey,New Jersey_vs_rest,1557,67660
lapel,393,154,547,0.933280276694445,18.701684800820907,New Jersey,New Jersey_vs_rest,1557,67660
stickers,352,98,450,1.0207326188325787,18.41715624699864,New Jersey,New Jersey_vs_rest,1557,67660
gifts,555,633,1188,0.5961635714974349,17.79099566123908,New Jersey,New Jersey_vs_rest,1557,67660
silver,751,1389,2140,0.4405683315832922,17.56287609707358,New Jersey,New Jersey_vs_rest,1557,67660
stationery,284,39,323,1.1567686759679177,17.419402817000165,New Jersey,New Jersey_vs_rest,1557,67660
