token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
spells,1012,248,1260,1.009911505697496,30.40480723956265,New York,New York_vs_rest,5068,64149
shortest,889,202,1091,1.0261404205423457,28.698926373886753,New York,New York_vs_rest,5068,64149
selfcurrenttoken,704,0,704,1.2931178354017572,28.01423721739626,New York,New York_vs_rest,5068,64149
mishaali,646,7,653,1.2770678676729368,26.716114927908432,New York,New York_vs_rest,5068,64149
stats,672,129,801,1.0598334619428602,25.304839647194985,New York,New York_vs_rest,5068,64149
cassy,784,317,1101,0.8846640610702696,25.166214303833506,New York,New York_vs_rest,5068,64149
kareen,564,4,568,1.2825418111822788,25.001033655161432,New York,New York_vs_rest,5068,64149
spell,739,330,1069,0.8564370587812267,24.05215764525858,New York,New York_vs_rest,5068,64149
path,1068,1176,2244,0.5679455394215474,23.296616815269566,New York,New York_vs_rest,5068,64149
lily,702,371,1073,0.8063480558208376,22.753322902680104,New York,New York_vs_rest,5068,64149
mul,390,19,409,1.224138479921482,20.43635991651199,New York,New York_vs_rest,5068,64149
leaf,550,391,941,0.7126961237741369,18.903398590938604,New York,New York_vs_rest,5068,64149
duel,347,56,403,1.0909136372776604,18.408321677832948,New York,New York_vs_rest,5068,64149
cast,620,624,1244,0.5977990838762004,18.259791640731468,New York,New York_vs_rest,5068,64149
selfnexttoken,293,0,293,1.2930266824071683,18.071560980633784,New York,New York_vs_rest,5068,64149
nondet,268,0,268,1.2930211382919552,17.28332880689197,New York,New York_vs_rest,5068,64149
int,1239,3211,4450,0.30243339734803776,17.28024172356591,New York,New York_vs_rest,5068,64149
quickcheck,255,0,255,1.293018255373381,16.858895440802158,New York,New York_vs_rest,5068,64149
counterexample,243,5,248,1.2629229780328117,16.318919643116857,New York,New York_vs_rest,5068,64149
evalintexpr,238,0,238,1.2930144854249654,16.287192869766756,New York,New York_vs_rest,5068,64149
jannet,235,0,235,1.2930138201425425,16.184208634421157,New York,New York_vs_rest,5068,64149
length,750,1416,2166,0.39425123050057564,15.806646999464261,New York,New York_vs_rest,5068,64149
scp,825,1775,2600,0.35516595126263084,15.566943164378033,New York,New York_vs_rest,5068,64149
def,811,1882,2693,0.333264769900687,14.845273385130275,New York,New York_vs_rest,5068,64149
pmatrix,192,0,192,1.2930042845132412,14.628673562921165,New York,New York_vs_rest,5068,64149
points,817,2033,2850,0.3135794761227846,14.35037962294701,New York,New York_vs_rest,5068,64149
reply,471,662,1133,0.4874045779587064,14.185623534409936,New York,New York_vs_rest,5068,64149
melissa,205,41,246,1.0518444979089914,13.930046878053723,New York,New York_vs_rest,5068,64149
evalmaybeexpr,165,0,165,1.2929982971067027,13.561080546744483,New York,New York_vs_rest,5068,64149
britannia,178,18,196,1.1581335127802888,13.511782746064663,New York,New York_vs_rest,5068,64149
fiona,191,42,233,1.0328186121649594,13.339352309453261,New York,New York_vs_rest,5068,64149
redacted,306,272,578,0.6390990343963896,13.303907301946008,New York,New York_vs_rest,5068,64149
match,464,763,1227,0.4370914603626783,13.215626461689993,New York,New York_vs_rest,5068,64149
regress,182,34,216,1.064845465746279,13.19503733516352,New York,New York_vs_rest,5068,64149
