token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
llama,223,31,254,1.179945011245211,15.76035161042869,North Carolina,North Carolina_vs_rest,1989,67228
numsteps,122,11,133,1.2363441115015785,11.860534281359127,North Carolina,North Carolina_vs_rest,1989,67228
shapka,108,0,108,1.3580377803447377,11.523332683071493,North Carolina,North Carolina_vs_rest,1989,67228
classlcstyledtexttext,106,0,106,1.3580373065755413,11.416132578107783,North Carolina,North Carolina_vs_rest,1989,67228
nbsp,97,0,97,1.358035174618852,10.92071960216601,North Carolina,North Carolina_vs_rest,1989,67228
latticesize,91,0,91,1.3580337533186668,10.577563249283946,North Carolina,North Carolina_vs_rest,1989,67228
freddy,127,65,192,0.881009821515498,10.510694456897207,North Carolina,North Carolina_vs_rest,1989,67228
classlcstyledtextdiv,89,0,89,1.3580332795526981,10.46067686035553,North Carolina,North Carolina_vs_rest,1989,67228
efg,89,2,91,1.3252434475889512,10.377483915663179,North Carolina,North Carolina_vs_rest,1989,67228
datalognode,86,0,86,1.3580325689044574,10.282856652560145,North Carolina,North Carolina_vs_rest,1989,67228
classlink,87,2,89,1.32451010460756,10.258330223762517,North Carolina,North Carolina_vs_rest,1989,67228
lclink,83,0,83,1.3580318582570712,10.101907206972214,North Carolina,North Carolina_vs_rest,1989,67228
displacement,97,32,129,1.0040184821034916,9.735390637942617,North Carolina,North Carolina_vs_rest,1989,67228
addicts,79,3,82,1.3036368249504946,9.723250333368757,North Carolina,North Carolina_vs_rest,1989,67228
pxdiv,71,1,72,1.3372670196565952,9.296526405148196,North Carolina,North Carolina_vs_rest,1989,67228
shapkamob,70,0,70,1.3580287787949405,9.277102690045329,North Carolina,North Carolina_vs_rest,1989,67228
ydirection,69,0,69,1.3580285419139049,9.210597697762568,North Carolina,North Carolina_vs_rest,1989,67228
xdirection,67,0,67,1.3580280681521142,9.076126033742241,North Carolina,North Carolina_vs_rest,1989,67228
lcnavigationmenulink,67,0,67,1.3580280681521142,9.076126033742241,North Carolina,North Carolina_vs_rest,1989,67228
dataclickabletrue,67,0,67,1.3580280681521142,9.076126033742241,North Carolina,North Carolina_vs_rest,1989,67228
maxwidth,87,37,124,0.9353392246110488,8.938236530863138,North Carolina,North Carolina_vs_rest,1989,67228
numstepsa,64,0,64,1.3580273575101405,8.870597553706755,North Carolina,North Carolina_vs_rest,1989,67228
squared,95,62,157,0.8052445946344324,8.716450987311482,North Carolina,North Carolina_vs_rest,1989,67228
addiction,115,119,234,0.6534955794795092,8.65713448756902,North Carolina,North Carolina_vs_rest,1989,67228
hoa,81,34,115,0.9390524018138997,8.639755456071098,North Carolina,North Carolina_vs_rest,1989,67228
zeros,73,21,94,1.037943896941382,8.565574193193095,North Carolina,North Carolina_vs_rest,1989,67228
lctextblocksizes,57,0,57,1.358025699348861,8.371432637457856,North Carolina,North Carolina_vs_rest,1989,67228
sasuke,69,19,88,1.0482982453887253,8.362278175791023,North Carolina,North Carolina_vs_rest,1989,67228
cam,76,36,112,0.9041125440370283,8.227400495220374,North Carolina,North Carolina_vs_rest,1989,67228
lpcsection,53,0,53,1.358024751830218,8.07235013317794,North Carolina,North Carolina_vs_rest,1989,67228
chica,57,6,63,1.2182637295442351,8.063536957443459,North Carolina,North Carolina_vs_rest,1989,67228
classlcsection,52,0,52,1.3580245149507952,7.995831844437526,North Carolina,North Carolina_vs_rest,1989,67228
numwalks,49,0,49,1.3580238043130954,7.76175255128074,North Carolina,North Carolina_vs_rest,1989,67228
minwidth,53,6,59,1.2089891452393644,7.753565465264109,North Carolina,North Carolina_vs_rest,1989,67228
oblozhkaskartinkoj,47,0,47,1.3580233305551044,7.60169657456382,North Carolina,North Carolina_vs_rest,1989,67228
foxy,77,61,138,0.7422161809849843,7.545291379049847,North Carolina,North Carolina_vs_rest,1989,67228
xmin,47,1,48,1.3269327389131238,7.544448634088511,North Carolina,North Carolina_vs_rest,1989,67228
ymin,47,1,48,1.3269327389131238,7.544448634088511,North Carolina,North Carolina_vs_rest,1989,67228
ymax,47,3,50,1.2692952012305714,7.430889624956994,North Carolina,North Carolina_vs_rest,1989,67228
bonnie,70,48,118,0.7893355532945119,7.411276263941133,North Carolina,North Carolina_vs_rest,1989,67228
plaintiff,78,70,148,0.700923109811125,7.383484380128344,North Carolina,North Carolina_vs_rest,1989,67228
classlcoffsets,44,0,44,1.3580226199188274,7.355085279056599,North Carolina,North Carolina_vs_rest,1989,67228
handyman,48,6,54,1.1955046105047913,7.34800527029836,North Carolina,North Carolina_vs_rest,1989,67228
lcsectionisexpanded,41,0,41,1.3580219092834067,7.099913790549089,North Carolina,North Carolina_vs_rest,1989,67228
important,384,2747,3131,0.15076641075875408,7.07098458132864,North Carolina,North Carolina_vs_rest,1989,67228
alli,46,8,54,1.1429116774833794,7.0705143419491545,North Carolina,North Carolina_vs_rest,1989,67228
urlhttpsavatarsmdsyandexnetgetlpc,40,0,40,1.3580216724051244,7.0127937613517215,North Carolina,North Carolina_vs_rest,1989,67228
xmax,43,5,48,1.20544277258454,6.976281272541203,North Carolina,North Carolina_vs_rest,1989,67228
names,244,1219,1463,0.21309191061381583,6.882248031635869,North Carolina,North Carolina_vs_rest,1989,67228
walker,69,65,134,0.6847822185450294,6.864580547257096,North Carolina,North Carolina_vs_rest,1989,67228
width,183,709,892,0.26659735569285914,6.761027166621258,North Carolina,North Carolina_vs_rest,1989,67228
easeout,38,2,40,1.2839132173505483,6.7083697711490995,North Carolina,North Carolina_vs_rest,1989,67228
xlim,37,2,39,1.282035045648275,6.6161553005073515,North Carolina,North Carolina_vs_rest,1989,67228
ffffff,49,24,73,0.8941865802576583,6.5731247211875,North Carolina,North Carolina_vs_rest,1989,67228
npts,35,0,35,1.3580204880151303,6.559862173623765,North Carolina,North Carolina_vs_rest,1989,67228
rnaruto,35,0,35,1.3580204880151303,6.559862173623765,North Carolina,North Carolina_vs_rest,1989,67228
classlcbackgroundempty,35,0,35,1.3580204880151303,6.559862173623765,North Carolina,North Carolina_vs_rest,1989,67228
lctextblockfonttext,34,0,34,1.3580202511374182,6.465469618673106,North Carolina,North Carolina_vs_rest,1989,67228
