token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
validation,1724,136,1860,1.2397285230642856,44.388836623678266,Ohio,Ohio_vs_rest,2683,65984
cross,1716,695,2411,0.9386038461144102,39.513095767963236,Ohio,Ohio_vs_rest,2683,65984
series,1906,1723,3629,0.6880482650430162,35.89067759325631,Ohio,Ohio_vs_rest,2683,65984
runtimewarning,703,0,703,1.3473024194142056,29.167360044858803,Ohio,Ohio_vs_rest,2683,65984
libpython,720,38,758,1.2730049070896126,28.95533530534407,Ohio,Ohio_vs_rest,2683,65984
doublescalars,687,0,687,1.3472986619971437,28.833450496873184,Ohio,Ohio_vs_rest,2683,65984
sitepackagesstatsforecastetspy,687,0,687,1.3472986619971437,28.833450496873184,Ohio,Ohio_vs_rest,2683,65984
npsume,687,0,687,1.3472986619971437,28.833450496873184,Ohio,Ohio_vs_rest,2683,65984
sigma,688,145,833,1.095764423628907,26.734255996876346,Ohio,Ohio_vs_rest,2683,65984
divide,689,211,900,1.0119949967091344,25.877091493399902,Ohio,Ohio_vs_rest,2683,65984
encountered,689,214,903,1.0084951682180687,25.838508303024316,Ohio,Ohio_vs_rest,2683,65984
itsuserstungnguyenanaconda,550,0,550,1.3472664900975602,25.798189179822803,Ohio,Ohio_vs_rest,2683,65984
zero,708,405,1113,0.8361459796858348,24.0582899729607,Ohio,Ohio_vs_rest,2683,65984
bollywood,384,2,386,1.339465492472419,21.51485757225595,Ohio,Ohio_vs_rest,2683,65984
film,784,1025,1809,0.5652941619408836,20.80155353590319,Ohio,Ohio_vs_rest,2683,65984
ensemble,305,45,350,1.1598109664219045,18.205883490475756,Ohio,Ohio_vs_rest,2683,65984
time,2081,13981,16062,0.1500463663267384,15.958469709154153,Ohio,Ohio_vs_rest,2683,65984
ensemblehi,182,0,182,1.347180080871338,14.839378670594979,Ohio,Ohio_vs_rest,2683,65984
ensemblelo,182,0,182,1.347180080871338,14.839378670594979,Ohio,Ohio_vs_rest,2683,65984
ycl,168,0,168,1.3471767938148158,14.257179073885363,Ohio,Ohio_vs_rest,2683,65984
autoets,166,0,166,1.3471763242368144,14.172055886261518,Ohio,Ohio_vs_rest,2683,65984
uniqueid,162,3,165,1.3200243770301014,13.906180724438803,Ohio,Ohio_vs_rest,2683,65984
autoarima,155,0,155,1.347173741564518,13.694425847620048,Ohio,Ohio_vs_rest,2683,65984
ensembleforecast,148,0,148,1.3471720980516952,13.381608123137092,Ohio,Ohio_vs_rest,2683,65984
qbtn,141,0,141,1.347170454543475,13.061302153993608,Ohio,Ohio_vs_rest,2683,65984
dynamicoptimizedtheta,136,0,136,1.347169280611844,12.827617331494725,Ohio,Ohio_vs_rest,2683,65984
forecast,186,89,275,0.8902774516563596,12.696954235751749,Ohio,Ohio_vs_rest,2683,65984
forecastsdf,133,0,133,1.3471685762539938,12.685340673090503,Ohio,Ohio_vs_rest,2683,65984
autoetshi,127,0,127,1.3471671675408263,12.395890203802672,Ohio,Ohio_vs_rest,2683,65984
autoarimalo,127,0,127,1.3471671675408263,12.395890203802672,Ohio,Ohio_vs_rest,2683,65984
dynamicoptimizedthetahi,126,0,126,1.3471669327556253,12.346988886188274,Ohio,Ohio_vs_rest,2683,65984
autoarimahi,125,0,125,1.3471666979705201,12.297893153303383,Ohio,Ohio_vs_rest,2683,65984
dynamicoptimizedthetalo,117,0,117,1.3471648196930541,11.897837535058725,Ohio,Ohio_vs_rest,2683,65984
autoetslo,117,0,117,1.3471648196930541,11.897837535058725,Ohio,Ohio_vs_rest,2683,65984
bias,201,194,395,0.6658506172458623,11.460363921025913,Ohio,Ohio_vs_rest,2683,65984
distrchan,107,0,107,1.3471624718546682,11.37800801653122,Ohio,Ohio_vs_rest,2683,65984
salesorg,107,0,107,1.3471624718546682,11.37800801653122,Ohio,Ohio_vs_rest,2683,65984
weekdate,104,0,104,1.3471617675049838,11.217363388783296,Ohio,Ohio_vs_rest,2683,65984
karan,102,0,102,1.3471612979389942,11.108976652293313,Ohio,Ohio_vs_rest,2683,65984
datetimedatetime,101,0,101,1.3471610631561415,11.054384829513959,Ohio,Ohio_vs_rest,2683,65984
situserstungnguyenanaconda,100,0,100,1.347160828373383,10.999522103266303,Ohio,Ohio_vs_rest,2683,65984
colornegative,99,0,99,1.347160593590715,10.944384399543145,Ohio,Ohio_vs_rest,2683,65984
johar,96,0,96,1.347159889243283,10.777279113946264,Ohio,Ohio_vs_rest,2683,65984
statsforecast,94,0,94,1.3471594196787962,10.664421196694338,Ohio,Ohio_vs_rest,2683,65984
shorts,187,214,401,0.6091374001804724,10.561088273865042,Ohio,Ohio_vs_rest,2683,65984
films,224,354,578,0.5038163151166266,10.460268223937048,Ohio,Ohio_vs_rest,2683,65984
ces,95,8,103,1.2327492526344965,10.396558286827464,Ohio,Ohio_vs_rest,2683,65984
ceshi,86,0,86,1.3471575414246058,10.200512273471961,Ohio,Ohio_vs_rest,2683,65984
india,267,583,850,0.40492554138790204,10.145063344481569,Ohio,Ohio_vs_rest,2683,65984
materialid,85,0,85,1.347157306643254,10.141031793382632,Ohio,Ohio_vs_rest,2683,65984
crossvalidationdf,83,0,83,1.3471568370808331,10.02101186263382,Ohio,Ohio_vs_rest,2683,65984
cinema,118,60,178,0.8721062747518893,10.01689489321456,Ohio,Ohio_vs_rest,2683,65984
ceslo,79,0,79,1.3471558979571174,9.776553314219047,Ohio,Ohio_vs_rest,2683,65984
crossvalidationdfensemble,76,0,76,1.3471551936153148,9.589120946574074,Ohio,Ohio_vs_rest,2683,65984
sit,209,406,615,0.4396693825415614,9.388679527858585,Ohio,Ohio_vs_rest,2683,65984
