token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
hemp,77,12,89,1.1880484755737353,9.41441332964021,Oklahoma,Oklahoma_vs_rest,116,69101
cvat,20,0,20,1.3843145252986666,5.054801947920904,Oklahoma,Oklahoma_vs_rest,116,69101
cbd,20,15,35,0.7864775197199112,4.024927026630012,Oklahoma,Oklahoma_vs_rest,116,69101
arbitration,15,45,60,0.3546938775885611,2.346079479141297,Oklahoma,Oklahoma_vs_rest,116,69101
service,78,1853,1931,0.058036293993023236,2.102390764169426,Oklahoma,Oklahoma_vs_rest,116,69101
evilbot,15,65,80,0.2683092569548524,2.0327119459394485,Oklahoma,Oklahoma_vs_rest,116,69101
thirdparty,17,124,141,0.17403178226219573,1.7314496406696898,Oklahoma,Oklahoma_vs_rest,116,69101
guy,35,600,635,0.07962226363953384,1.6594260767138103,Oklahoma,Oklahoma_vs_rest,116,69101
midday,6,21,27,0.31647048359785224,1.3994851350885316,Oklahoma,Oklahoma_vs_rest,116,69101
opting,6,23,29,0.2952682753030569,1.350494609302965,Oklahoma,Oklahoma_vs_rest,116,69101
agree,36,987,1023,0.0503612638760611,1.3263073771695644,Oklahoma,Oklahoma_vs_rest,116,69101
filenames,7,34,41,0.24487706943396503,1.3247893064097283,Oklahoma,Oklahoma_vs_rest,116,69101
jurisdiction,7,36,43,0.23373932437939438,1.293407804109293,Oklahoma,Oklahoma_vs_rest,116,69101
middle,36,1041,1077,0.04775772710709347,1.2899881791616266,Oklahoma,Oklahoma_vs_rest,116,69101
terms,46,1733,1779,0.036567423892327255,1.2672271027108541,Oklahoma,Oklahoma_vs_rest,116,69101
unlawful,6,29,35,0.2458529138071306,1.2290304010996231,Oklahoma,Oklahoma_vs_rest,116,69101
tutor,6,30,36,0.23917880639733902,1.2117343782203942,Oklahoma,Oklahoma_vs_rest,116,69101
reserve,13,171,184,0.10225152649882041,1.1509263972173716,Oklahoma,Oklahoma_vs_rest,116,69101
agreement,27,756,783,0.049314918134834684,1.1360530904974198,Oklahoma,Oklahoma_vs_rest,116,69101
unnecessary,11,129,140,0.11373357153699715,1.1184810896711062,Oklahoma,Oklahoma_vs_rest,116,69101
provision,11,134,145,0.10980933814253291,1.0983962619665808,Oklahoma,Oklahoma_vs_rest,116,69101
shall,34,1347,1381,0.03473110834021931,1.0601359915351187,Oklahoma,Oklahoma_vs_rest,116,69101
website,26,804,830,0.04465264636165678,1.058303999890537,Oklahoma,Oklahoma_vs_rest,116,69101
undesirable,5,28,33,0.2178759831276249,1.0542618186652268,Oklahoma,Oklahoma_vs_rest,116,69101
mobile,22,594,616,0.05113028494645455,1.0450335999279368,Oklahoma,Oklahoma_vs_rest,116,69101
prohibited,8,79,87,0.13305350402593064,1.0342413787465723,Oklahoma,Oklahoma_vs_rest,116,69101
liable,6,44,50,0.1732208340961776,1.0261537492638257,Oklahoma,Oklahoma_vs_rest,116,69101
culinary,6,45,51,0.16986700167564983,1.0158658243103975,Oklahoma,Oklahoma_vs_rest,116,69101
blurry,4,19,23,0.24933069498514193,1.0107825355193334,Oklahoma,Oklahoma_vs_rest,116,69101
evergreen,4,19,23,0.24933069498514193,1.0107825355193334,Oklahoma,Oklahoma_vs_rest,116,69101
termination,8,87,95,0.12188669935858698,0.9885262196737866,Oklahoma,Oklahoma_vs_rest,116,69101
site,22,671,693,0.04527331972534654,0.9805625494890097,Oklahoma,Oklahoma_vs_rest,116,69101
opt,7,68,75,0.1350387781167104,0.9748598530066885,Oklahoma,Oklahoma_vs_rest,116,69101
liability,9,119,128,0.10175722031500634,0.9552309446138277,Oklahoma,Oklahoma_vs_rest,116,69101
darkling,4,23,27,0.2131276450324826,0.9323159750863124,Oklahoma,Oklahoma_vs_rest,116,69101
warranties,4,24,28,0.20565562987160746,0.9153298403339495,Oklahoma,Oklahoma_vs_rest,116,69101
phrases,12,232,244,0.07092491463346207,0.9150961753756017,Oklahoma,Oklahoma_vs_rest,116,69101
dispute,9,131,140,0.09299211231675564,0.9117992849234718,Oklahoma,Oklahoma_vs_rest,116,69101
section,27,1168,1195,0.031725534449140724,0.9003924210742255,Oklahoma,Oklahoma_vs_rest,116,69101
annotations,4,25,29,0.19868696023334032,0.8992150954958055,Oklahoma,Oklahoma_vs_rest,116,69101
foreground,4,27,31,0.186068495629776,0.8693194389422935,Oklahoma,Oklahoma_vs_rest,116,69101
messaging,7,94,101,0.10029582129921089,0.8361625417924885,Oklahoma,Oklahoma_vs_rest,116,69101
damages,6,70,76,0.11427654281236244,0.8280813886367787,Oklahoma,Oklahoma_vs_rest,116,69101
texttoimage,5,49,54,0.133972136485756,0.8205434708944214,Oklahoma,Oklahoma_vs_rest,116,69101
elbow,5,50,55,0.13154789255211163,0.8128533455258816,Oklahoma,Oklahoma_vs_rest,116,69101
punitive,3,17,20,0.21573950798404518,0.8124915234914086,Oklahoma,Oklahoma_vs_rest,116,69101
warrant,6,75,81,0.10721602705098832,0.8012692915930365,Oklahoma,Oklahoma_vs_rest,116,69101
error,27,1584,1611,0.023057435799719528,0.7587435120204383,Oklahoma,Oklahoma_vs_rest,116,69101
