token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
sizet,179,73,252,0.9575873313153718,13.034603042000901,Oregon,Oregon_vs_rest,729,68488
entityid,128,1,129,1.356834057805889,12.6069343582788,Oregon,Oregon_vs_rest,729,68488
checklists,135,22,157,1.1646620346928582,12.268950276199316,Oregon,Oregon_vs_rest,729,68488
archetype,174,115,289,0.8116152813453308,11.92125134925559,Oregon,Oregon_vs_rest,729,68488
checklist,132,59,191,0.9314846184845766,11.057823212322582,Oregon,Oregon_vs_rest,729,68488
componentbase,81,0,81,1.3684283562727444,10.055853667271196,Oregon,Oregon_vs_rest,729,68488
stdsizet,79,0,79,1.3684278775308432,9.930927906437274,Oregon,Oregon_vs_rest,729,68488
entityindex,68,0,68,1.3684252444572742,9.21361167611705,Oregon,Oregon_vs_rest,729,68488
templateclass,74,21,95,1.0515879631530254,8.72158711941575,Oregon,Oregon_vs_rest,729,68488
subchecklist,62,15,77,1.087961940339751,8.094854123067005,Oregon,Oregon_vs_rest,729,68488
eventx,52,2,54,1.313361631579502,7.95012145656562,Oregon,Oregon_vs_rest,729,68488
typename,54,8,62,1.1803696386257414,7.799011713090086,Oregon,Oregon_vs_rest,729,68488
newarchetype,47,0,47,1.3684202177128562,7.659894382889324,Oregon,Oregon_vs_rest,729,68488
percentage,136,348,484,0.3811803720184397,7.184635325210341,Oregon,Oregon_vs_rest,729,68488
oldarchetype,41,0,41,1.3684187815079767,7.1542699802255525,Oregon,Oregon_vs_rest,729,68488
componentdatasize,40,0,40,1.3684185421408337,7.066482965803841,Oregon,Oregon_vs_rest,729,68488
stduint,39,0,39,1.3684183027737866,6.977591628601057,Oregon,Oregon_vs_rest,729,68488
componentmask,37,0,37,1.3684178240399838,6.796322124137534,Oregon,Oregon_vs_rest,729,68488
toindex,35,0,35,1.3684173453065664,6.6100837656192875,Oregon,Oregon_vs_rest,729,68488
sovietera,34,0,34,1.3684171059400025,6.514968548309511,Oregon,Oregon_vs_rest,729,68488
currentsize,33,0,33,1.3684168665735363,6.4184440369847096,Oregon,Oregon_vs_rest,729,68488
newcomponentdatasize,33,0,33,1.3684168665735363,6.4184440369847096,Oregon,Oregon_vs_rest,729,68488
acaddoptions,30,0,30,1.3684161484747097,6.119743058995792,Oregon,Oregon_vs_rest,729,68488
selfconv,28,0,28,1.3684156697426424,5.912231415493462,Oregon,Oregon_vs_rest,729,68488
criteria,114,389,503,0.3066908409572786,5.857080535742327,Oregon,Oregon_vs_rest,729,68488
ecs,27,0,27,1.3684154303767535,5.805694981798262,Oregon,Oregon_vs_rest,729,68488
prompt,1182,28968,30150,0.04056626797374463,5.805166696802257,Oregon,Oregon_vs_rest,729,68488
eventsurface,26,0,26,1.3684151910109623,5.697166752560947,Oregon,Oregon_vs_rest,729,68488
lastentity,24,0,24,1.3684147122796642,5.473658849118657,Oregon,Oregon_vs_rest,729,68488
newcomponent,23,0,23,1.3684144729141607,5.358410081523662,Oregon,Oregon_vs_rest,729,68488
maskx,23,0,23,1.3684144729141607,5.358410081523662,Oregon,Oregon_vs_rest,729,68488
detailed,944,22466,23410,0.04217727894386858,5.319798057996608,Oregon,Oregon_vs_rest,729,68488
description,933,22306,23239,0.04191518437737862,5.2671863236460075,Oregon,Oregon_vs_rest,729,68488
globalindext,22,0,22,1.368414233548755,5.240627527356763,Oregon,Oregon_vs_rest,729,68488
comptypeid,22,0,22,1.368414233548755,5.240627527356763,Oregon,Oregon_vs_rest,729,68488
globalindexs,22,0,22,1.368414233548755,5.240627527356763,Oregon,Oregon_vs_rest,729,68488
gaba,21,0,21,1.3684139941834417,5.120136329501308,Oregon,Oregon_vs_rest,729,68488
percentages,44,58,102,0.5837049575843327,5.099987221116634,Oregon,Oregon_vs_rest,729,68488
systembase,20,0,20,1.3684137548182278,4.996740543428579,Oregon,Oregon_vs_rest,729,68488
fromindex,20,0,20,1.3684137548182278,4.996740543428579,Oregon,Oregon_vs_rest,729,68488
subchecklists,21,4,25,1.1366123685406215,4.793576479985471,Oregon,Oregon_vs_rest,729,68488
customizable,30,25,55,0.7358935173301955,4.72419114652575,Oregon,Oregon_vs_rest,729,68488
soviet,69,223,292,0.31998871543081897,4.661651739826196,Oregon,Oregon_vs_rest,729,68488
prompts,655,14857,15512,0.044925592387496494,4.614548893929723,Oregon,Oregon_vs_rest,729,68488
qvalues,25,16,41,0.8218711989375649,4.5452795766447265,Oregon,Oregon_vs_rest,729,68488
glutamate,18,3,21,1.160773902620381,4.4741988830000645,Oregon,Oregon_vs_rest,729,68488
eventtype,32,39,71,0.6095179561415947,4.4454083148556425,Oregon,Oregon_vs_rest,729,68488
wwe,25,19,44,0.7662394942627078,4.397161203965444,Oregon,Oregon_vs_rest,729,68488
andromeda,18,4,22,1.1060490000346448,4.390551435817228,Oregon,Oregon_vs_rest,729,68488
args,68,282,350,0.26186928596719206,4.153714040451887,Oregon,Oregon_vs_rest,729,68488
users,123,945,1068,0.15045563928860872,4.115664689856233,Oregon,Oregon_vs_rest,729,68488
void,173,1820,1993,0.10976380357775373,4.079505284442911,Oregon,Oregon_vs_rest,729,68488
slider,34,63,97,0.475293250905354,4.033766845510103,Oregon,Oregon_vs_rest,729,68488
feature,80,425,505,0.21170696734118266,4.011882841781717,Oregon,Oregon_vs_rest,729,68488
imagine,520,12139,12659,0.04321292130013443,4.008693540076682,Oregon,Oregon_vs_rest,729,68488
elaboration,22,21,43,0.6907711787015529,3.9227083436953105,Oregon,Oregon_vs_rest,729,68488
const,187,2252,2439,0.09511603539274116,3.902719062130449,Oregon,Oregon_vs_rest,729,68488
gpt,114,911,1025,0.1448131348723578,3.8779297157690995,Oregon,Oregon_vs_rest,729,68488
char,68,332,400,0.22796488480237542,3.851729665347908,Oregon,Oregon_vs_rest,729,68488
style,564,14422,14986,0.0381491261730611,3.8475036870962507,Oregon,Oregon_vs_rest,729,68488
unsigned,33,68,101,0.44321057411711706,3.8316386951005366,Oregon,Oregon_vs_rest,729,68488
ticks,18,12,30,0.8087974533947584,3.8279282101209473,Oregon,Oregon_vs_rest,729,68488
item,119,1037,1156,0.1329629808963677,3.775422909474324,Oregon,Oregon_vs_rest,729,68488
hopkins,22,27,49,0.6072135115424331,3.6789063272832547,Oregon,Oregon_vs_rest,729,68488
lens,391,8689,9080,0.046109438573635586,3.624229530157663,Oregon,Oregon_vs_rest,729,68488
scenes,393,8760,9153,0.045926092897000004,3.6241988595898316,Oregon,Oregon_vs_rest,729,68488
