token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
script,2922,1957,4879,0.7896778558771418,47.665053988689166,Pennsylvania,Pennsylvania_vs_rest,5486,63731
stadium,342,13,355,1.2957356416281964,20.108602976793613,Pennsylvania,Pennsylvania_vs_rest,5486,63731
conference,417,228,645,0.8530231885968096,18.671952450702992,Pennsylvania,Pennsylvania_vs_rest,5486,63731
state,1032,3144,4176,0.3167627423322301,17.473674850295357,Pennsylvania,Pennsylvania_vs_rest,5486,63731
round,674,1262,1936,0.45392853770630737,17.20812953153806,Pennsylvania,Pennsylvania_vs_rest,5486,63731
bowl,302,103,405,0.9875724612323502,16.979402170724388,Pennsylvania,Pennsylvania_vs_rest,5486,63731
prometheus,228,12,240,1.2760455908984323,16.33138962055611,Pennsylvania,Pennsylvania_vs_rest,5486,63731
espn,213,6,219,1.309328078338801,15.925714616186966,Pennsylvania,Pennsylvania_vs_rest,5486,63731
wordgirl,199,1,200,1.3426561401381196,15.52292837647303,Pennsylvania,Pennsylvania_vs_rest,5486,63731
write,1996,16063,18059,0.1258653029656962,14.145787235422771,Pennsylvania,Pennsylvania_vs_rest,5486,63731
ncaa,165,11,176,1.2577654429704648,13.822311939961876,Pennsylvania,Pennsylvania_vs_rest,5486,63731
whammer,135,0,135,1.3501317771082864,12.808474671098903,Pennsylvania,Pennsylvania_vs_rest,5486,63731
bully,186,88,274,0.8965783457998562,12.761024365376965,Pennsylvania,Pennsylvania_vs_rest,5486,63731
championship,152,33,185,1.092576266499167,12.570381779310688,Pennsylvania,Pennsylvania_vs_rest,5486,63731
butcher,145,48,193,0.9952356282557808,11.804660583046342,Pennsylvania,Pennsylvania_vs_rest,5486,63731
villains,209,209,418,0.6570007670310574,11.63281038572327,Pennsylvania,Pennsylvania_vs_rest,5486,63731
michigan,134,41,175,1.0150469912711575,11.444916060750174,Pennsylvania,Pennsylvania_vs_rest,5486,63731
tennessee,113,19,132,1.1409576891666138,11.02791632917826,Pennsylvania,Pennsylvania_vs_rest,5486,63731
oklahoma,108,19,127,1.1329570328489673,10.751308180117745,Pennsylvania,Pennsylvania_vs_rest,5486,63731
carolina,187,218,405,0.6059556601334553,10.557414774250585,Pennsylvania,Pennsylvania_vs_rest,5486,63731
etsy,123,52,175,0.929124941745096,10.546674131925808,Pennsylvania,Pennsylvania_vs_rest,5486,63731
football,179,196,375,0.6267692694524563,10.510040028619853,Pennsylvania,Pennsylvania_vs_rest,5486,63731
kansas,115,40,155,0.9824020632037431,10.453506104825385,Pennsylvania,Pennsylvania_vs_rest,5486,63731
texas,201,277,478,0.5509018681212954,10.416169353910984,Pennsylvania,Pennsylvania_vs_rest,5486,63731
division,241,439,680,0.46227627301805185,10.390378729380616,Pennsylvania,Pennsylvania_vs_rest,5486,63731
tournament,132,78,210,0.8288336928433413,10.36349922844159,Pennsylvania,Pennsylvania_vs_rest,5486,63731
university,343,998,1341,0.32847608548759766,10.278148655040201,Pennsylvania,Pennsylvania_vs_rest,5486,63731
trevor,104,38,142,0.9693517744361824,9.882809321473612,Pennsylvania,Pennsylvania_vs_rest,5486,63731
ditzy,81,2,83,1.3141870659910566,9.833064817623656,Pennsylvania,Pennsylvania_vs_rest,5486,63731
