token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
tob,51,0,51,1.379101813834449,8.04147633456257,South Carolina,South Carolina_vs_rest,823,68394
sigmas,33,0,33,1.3790974588258482,6.468540455209202,South Carolina,South Carolina_vs_rest,823,68394
tensor,39,26,65,0.8194830921987961,5.709000192415375,South Carolina,South Carolina_vs_rest,823,68394
ratesamplerate,24,1,25,1.3196718596944645,5.43901226719371,South Carolina,South Carolina_vs_rest,823,68394
zerogpt,19,1,20,1.3049860982967747,4.821389424596193,South Carolina,South Carolina_vs_rest,823,68394
samplerate,20,6,26,1.0488526196809804,4.556391897749962,South Carolina,South Carolina_vs_rest,823,68394
villian,19,9,28,0.9251765696093539,4.209541288401005,South Carolina,South Carolina_vs_rest,823,68394
elitebot,23,21,44,0.7162531837929969,4.114088971323667,South Carolina,South Carolina_vs_rest,823,68394
carla,15,5,20,1.0224181540675765,3.9044238190930765,South Carolina,South Carolina_vs_rest,823,68394
josh,33,84,117,0.3932805662039698,3.6449584872418717,South Carolina,South Carolina_vs_rest,823,68394
fictional,89,780,869,0.14288637337859278,3.5173321381995724,South Carolina,South Carolina_vs_rest,823,68394
tax,66,510,576,0.16028947068255128,3.219701073117555,South Carolina,South Carolina_vs_rest,823,68394
sexybot,14,14,28,0.6859456649867575,3.1433979324286363,South Carolina,South Carolina_vs_rest,823,68394
peter,55,379,434,0.1775865386759179,3.103160601846168,South Carolina,South Carolina_vs_rest,823,68394
globalization,23,62,85,0.37764642674545,2.979791209955817,South Carolina,South Carolina_vs_rest,823,68394
negligence,10,11,21,0.6541960024082538,2.5959328087349904,South Carolina,South Carolina_vs_rest,823,68394
solubility,24,118,142,0.23725412026641557,2.3880844558574252,South Carolina,South Carolina_vs_rest,823,68394
autohotkey,9,12,21,0.5906342778075686,2.341348009567489,South Carolina,South Carolina_vs_rest,823,68394
kwargs,23,113,136,0.23739903257453143,2.3385523644080406,South Carolina,South Carolina_vs_rest,823,68394
anarchist,10,17,27,0.5126729724363965,2.2983973557905433,South Carolina,South Carolina_vs_rest,823,68394
triumvirate,10,19,29,0.4783053265947199,2.2186996418382496,South Carolina,South Carolina_vs_rest,823,68394
sue,14,47,61,0.32130251283558664,2.1376228670929827,South Carolina,South Carolina_vs_rest,823,68394
lyrics,29,233,262,0.15471454294211817,2.0944449966635355,South Carolina,South Carolina_vs_rest,823,68394
bob,31,268,299,0.1446828320976401,2.089629444306765,South Carolina,South Carolina_vs_rest,823,68394
solvent,11,30,41,0.3745087619999712,2.0518247934521323,South Carolina,South Carolina_vs_rest,823,68394
solute,8,14,22,0.5036226565382069,2.03725395462859,South Carolina,South Carolina_vs_rest,823,68394
ask,84,1972,2056,0.05349617194355627,1.999871729410671,South Carolina,South Carolina_vs_rest,823,68394
superinit,8,15,23,0.4823452569221107,1.992994554916872,South Carolina,South Carolina_vs_rest,823,68394
dodging,10,29,39,0.3582572726201114,1.911853369640094,South Carolina,South Carolina_vs_rest,823,68394
papa,9,23,32,0.39218332622721874,1.900757803621812,South Carolina,South Carolina_vs_rest,823,68394
questions,94,2655,2749,0.04368235400163556,1.8854027525920827,South Carolina,South Carolina_vs_rest,823,68394
populace,12,46,58,0.29004948661231644,1.8761310306726913,South Carolina,South Carolina_vs_rest,823,68394
noise,24,217,241,0.13880848914114274,1.798467335933928,South Carolina,South Carolina_vs_rest,823,68394
amendment,18,121,139,0.18151068206797305,1.7958524911712344,South Carolina,South Carolina_vs_rest,823,68394
abolitionist,7,15,22,0.44232188756347135,1.7834721150881636,South Carolina,South Carolina_vs_rest,823,68394
paranoia,8,21,29,0.3848391123665511,1.7746202878721564,South Carolina,South Carolina_vs_rest,823,68394
pros,14,79,93,0.21127994667687844,1.7159802666053245,South Carolina,South Carolina_vs_rest,823,68394
africanamerican,11,48,59,0.2616113070106394,1.7018088829426339,South Carolina,South Carolina_vs_rest,823,68394
nsfwgpt,12,59,71,0.23725128585263455,1.6886105391473865,South Carolina,South Carolina_vs_rest,823,68394
man,101,3680,3781,0.032623471531169734,1.6485134423111854,South Carolina,South Carolina_vs_rest,823,68394
highschool,11,53,64,0.24125907231820065,1.6310099173390262,South Carolina,South Carolina_vs_rest,823,68394
indestructible,6,14,20,0.4176797428534016,1.60322294638869,South Carolina,South Carolina_vs_rest,823,68394
mel,6,15,21,0.3982616558274099,1.5643407293379055,South Carolina,South Carolina_vs_rest,823,68394
automobiles,7,22,29,0.33763726777104,1.5510546117221338,South Carolina,South Carolina_vs_rest,823,68394
temperatures,13,85,98,0.18598938854226787,1.545971686039012,South Carolina,South Carolina_vs_rest,823,68394
created,60,1629,1689,0.045636913876588636,1.5444502086946557,South Carolina,South Carolina_vs_rest,823,68394
mas,7,23,30,0.32656995996250515,1.524381870677707,South Carolina,South Carolina_vs_rest,823,68394
ill,34,600,634,0.07222178853808892,1.5035185618714346,South Carolina,South Carolina_vs_rest,823,68394
cons,13,93,106,0.1717639991092348,1.4822402488475122,South Carolina,South Carolina_vs_rest,823,68394
detective,8,34,42,0.26723385509767006,1.4675672196805072,South Carolina,South Carolina_vs_rest,823,68394
salem,6,18,24,0.34947148815130546,1.4619441227478704,South Carolina,South Carolina_vs_rest,823,68394
audio,26,384,410,0.08650691818208855,1.4512819058296276,South Carolina,South Carolina_vs_rest,823,68394
marshal,6,20,26,0.3230382287453679,1.4033323085626497,South Carolina,South Carolina_vs_rest,823,68394
chunks,9,49,58,0.21780819929613848,1.3980699161524919,South Carolina,South Carolina_vs_rest,823,68394
admin,11,75,86,0.17925148138686886,1.3946065662157623,South Carolina,South Carolina_vs_rest,823,68394
mama,14,130,144,0.1354124560681207,1.3555656857169445,South Carolina,South Carolina_vs_rest,823,68394
hank,5,15,20,0.3494712497160446,1.3345653791954908,South Carolina,South Carolina_vs_rest,823,68394
assassins,9,55,64,0.1972803553912179,1.3269914908443565,South Carolina,South Carolina_vs_rest,823,68394
orleans,11,84,95,0.16199814562078707,1.3218039986986712,South Carolina,South Carolina_vs_rest,823,68394
net,26,455,481,0.07284358024711501,1.3209914954141937,South Carolina,South Carolina_vs_rest,823,68394
httpsdoiorg,7,34,41,0.23965684538456422,1.2965478013406961,South Carolina,South Carolina_vs_rest,823,68394
skinny,7,34,41,0.23965684538456422,1.2965478013406961,South Carolina,South Carolina_vs_rest,823,68394
international,46,1371,1417,0.041116451929962494,1.2736163516705645,South Carolina,South Carolina_vs_rest,823,68394
anarchy,5,17,22,0.31821870387408246,1.271065468717461,South Carolina,South Carolina_vs_rest,823,68394
roads,11,93,104,0.14767324645623248,1.2583647925752546,South Carolina,South Carolina_vs_rest,823,68394
temperature,29,618,647,0.059314263483649654,1.2449874829839584,South Carolina,South Carolina_vs_rest,823,68394
shareholder,5,18,23,0.3045759263013661,1.2423443017655318,South Carolina,South Carolina_vs_rest,823,68394
named,51,1713,1764,0.035868248119017565,1.23862804080595,South Carolina,South Carolina_vs_rest,823,68394
alice,19,292,311,0.08312200761001698,1.2139221282852333,South Carolina,South Carolina_vs_rest,823,68394
avoidance,7,40,47,0.20901986890951996,1.2065199874719719,South Carolina,South Carolina_vs_rest,823,68394
illusion,10,84,94,0.1485519642536488,1.2035953892075681,South Carolina,South Carolina_vs_rest,823,68394
schemes,10,85,95,0.14694811350291204,1.19666471930598,South Carolina,South Carolina_vs_rest,823,68394
glossing,6,30,36,0.23395858700274097,1.1852875562901142,South Carolina,South Carolina_vs_rest,823,68394
scene,56,2151,2207,0.030631462184142144,1.1822023660765861,South Carolina,South Carolina_vs_rest,823,68394
liable,7,43,50,0.19639571217454055,1.1675225417000135,South Carolina,South Carolina_vs_rest,823,68394
excerpts,5,21,26,0.26978308209876545,1.1659963379589948,South Carolina,South Carolina_vs_rest,823,68394
dictator,6,32,38,0.221638100276909,1.1520394512411307,South Carolina,South Carolina_vs_rest,823,68394
monologue,5,23,28,0.250625405727968,1.1218311836955477,South Carolina,South Carolina_vs_rest,823,68394
selfinterest,5,23,28,0.250625405727968,1.1218311836955477,South Carolina,South Carolina_vs_rest,823,68394
railroad,6,34,40,0.21052000935513782,1.1212372907104766,South Carolina,South Carolina_vs_rest,823,68394
piracy,6,35,41,0.20535796632504244,1.1066613033395762,South Carolina,South Carolina_vs_rest,823,68394
princeton,5,24,29,0.24201208688092102,1.1014247307022424,South Carolina,South Carolina_vs_rest,823,68394
numsteps,11,122,133,0.11449456735537566,1.098372798086547,South Carolina,South Carolina_vs_rest,823,68394
dim,15,223,238,0.08593710842759528,1.098354045673922,South Carolina,South Carolina_vs_rest,823,68394
