token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
nano,138,15,153,1.2326932494723621,12.72183651505489,Tennessee,Tennessee_vs_rest,376,68291
olivia,131,29,160,1.1149084988090525,11.934273981064589,Tennessee,Tennessee_vs_rest,376,68291
taylor,163,169,332,0.6712914230036109,10.59260777606127,Tennessee,Tennessee_vs_rest,376,68291
nanos,78,0,78,1.3764666577525926,9.92584222698703,Tennessee,Tennessee_vs_rest,376,68291
filia,75,1,76,1.3567931651438911,9.689024629611138,Tennessee,Tennessee_vs_rest,376,68291
matt,106,93,199,0.7268840736397131,8.878085705286413,Tennessee,Tennessee_vs_rest,376,68291
eliza,52,7,59,1.2031886384106478,7.740705526492417,Tennessee,Tennessee_vs_rest,376,68291
squigly,47,0,47,1.3764591618653466,7.704893325729369,Tennessee,Tennessee_vs_rest,376,68291
toes,91,117,208,0.5999408248871418,7.486751110869154,Tennessee,Tennessee_vs_rest,376,68291
sabrina,46,13,59,1.0606059498641667,6.931517494523119,Tennessee,Tennessee_vs_rest,376,68291
riders,48,17,65,1.0039807673803907,6.920767118754012,Tennessee,Tennessee_vs_rest,376,68291
giantess,38,2,40,1.3023490103061643,6.804695686716687,Tennessee,Tennessee_vs_rest,376,68291
medici,38,2,40,1.3023490103061643,6.804695686716687,Tennessee,Tennessee_vs_rest,376,68291
samson,38,2,40,1.3023490103061643,6.804695686716687,Tennessee,Tennessee_vs_rest,376,68291
cerebella,36,0,36,1.3764565020570192,6.743232166351762,Tennessee,Tennessee_vs_rest,376,68291
skullgirl,33,0,33,1.3764557766568046,6.456149867531075,Tennessee,Tennessee_vs_rest,376,68291
parasoul,31,0,31,1.3764552930571519,6.257449128163784,Tennessee,Tennessee_vs_rest,376,68291
skullgirls,30,0,30,1.376455051257473,6.155694125169334,Tennessee,Tennessee_vs_rest,376,68291
nanoworx,30,0,30,1.376455051257473,6.155694125169334,Tennessee,Tennessee_vs_rest,376,68291
painwheel,29,0,29,1.37645480945789,6.052228649123832,Tennessee,Tennessee_vs_rest,376,68291
scpxxxx,117,463,580,0.2802571244835601,5.728495560172761,Tennessee,Tennessee_vs_rest,376,68291
fukua,25,0,25,1.3764538422605437,5.619349280052828,Tennessee,Tennessee_vs_rest,376,68291
luke,85,263,348,0.33896151861412704,5.395910041674205,Tennessee,Tennessee_vs_rest,376,68291
diego,51,87,138,0.508959422305967,5.158282811764686,Tennessee,Tennessee_vs_rest,376,68291
nate,104,498,602,0.23987474781867846,4.974212691853619,Tennessee,Tennessee_vs_rest,376,68291
soles,38,45,83,0.6270700148246107,4.9455435509154,Tennessee,Tennessee_vs_rest,376,68291
dana,26,17,43,0.8230688186859254,4.662742846857022,Tennessee,Tennessee_vs_rest,376,68291
ben,50,117,167,0.41423563507094663,4.594281808318238,Tennessee,Tennessee_vs_rest,376,68291
vicky,21,12,33,0.8656272321042007,4.288608974940078,Tennessee,Tennessee_vs_rest,376,68291
leviathan,27,33,60,0.6166157180228637,4.13408535469367,Tennessee,Tennessee_vs_rest,376,68291
allie,16,4,20,1.0887695872215009,4.13159009128956,Tennessee,Tennessee_vs_rest,376,68291
fortnite,19,20,39,0.6662107455556594,3.602953897506116,Tennessee,Tennessee_vs_rest,376,68291
parasite,14,7,21,0.9064475420314508,3.5750773185684035,Tennessee,Tennessee_vs_rest,376,68291
