token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
oii,551,0,551,1.3151213860221258,25.20554022756359,Texas,Texas_vs_rest,4074,65143
double,1038,1181,2219,0.5791022892691764,23.619154177334615,Texas,Texas_vs_rest,4074,65143
oiii,432,0,432,1.3150943934868096,22.31789192483839,Texas,Texas_vs_rest,4074,65143
ldr,275,11,286,1.25790024367463,17.529204700587165,Texas,Texas_vs_rest,4074,65143
nii,238,0,238,1.31505039155779,16.564763660574588,Texas,Texas_vs_rest,4074,65143
mindfulness,272,58,330,1.0611623642474068,16.299652658263224,Texas,Texas_vs_rest,4074,65143
superman,248,67,315,1.0097637316472454,15.233150836344716,Texas,Texas_vs_rest,4074,65143
patients,408,444,852,0.5937658119391855,15.007990170706213,Texas,Texas_vs_rest,4074,65143
data,1244,4988,6232,0.21607443968502693,14.473051937380783,Texas,Texas_vs_rest,4074,65143
avelumab,177,0,177,1.3150365565934372,14.284953452178298,Texas,Texas_vs_rest,4074,65143
suffering,359,449,808,0.5476339405334674,13.471846182655378,Texas,Texas_vs_rest,4074,65143
kraitchar,144,0,144,1.315029072242865,12.884600895682308,Texas,Texas_vs_rest,4074,65143
megamind,133,2,135,1.2928854287022844,12.310061136428736,Texas,Texas_vs_rest,4074,65143
hyperforce,110,0,110,1.3150213611953792,11.261170153644967,Texas,Texas_vs_rest,4074,65143
mia,214,210,424,0.628184692452578,11.202082376042906,Texas,Texas_vs_rest,4074,65143
batman,219,224,443,0.6143718473398536,11.198522522712839,Texas,Texas_vs_rest,4074,65143
burleson,102,0,102,1.3150195468462496,10.843928982797916,Texas,Texas_vs_rest,4074,65143
niidouble,100,0,100,1.3150190932598598,10.73708593501354,Texas,Texas_vs_rest,4074,65143
buddha,140,66,206,0.862516937518123,10.64378016391813,Texas,Texas_vs_rest,4074,65143
sprite,120,33,153,1.005601192161505,10.576871605398745,Texas,Texas_vs_rest,4074,65143
oiidouble,94,0,94,1.3150177325028256,10.409980270839648,Texas,Texas_vs_rest,4074,65143
oiit,92,0,92,1.3150172789178622,10.298636830002746,Texas,Texas_vs_rest,4074,65143
function,653,2762,3415,0.20428451264414793,10.117162701987805,Texas,Texas_vs_rest,4074,65143
oiiit,86,0,86,1.3150159181651127,9.957139830037423,Texas,Texas_vs_rest,4074,65143
tom,273,537,810,0.4037600728419708,9.892777911134967,Texas,Texas_vs_rest,4074,65143
toonami,83,0,83,1.3150152377899413,9.781922145005996,Texas,Texas_vs_rest,4074,65143
caldwell,88,8,96,1.192413958038557,9.71977895439361,Texas,Texas_vs_rest,4074,65143
niit,81,0,81,1.315014784206939,9.663345676569396,Texas,Texas_vs_rest,4074,65143
darksied,81,0,81,1.315014784206939,9.663345676569396,Texas,Texas_vs_rest,4074,65143
mov,162,167,329,0.6117522629591576,9.609451352425674,Texas,Texas_vs_rest,4074,65143
stagewait,80,0,80,1.3150145574155712,9.603508487255741,Texas,Texas_vs_rest,4074,65143
bryan,121,72,193,0.7915390108065825,9.48900778551931,Texas,Texas_vs_rest,4074,65143
powt,78,0,78,1.3150141038331054,9.482701558657176,Texas,Texas_vs_rest,4074,65143
monkey,103,46,149,0.878301595243526,9.208894255652242,Texas,Texas_vs_rest,4074,65143
squaresize,73,0,73,1.3150129698784987,9.173727526629252,Texas,Texas_vs_rest,4074,65143
sim,79,10,89,1.1507111648072588,9.082030046169738,Texas,Texas_vs_rest,4074,65143
sidebox,70,0,70,1.3150122895068073,8.983244124805376,Texas,Texas_vs_rest,4074,65143
logt,70,0,70,1.3150122895068073,8.983244124805376,Texas,Texas_vs_rest,4074,65143
absolution,71,2,73,1.2741904988713575,8.947963064058815,Texas,Texas_vs_rest,4074,65143
mmcc,69,0,69,1.3150120627164217,8.918845741132992,Texas,Texas_vs_rest,4074,65143
ibm,92,39,131,0.8932429861325684,8.773042470092783,Texas,Texas_vs_rest,4074,65143
sqrtt,66,0,66,1.3150113823457978,8.722798700575192,Texas,Texas_vs_rest,4074,65143
stdvectordouble,65,0,65,1.3150111555557693,8.65646317500582,Texas,Texas_vs_rest,4074,65143
wage,114,90,204,0.7003456726162813,8.65613385651591,Texas,Texas_vs_rest,4074,65143
const,469,1970,2439,0.20575071632849262,8.612754712776798,Texas,Texas_vs_rest,4074,65143
loop,256,638,894,0.33508786094833987,8.58830800413742,Texas,Texas_vs_rest,4074,65143
mcc,67,4,71,1.2316299543849656,8.585401619435315,Texas,Texas_vs_rest,4074,65143
tex,76,18,94,1.0391658292977368,8.538739717090193,Texas,Texas_vs_rest,4074,65143
lsl,64,1,65,1.292021399088057,8.53727407512829,Texas,Texas_vs_rest,4074,65143
array,318,1031,1349,0.2658346706875854,8.323410195030837,Texas,Texas_vs_rest,4074,65143
thomas,173,299,472,0.4434469885488177,8.310308182419234,Texas,Texas_vs_rest,4074,65143
iterator,73,19,92,1.0182808443036429,8.295001988122118,Texas,Texas_vs_rest,4074,65143
zod,59,0,59,1.3150097948174668,8.247253881039704,Texas,Texas_vs_rest,4074,65143
county,134,168,302,0.5467872485964147,8.223306029257637,Texas,Texas_vs_rest,4074,65143
expe,58,0,58,1.3150095680280618,8.177061799624209,Texas,Texas_vs_rest,4074,65143
chiro,58,0,58,1.3150095680280618,8.177061799624209,Texas,Texas_vs_rest,4074,65143
httpstexashistoryunteduark,57,0,57,1.3150093412387456,8.106261997167133,Texas,Texas_vs_rest,4074,65143
metapth,57,0,57,1.3150093412387456,8.106261997167133,Texas,Texas_vs_rest,4074,65143
endloop,56,0,56,1.31500911444952,8.034838408695698,Texas,Texas_vs_rest,4074,65143
peepers,56,1,57,1.2888067306021487,7.978898837277808,Texas,Texas_vs_rest,4074,65143
practice,271,826,1097,0.2813645925753754,7.954963545878109,Texas,Texas_vs_rest,4074,65143
casing,59,6,65,1.1794642341017259,7.925149932526425,Texas,Texas_vs_rest,4074,65143
div,291,958,1249,0.2620525546690349,7.892381652759738,Texas,Texas_vs_rest,4074,65143
kraitcher,54,0,54,1.3150086608713334,7.890051965228,Texas,Texas_vs_rest,4074,65143
pow,58,7,65,1.157380543651458,7.799695991879655,Texas,Texas_vs_rest,4074,65143
valorem,52,0,52,1.3150082072935039,7.74255868271647,Texas,Texas_vs_rest,4074,65143
transylvania,53,2,55,1.260941189905198,7.7019760727513065,Texas,Texas_vs_rest,4074,65143
joffewalt,51,0,51,1.3150079805047241,7.6677482756607125,Texas,Texas_vs_rest,4074,65143
adrp,50,0,50,1.3150077537160332,7.5922008059439685,Texas,Texas_vs_rest,4074,65143
bodysuit,67,26,93,0.917914452919856,7.582869439295528,Texas,Texas_vs_rest,4074,65143
bravo,52,4,56,1.2096476458217253,7.512625613890179,Texas,Texas_vs_rest,4074,65143
