token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
benedetto,44,0,44,1.378908553607939,7.468204030661281,Utah,Utah_vs_rest,251,68966
towt,42,0,42,1.3789080698107394,7.2964956670786165,Utah,Utah_vs_rest,251,68966
alyx,36,3,39,1.2655779295181997,6.566761428057157,Utah,Utah_vs_rest,251,68966
icee,33,0,33,1.3789058927281843,6.467641930565671,Utah,Utah_vs_rest,251,68966
sleep,152,639,791,0.26942329486211847,6.422589115382195,Utah,Utah_vs_rest,251,68966
owens,26,3,29,1.227354297722579,5.5203505291867385,Utah,Utah_vs_rest,251,68966
ebsco,21,1,22,1.3114617079689026,5.076703418472427,Utah,Utah_vs_rest,251,68966
delaying,28,26,54,0.7104500840956973,4.520932079320814,Utah,Utah_vs_rest,251,68966
jackson,42,139,181,0.3246114983181325,3.721271913840021,Utah,Utah_vs_rest,251,68966
lad,15,10,25,0.8192857386556227,3.5397189534204263,Utah,Utah_vs_rest,251,68966
gale,14,12,26,0.737047396123204,3.2536430735026394,Utah,Utah_vs_rest,251,68966
archetypes,17,26,43,0.5459928682564872,3.0930880663933205,Utah,Utah_vs_rest,251,68966
renewable,25,78,103,0.3392899161061802,2.9378930706733706,Utah,Utah_vs_rest,251,68966
selfcare,16,33,49,0.4534225829691412,2.7302856327093825,Utah,Utah_vs_rest,251,68966
tardiness,12,16,28,0.5904434333402548,2.7026822400898274,Utah,Utah_vs_rest,251,68966
mla,24,91,115,0.2923541903032625,2.6634269246300333,Utah,Utah_vs_rest,251,68966
openai,57,649,706,0.11146503816386222,2.462677869927216,Utah,Utah_vs_rest,251,68966
dan,83,1608,1691,0.0653863736507514,2.2208682034667317,Utah,Utah_vs_rest,251,68966
archetype,32,257,289,0.1545803095212417,2.197826782659503,Utah,Utah_vs_rest,251,68966
quality,74,1363,1437,0.06891926391060643,2.159050829043874,Utah,Utah_vs_rest,251,68966
service,87,1844,1931,0.059476106505711,2.1567997532613945,Utah,Utah_vs_rest,251,68966
students,102,2588,2690,0.04898325312522278,2.0931640016255377,Utah,Utah_vs_rest,251,68966
evidence,76,1593,1669,0.060181257678287636,2.029140680540513,Utah,Utah_vs_rest,251,68966
exemption,8,15,23,0.48215369151922616,1.9922030289313246,Utah,Utah_vs_rest,251,68966
citation,21,137,158,0.18616609459069267,1.964938403819712,Utah,Utah_vs_rest,251,68966
adolescent,19,133,152,0.1749295423182904,1.8084280046221084,Utah,Utah_vs_rest,251,68966
admission,15,82,97,0.21686732511437334,1.8000441413134538,Utah,Utah_vs_rest,251,68966
prompt,403,29747,30150,0.01264927654260628,1.799247331434743,Utah,Utah_vs_rest,251,68966
tbi,7,15,22,0.44213032220700654,1.782699710463663,Utah,Utah_vs_rest,251,68966
start,108,3680,3788,0.03509561113183057,1.7758195202360465,Utah,Utah_vs_rest,251,68966
deferred,10,39,49,0.2859537311848328,1.699434545569677,Utah,Utah_vs_rest,251,68966
outcomes,30,378,408,0.10101965117511291,1.6941953441333604,Utah,Utah_vs_rest,251,68966
scientific,37,577,614,0.08172006088540407,1.676603018165547,Utah,Utah_vs_rest,251,68966
admitted,15,97,112,0.18760707615958871,1.6674567567861045,Utah,Utah_vs_rest,251,68966
australian,12,64,76,0.2214479474272668,1.62783203006938,Utah,Utah_vs_rest,251,68966
rivalries,7,20,27,0.361965321771363,1.6077289897985967,Utah,Utah_vs_rest,251,68966
api,30,427,457,0.08956453491438765,1.5871134086757326,Utah,Utah_vs_rest,251,68966
freed,19,177,196,0.1348147217908089,1.5744261797367047,Utah,Utah_vs_rest,251,68966
description,310,22929,23239,0.012594817846037998,1.5728210429852896,Utah,Utah_vs_rest,251,68966
endorsed,8,31,39,0.28740498722337016,1.5240503608455889,Utah,Utah_vs_rest,251,68966
times,75,2503,2578,0.035948856590204414,1.5008117462579833,Utah,Utah_vs_rest,251,68966
detailed,302,23108,23410,0.011938136290492452,1.4961316446186603,Utah,Utah_vs_rest,251,68966
dans,15,122,137,0.15280667082197752,1.4955229395699068,Utah,Utah_vs_rest,251,68966
delayed,14,107,121,0.16168313725361472,1.4888320962465367,Utah,Utah_vs_rest,251,68966
scrolling,7,25,32,0.30626277116085276,1.4737652860143589,Utah,Utah_vs_rest,251,68966
compromised,8,35,43,0.26086942879794073,1.4486408295178774,Utah,Utah_vs_rest,251,68966
academic,29,477,506,0.07741479934384365,1.440926261385127,Utah,Utah_vs_rest,251,68966
improve,43,1002,1045,0.05372577182371607,1.431981013385103,Utah,Utah_vs_rest,251,68966
jailbroken,10,58,68,0.20617999869934422,1.4310803639278724,Utah,Utah_vs_rest,251,68966
school,104,4696,4800,0.024950807264420227,1.4188906900869747,Utah,Utah_vs_rest,251,68966
functioning,13,102,115,0.15788666224739245,1.416676689675904,Utah,Utah_vs_rest,251,68966
prompts,220,15292,15512,0.013837984614064602,1.4121272840827166,Utah,Utah_vs_rest,251,68966
quote,40,932,972,0.05373092268126456,1.3811926764348406,Utah,Utah_vs_rest,251,68966
corrupt,13,110,123,0.1473701744409901,1.3656638993786232,Utah,Utah_vs_rest,251,68966
doi,9,53,62,0.20350059174089452,1.3483023728776022,Utah,Utah_vs_rest,251,68966
mech,7,31,38,0.25830837083939606,1.3480836979257724,Utah,Utah_vs_rest,251,68966
health,62,2137,2199,0.03461809592614262,1.334519281306751,Utah,Utah_vs_rest,251,68966
conjecture,5,18,23,0.30438436094459576,1.241562919821498,Utah,Utah_vs_rest,251,68966
imagine,173,12486,12659,0.013060629044129968,1.2038621567902419,Utah,Utah_vs_rest,251,68966
style,194,14792,14986,0.011988881744708912,1.2021504782050125,Utah,Utah_vs_rest,251,68966
adverse,11,104,115,0.13296344280457184,1.1891319119872639,Utah,Utah_vs_rest,251,68966
gpt,36,989,1025,0.04484731743206716,1.1822282574684446,Utah,Utah_vs_rest,251,68966
improved,23,445,468,0.06546400668361407,1.1697556820470991,Utah,Utah_vs_rest,251,68966
markings,6,31,37,0.2274445542875565,1.1673544352578324,Utah,Utah_vs_rest,251,68966
symptom,5,21,26,0.2695915166488536,1.165168396446358,Utah,Utah_vs_rest,251,68966
useful,29,688,717,0.05268993798689259,1.1630946500835697,Utah,Utah_vs_rest,251,68966
mental,35,966,1001,0.044615642171658365,1.1622285507779195,Utah,Utah_vs_rest,251,68966
reputable,9,75,84,0.1494481075993903,1.1448014904224817,Utah,Utah_vs_rest,251,68966
gradual,8,61,69,0.16202356296463627,1.1267045399412452,Utah,Utah_vs_rest,251,68966
activity,30,784,814,0.04740141461380887,1.113981769614275,Utah,Utah_vs_rest,251,68966
scroll,9,80,89,0.14082157441464282,1.1090980838634357,Utah,Utah_vs_rest,251,68966
premier,7,48,55,0.17815776208336231,1.1083507862417998,Utah,Utah_vs_rest,251,68966
behaviors,16,254,270,0.08025442172561625,1.0916291404106395,Utah,Utah_vs_rest,251,68966
lens,129,8951,9080,0.013859989539422912,1.0821201749358078,Utah,Utah_vs_rest,251,68966
coffee,131,9166,9297,0.01368670407449013,1.0812540725301971,Utah,Utah_vs_rest,251,68966
scenes,129,9024,9153,0.013691116282703142,1.0731943712019065,Utah,Utah_vs_rest,251,68966
judgments,6,38,44,0.19105589353438113,1.0647935255189902,Utah,Utah_vs_rest,251,68966
cliff,7,54,61,0.16032793488129116,1.0480621337372051,Utah,Utah_vs_rest,251,68966
ace,8,71,79,0.1410254041260739,1.0464739834731855,Utah,Utah_vs_rest,251,68966
verified,13,185,198,0.08957679658738371,1.044823469511371,Utah,Utah_vs_rest,251,68966
crystalline,5,28,33,0.21246420102698416,1.028075200214953,Utah,Utah_vs_rest,251,68966
improvements,14,220,234,0.08108540032909595,1.02689934298827,Utah,Utah_vs_rest,251,68966
chapter,34,1131,1165,0.036076995518120825,1.0125169583693805,Utah,Utah_vs_rest,251,68966
insufficient,11,143,154,0.09796655397588694,1.008967182724029,Utah,Utah_vs_rest,251,68966
later,48,2047,2095,0.026787840440984922,1.006702611519541,Utah,Utah_vs_rest,251,68966
chatgpt,44,1802,1846,0.02815696967077841,0.9934997318971597,Utah,Utah_vs_rest,251,68966
structure,132,10120,10252,0.011875297997502088,0.9848696718058273,Utah,Utah_vs_rest,251,68966
censorship,11,152,163,0.09223586846875875,0.9765068919871548,Utah,Utah_vs_rest,251,68966
use,210,19626,19836,0.00846951023369602,0.9765040055577808,Utah,Utah_vs_rest,251,68966
images,130,9984,10114,0.011842086227626503,0.9754776489550512,Utah,Utah_vs_rest,251,68966
warming,8,82,90,0.12322556822615027,0.9736350701318358,Utah,Utah_vs_rest,251,68966
jailbreak,13,212,225,0.07809109847499052,0.9693460445942929,Utah,Utah_vs_rest,251,68966
shown,33,1147,1180,0.03427408244088603,0.9678160010440235,Utah,Utah_vs_rest,251,68966
admissions,5,32,37,0.1893150143600888,0.9673257748520747,Utah,Utah_vs_rest,251,68966
wellbeing,25,718,743,0.04266923726854088,0.9573385854452834,Utah,Utah_vs_rest,251,68966
intext,6,49,55,0.15223508720299606,0.9439617035923007,Utah,Utah_vs_rest,251,68966
expressly,6,49,55,0.15223508720299606,0.9439617035923007,Utah,Utah_vs_rest,251,68966
commands,17,371,388,0.057639686487638286,0.9366849003875735,Utah,Utah_vs_rest,251,68966
overall,31,1083,1114,0.03406877327926949,0.934697422618036,Utah,Utah_vs_rest,251,68966
game,64,3581,3645,0.018838585478086145,0.9326448397561224,Utah,Utah_vs_rest,251,68966
quantity,13,228,241,0.0724850992754611,0.9304282091792392,Utah,Utah_vs_rest,251,68966
emissions,7,69,76,0.12785920544571283,0.9289399169028081,Utah,Utah_vs_rest,251,68966
participation,14,264,278,0.06724160024670489,0.9262880986968661,Utah,Utah_vs_rest,251,68966
mood,90,6147,6237,0.014186010629392065,0.9179968065935401,Utah,Utah_vs_rest,251,68966
classic,61,3406,3467,0.01889184943067157,0.9121670653101704,Utah,Utah_vs_rest,251,68966
irish,7,72,79,0.122819795908514,0.9091423687078166,Utah,Utah_vs_rest,251,68966
early,37,1525,1562,0.027936539587747333,0.906700833341734,Utah,Utah_vs_rest,251,68966
energy,49,2433,2482,0.022082394003383854,0.9025940623120873,Utah,Utah_vs_rest,251,68966
models,39,1677,1716,0.02651252399832771,0.9017004693700705,Utah,Utah_vs_rest,251,68966
photographic,86,5846,5932,0.014286123367373449,0.9016024107893406,Utah,Utah_vs_rest,251,68966
adolescents,15,315,330,0.060048080375427304,0.900266180997354,Utah,Utah_vs_rest,251,68966
studies,23,681,704,0.04122653531714171,0.900164690292055,Utah,Utah_vs_rest,251,68966
illustration,87,5964,6051,0.014107717332081826,0.8992032650563626,Utah,Utah_vs_rest,251,68966
information,85,5763,5848,0.01434144970841178,0.8986710090504477,Utah,Utah_vs_rest,251,68966
natural,100,7348,7448,0.012691872420560912,0.8972910659130325,Utah,Utah_vs_rest,251,68966
interpret,10,148,158,0.08613184842872812,0.8969948523637968,Utah,Utah_vs_rest,251,68966
unlimited,10,148,158,0.08613184842872812,0.8969948523637968,Utah,Utah_vs_rest,251,68966
reminiscent,86,5910,5996,0.01405556746367509,0.8917910132746891,Utah,Utah_vs_rest,251,68966
capturing,86,5922,6008,0.014012883004052235,0.8899658732386354,Utah,Utah_vs_rest,251,68966
policies,24,751,775,0.038711368284642944,0.8864978771044749,Utah,Utah_vs_rest,251,68966
environment,98,7223,7321,0.012631524171588637,0.8853694760054351,Utah,Utah_vs_rest,251,68966
