token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
alex,383,295,678,0.7353757752112173,16.56715582185946,Virginia,Virginia_vs_rest,3006,65661
sharon,238,68,306,1.023453930372403,15.236394487477334,Virginia,Virginia_vs_rest,3006,65661
captionless,142,0,142,1.3418857294275437,13.056118313890575,Virginia,Virginia_vs_rest,3006,65661
archipelago,139,28,167,1.0993231906436698,11.997328367074113,Virginia,Virginia_vs_rest,3006,65661
roman,230,364,594,0.4980792404443122,10.483129520331339,Virginia,Virginia_vs_rest,3006,65661
magellan,80,2,82,1.3055035917870441,9.709741496002621,Virginia,Virginia_vs_rest,3006,65661
settlers,110,60,170,0.8454409391962177,9.500383127411899,Virginia,Virginia_vs_rest,3006,65661
empire,365,1296,1661,0.2706695000649635,9.38510768249661,Virginia,Virginia_vs_rest,3006,65661
malay,87,28,115,0.9941485705656827,9.096733010153418,Virginia,Virginia_vs_rest,3006,65661
peoples,174,280,454,0.4927751502003517,9.06542349238778,Virginia,Virginia_vs_rest,3006,65661
story,823,6214,7037,0.12656669601955262,8.889977059426265,Virginia,Virginia_vs_rest,3006,65661
suns,89,45,134,0.8685118140406161,8.654493395522202,Virginia,Virginia_vs_rest,3006,65661
leds,63,13,76,1.0945575697844063,8.062571680726776,Virginia,Virginia_vs_rest,3006,65661
yearold,209,569,778,0.33778497550678566,8.061804770752532,Virginia,Virginia_vs_rest,3006,65661
mokyr,52,0,52,1.3418647114847548,7.90068549786491,Virginia,Virginia_vs_rest,3006,65661
austronesian,52,0,52,1.3418647114847548,7.90068549786491,Virginia,Virginia_vs_rest,3006,65661
question,516,3433,3949,0.14602589705072333,7.702353392323787,Virginia,Virginia_vs_rest,3006,65661
indigenous,99,117,216,0.5931578156280573,7.546753205366197,Virginia,Virginia_vs_rest,3006,65661
vikings,59,19,78,0.9939889765019387,7.490654913278472,Virginia,Virginia_vs_rest,3006,65661
wawa,46,0,46,1.3418633103153912,7.43090252949338,Virginia,Virginia_vs_rest,3006,65661
achaemenid,46,0,46,1.3418633103153912,7.43090252949338,Virginia,Virginia_vs_rest,3006,65661
amelie,45,0,45,1.341863076787492,7.349686762397963,Virginia,Virginia_vs_rest,3006,65661
potentiometer,47,6,53,1.1763490622739905,7.165783031489157,Virginia,Virginia_vs_rest,3006,65661
kmart,49,10,59,1.096741481047646,7.116296909572708,Virginia,Virginia_vs_rest,3006,65661
egyptians,54,20,74,0.957453335996977,7.048716459683357,Virginia,Virginia_vs_rest,3006,65661
daniel,105,174,279,0.483479085840953,6.969950222080952,Virginia,Virginia_vs_rest,3006,65661
neil,54,22,76,0.9312848117688564,6.961451642086072,Virginia,Virginia_vs_rest,3006,65661
kathy,53,22,75,0.9260368918706359,6.879040740784524,Virginia,Virginia_vs_rest,3006,65661
easement,50,17,67,0.9800740777305652,6.853200655584258,Virginia,Virginia_vs_rest,3006,65661
lcdsetcursor,39,0,39,1.341861675622038,6.842178868539083,Virginia,Virginia_vs_rest,3006,65661
fuzzy,148,397,545,0.3417618247382155,6.82899413944063,Virginia,Virginia_vs_rest,3006,65661
carthaginians,41,4,45,1.2112419315310081,6.767235317304526,Virginia,Virginia_vs_rest,3006,65661
romans,61,43,104,0.7642322110022803,6.738274218978629,Virginia,Virginia_vs_rest,3006,65661
dynasty,95,162,257,0.47448666518656424,6.562588389990626,Virginia,Virginia_vs_rest,3006,65661
pts,111,240,351,0.4024784597642821,6.4810173630254395,Virginia,Virginia_vs_rest,3006,65661
carthage,41,9,50,1.082036960088276,6.473559857714203,Virginia,Virginia_vs_rest,3006,65661
industrial,135,371,506,0.3352567151778487,6.451644238423041,Virginia,Virginia_vs_rest,3006,65661
cultures,108,235,343,0.40062239219269813,6.37646121830805,Virginia,Virginia_vs_rest,3006,65661
replied,81,121,202,0.5165180088261074,6.343714583994674,Virginia,Virginia_vs_rest,3006,65661
typepci,33,0,33,1.341860274459938,6.293882578807885,Virginia,Virginia_vs_rest,3006,65661
persians,49,30,79,0.8093989965724155,6.210216237843179,Virginia,Virginia_vs_rest,3006,65661
mia,116,308,424,0.3445188911540704,6.073260441961866,Virginia,Virginia_vs_rest,3006,65661
islands,100,228,328,0.38708200462255427,6.019559514169687,Virginia,Virginia_vs_rest,3006,65661
tyler,83,151,234,0.45438212563726665,5.99118428859066,Virginia,Virginia_vs_rest,3006,65661
peacekeepers,33,5,38,1.1501928193353557,5.952256369749386,Virginia,Virginia_vs_rest,3006,65661
software,246,1385,1631,0.1744962054331971,5.935347956734562,Virginia,Virginia_vs_rest,3006,65661
aksum,32,4,36,1.1793410827054203,5.91850476851306,Virginia,Virginia_vs_rest,3006,65661
greeks,49,38,87,0.7330577058599328,5.9161935061090345,Virginia,Virginia_vs_rest,3006,65661
scripting,108,282,390,0.3490703203875505,5.903632319689145,Virginia,Virginia_vs_rest,3006,65661
scarlet,87,183,270,0.41056804670389013,5.801306967482277,Virginia,Virginia_vs_rest,3006,65661
adc,34,9,43,1.041274966057017,5.801196905349361,Virginia,Virginia_vs_rest,3006,65661
revolution,146,542,688,0.26019954599210493,5.800791677246406,Virginia,Virginia_vs_rest,3006,65661
shirtless,32,6,38,1.113018425409308,5.785292034301897,Virginia,Virginia_vs_rest,3006,65661
development,347,2643,2990,0.12519750451519407,5.731224620774087,Virginia,Virginia_vs_rest,3006,65661
mongols,32,8,40,1.0541779110213252,5.657312326613779,Virginia,Virginia_vs_rest,3006,65661
sixpack,27,1,28,1.28874904080455,5.615766679868475,Virginia,Virginia_vs_rest,3006,65661
maritime,44,34,78,0.7342375919460942,5.610707313019914,Virginia,Virginia_vs_rest,3006,65661
ancient,192,990,1182,0.1908209114901176,5.5357934463760445,Virginia,Virginia_vs_rest,3006,65661
southeast,61,90,151,0.5205083275261533,5.527834510238006,Virginia,Virginia_vs_rest,3006,65661
teenagers,61,90,151,0.5205083275261533,5.527834510238006,Virginia,Virginia_vs_rest,3006,65661
victorian,41,30,71,0.7520931011042205,5.480895243272342,Virginia,Virginia_vs_rest,3006,65661
timor,25,0,25,1.3418584062490186,5.4781140039572565,Virginia,Virginia_vs_rest,3006,65661
citystates,31,10,41,0.9935530413128717,5.428624940623002,Virginia,Virginia_vs_rest,3006,65661
mias,36,20,56,0.8397688875956089,5.417586440812994,Virginia,Virginia_vs_rest,3006,65661
flag,136,545,681,0.24286021325883667,5.377475644642241,Virginia,Virginia_vs_rest,3006,65661
allens,24,0,24,1.3418581727230752,5.367432690892301,Virginia,Virginia_vs_rest,3006,65661
mccloskeys,24,0,24,1.3418581727230752,5.367432690892301,Virginia,Virginia_vs_rest,3006,65661
mccloskey,24,0,24,1.3418581727230752,5.367432690892301,Virginia,Virginia_vs_rest,3006,65661
philippines,59,92,151,0.5027645922931967,5.336154158587797,Virginia,Virginia_vs_rest,3006,65661
logic,154,706,860,0.2141145906166404,5.311916825976197,Virginia,Virginia_vs_rest,3006,65661
civilizations,62,106,168,0.47367030750624295,5.2966355682181705,Virginia,Virginia_vs_rest,3006,65661
btc,37,25,62,0.7779255799287998,5.2936936383907565,Virginia,Virginia_vs_rest,3006,65661
victorianera,24,1,25,1.282434745069473,5.285539931057727,Virginia,Virginia_vs_rest,3006,65661
npndarray,23,0,23,1.3418579391972205,5.254420536823704,Virginia,Virginia_vs_rest,3006,65661
aksumites,23,0,23,1.3418579391972205,5.254420536823704,Virginia,Virginia_vs_rest,3006,65661
aztecs,27,6,33,1.0794945657375177,5.24820501382725,Virginia,Virginia_vs_rest,3006,65661
fontrondoa,22,0,22,1.3418577056714618,5.138923768646333,Virginia,Virginia_vs_rest,3006,65661
automation,143,657,800,0.21366554208280952,5.112278331258616,Virginia,Virginia_vs_rest,3006,65661
serialprint,24,4,28,1.1342187792136151,5.048168604620805,Virginia,Virginia_vs_rest,3006,65661
measuresperiodsi,21,0,21,1.3418574721457954,5.020770922652123,Virginia,Virginia_vs_rest,3006,65661
mappedvalue,21,0,21,1.3418574721457954,5.020770922652123,Virginia,Virginia_vs_rest,3006,65661
mokyrs,21,0,21,1.3418574721457954,5.020770922652123,Virginia,Virginia_vs_rest,3006,65661
readsredmmi,21,0,21,1.3418574721457954,5.020770922652123,Virginia,Virginia_vs_rest,3006,65661
readsirmmi,21,0,21,1.3418574721457954,5.020770922652123,Virginia,Virginia_vs_rest,3006,65661
alexs,23,3,26,1.1732352052129116,5.007659880358093,Virginia,Virginia_vs_rest,3006,65661
phoenicians,24,5,29,1.092642345185066,4.972740478831856,Virginia,Virginia_vs_rest,3006,65661
feudal,39,39,78,0.6487142149524203,4.961709661181122,Virginia,Virginia_vs_rest,3006,65661
austronesians,20,0,20,1.3418572386202232,4.8997698569592565,Virginia,Virginia_vs_rest,3006,65661
hal,39,41,80,0.6320471481025134,4.895646160669903,Virginia,Virginia_vs_rest,3006,65661
tor,25,9,34,0.9650484892562741,4.812927092578258,Virginia,Virginia_vs_rest,3006,65661
traveler,41,50,91,0.5827566352131015,4.811743025290046,Virginia,Virginia_vs_rest,3006,65661
lazuli,21,3,24,1.159535893803108,4.763279739546578,Virginia,Virginia_vs_rest,3006,65661
sams,31,23,54,0.7475582962841951,4.751627462922757,Virginia,Virginia_vs_rest,3006,65661
leaderless,20,2,22,1.2083258316298071,4.7221780508621745,Virginia,Virginia_vs_rest,3006,65661
gabriel,59,128,187,0.40147714347881625,4.7184811595342815,Virginia,Virginia_vs_rest,3006,65661
sumatra,28,17,45,0.812036860265323,4.70182146057068,Virginia,Virginia_vs_rest,3006,65661
athenians,19,1,20,1.2677490257580395,4.683813684919348,Virginia,Virginia_vs_rest,3006,65661
brunei,21,4,25,1.1100558293568206,4.68157628964377,Virginia,Virginia_vs_rest,3006,65661
indonesia,40,53,93,0.5554568544420526,4.633940756329096,Virginia,Virginia_vs_rest,3006,65661
settler,23,9,32,0.9424718125198286,4.567788920487584,Virginia,Virginia_vs_rest,3006,65661
caleb,43,69,112,0.4936430192544119,4.5107472989504895,Virginia,Virginia_vs_rest,3006,65661
led,161,1006,1167,0.15630111380118628,4.487401389715204,Virginia,Virginia_vs_rest,3006,65661
diplomats,25,17,42,0.7758662790670225,4.345752727894709,Virginia,Virginia_vs_rest,3006,65661
kingdoms,58,150,208,0.35168117721781655,4.344493595120286,Virginia,Virginia_vs_rest,3006,65661
anomalous,52,119,171,0.3860075247559287,4.3339961254048465,Virginia,Virginia_vs_rest,3006,65661
introduction,160,1050,1210,0.14818114107112024,4.327669885395735,Virginia,Virginia_vs_rest,3006,65661
yuan,44,84,128,0.43962326153890174,4.283977741462102,Virginia,Virginia_vs_rest,3006,65661
technological,79,299,378,0.25573380704704185,4.224098638506188,Virginia,Virginia_vs_rest,3006,65661
luminara,38,63,101,0.48332131435243575,4.192218959336945,Virginia,Virginia_vs_rest,3006,65661
alternate,87,369,456,0.23044898831238214,4.170216922180228,Virginia,Virginia_vs_rest,3006,65661
warriors,47,105,152,0.3929443489937494,4.161421685863254,Virginia,Virginia_vs_rest,3006,65661
respiration,25,21,46,0.7066983325008973,4.149168757540543,Virginia,Virginia_vs_rest,3006,65661
multiverse,69,237,306,0.2785365049581934,4.148358967353919,Virginia,Virginia_vs_rest,3006,65661
guinea,26,24,50,0.6753795339111779,4.135470455608707,Virginia,Virginia_vs_rest,3006,65661
millis,18,6,24,0.9851817845324788,4.121311089939159,Virginia,Virginia_vs_rest,3006,65661
aboriginal,19,8,27,0.9220031020705601,4.1105772169341925,Virginia,Virginia_vs_rest,3006,65661
prompt,1478,28626,30104,0.028482254445492572,4.081797420439597,Virginia,Virginia_vs_rest,3006,65661
assassins,29,35,64,0.5861915514194287,4.059270681451134,Virginia,Virginia_vs_rest,3006,65661
seekers,36,61,97,0.4764674515469469,4.048937825717841,Virginia,Virginia_vs_rest,3006,65661
archaeologists,23,19,42,0.7122240278853145,3.995332650276776,Virginia,Virginia_vs_rest,3006,65661
egypt,47,116,163,0.36461127905615953,3.991052297109089,Virginia,Virginia_vs_rest,3006,65661
insert,100,518,618,0.1899259905961994,3.9836476925143636,Virginia,Virginia_vs_rest,3006,65661
asia,78,327,405,0.23295739413073768,3.973904870910785,Virginia,Virginia_vs_rest,3006,65661
choices,126,799,925,0.15382399510553846,3.930633775347186,Virginia,Virginia_vs_rest,3006,65661
ottoman,52,149,201,0.324172795057601,3.9283682494877357,Virginia,Virginia_vs_rest,3006,65661
repurposing,20,13,33,0.7903604817448322,3.922152453410189,Virginia,Virginia_vs_rest,3006,65661
aztec,24,24,48,0.6487108197752871,3.8922649186517226,Virginia,Virginia_vs_rest,3006,65661
shaved,21,16,37,0.7388612736533258,3.888242530992594,Virginia,Virginia_vs_rest,3006,65661
points,255,2588,2843,0.08737982693318447,3.880991853308117,Virginia,Virginia_vs_rest,3006,65661
crew,63,228,291,0.2661114922963872,3.860484548062892,Virginia,Virginia_vs_rest,3006,65661
devops,47,126,173,0.34189943129928757,3.8491216237580916,Virginia,Virginia_vs_rest,3006,65661
group,286,3116,3402,0.07926654121259791,3.846934222156857,Virginia,Virginia_vs_rest,3006,65661
economic,140,993,1133,0.1358649919697097,3.8337855582922473,Virginia,Virginia_vs_rest,3006,65661
ships,61,217,278,0.2701604190665101,3.83213803863509,Virginia,Virginia_vs_rest,3006,65661
intellectuals,18,10,28,0.8397647559418342,3.8307932624093306,Virginia,Virginia_vs_rest,3006,65661
escrow,26,33,59,0.5695739016251586,3.7858798304262415,Virginia,Virginia_vs_rest,3006,65661
athens,22,21,43,0.6642145608066681,3.771900276120156,Virginia,Virginia_vs_rest,3006,65661
frontend,55,188,243,0.2797022777168703,3.7126072289147865,Virginia,Virginia_vs_rest,3006,65661
