token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
float,666,830,1496,0.5888885375541788,19.712394269609412,Washington,Washington_vs_rest,1345,67872
endif,116,10,126,1.2381619343758583,11.553370089595703,Washington,Washington_vs_rest,1345,67872
prompt,2202,27948,30150,0.0767768791416934,11.067698688835636,Washington,Washington_vs_rest,1345,67872
description,1691,21548,23239,0.07629718082376602,9.655533420331347,Washington,Washington_vs_rest,1345,67872
detailed,1679,21731,23410,0.07477801447083188,9.495981477707192,Washington,Washington_vs_rest,1345,67872
wireconnection,70,0,70,1.3550154614399812,9.256517813659675,Washington,Washington_vs_rest,1345,67872
prompts,1193,14319,15512,0.08222154104117774,8.50840654404085,Washington,Washington_vs_rest,1345,67872
selectedpart,59,0,59,1.3550128636478913,8.49813829723602,Washington,Washington_vs_rest,1345,67872
vertex,126,162,288,0.5784990784858124,8.494781795832157,Washington,Washington_vs_rest,1345,67872
vertexinput,52,0,52,1.3550112105134264,7.978089988298669,Washington,Washington_vs_rest,1345,67872
imagine,976,11683,12659,0.08246025987173411,7.7088584641175855,Washington,Washington_vs_rest,1345,67872
vertexoutput,45,0,45,1.3550095573835943,7.421693002140855,Washington,Washington_vs_rest,1345,67872
ifdef,44,0,44,1.3550093212225676,7.338765176167896,Washington,Washington_vs_rest,1345,67872
tessvalue,43,0,43,1.3550090850616368,7.254889555133682,Washington,Washington_vs_rest,1345,67872
style,1039,13947,14986,0.0711941864882526,7.229974956568544,Washington,Washington_vs_rest,1345,67872
itemtype,44,2,46,1.2904707899710655,7.220221299250168,Washington,Washington_vs_rest,1345,67872
asenormal,40,0,40,1.3550083765794074,6.9972331686181235,Washington,Washington_vs_rest,1345,67872
clickedpart,39,0,39,1.3550081404188532,6.9092129490728045,Washington,Washington_vs_rest,1345,67872
lens,717,8363,9080,0.08511675360420412,6.741687907054115,Washington,Washington_vs_rest,1345,67872
scenes,716,8437,9153,0.08404632180193339,6.682605863572997,Washington,Washington_vs_rest,1345,67872
