token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
prompt,3,30101,30104,-0.0005748393618132397,-0.08143737945233402,Alabama,Alabama_vs_rest,105,68562
natsuki,0,17538,17538,-0.0007235661473714572,-0.07823888330504285,Alabama,Alabama_vs_rest,105,68562
detailed,2,23372,23374,-0.000595421005426644,-0.07432832246180447,Alabama,Alabama_vs_rest,105,68562
sayori,0,12672,12672,-0.0007229918523883327,-0.06645235182370164,Alabama,Alabama_vs_rest,105,68562
imagine,0,12638,12638,-0.0007229878428480774,-0.0663627753961084,Alabama,Alabama_vs_rest,105,68562
description,3,23197,23200,-0.0005295411138330763,-0.06585853790792502,Alabama,Alabama_vs_rest,105,68562
monika,0,12308,12308,-0.000722948929031908,-0.065487096109534,Alabama,Alabama_vs_rest,105,68562
prompts,1,15486,15487,-0.0006262253591353684,-0.06363201561273611,Alabama,Alabama_vs_rest,105,68562
yuri,0,11180,11180,-0.0007228159461556416,-0.062402644883843755,Alabama,Alabama_vs_rest,105,68562
women,0,11146,11146,-0.0007228119385667142,-0.062307339429991886,Alabama,Alabama_vs_rest,105,68562
image,0,9944,9944,-0.0007226702870406498,-0.058840333708905006,Alabama,Alabama_vs_rest,105,68562
coffee,0,9280,9280,-0.0007225920607494274,-0.05683574331043923,Alabama,Alabama_vs_rest,105,68562
return,0,9259,9259,-0.0007225895870011101,-0.056771204851248924,Alabama,Alabama_vs_rest,105,68562
face,0,9244,9244,-0.000722587820049192,-0.05672506153735902,Alabama,Alabama_vs_rest,105,68562
scenes,0,9138,9138,-0.0007225753338309104,-0.056397919010959155,Alabama,Alabama_vs_rest,105,68562
lens,0,9065,9065,-0.0007225667350834186,-0.05617152810498805,Alabama,Alabama_vs_rest,105,68562
details,0,8931,8931,-0.0007225509516128881,-0.0557535971188139,Alabama,Alabama_vs_rest,105,68562
new,2,15895,15897,-0.0005341739211175422,-0.054993111997645734,Alabama,Alabama_vs_rest,105,68562
world,0,8384,8384,-0.0007224865292227989,-0.05401442526259122,Alabama,Alabama_vs_rest,105,68562
need,0,8211,8211,-0.0007224661567075685,-0.053452731648585036,Alabama,Alabama_vs_rest,105,68562
around,0,7987,7987,-0.0007224397801293136,-0.05271665731208341,Alabama,Alabama_vs_rest,105,68562
well,0,7318,7318,-0.0007223610151170234,-0.050455076928725695,Alabama,Alabama_vs_rest,105,68562
environment,0,7301,7301,-0.0007223590138387692,-0.05039629867444595,Alabama,Alabama_vs_rest,105,68562
concept,0,6942,6942,-0.0007223167541292597,-0.049138779298768684,Alabama,Alabama_vs_rest,105,68562
feelings,0,6734,6734,-0.00072229227165721,-0.04839537891462411,Alabama,Alabama_vs_rest,105,68562
beauty,0,6677,6677,-0.000722285562807734,-0.04818967449169804,Alabama,Alabama_vs_rest,105,68562
dog,0,6567,6567,-0.0007222726162581239,-0.047790219831631266,Alabama,Alabama_vs_rest,105,68562
composition,0,6510,6510,-0.0007222659077736893,-0.047581921989864356,Alabama,Alabama_vs_rest,105,68562
focused,0,6468,6468,-0.0007222609647605793,-0.04742785896545614,Alabama,Alabama_vs_rest,105,68562
place,0,6411,6411,-0.0007222542564928602,-0.04721797619454121,Alabama,Alabama_vs_rest,105,68562
images,1,10096,10097,-0.0005738884793444754,-0.04708567566779777,Alabama,Alabama_vs_rest,105,68562
painting,0,6342,6342,-0.0007222461361244825,-0.046962663108989416,Alabama,Alabama_vs_rest,105,68562
jewelry,0,6342,6342,-0.0007222461361244825,-0.046962663108989416,Alabama,Alabama_vs_rest,105,68562
email,0,6299,6299,-0.0007222410756986264,-0.04680285637874623,Alabama,Alabama_vs_rest,105,68562
mood,0,6225,6225,-0.0007222323672229081,-0.04652656561468172,Alabama,Alabama_vs_rest,105,68562
hair,0,6216,6216,-0.0007222313080985643,-0.046492851607277556,Alabama,Alabama_vs_rest,105,68562
captured,0,6153,6153,-0.0007222238943134229,-0.0462561710923823,Alabama,Alabama_vs_rest,105,68562
color,0,6143,6143,-0.0007222227175365248,-0.04621849219261235,Alabama,Alabama_vs_rest,105,68562
midjourney,0,6061,6061,-0.0007222130681077132,-0.04590836807622926,Alabama,Alabama_vs_rest,105,68562
illustration,0,6041,6041,-0.0007222107146267476,-0.045832412249406006,Alabama,Alabama_vs_rest,105,68562
time,3,16059,16062,-0.0004425062474391339,-0.04579244812172331,Alabama,Alabama_vs_rest,105,68562
capturing,0,5998,5998,-0.000722205654696495,-0.045668682807355025,Alabama,Alabama_vs_rest,105,68562
reminiscent,0,5986,5986,-0.0007222042426358044,-0.04562288682181199,Alabama,Alabama_vs_rest,105,68562
photographic,0,5922,5922,-0.0007221967117363448,-0.045377867083724106,Alabama,Alabama_vs_rest,105,68562
size,0,5439,5439,-0.0007221398820531633,-0.043484575076075754,Alabama,Alabama_vs_rest,105,68562
little,0,5231,5231,-0.0007221154115688577,-0.042643549276514175,Alabama,Alabama_vs_rest,105,68562
down,0,5201,5201,-0.0007221118823093065,-0.04252088437890631,Alabama,Alabama_vs_rest,105,68562
real,0,5087,5087,-0.0007220984714368939,-0.04205151675322999,Alabama,Alabama_vs_rest,105,68562
ring,0,4875,4875,-0.0007220735332431616,-0.04116452488591792,Alabama,Alabama_vs_rest,105,68562
english,0,4815,4815,-0.0007220664755767103,-0.04091002058710296,Alabama,Alabama_vs_rest,105,68562
natsuki,0,17538,17538,-0.03240283703981284,-3.503704250288482,Arizona,Arizona_vs_rest,1337,67330
