token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
coins,14,65,79,0.25521675329165916,1.9184819913563245,Alabama,Alabama_vs_rest,105,69112
gif,8,48,56,0.2069212847962003,1.302438370000174,Alabama,Alabama_vs_rest,105,69112
kim,12,114,126,0.1390448287813424,1.3015297687159995,Alabama,Alabama_vs_rest,105,69112
developer,24,689,713,0.04936574711542896,1.0849958388615548,Alabama,Alabama_vs_rest,105,69112
bowser,3,18,21,0.20692007070801566,0.7975726772820734,Alabama,Alabama_vs_rest,105,69112
zone,11,278,289,0.05585297526106814,0.7823280839496838,Alabama,Alabama_vs_rest,105,69112
doors,10,256,266,0.055162841203522106,0.7411992541053202,Alabama,Alabama_vs_rest,105,69112
gpt,18,1007,1025,0.025512070571855006,0.6697722556468608,Alabama,Alabama_vs_rest,105,69112
lands,10,314,324,0.04523226623944865,0.669728511098442,Alabama,Alabama_vs_rest,105,69112
mode,24,1786,1810,0.019110052428278124,0.6659957702125595,Alabama,Alabama_vs_rest,105,69112
oxygen,8,237,245,0.04787445320782524,0.6166573850198084,Alabama,Alabama_vs_rest,105,69112
earths,5,99,104,0.07057026725374804,0.5943000038253715,Alabama,Alabama_vs_rest,105,69112
nursing,5,105,110,0.06672246360137102,0.5775415759923814,Alabama,Alabama_vs_rest,105,69112
tuition,4,69,73,0.08040648830239405,0.5681441933449594,Alabama,Alabama_vs_rest,105,69112
enabled,13,773,786,0.023991310446541902,0.5514149256807873,Alabama,Alabama_vs_rest,105,69112
player,42,7316,7358,0.0078393211848784,0.5498295241663358,Alabama,Alabama_vs_rest,105,69112
symbiotic,2,20,22,0.13281185480330748,0.51903320216249,Alabama,Alabama_vs_rest,105,69112
markdown,8,336,344,0.03396744440988364,0.5173075450830207,Alabama,Alabama_vs_rest,105,69112
textual,3,47,50,0.08800881814997297,0.5152338187848886,Alabama,Alabama_vs_rest,105,69112
space,21,2233,2254,0.013227737900448844,0.5139451038858441,Alabama,Alabama_vs_rest,105,69112
cloak,3,48,51,0.08629207941407202,0.5100816453646866,Alabama,Alabama_vs_rest,105,69112
suggestion,5,137,142,0.051649164586562435,0.5067797707941636,Alabama,Alabama_vs_rest,105,69112
landed,5,145,150,0.048878119274462506,0.4927028642896412,Alabama,Alabama_vs_rest,105,69112
admission,4,93,97,0.06052456592738764,0.491499042724045,Alabama,Alabama_vs_rest,105,69112
itchatgpt,2,24,26,0.11260914701825442,0.47707909344057586,Alabama,Alabama_vs_rest,105,69112
colourful,2,25,27,0.10847975355935979,0.4680657368349649,Alabama,Alabama_vs_rest,105,69112
competition,9,570,579,0.022508953272415866,0.44391934167329994,Alabama,Alabama_vs_rest,105,69112
penetrate,2,29,31,0.09459064093115721,0.43645481501955213,Alabama,Alabama_vs_rest,105,69112
interior,5,204,209,0.034956773866390733,0.41502999697856213,Alabama,Alabama_vs_rest,105,69112
game,22,3623,3645,0.008324833131998943,0.41098792056007505,Alabama,Alabama_vs_rest,105,69112
pod,3,75,78,0.056439113109567174,0.41073383173359784,Alabama,Alabama_vs_rest,105,69112
transcripts,2,33,35,0.08383784868736299,0.4103938032029298,Alabama,Alabama_vs_rest,105,69112
enrollment,2,39,41,0.07160112153762199,0.3786574366510627,Alabama,Alabama_vs_rest,105,69112
loan,7,505,512,0.019720290846539257,0.36556268915166595,Alabama,Alabama_vs_rest,105,69112
motivation,7,506,513,0.019680581965253907,0.36518034157606855,Alabama,Alabama_vs_rest,105,69112
catchy,2,43,45,0.06523842728225482,0.36109948052382546,Alabama,Alabama_vs_rest,105,69112
monthly,5,275,280,0.0259494100369011,0.35608753157256284,Alabama,Alabama_vs_rest,105,69112
replace,6,425,431,0.020091388485553807,0.3417340783529817,Alabama,Alabama_vs_rest,105,69112
spaces,5,317,322,0.02248405512984597,0.3306818690888237,Alabama,Alabama_vs_rest,105,69112
fits,3,116,119,0.03686340562794754,0.3303506711538205,Alabama,Alabama_vs_rest,105,69112
organisms,3,118,121,0.03624588847868182,0.32750296066277046,Alabama,Alabama_vs_rest,105,69112
mario,4,209,213,0.027320147201191247,0.3270534225693623,Alabama,Alabama_vs_rest,105,69112
competing,3,121,124,0.03535675036847685,0.3233596119397933,Alabama,Alabama_vs_rest,105,69112
convince,3,121,124,0.03535675036847685,0.3233596119397933,Alabama,Alabama_vs_rest,105,69112
chatgpt,12,1834,1846,0.009017754755481278,0.3168609417359878,Alabama,Alabama_vs_rest,105,69112
electronics,2,61,63,0.0465333422370815,0.3038791237897001,Alabama,Alabama_vs_rest,105,69112
heroic,2,61,63,0.0465333422370815,0.3038791237897001,Alabama,Alabama_vs_rest,105,69112
