state,topic,topic_proportion,topic_zscore,rank_within_topic_desc
Alabama,topic_0,0.0,-0.2643922594719085,33.0
Iowa,topic_0,0.0,-0.2643922594719085,33.0
Kansas,topic_0,0.0,-0.2643922594719085,33.0
Kentucky,topic_0,0.0,-0.2643922594719085,33.0
Virginia,topic_0,0.001567398119122257,-0.2506853146187079,32.0
Alabama,topic_1,0.0,-0.19532134778219584,20.0
Arizona,topic_1,0.0,-0.19532134778219584,20.0
Arkansas,topic_1,0.0,-0.19532134778219584,20.0
Colorado,topic_1,0.0,-0.19532134778219584,20.0
District of Columbia,topic_1,0.0,-0.19532134778219584,20.0
Alabama,topic_10,0.0,-0.5768724582491963,31.0
Iowa,topic_10,0.0,-0.5768724582491963,31.0
Kansas,topic_10,0.0,-0.5768724582491963,31.0
Kentucky,topic_10,0.0,-0.5768724582491963,31.0
Nebraska,topic_10,0.0,-0.5768724582491963,31.0
Connecticut,topic_11,0.0,-0.25813527393278957,24.0
District of Columbia,topic_11,0.0,-0.25813527393278957,24.0
Iowa,topic_11,0.0,-0.25813527393278957,24.0
Kansas,topic_11,0.0,-0.25813527393278957,24.0
Kentucky,topic_11,0.0,-0.25813527393278957,24.0
Alabama,topic_12,0.0,-0.8596480233869667,32.0
Kansas,topic_12,0.0,-0.8596480233869667,32.0
Kentucky,topic_12,0.0,-0.8596480233869667,32.0
Louisiana,topic_12,0.0,-0.8596480233869667,32.0
Utah,topic_12,0.0,-0.8596480233869667,32.0
Alabama,topic_13,0.0,-0.442609472348145,28.0
District of Columbia,topic_13,0.0,-0.442609472348145,28.0
Indiana,topic_13,0.0,-0.442609472348145,28.0
Iowa,topic_13,0.0,-0.442609472348145,28.0
Kansas,topic_13,0.0,-0.442609472348145,28.0
Kansas,topic_14,0.0,-0.6840635109177522,34.0
Kentucky,topic_14,0.0,-0.6840635109177522,34.0
Oklahoma,topic_14,0.0,-0.6840635109177522,34.0
Michigan,topic_14,0.002742230347349177,-0.6208485210353085,33.0
Washington,topic_14,0.007352941176470588,-0.5145605723604153,32.0
Alabama,topic_15,0.0,-0.6910833925327896,29.0
Kansas,topic_15,0.0,-0.6910833925327896,29.0
Kentucky,topic_15,0.0,-0.6910833925327896,29.0
Louisiana,topic_15,0.0,-0.6910833925327896,29.0
Minnesota,topic_15,0.0,-0.6910833925327896,29.0
Alabama,topic_16,0.0,-0.7569614926500473,28.0
Arkansas,topic_16,0.0,-0.7569614926500473,28.0
Connecticut,topic_16,0.0,-0.7569614926500473,28.0
Kansas,topic_16,0.0,-0.7569614926500473,28.0
Kentucky,topic_16,0.0,-0.7569614926500473,28.0
Arkansas,topic_17,0.0,-0.6726743543797657,33.0
Iowa,topic_17,0.0,-0.6726743543797657,33.0
Kentucky,topic_17,0.0,-0.6726743543797657,33.0
Louisiana,topic_17,0.0,-0.6726743543797657,33.0
Michigan,topic_17,0.00036563071297989033,-0.6575235753722898,32.0
Alabama,topic_18,0.0,-0.2503841880552304,23.0
Colorado,topic_18,0.0,-0.2503841880552304,23.0
Florida,topic_18,0.0,-0.2503841880552304,23.0
Iowa,topic_18,0.0,-0.2503841880552304,23.0
Kansas,topic_18,0.0,-0.2503841880552304,23.0
Alabama,topic_19,0.0,-0.9560748944903229,33.0
Indiana,topic_19,0.0,-0.9560748944903229,33.0
Iowa,topic_19,0.0,-0.9560748944903229,33.0
Michigan,topic_19,0.0,-0.9560748944903229,33.0
Pennsylvania,topic_19,0.0023137436372049976,-0.8726992276208873,32.0
Alabama,topic_2,0.0,-0.5807341076805937,35.0
Kentucky,topic_2,0.0,-0.5807341076805937,35.0
Michigan,topic_2,0.00036563071297989033,-0.5760496612830008,34.0
Pennsylvania,topic_2,0.006247107820453493,-0.5006964065629977,33.0
Nebraska,topic_2,0.008771929824561403,-0.46834848577343,32.0
Alabama,topic_20,0.0,-0.41711729234255096,33.0
Kansas,topic_20,0.0,-0.41711729234255096,33.0
Kentucky,topic_20,0.0,-0.41711729234255096,33.0
Louisiana,topic_20,0.0,-0.41711729234255096,33.0
Michigan,topic_20,0.00036563071297989033,-0.41034612134731796,32.0
Alabama,topic_21,0.0,-1.0699501166846253,33.0
District of Columbia,topic_21,0.0,-1.0699501166846253,33.0
Indiana,topic_21,0.0,-1.0699501166846253,33.0
Iowa,topic_21,0.0,-1.0699501166846253,33.0
Pennsylvania,topic_21,0.0011568718186024988,-0.9918003665726269,32.0
Kentucky,topic_22,0.0,-0.8835700452091066,35.0
Louisiana,topic_22,0.0,-0.8835700452091066,35.0
Connecticut,topic_22,0.00032829940906106366,-0.8684777344991668,34.0
Michigan,topic_22,0.0014625228519195613,-0.8163361462365628,33.0
Pennsylvania,topic_22,0.0016196205460434984,-0.8091141801102316,32.0
Arkansas,topic_23,0.0,-1.224771804684146,34.0
Kansas,topic_23,0.0,-1.224771804684146,34.0
Louisiana,topic_23,0.0,-1.224771804684146,34.0
Michigan,topic_23,0.0007312614259597807,-1.1679903668448297,33.0
Wisconsin,topic_23,0.001834862385321101,-1.0822972794634764,32.0
District of Columbia,topic_24,0.0,-0.5681774685368539,31.0
Iowa,topic_24,0.0,-0.5681774685368539,31.0
Kentucky,topic_24,0.0,-0.5681774685368539,31.0
Louisiana,topic_24,0.0,-0.5681774685368539,31.0
Minnesota,topic_24,0.0,-0.5681774685368539,31.0
Alabama,topic_25,0.0,-0.5988465168573928,23.0
Arkansas,topic_25,0.0,-0.5988465168573928,23.0
Colorado,topic_25,0.0,-0.5988465168573928,23.0
Indiana,topic_25,0.0,-0.5988465168573928,23.0
Kansas,topic_25,0.0,-0.5988465168573928,23.0
Arkansas,topic_26,0.0,-0.45580005564758197,22.0
District of Columbia,topic_26,0.0,-0.45580005564758197,22.0
Georgia,topic_26,0.0,-0.45580005564758197,22.0
Indiana,topic_26,0.0,-0.45580005564758197,22.0
Kansas,topic_26,0.0,-0.45580005564758197,22.0
Alabama,topic_27,0.0,-0.19586283581164762,11.0
Arkansas,topic_27,0.0,-0.19586283581164762,11.0
Colorado,topic_27,0.0,-0.19586283581164762,11.0
District of Columbia,topic_27,0.0,-0.19586283581164762,11.0
Indiana,topic_27,0.0,-0.19586283581164762,11.0
Alabama,topic_28,0.0,-0.4788576819908844,20.0
Arkansas,topic_28,0.0,-0.4788576819908844,20.0
Colorado,topic_28,0.0,-0.4788576819908844,20.0
District of Columbia,topic_28,0.0,-0.4788576819908844,20.0
Illinois,topic_28,0.0,-0.4788576819908844,20.0
Alabama,topic_29,0.0,-0.24169428376171181,18.0
Arizona,topic_29,0.0,-0.24169428376171181,18.0
Arkansas,topic_29,0.0,-0.24169428376171181,18.0
Colorado,topic_29,0.0,-0.24169428376171181,18.0
District of Columbia,topic_29,0.0,-0.24169428376171181,18.0
Alabama,topic_3,0.0,-0.8743520841730074,35.0
Iowa,topic_3,0.0,-0.8743520841730074,35.0
Michigan,topic_3,0.002559414990859232,-0.8348089361252666,34.0
Massachusetts,topic_3,0.004726536124240378,-0.8013267567519601,33.0
Pennsylvania,topic_3,0.006941230911614993,-0.7671095609589819,32.0
Connecticut,topic_30,0.000984898227183191,-1.3649029460440558,36.0
Michigan,topic_30,0.001279707495429616,-1.3432028019016224,35.0
Pennsylvania,topic_30,0.0025451180009254974,-1.2500592228956295,34.0
South Carolina,topic_30,0.002631578947368421,-1.2436950573059156,33.0
Massachusetts,topic_30,0.0027008777852802163,-1.2385941499276167,32.0
Nebraska,topic_31,0.0,-1.442152870029526,36.0
Michigan,topic_31,0.0009140767824497258,-1.3657975961902846,35.0
Connecticut,topic_31,0.0026263952724885093,-1.2227630615459275,34.0
Ohio,topic_31,0.0033259423503325942,-1.164328026636632,33.0
Pennsylvania,topic_31,0.0041647385469689956,-1.0942611410979337,32.0
South Carolina,topic_32,0.0,-1.056311219033899,36.0
Michigan,topic_32,0.0010968921389396709,-1.0090249548289505,35.0
Connecticut,topic_32,0.001969796454366382,-0.9713946513382101,34.0
Pennsylvania,topic_32,0.004627487274409995,-0.8568234315889904,33.0
Georgia,topic_32,0.005491153142159854,-0.8195913912110784,32.0
Alabama,topic_33,0.0,-1.1503519909201259,32.0
Arkansas,topic_33,0.0,-1.1503519909201259,32.0
Colorado,topic_33,0.0,-1.1503519909201259,32.0
Indiana,topic_33,0.0,-1.1503519909201259,32.0
Minnesota,topic_33,0.0,-1.1503519909201259,32.0
