state,topic,topic_proportion,topic_zscore,rank_within_topic_desc
Alabama,topic_0,0.0,-0.2643922594719085,33.0
Arizona,topic_0,0.015025041736227046,-0.1329978064717791,9.0
Arkansas,topic_0,0.01680672268907563,-0.11741695163422877,7.0
California,topic_0,0.005943284088979453,-0.2124180569635084,28.0
Colorado,topic_0,0.00819672131147541,-0.1927116790100893,22.0
Connecticut,topic_0,0.007222586999343401,-0.20123051358893976,24.0
District of Columbia,topic_0,0.01639344262295082,-0.12103109854827006,8.0
Florida,topic_0,0.006740196078431373,-0.20544903705783898,26.0
Georgia,topic_0,0.003050640634533252,-0.23771431311333024,30.0
Illinois,topic_0,0.011990407673860911,-0.1595357748634919,15.0
Indiana,topic_0,0.03968253968253968,0.08263277292261303,2.0
Iowa,topic_0,0.0,-0.2643922594719085,33.0
Kansas,topic_0,0.0,-0.2643922594719085,33.0
Kentucky,topic_0,0.0,-0.2643922594719085,33.0
Louisiana,topic_0,0.011627906976744186,-0.1627058546307231,16.0
Maryland,topic_0,0.01,-0.17694195130848905,19.0
Massachusetts,topic_0,0.017555705604321403,-0.11086707295949084,6.0
Michigan,topic_0,0.0021937842778793418,-0.24520754835744715,31.0
Minnesota,topic_0,0.009708737864077669,-0.1794890476627634,20.0
Missouri,topic_0,0.011570247933884297,-0.16321008473737358,17.0
Nebraska,topic_0,0.02631578947368421,-0.03425986956817315,3.0
Nevada,topic_0,0.014970059880239521,-0.13347862449672968,10.0
New Jersey,topic_0,0.0063371356147021544,-0.20897381323400008,27.0
New York,topic_0,0.014181818181818183,-0.14037182244015,12.0
North Carolina,topic_0,0.0045662100456621,-0.22446061190870326,29.0
Ohio,topic_0,0.012195121951219513,-0.15774554219944575,14.0
Oklahoma,topic_0,0.025,-0.045766489063359894,4.0
Oregon,topic_0,0.014619883040935672,-0.13654093174761106,11.0
Pennsylvania,topic_0,0.7049976862563628,5.9008342322897525,1.0
South Carolina,topic_0,0.007894736842105263,-0.19535254250078787,23.0
Tennessee,topic_0,0.0223463687150838,-0.06897257642516114,5.0
Texas,topic_0,0.009572072072072071,-0.18068419422539214,21.0
Utah,topic_0,0.006993006993006993,-0.2032381978191676,25.0
Virginia,topic_0,0.001567398119122257,-0.2506853146187079,32.0
Washington,topic_0,0.010294117647058823,-0.17436988342132964,18.0
Wisconsin,topic_0,0.012844036697247707,-0.1520707627482505,13.0
Alabama,topic_1,0.0,-0.19532134778219584,20.0
Arizona,topic_1,0.0,-0.19532134778219584,20.0
Arkansas,topic_1,0.0,-0.19532134778219584,20.0
California,topic_1,0.001358464934623875,-0.17875147227945565,17.0
Colorado,topic_1,0.0,-0.19532134778219584,20.0
Connecticut,topic_1,0.000984898227183191,-0.1833080520457008,18.0
District of Columbia,topic_1,0.0,-0.19532134778219584,20.0
Florida,topic_1,0.0024509803921568627,-0.16542551541833644,13.0
Georgia,topic_1,0.009762050030506406,-0.07624874639642756,3.0
Illinois,topic_1,0.0,-0.19532134778219584,20.0
Indiana,topic_1,0.0,-0.19532134778219584,20.0
Iowa,topic_1,0.0,-0.19532134778219584,20.0
Kansas,topic_1,0.0,-0.19532134778219584,20.0
Kentucky,topic_1,0.0,-0.19532134778219584,20.0
Louisiana,topic_1,0.0,-0.19532134778219584,20.0
Maryland,topic_1,0.0,-0.19532134778219584,20.0
Massachusetts,topic_1,0.0006752194463200541,-0.18708535885278693,19.0
Michigan,topic_1,0.5007312614259598,5.912348015399021,1.0
Minnesota,topic_1,0.0,-0.19532134778219584,20.0
Missouri,topic_1,0.0,-0.19532134778219584,20.0
Nebraska,topic_1,0.008771929824561403,-0.08832573721680428,4.0
Nevada,topic_1,0.005988023952095809,-0.12228242799504231,5.0
New Jersey,topic_1,0.005069708491761723,-0.1334835804592319,8.0
New York,topic_1,0.0018181818181818182,-0.17314407577409652,15.0
North Carolina,topic_1,0.010273972602739725,-0.07000457102410025,2.0
Ohio,topic_1,0.0022172949002217295,-0.16827589411378202,14.0
Oklahoma,topic_1,0.0,-0.19532134778219584,20.0
Oregon,topic_1,0.0029239766081871343,-0.15965614426039865,11.0
Pennsylvania,topic_1,0.004396112910689496,-0.14169976229292278,9.0
South Carolina,topic_1,0.005263157894736842,-0.13112398144296092,7.0
Tennessee,topic_1,0.00558659217877095,-0.12717889189138779,6.0
Texas,topic_1,0.002815315315315315,-0.1609815403372222,12.0
Utah,topic_1,0.0,-0.19532134778219584,20.0
Virginia,topic_1,0.003918495297805642,-0.14752550293715416,10.0
Washington,topic_1,0.0014705882352941176,-0.17738384836388021,16.0
Wisconsin,topic_1,0.0,-0.19532134778219584,20.0
Alabama,topic_2,0.0,-0.5807341076805937,35.0
Arizona,topic_2,0.04006677796327212,-0.06740011512967561,11.0
Arkansas,topic_2,0.04201680672268908,-0.042416422915187595,10.0
California,topic_2,0.06452708439463406,0.24598437440776294,5.0
Colorado,topic_2,0.028688524590163935,-0.21317785242683693,18.0
Connecticut,topic_2,0.48391332895600786,5.619144540642506,1.0
District of Columbia,topic_2,0.01639344262295082,-0.3707019618213041,27.0
Florida,topic_2,0.0196078431372549,-0.32951918812340425,25.0
Georgia,topic_2,0.011592434411226357,-0.43221229129809424,29.0
Illinois,topic_2,0.0539568345323741,0.11055874649656441,7.0
Indiana,topic_2,0.0873015873015873,0.53777041510975,3.0
Iowa,topic_2,0.011363636363636364,-0.43514364293722246,30.0
Kansas,topic_2,0.08333333333333333,0.48692930043746163,4.0
Kentucky,topic_2,0.0,-0.5807341076805937,35.0
Louisiana,topic_2,0.011627906976744186,-0.43175781817574876,28.0
Maryland,topic_2,0.025,-0.2604350852451771,22.0
Massachusetts,topic_2,0.008777852802160702,-0.4682726008160315,31.0
Michigan,topic_2,0.00036563071297989033,-0.5760496612830008,34.0
Minnesota,topic_2,0.04854368932038835,0.04120574170856475,8.0
Missouri,topic_2,0.026446280991735537,-0.24190538973238443,20.0
Nebraska,topic_2,0.008771929824561403,-0.46834848577343,32.0
Nevada,topic_2,0.03592814371257485,-0.12042413531831836,15.0
New Jersey,topic_2,0.032953105196451206,-0.15854021245520297,17.0
New York,topic_2,0.03854545454545454,-0.08689125127107868,14.0
North Carolina,topic_2,0.02511415525114155,-0.25897253263131675,21.0
Ohio,topic_2,0.03991130820399113,-0.06939198760631445,13.0
Oklahoma,topic_2,0.025,-0.2604350852451771,22.0
Oregon,topic_2,0.10818713450292397,0.8053552291744255,2.0
Pennsylvania,topic_2,0.006247107820453493,-0.5006964065629977,33.0
South Carolina,topic_2,0.04736842105263158,0.02614825061809042,9.0
Tennessee,topic_2,0.027932960893854747,-0.22285810495945785,19.0
Texas,topic_2,0.019144144144144143,-0.33546008149131074,26.0
Utah,topic_2,0.02097902097902098,-0.31195171123129306,24.0
Virginia,topic_2,0.039968652037617555,-0.0686573006521847,12.0
Washington,topic_2,0.057352941176470586,0.15406953202418555,6.0
Wisconsin,topic_2,0.03486238532110092,-0.13407859015597604,16.0
Alabama,topic_3,0.0,-0.8743520841730074,35.0
Arizona,topic_3,0.01335559265442404,-0.6680072047824593,27.0
Arkansas,topic_3,0.008403361344537815,-0.744519539262358,31.0
California,topic_3,0.01901850908473425,-0.5805147334226024,23.0
Colorado,topic_3,0.01639344262295082,-0.6210722014784618,25.0
Connecticut,topic_3,0.1792514773473408,1.8950962983038582,3.0
District of Columbia,topic_3,0.06557377049180328,0.13876744660517468,12.0
Florida,topic_3,0.020833333333333332,-0.5524755665820225,22.0
Georgia,topic_3,0.012202562538133009,-0.6858216040709051,29.0
Illinois,topic_3,0.03836930455635491,-0.2815435337896107,15.0
Indiana,topic_3,0.031746031746031744,-0.38387358117722087,17.0
Iowa,topic_3,0.0,-0.8743520841730074,35.0
Kansas,topic_3,0.08333333333333333,0.41315398619093213,9.0
Kentucky,topic_3,0.06976744186046512,0.2035599747363374,11.0
Louisiana,topic_3,0.011627906976744186,-0.6947000743547832,30.0
Maryland,topic_3,0.035,-0.3335995346201527,16.0
Massachusetts,topic_3,0.004726536124240378,-0.8013267567519601,33.0
Michigan,topic_3,0.002559414990859232,-0.8348089361252666,34.0
Minnesota,topic_3,0.02912621359223301,-0.4243499624924071,18.0
Missouri,topic_3,0.10413223140495868,0.7344984764801139,6.0
Nebraska,topic_3,0.21929824561403508,2.513821785205781,2.0
Nevada,topic_3,0.09580838323353294,0.6058944158861328,7.0
New Jersey,topic_3,0.13814955640050697,1.2600686256318505,5.0
New York,topic_3,0.02909090909090909,-0.4248954196095957,19.0
North Carolina,topic_3,0.0821917808219178,0.3955169167338919,10.0
Ohio,topic_3,0.017738359201773836,-0.600293142366049,24.0
Oklahoma,topic_3,0.05,-0.10184844195464354,13.0
Oregon,topic_3,0.023391812865497075,-0.5129468714392699,21.0
Pennsylvania,topic_3,0.006941230911614993,-0.7671095609589819,32.0
South Carolina,topic_3,0.15526315789473685,1.5244750153471749,4.0
Tennessee,topic_3,0.09497206703910614,0.5929732697613148,8.0
Texas,topic_3,0.02364864864864865,-0.508978739880538,20.0
Utah,topic_3,0.04895104895104895,-0.11805481207111275,14.0
Virginia,topic_3,0.2774294670846395,3.411953391458666,1.0
Washington,topic_3,0.016176470588235296,-0.6244244352200073,26.0
Wisconsin,topic_3,0.012844036697247707,-0.6759107815848038,28.0
Alabama,topic_4,0.03225806451612903,-0.09003683118222951,12.0
Arizona,topic_4,0.07512520868113523,0.6839597325946416,5.0
Arkansas,topic_4,0.01680672268907563,-0.3690217207248344,17.0
California,topic_4,0.16267617592120903,2.2647542809395844,3.0
Colorado,topic_4,0.00819672131147541,-0.5244813766031193,24.0
Connecticut,topic_4,0.0006565988181221273,-0.6606236136004762,31.0
District of Columbia,topic_4,0.03278688524590164,-0.08048859941473738,11.0
Florida,topic_4,0.010416666666666666,-0.4843986953291683,20.0
Georgia,topic_4,0.010372178157413058,-0.48520196678474514,21.0
Illinois,topic_4,0.045563549160671464,0.15020309137059298,8.0
Indiana,topic_4,0.0,-0.6724789689992468,33.0
Iowa,topic_4,0.022727272727272728,-0.26212200826453,15.0
Kansas,topic_4,0.041666666666666664,0.07984212568106716,9.0
Kentucky,topic_4,0.0,-0.6724789689992468,33.0
Louisiana,topic_4,0.03488372093023256,-0.04262875019712344,10.0
Maryland,topic_4,0.015,-0.4016433749143337,19.0
Massachusetts,topic_4,0.007427413909520594,-0.538371765085943,25.0
Michigan,topic_4,0.00018281535648994517,-0.6691781086203934,32.0
Minnesota,topic_4,0.009708737864077669,-0.49718084985043576,23.0
Missouri,topic_4,0.009917355371900827,-0.49341411340591584,22.0
Nebraska,topic_4,0.0,-0.6724789689992468,33.0
Nevada,topic_4,0.0688622754491018,0.570878049753847,6.0
New Jersey,topic_4,0.058301647655259824,0.38019845625685794,7.0
New York,topic_4,0.015636363636363636,-0.39015338001376165,18.0
North Carolina,topic_4,0.005707762557077625,-0.569421284796464,27.0
Ohio,topic_4,0.0066518847006651885,-0.5523744926866467,26.0
Oklahoma,topic_4,0.025,-0.22108631219105834,14.0
Oregon,topic_4,0.21052631578947367,3.1287223514907603,1.0
Pennsylvania,topic_4,0.003007866728366497,-0.6181698108455544,28.0
South Carolina,topic_4,0.002631578947368421,-0.6249639524931216,29.0
Tennessee,topic_4,0.0,-0.6724789689992468,33.0
Texas,topic_4,0.019707207207207207,-0.3166514242180172,16.0
Utah,topic_4,0.15384615384615385,2.1053219959742204,4.0
Virginia,topic_4,0.029780564263322883,-0.13476984803651454,13.0
Washington,topic_4,0.20294117647058824,2.9917673039142825,2.0
Wisconsin,topic_4,0.001834862385321101,-0.6393492327197466,30.0
Alabama,topic_5,0.0,-0.3058713619787061,27.0
Arizona,topic_5,0.0,-0.3058713619787061,27.0
Arkansas,topic_5,0.06722689075630252,1.2459250085942266,2.0
California,topic_5,0.0037357785702156563,-0.2196384935341498,17.0
Colorado,topic_5,0.0,-0.3058713619787061,27.0
Connecticut,topic_5,0.004596191726854892,-0.19977760158086855,14.0
District of Columbia,topic_5,0.0,-0.3058713619787061,27.0
Florida,topic_5,0.00428921568627451,-0.20686352062704763,16.0
Georgia,topic_5,0.0036607687614399025,-0.2213699427757566,18.0
Illinois,topic_5,0.009592326139088728,-0.08445197576985841,9.0
Indiana,topic_5,0.0,-0.3058713619787061,27.0
Iowa,topic_5,0.011363636363636364,-0.043564873202883665,7.0
Kansas,topic_5,0.013888888888888888,0.014725457636187964,4.0
Kentucky,topic_5,0.023255813953488372,0.23094191737646538,3.0
Louisiana,topic_5,0.011627906976744186,-0.037464722301120364,6.0
Maryland,topic_5,0.01,-0.07504165185598237,8.0
Massachusetts,topic_5,0.0006752194463200541,-0.2902852910723777,25.0
Michigan,topic_5,0.2603290676416819,5.703296960046131,1.0
Minnesota,topic_5,0.0,-0.3058713619787061,27.0
Missouri,topic_5,0.0,-0.3058713619787061,27.0
Nebraska,topic_5,0.0,-0.3058713619787061,27.0
Nevada,topic_5,0.0,-0.3058713619787061,27.0
New Jersey,topic_5,0.0012674271229404308,-0.2766153784397044,22.0
New York,topic_5,0.001090909090909091,-0.2806899390562272,24.0
North Carolina,topic_5,0.003424657534246575,-0.22682009138873224,19.0
Ohio,topic_5,0.0066518847006651885,-0.15232610025627347,11.0
Oklahoma,topic_5,0.0,-0.3058713619787061,27.0
Oregon,topic_5,0.0029239766081871343,-0.23837729469136,20.0
Pennsylvania,topic_5,0.00046274872744099955,-0.29518974651721963,26.0
South Carolina,topic_5,0.005263157894736842,-0.1843820408614831,13.0
Tennessee,topic_5,0.00558659217877095,-0.1769162166587487,12.0
Texas,topic_5,0.0011261261261261261,-0.27987702525317415,23.0
Utah,topic_5,0.006993006993006993,-0.1444519842705077,10.0
Virginia,topic_5,0.011755485893416929,-0.03451982186578633,5.0
Washington,topic_5,0.004411764705882353,-0.2040347251598574,15.0
Wisconsin,topic_5,0.001834862385321101,-0.2635172867268302,21.0
Alabama,topic_6,0.0,-0.8346355426364555,35.0
Arizona,topic_6,0.02671118530884808,-0.44704599911187937,20.0
Arkansas,topic_6,0.03361344537815126,-0.3468915582431339,18.0
California,topic_6,0.023433520122261846,-0.49460617807086166,23.0
Colorado,topic_6,0.004098360655737705,-0.7751667576540731,34.0
Connecticut,topic_6,0.02133946158896914,-0.524991770535147,24.0
District of Columbia,topic_6,0.11475409836065574,0.830490436870253,5.0
Florida,topic_6,0.01715686274509804,-0.5856828839356976,26.0
Georgia,topic_6,0.007321537522879805,-0.728397225108441,33.0
Illinois,topic_6,0.03717026378896882,-0.2952807589353274,16.0
Indiana,topic_6,0.07936507936507936,0.3169821982922204,9.0
Iowa,topic_6,0.3522727272727273,4.276976839258327,1.0
Kansas,topic_6,0.027777777777777776,-0.4315693333114189,19.0
Kentucky,topic_6,0.13953488372093023,1.1900691367637282,3.0
Louisiana,topic_6,0.06976744186046512,0.17771679706363638,11.0
Maryland,topic_6,0.015,-0.6169797896009357,28.0
