state,topic,topic_proportion,topic_zscore,rank_within_topic_desc
Indiana,topic_0,0.03968253968253968,0.08263277292261303,2.0
Nebraska,topic_0,0.02631578947368421,-0.03425986956817315,3.0
Oklahoma,topic_0,0.025,-0.045766489063359894,4.0
Pennsylvania,topic_0,0.7049976862563628,5.9008342322897525,1.0
Tennessee,topic_0,0.0223463687150838,-0.06897257642516114,5.0
Georgia,topic_1,0.009762050030506406,-0.07624874639642756,3.0
Michigan,topic_1,0.5007312614259598,5.912348015399021,1.0
Nebraska,topic_1,0.008771929824561403,-0.08832573721680428,4.0
Nevada,topic_1,0.005988023952095809,-0.12228242799504231,5.0
North Carolina,topic_1,0.010273972602739725,-0.07000457102410025,2.0
California,topic_2,0.06452708439463406,0.24598437440776294,5.0
Connecticut,topic_2,0.48391332895600786,5.619144540642506,1.0
Indiana,topic_2,0.0873015873015873,0.53777041510975,3.0
Kansas,topic_2,0.08333333333333333,0.48692930043746163,4.0
Oregon,topic_2,0.10818713450292397,0.8053552291744255,2.0
Connecticut,topic_3,0.1792514773473408,1.8950962983038582,3.0
Nebraska,topic_3,0.21929824561403508,2.513821785205781,2.0
New Jersey,topic_3,0.13814955640050697,1.2600686256318505,5.0
South Carolina,topic_3,0.15526315789473685,1.5244750153471749,4.0
Virginia,topic_3,0.2774294670846395,3.411953391458666,1.0
Arizona,topic_4,0.07512520868113523,0.6839597325946416,5.0
California,topic_4,0.16267617592120903,2.2647542809395844,3.0
Oregon,topic_4,0.21052631578947367,3.1287223514907603,1.0
Utah,topic_4,0.15384615384615385,2.1053219959742204,4.0
Washington,topic_4,0.20294117647058824,2.9917673039142825,2.0
Arkansas,topic_5,0.06722689075630252,1.2459250085942266,2.0
Kansas,topic_5,0.013888888888888888,0.014725457636187964,4.0
Kentucky,topic_5,0.023255813953488372,0.23094191737646538,3.0
Michigan,topic_5,0.2603290676416819,5.703296960046131,1.0
Virginia,topic_5,0.011755485893416929,-0.03451982186578633,5.0
District of Columbia,topic_6,0.11475409836065574,0.830490436870253,5.0
Iowa,topic_6,0.3522727272727273,4.276976839258327,1.0
Kentucky,topic_6,0.13953488372093023,1.1900691367637282,3.0
Nevada,topic_6,0.23053892215568864,2.5105726377497763,2.0
South Carolina,topic_6,0.11578947368421053,0.8455141299184339,4.0
Alabama,topic_7,0.03225806451612903,0.06899379583680007,2.0
Kansas,topic_7,0.013888888888888888,-0.0828704458967112,3.0
Massachusetts,topic_7,0.7386900742741391,5.909308226664585,1.0
Minnesota,topic_7,0.009708737864077669,-0.11742918051804778,4.0
Nebraska,topic_7,0.008771929824561403,-0.12517409218191267,5.0
Colorado,topic_8,0.07377049180327869,1.4557005838412977,4.0
Illinois,topic_8,0.10671462829736211,2.7221986369922893,2.0
Indiana,topic_8,0.06349206349206349,1.0605586608485986,5.0
North Carolina,topic_8,0.09360730593607305,2.2183032547115493,3.0
Virginia,topic_8,0.10893416927899686,2.8075262440046664,1.0
Colorado,topic_9,0.00819672131147541,-0.1029882724668114,5.0
Florida,topic_9,0.5104166666666666,5.912135970492113,1.0
Louisiana,topic_9,0.011627906976744186,-0.06189271609129832,2.0
Minnesota,topic_9,0.009708737864077669,-0.08487874196044994,3.0
Virginia,topic_9,0.008620689655172414,-0.09791037325949226,4.0
Arkansas,topic_10,0.21008403361344538,3.3328561033506405,2.0
Louisiana,topic_10,0.23255813953488372,3.7511061355217854,1.0
South Carolina,topic_10,0.07368421052631578,0.7944133909350831,5.0
Tennessee,topic_10,0.09497206703910614,1.19058695630197,4.0
Texas,topic_10,0.1204954954954955,1.6655858198972326,3.0
Alabama,topic_11,0.03225806451612903,0.22359402561685618,5.0
Arkansas,topic_11,0.04201680672268908,0.36932725909406,3.0
Georgia,topic_11,0.4069554606467358,5.81917816523013,1.0
Minnesota,topic_11,0.038834951456310676,0.3218106789230946,4.0
Tennessee,topic_11,0.0446927374301676,0.4092885600801275,2.0
Iowa,topic_12,0.09090909090909091,2.221853636244849,3.0
Missouri,topic_12,0.09752066115702479,2.4459628478544353,2.0
Nevada,topic_12,0.059880239520958084,1.170083608705846,5.0
South Carolina,topic_12,0.11842105263157894,3.1544133490281614,1.0
Tennessee,topic_12,0.07262569832402235,1.6021102857043723,4.0
Arizona,topic_13,0.05509181969949917,0.9295492646310592,4.0
Colorado,topic_13,0.19672131147540983,4.457081040024691,1.0
Maryland,topic_13,0.025,0.18005953026590293,5.0
New York,topic_13,0.1461818181818182,3.1983060047550884,2.0
Washington,topic_13,0.06470588235294118,1.1690044167705675,3.0
Alabama,topic_14,0.0967741935483871,1.5468138739659074,2.0
District of Columbia,topic_14,0.04918032786885246,0.449661061728042,4.0
Florida,topic_14,0.04105392156862745,0.2623278960273787,5.0
Nebraska,topic_14,0.2631578947368421,5.38235744797641,1.0
Tennessee,topic_14,0.05027932960893855,0.4749956890497358,3.0
California,topic_15,0.07080998471726949,3.470184093315172,1.0
Indiana,topic_15,0.031746031746031744,1.174525394659068,5.0
Nebraska,topic_15,0.06140350877192982,2.917396761640935,2.0
South Carolina,topic_15,0.039473684210526314,1.6286538494360334,4.0
Wisconsin,topic_15,0.044036697247706424,1.8968069618104113,3.0
District of Columbia,topic_16,0.03278688524590164,0.6781760008448987,3.0
Missouri,topic_16,0.10578512396694215,3.8734325359485218,1.0
New Jersey,topic_16,0.030418250950570342,0.5744968663338569,5.0
Ohio,topic_16,0.09534368070953436,3.4163928814488917,2.0
Texas,topic_16,0.03209459459459459,0.6478732666072519,4.0
Alabama,topic_17,0.0967741935483871,3.3373947345344326,2.0
Connecticut,topic_17,0.11063690085357847,3.9118290130843,1.0
District of Columbia,topic_17,0.03278688524590164,0.6859282877660284,5.0
Indiana,topic_17,0.047619047619047616,1.3005342449272206,3.0
Minnesota,topic_17,0.038834951456310676,0.9365443091327281,4.0
Arkansas,topic_18,0.04201680672268908,0.5793061254743921,2.0
District of Columbia,topic_18,0.01639344262295082,0.07333104902681906,4.0
Georgia,topic_18,0.3087248322147651,5.845890679409404,1.0
Minnesota,topic_18,0.009708737864077669,-0.05866933890955064,5.0
Tennessee,topic_18,0.01675977653631285,0.08056490907334526,3.0
Kentucky,topic_19,0.06976744186046512,1.557992306972709,4.0
Louisiana,topic_19,0.12790697674418605,3.6530483081919027,1.0
Maryland,topic_19,0.08,1.9267221631872873,3.0
Minnesota,topic_19,0.08737864077669903,2.1926112121963874,2.0
Missouri,topic_19,0.05950413223140496,1.188154321964098,5.0
District of Columbia,topic_20,0.03278688524590164,0.19006804116441173,4.0
Missouri,topic_20,0.02975206611570248,0.13386576236046144,5.0
Oregon,topic_20,0.05847953216374269,0.6658740919827332,2.0
Utah,topic_20,0.03496503496503497,0.23040552835543376,3.0
Wisconsin,topic_20,0.3339449541284404,5.767260297193505,1.0
Colorado,topic_21,0.045081967213114756,1.9754559651388377,2.0
Florida,topic_21,0.030637254901960783,0.9996774567470952,5.0
Kansas,topic_21,0.041666666666666664,1.7447433831825145,3.0
Minnesota,topic_21,0.038834951456310676,1.5534535336769808,4.0
New York,topic_21,0.07054545454545455,3.695581859817704,1.0
Colorado,topic_22,0.040983606557377046,1.0004946442366665,3.0
Missouri,topic_22,0.03636363636363636,0.7881091701536884,5.0
Ohio,topic_22,0.12416851441241686,4.824602885297999,1.0
Oklahoma,topic_22,0.05,1.4149888759147369,2.0
South Carolina,topic_22,0.03684210526315789,0.8101049493031989,4.0
Alabama,topic_23,0.03225806451612903,1.280022267743756,5.0
District of Columbia,topic_23,0.03278688524590164,1.3210844656524103,4.0
Indiana,topic_23,0.03968253968253968,1.8565224907628761,2.0
Texas,topic_23,0.038288288288288286,1.748260799301224,3.0
Washington,topic_23,0.052941176470588235,2.8860372906534106,1.0
Alabama,topic_24,0.03225806451612903,0.2657449028992566,5.0
Colorado,topic_24,0.06967213114754098,1.2329581451796636,3.0
Indiana,topic_24,0.07936507936507936,1.4835363024567516,2.0
Maryland,topic_24,0.225,5.248431072230018,1.0
Nevada,topic_24,0.038922155688622756,0.4380222790342616,4.0
California,topic_25,0.042961453557480045,1.8079778045734987,4.0
Illinois,topic_25,0.050359712230215826,2.222449556232312,2.0
Oregon,topic_25,0.06725146198830409,3.1687740118258927,1.0
Utah,topic_25,0.04195804195804196,1.7517637977847789,5.0
Washington,topic_25,0.047058823529411764,2.0375242674079446,3.0
Alabama,topic_26,0.03225806451612903,0.8773028146333421,4.0
Arizona,topic_26,0.07846410684474124,2.786822451863781,2.0
Florida,topic_26,0.04963235294117647,1.5953159414574427,3.0
New Jersey,topic_26,0.11913814955640051,4.46772562749388,1.0
Ohio,topic_26,0.025498891352549888,0.5979719471354544,5.0
Arizona,topic_27,0.001669449081803005,-0.05383044071788204,3.0
Connecticut,topic_27,0.000984898227183191,-0.11207025078751869,5.0
Illinois,topic_27,0.001199040767386091,-0.09385155923950664,4.0
Michigan,topic_27,0.07166361974405851,5.901091940637514,1.0
Virginia,topic_27,0.004702194357366771,0.20418765632549463,2.0
California,topic_28,0.0489047376464595,4.639243170454189,1.0
Minnesota,topic_28,0.009708737864077669,0.5372054221100135,5.0
Ohio,topic_28,0.012195121951219513,0.7974167048675607,4.0
South Carolina,topic_28,0.018421052631578946,1.4489883655268718,3.0
Texas,topic_28,0.028716216216216218,2.526423560037278,2.0
Missouri,topic_29,0.0049586776859504135,0.004552731111750991,5.0
New York,topic_29,0.12290909090909091,5.86194839156852,1.0
Ohio,topic_29,0.007760532150776054,0.1436923045565125,3.0
South Carolina,topic_29,0.013157894736842105,0.41172433026655564,2.0
Virginia,topic_29,0.006269592476489028,0.06965251665301124,4.0
Alabama,topic_30,0.03225806451612903,0.9370335578420854,5.0
District of Columbia,topic_30,0.03278688524590164,0.9759586775638311,4.0
Kentucky,topic_30,0.06976744186046512,3.6980013520589186,1.0
Oklahoma,topic_30,0.05,2.242971324506648,2.0
Utah,topic_30,0.03496503496503497,1.136286618235916,3.0
Alabama,topic_31,0.03225806451612903,1.252449374490801,5.0
District of Columbia,topic_31,0.03278688524590164,1.2966231817780196,3.0
Illinois,topic_31,0.03237410071942446,1.2621421883200108,4.0
Kansas,topic_31,0.041666666666666664,2.038375029142563,2.0
Oklahoma,topic_31,0.05,2.7344806089769813,1.0
Alabama,topic_32,0.06451612903225806,1.7249346433431825,4.0
District of Columbia,topic_32,0.04918032786885246,1.0638188235978105,5.0
Iowa,topic_32,0.09090909090909091,2.8627170415883523,2.0
Kentucky,topic_32,0.09302325581395349,2.9538572336958464,1.0
Oklahoma,topic_32,0.075,2.176887095979458,3.0
Missouri,topic_33,0.02975206611570248,1.3135520886583656,4.0
Nebraska,topic_33,0.05263157894736842,3.2083087346500117,1.0
Nevada,topic_33,0.03592814371257485,1.825021198990028,2.0
Oregon,topic_33,0.03508771929824561,1.7554218261266326,3.0
Tennessee,topic_33,0.027932960893854747,1.1629037014215673,5.0
Arkansas,topic_34,0.04201680672268908,1.3130428690817355,3.0
Iowa,topic_34,0.03409090909090909,0.9079072336625628,5.0
Kentucky,topic_34,0.06976744186046512,2.7315284113058826,2.0
Nebraska,topic_34,0.03508771929824561,0.9588596122451896,4.0
Tennessee,topic_34,0.09497206703910614,4.019873569374442,1.0
Alabama,topic_35,0.06451612903225806,2.5087984528400358,1.0
Kentucky,topic_35,0.046511627906976744,1.4966399172513378,5.0
Louisiana,topic_35,0.05813953488372093,2.150325638152372,3.0
Minnesota,topic_35,0.05825242718446602,2.156672101462091,2.0
Oklahoma,topic_35,0.05,1.6927456335216484,4.0
Alabama,topic_36,0.06451612903225806,1.838824830352621,3.0
Connecticut,topic_36,0.020026263952724884,0.2624823987486563,5.0
Kansas,topic_36,0.09722222222222222,2.9976506073058413,2.0
Ohio,topic_36,0.03215077605321508,0.6920719884750305,4.0
Wisconsin,topic_36,0.13577981651376148,4.363803816214649,1.0
Kansas,topic_37,0.041666666666666664,0.9873821479867017,5.0
Kentucky,topic_37,0.11627906976744186,4.262503910970553,1.0
Maryland,topic_37,0.065,2.0116020447743788,2.0
Oklahoma,topic_37,0.05,1.353174968268015,4.0
Utah,topic_37,0.055944055944055944,1.61409012679035,3.0
Alabama,topic_38,0.03225806451612903,1.9714175021878257,2.0
Arkansas,topic_38,0.025210084033613446,1.3108017344547098,5.0
Indiana,topic_38,0.03968253968253968,2.667322573752839,1.0
South Carolina,topic_38,0.02894736842105263,1.661101937607928,3.0
Tennessee,topic_38,0.027932960893854747,1.5660202884693513,4.0
Kansas,topic_39,0.06944444444444445,4.293622564031946,1.0
Kentucky,topic_39,0.023255813953488372,0.898615515462592,4.0
Ohio,topic_39,0.018847006651884702,0.5745545570486101,5.0
Oklahoma,topic_39,0.05,2.864395820508344,2.0
Oregon,topic_39,0.02631578947368421,1.1235331705021516,3.0
Alabama,topic_40,0.0967741935483871,4.407399715412045,1.0
Indiana,topic_40,0.07142857142857142,3.0823396569263717,2.0
Iowa,topic_40,0.022727272727272728,0.5362531809105124,5.0
Maryland,topic_40,0.03,0.9164687613288807,3.0
