token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
akura,48,2,50,1.3237742042913663,7.715836105722281,Arkansas,Arkansas_vs_rest,304,68363
crusades,42,10,52,1.1062093767639922,6.7613716422409915,Arkansas,Arkansas_vs_rest,304,68363
anonymous,56,69,125,0.6206912301782932,6.006204676160726,Arkansas,Arkansas_vs_rest,304,68363
edda,23,0,23,1.3831915398361119,5.416273825248403,Arkansas,Arkansas_vs_rest,304,68363
terran,22,2,24,1.2605889732979048,5.1377485520869035,Arkansas,Arkansas_vs_rest,304,68363
hunter,62,256,318,0.2775955809046309,4.1974555462702074,Arkansas,Arkansas_vs_rest,304,68363
slander,16,9,25,0.8772541927676532,3.7820407836817886,Arkansas,Arkansas_vs_rest,304,68363
hunts,12,10,22,0.7506662982483174,3.047820586867758,Arkansas,Arkansas_vs_rest,304,68363
sharpness,12,10,22,0.7506662982483174,3.047820586867758,Arkansas,Arkansas_vs_rest,304,68363
fri,12,13,25,0.6633734278338199,2.872235859597711,Arkansas,Arkansas_vs_rest,304,68363
monster,60,774,834,0.1030123022322389,2.46920542401943,Arkansas,Arkansas_vs_rest,304,68363
stones,21,105,126,0.2380586956411328,2.2563309836037906,Arkansas,Arkansas_vs_rest,304,68363
kneel,9,18,27,0.46689739076849435,2.0880286085512725,Arkansas,Arkansas_vs_rest,304,68363
dean,19,115,134,0.20302835238158146,1.9764646566930923,Arkansas,Arkansas_vs_rest,304,68363
residence,18,126,144,0.17921745469175043,1.8033408515035916,Arkansas,Arkansas_vs_rest,304,68363
pokes,7,15,22,0.44641837407076324,1.7999894289742906,Arkansas,Arkansas_vs_rest,304,68363
hunters,14,86,100,0.20049389958691854,1.6855802474443402,Arkansas,Arkansas_vs_rest,304,68363
despise,6,14,20,0.4217762272042975,1.6189469019389682,Arkansas,Arkansas_vs_rest,304,68363
tripped,6,16,22,0.38465856323671943,1.5444514164283767,Arkansas,Arkansas_vs_rest,304,68363
shells,13,91,104,0.17921625517469053,1.5325347744635878,Arkansas,Arkansas_vs_rest,304,68363
blah,9,43,52,0.24703790201991538,1.5056638083190306,Arkansas,Arkansas_vs_rest,304,68363
nonexistent,9,47,56,0.22969920909144825,1.450040557663903,Arkansas,Arkansas_vs_rest,304,68363
valor,6,20,26,0.3271347170763761,1.4211281417334818,Arkansas,Arkansas_vs_rest,304,68363
outwardly,6,20,26,0.3271347170763761,1.4211281417334818,Arkansas,Arkansas_vs_rest,304,68363
chan,7,32,39,0.25600196758279203,1.3525659886862595,Arkansas,Arkansas_vs_rest,304,68363
cart,11,85,96,0.16437319829163322,1.3479256507273896,Arkansas,Arkansas_vs_rest,304,68363
suitcase,7,33,40,0.2497286081911767,1.3353282369801123,Arkansas,Arkansas_vs_rest,304,68363
mobility,10,83,93,0.15428614585958123,1.2436545838411062,Arkansas,Arkansas_vs_rest,304,68363
katrina,8,54,62,0.1849457313936469,1.22198494287297,Arkansas,Arkansas_vs_rest,304,68363
gps,8,59,67,0.17124688450815384,1.1741958866765791,Arkansas,Arkansas_vs_rest,304,68363
undefeated,6,32,38,0.22573459656816475,1.1733323847823107,Arkansas,Arkansas_vs_rest,304,68363
supremacist,5,22,27,0.26395557100851263,1.1613452616396498,Arkansas,Arkansas_vs_rest,304,68363
sat,17,304,321,0.07533699084949852,1.1158183124638987,Arkansas,Arkansas_vs_rest,304,68363
teammates,6,38,44,0.19534395982990738,1.0886917949939954,Arkansas,Arkansas_vs_rest,304,68363
exemplary,4,16,20,0.28457461780980076,1.079884747861065,Arkansas,Arkansas_vs_rest,304,68363
imperfections,4,16,20,0.28457461780980076,1.079884747861065,Arkansas,Arkansas_vs_rest,304,68363
supremacy,7,54,61,0.1646160138267927,1.0760932636372034,Arkansas,Arkansas_vs_rest,304,68363
demands,14,224,238,0.08390625161146481,1.071436586822637,Arkansas,Arkansas_vs_rest,304,68363
mats,5,27,32,0.22342043253002153,1.0654035500777874,Arkansas,Arkansas_vs_rest,304,68363
lengthy,10,116,126,0.11375829556945583,1.0614861053195406,Arkansas,Arkansas_vs_rest,304,68363
belies,4,17,21,0.2713293905541647,1.0536305809458462,Arkansas,Arkansas_vs_rest,304,68363
isolating,4,17,21,0.2713293905541647,1.0536305809458462,Arkansas,Arkansas_vs_rest,304,68363
technocratic,4,17,21,0.2713293905541647,1.0536305809458462,Arkansas,Arkansas_vs_rest,304,68363
questionable,6,41,47,0.18299529922330215,1.0524698131296106,Arkansas,Arkansas_vs_rest,304,68363
version,34,1291,1325,0.035149087298032455,1.0511727260158985,Arkansas,Arkansas_vs_rest,304,68363
diplomacy,8,78,86,0.13346902276523487,1.0317072406850978,Arkansas,Arkansas_vs_rest,304,68363
handler,6,43,49,0.17558480732173365,1.0301572572798892,Arkansas,Arkansas_vs_rest,304,68363
tense,13,215,228,0.0812689797309325,1.0153298190559152,Arkansas,Arkansas_vs_rest,304,68363
harvested,4,19,23,0.2482069721220732,1.0062269815197693,Arkansas,Arkansas_vs_rest,304,68363
phenomenal,4,19,23,0.2482069721220732,1.0062269815197693,Arkansas,Arkansas_vs_rest,304,68363
splendor,4,20,24,0.23805460015243796,0.9847266326062001,Arkansas,Arkansas_vs_rest,304,68363
paradoxes,4,20,24,0.23805460015243796,0.9847266326062001,Arkansas,Arkansas_vs_rest,304,68363
dent,4,21,25,0.22869415688725603,0.9645002657963582,Arkansas,Arkansas_vs_rest,304,68363
amplifies,4,21,25,0.22869415688725603,0.9645002657963582,Arkansas,Arkansas_vs_rest,304,68363
fatalis,5,34,39,0.1837701530223228,0.9628747860994782,Arkansas,Arkansas_vs_rest,304,68363
grapples,5,34,39,0.1837701530223228,0.9628747860994782,Arkansas,Arkansas_vs_rest,304,68363
prevents,7,69,76,0.1321472948073641,0.9600943211664528,Arkansas,Arkansas_vs_rest,304,68363
precarious,4,22,26,0.22003609363852128,0.9454267168804712,Arkansas,Arkansas_vs_rest,304,68363
indoors,4,22,26,0.22003609363852128,0.9454267168804712,Arkansas,Arkansas_vs_rest,304,68363
conquest,8,94,102,0.11240636679379179,0.9435275285755185,Arkansas,Arkansas_vs_rest,304,68363
overt,4,23,27,0.21200392143563995,0.9274003037253391,Arkansas,Arkansas_vs_rest,304,68363
multidimensional,4,23,27,0.21200392143563995,0.9274003037253391,Arkansas,Arkansas_vs_rest,304,68363
renting,4,23,27,0.21200392143563995,0.9274003037253391,Arkansas,Arkansas_vs_rest,304,68363
singular,7,79,86,0.11669444362893167,0.8999611689576812,Arkansas,Arkansas_vs_rest,304,68363
