token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
prompt,17752,12352,30104,0.47583177129754883,71.37045108640318,California,California_vs_rest,11254,57413
description,14018,9182,23200,0.49481962628190246,65.11344105312234,California,California_vs_rest,11254,57413
detailed,13789,9585,23374,0.47561837593360323,62.8599272840415,California,California_vs_rest,11254,57413
prompts,9755,5732,15487,0.5286936671519742,56.765461029604964,California,California_vs_rest,11254,57413
imagine,7776,4862,12638,0.5088085004820551,49.389841789796364,California,California_vs_rest,11254,57413
style,8393,6564,14957,0.4363715284944867,46.17939074399956,California,California_vs_rest,11254,57413
structure,6255,3977,10232,0.5032715961289407,43.96571123826664,California,California_vs_rest,11254,57413
images,6183,3914,10097,0.5046606169394172,43.79296757452769,California,California_vs_rest,11254,57413
lens,5702,3363,9065,0.5269558974873689,43.28889474188475,California,California_vs_rest,11254,57413
scenes,5693,3445,9138,0.5188799189659363,42.81125655702058,California,California_vs_rest,11254,57413
coffee,5716,3564,9280,0.5094113680281227,42.37130901976626,California,California_vs_rest,11254,57413
image,5662,4282,9944,0.4470414312982154,38.56504062724813,California,California_vs_rest,11254,57413
dignity,2132,92,2224,0.985788815336643,38.33267090493557,California,California_vs_rest,11254,57413
composition,4202,2308,6510,0.5488818463627725,38.1722777184268,California,California_vs_rest,11254,57413
midjourney,3875,2186,6061,0.5405779058125812,36.289360149164764,California,California_vs_rest,11254,57413
illustration,3830,2211,6041,0.5333994241612787,35.76001422527052,California,California_vs_rest,11254,57413
concept,4204,2738,6942,0.4953086059580496,35.650870601431,California,California_vs_rest,11254,57413
photographic,3765,2157,5922,0.5357622850099171,35.559100227492955,California,California_vs_rest,11254,57413
reminiscent,3786,2200,5986,0.5313426888277366,35.462824666524206,California,California_vs_rest,11254,57413
formatting,3815,2243,6058,0.5276773573063682,35.435043687240416,California,California_vs_rest,11254,57413
capturing,3786,2212,5998,0.5296417507547284,35.38735924721486,California,California_vs_rest,11254,57413
captured,3830,2323,6153,0.5178929082842183,35.06403480738282,California,California_vs_rest,11254,57413
painting,3880,2462,6342,0.5035851638218842,34.6343575315968,California,California_vs_rest,11254,57413
atmosphere,3873,2485,6358,0.5000427889643966,34.43857195109412,California,California_vs_rest,11254,57413
mood,3788,2437,6225,0.49917326708807863,34.01826903519521,California,California_vs_rest,11254,57413
focused,3885,2583,6468,0.4886445759780633,33.956962800894374,California,California_vs_rest,11254,57413
noun,1613,41,1654,1.010179592074559,33.74656932638539,California,California_vs_rest,11254,57413
camera,3865,2642,6507,0.47970221984489747,33.44558258692042,California,California_vs_rest,11254,57413
dog,3883,2684,6567,0.476108106999658,33.35138906639615,California,California_vs_rest,11254,57413
art,4255,3271,7526,0.44148996263959184,33.13757537451132,California,California_vs_rest,11254,57413
beauty,3908,2769,6677,0.46808407400001695,33.0705906307198,California,California_vs_rest,11254,57413
field,4065,3136,7201,0.4403045386259059,32.32795708570858,California,California_vs_rest,11254,57413
feelings,3866,2868,6734,0.4531076867201085,32.1616284103834,California,California_vs_rest,11254,57413
environment,4082,3219,7301,0.43308619323372266,32.02276106512289,California,California_vs_rest,11254,57413
follow,4170,3429,7599,0.41927874039887847,31.63604266090493,California,California_vs_rest,11254,57413
natural,4050,3379,7429,0.414462086413657,30.92314795201217,California,California_vs_rest,11254,57413
caption,1337,92,1429,0.9519745574642595,29.822173650245798,California,California_vs_rest,11254,57413
use,8067,11731,19798,0.23093676175480038,28.08706804411727,California,California_vs_rest,11254,57413
verb,1121,55,1176,0.9776824817605867,27.67853307323233,California,California_vs_rest,11254,57413
user,2502,1767,4269,0.46895763654148936,26.491767203411875,California,California_vs_rest,11254,57413
generative,2048,1198,3246,0.5290222715260295,26.002677190223764,California,California_vs_rest,11254,57413
background,2650,2106,4756,0.43034920860981973,25.68364562593877,California,California_vs_rest,11254,57413
emphasizing,1969,1160,3129,0.5267862590890351,25.424297858564742,California,California_vs_rest,11254,57413
concepts,2167,1434,3601,0.48992270647794633,25.40199015968211,California,California_vs_rest,11254,57413
compositions,1906,1082,2988,0.5383519041935223,25.377247582636688,California,California_vs_rest,11254,57413
niji,1898,1077,2975,0.5384830147806099,25.3279955178165,California,California_vs_rest,11254,57413
nikon,1903,1089,2992,0.5358562734545522,25.27938726108477,California,California_vs_rest,11254,57413
timeless,1912,1105,3017,0.5327823866756631,25.242651958399236,California,California_vs_rest,11254,57413
leica,1885,1075,2960,0.5369226657242683,25.19265359456393,California,California_vs_rest,11254,57413
armchairs,1878,1068,2946,0.5377961070360753,25.172884849478955,California,California_vs_rest,11254,57413
environmentcompositionsatmosphere,1878,1068,2946,0.5377961070360753,25.172884849478955,California,California_vs_rest,11254,57413
wegmans,1878,1068,2946,0.5377961070360753,25.172884849478955,California,California_vs_rest,11254,57413
portraits,1890,1084,2974,0.5351530014079264,25.170953105085275,California,California_vs_rest,11254,57413
face,4262,4982,9244,0.30224320663769255,25.157688031543717,California,California_vs_rest,11254,57413
wagging,1880,1079,2959,0.5349392229859902,25.097606219889304,California,California_vs_rest,11254,57413
aromatic,1880,1079,2959,0.5349392229859902,25.097606219889304,California,California_vs_rest,11254,57413
vinci,1879,1079,2958,0.5347733361508702,25.085770882080986,California,California_vs_rest,11254,57413
teacups,1878,1078,2956,0.5348962091991698,25.08291161471022,California,California_vs_rest,11254,57413
steaming,1879,1082,2961,0.5339080547897774,25.058853278992387,California,California_vs_rest,11254,57413
joyful,1898,1108,3006,0.529637596949696,25.051346003552677,California,California_vs_rest,11254,57413
bookshelf,1880,1085,2965,0.5332107003677748,25.043803195188417,California,California_vs_rest,11254,57413
grassy,1879,1084,2963,0.5333322110346197,25.040924321071735,California,California_vs_rest,11254,57413
tones,1901,1120,3021,0.5267597117650924,24.98043411117539,California,California_vs_rest,11254,57413
spartan,1884,1099,2983,0.5298709419940817,24.966060742888676,California,California_vs_rest,11254,57413
iconic,1912,1141,3053,0.5227411929017638,24.925078488363308,California,California_vs_rest,11254,57413
sipping,1879,1098,2977,0.529323781323245,24.915781129055542,California,California_vs_rest,11254,57413
distinct,1985,1242,3227,0.5077889236399216,24.907520371771145,California,California_vs_rest,11254,57413
unreal,1893,1119,3012,0.5257163350251304,24.89490445500507,California,California_vs_rest,11254,57413
details,4131,4800,8931,0.3042189180006325,24.89037665319537,California,California_vs_rest,11254,57413
vertical,1960,1211,3171,0.511782640581746,24.880780295801497,California,California_vs_rest,11254,57413
shallow,1888,1114,3002,0.5262906472779152,24.88008120656923,California,California_vs_rest,11254,57413
porcelain,1885,1110,2995,0.526919338682907,24.88006949501477,California,California_vs_rest,11254,57413
beans,1890,1119,3009,0.5252183122414298,24.859460685157636,California,California_vs_rest,11254,57413
fallen,1932,1178,3110,0.5159666839477604,24.837601060835294,California,California_vs_rest,11254,57413
photography,1929,1177,3106,0.515743646973827,24.811116533452086,California,California_vs_rest,11254,57413
blending,1898,1136,3034,0.5218092507254797,24.804068380128673,California,California_vs_rest,11254,57413
imagery,1930,1181,3111,0.5148354280403167,24.788257410907708,California,California_vs_rest,11254,57413
spartans,1880,1115,2995,0.5246758174662745,24.77651548304085,California,California_vs_rest,11254,57413
essence,1985,1258,3243,0.5037182853055855,24.77284643758573,California,California_vs_rest,11254,57413
womans,1884,1125,3009,0.5225390445713733,24.735453074006774,California,California_vs_rest,11254,57413
bravery,1896,1142,3038,0.5198188121051821,24.72778373425135,California,California_vs_rest,11254,57413
horizontal,1917,1171,3088,0.5153851095220592,24.722276224733875,California,California_vs_rest,11254,57413
cozy,1896,1145,3041,0.5189921163243598,24.701487053122648,California,California_vs_rest,11254,57413
fluffy,1923,1195,3118,0.509952594752507,24.585508824015378,California,California_vs_rest,11254,57413
sunlight,1918,1193,3111,0.5096574235120235,24.54396204193352,California,California_vs_rest,11254,57413
smoke,1929,1209,3138,0.5072450929743573,24.535845579131262,California,California_vs_rest,11254,57413
visualize,1898,1167,3065,0.5133147554935071,24.53312370872861,California,California_vs_rest,11254,57413
battlefield,1901,1173,3074,0.5121917664571658,24.51645692712009,California,California_vs_rest,11254,57413
sophisticated,1917,1196,3113,0.5086948843059798,24.506394590509363,California,California_vs_rest,11254,57413
realization,1899,1172,3071,0.5121282324458907,24.501512400716617,California,California_vs_rest,11254,57413
artwork,1917,1198,3115,0.5081644542505783,24.489204373290253,California,California_vs_rest,11254,57413
sculpture,1888,1162,3050,0.5130004070000505,24.458334862597933,California,California_vs_rest,11254,57413
comma,1919,1205,3124,0.5066451968461179,24.452657606881846,California,California_vs_rest,11254,57413
varying,1908,1190,3098,0.5087963090011156,24.452058662325474,California,California_vs_rest,11254,57413
novels,1885,1160,3045,0.5130418986287468,24.440214770039315,California,California_vs_rest,11254,57413
tables,1931,1223,3154,0.5039131873887275,24.439820059848017,California,California_vs_rest,11254,57413
halo,1886,1164,3050,0.5121201334869641,24.417215946815364,California,California_vs_rest,11254,57413
create,5483,7599,13082,0.24631292504909386,24.362550142338097,California,California_vs_rest,11254,57413
streaming,1905,1199,3104,0.5059023892183783,24.339207637986412,California,California_vs_rest,11254,57413
paperwork,1884,1176,3060,0.5085314750483532,24.28922760321502,California,California_vs_rest,11254,57413
generator,1906,1210,3116,0.503163068084306,24.25666087409124,California,California_vs_rest,11254,57413
depth,2043,1403,3446,0.4779648797928644,24.252160289600397,California,California_vs_rest,11254,57413
fur,1933,1255,3188,0.49600026543249953,24.192328428026837,California,California_vs_rest,11254,57413
leonardo,1882,1186,3068,0.5055031691086853,24.17892119979188,California,California_vs_rest,11254,57413
vibrant,1971,1311,3282,0.48824981073021423,24.16930103523398,California,California_vs_rest,11254,57413
captivating,1914,1247,3161,0.49488298831281163,24.036347054792177,California,California_vs_rest,11254,57413
dogs,1892,1222,3114,0.4976600334499661,23.988488949622127,California,California_vs_rest,11254,57413
content,2537,2204,4741,0.4008672669334503,23.897206739231592,California,California_vs_rest,11254,57413
landscape,1990,1376,3366,0.47574210614174195,23.85914995361282,California,California_vs_rest,11254,57413
amidst,1936,1303,3239,0.48445021355964446,23.826584549024762,California,California_vs_rest,11254,57413
delicate,1961,1347,3308,0.4778789320304693,23.757374765246915,California,California_vs_rest,11254,57413
shop,1945,1325,3270,0.48054901932589544,23.750519083400523,California,California_vs_rest,11254,57413
adhere,1903,1274,3177,0.4861566917905007,23.679236032918865,California,California_vs_rest,11254,57413
hint,1918,1297,3215,0.48292533036778984,23.664593416274762,California,California_vs_rest,11254,57413
soft,2268,1816,4084,0.4278251621714899,23.661598462679883,California,California_vs_rest,11254,57413
enemies,1965,1382,3347,0.4702337231303009,23.52008994779061,California,California_vs_rest,11254,57413
realistic,1995,1452,3447,0.4590960181953392,23.310696257255035,California,California_vs_rest,11254,57413
william,1909,1331,3240,0.4730427373452528,23.277391082615154,California,California_vs_rest,11254,57413
descriptive,1025,246,1271,0.768312632627369,23.22112752701035,California,California_vs_rest,11254,57413
wooden,1938,1392,3330,0.46339227411097017,23.123412100774125,California,California_vs_rest,11254,57413
lake,1920,1374,3294,0.464588410748104,23.056685959702694,California,California_vs_rest,11254,57413
playful,1933,1396,3329,0.46161648346607453,23.03244865211458,California,California_vs_rest,11254,57413
styles,1950,1424,3374,0.45800001468402485,23.00813784651567,California,California_vs_rest,11254,57413
separate,2025,1546,3571,0.443464337580842,22.92713084569337,California,California_vs_rest,11254,57413
imaginative,827,91,918,0.9016480873372554,22.798086471001007,California,California_vs_rest,11254,57413
digital,2143,1781,3924,0.41550955074669194,22.530493574642232,California,California_vs_rest,11254,57413
square,2147,1792,3939,0.4140893998892281,22.49684798805935,California,California_vs_rest,11254,57413
classic,1953,1509,3462,0.4395221260925375,22.3757548794626,California,California_vs_rest,11254,57413
cup,1967,1531,3498,0.4371144602409789,22.369719824928016,California,California_vs_rest,11254,57413
mass,1279,600,1879,0.595987090852919,22.210439977442896,California,California_vs_rest,11254,57413
guidelines,1991,1590,3581,0.4286604234470648,22.19951178744861,California,California_vs_rest,11254,57413
chaos,1983,1601,3584,0.4250569764969381,22.02355949146324,California,California_vs_rest,11254,57413
sap,676,14,690,1.0166952595461343,21.913780395010463,California,California_vs_rest,11254,57413
specific,2587,2621,5208,0.3496672366050513,21.85345119756246,California,California_vs_rest,11254,57413
colorful,1986,1630,3616,0.41962727540851574,21.84110296839792,California,California_vs_rest,11254,57413
decor,1961,1599,3560,0.4217830965509153,21.78187101944634,California,California_vs_rest,11254,57413
sitting,1954,1591,3545,0.42225777564785894,21.76021970022459,California,California_vs_rest,11254,57413
determination,1983,1651,3634,0.4148929451551604,21.649988452899617,California,California_vs_rest,11254,57413
task,2102,1850,3952,0.3964941344348025,21.581306971033744,California,California_vs_rest,11254,57413
japanese,1953,1622,3575,0.4157088160535958,21.515476063830167,California,California_vs_rest,11254,57413
dick,703,59,762,0.9329212069455295,21.399185494150252,California,California_vs_rest,11254,57413
warm,2160,1991,4151,0.38112374713886243,21.263414823005487,California,California_vs_rest,11254,57413
spirit,2049,1823,3872,0.3928867433609238,21.168177490683334,California,California_vs_rest,11254,57413
spq,613,0,613,1.0469687405175474,21.165002437036026,California,California_vs_rest,11254,57413
tail,1950,1671,3621,0.40533947277051485,21.116430408615923,California,California_vs_rest,11254,57413
slade,632,19,651,1.0035024471914227,21.05319649237601,California,California_vs_rest,11254,57413
elegant,1995,1752,3747,0.3972058565484007,21.05167338149571,California,California_vs_rest,11254,57413
expression,2095,1938,4033,0.37992574963600134,20.893293476091106,California,California_vs_rest,11254,57413
lines,2043,1870,3913,0.3834429982173626,20.770129350837767,California,California_vs_rest,11254,57413
window,1983,1810,3793,0.3843686310559251,20.498391890902727,California,California_vs_rest,11254,57413
sky,2035,1900,3935,0.37683616203851944,20.47043973462185,California,California_vs_rest,11254,57413
collar,1917,1710,3627,0.39200599950921244,20.44177109751181,California,California_vs_rest,11254,57413
adjective,614,33,647,0.971387514327489,20.41699154531513,California,California_vs_rest,11254,57413
modify,865,266,1131,0.7106685588854695,20.372937069959185,California,California_vs_rest,11254,57413
substance,746,152,898,0.8021783280456845,20.305686891177583,California,California_vs_rest,11254,57413
etc,2145,2144,4289,0.35412476485086586,20.084681662120786,California,California_vs_rest,11254,57413
reach,2073,2022,4095,0.36226636480420105,20.07621581040543,California,California_vs_rest,11254,57413
example,2989,3697,6686,0.28340642640219293,20.056391306845498,California,California_vs_rest,11254,57413
generate,2448,2698,5146,0.3216012192647222,19.976815434628357,California,California_vs_rest,11254,57413
english,2316,2499,4815,0.328640839675165,19.747651515583414,California,California_vs_rest,11254,57413
pok,630,98,728,0.8509927884634347,19.285880497824916,California,California_vs_rest,11254,57413
beautiful,2242,2446,4688,0.3249575775597533,19.26661457585616,California,California_vs_rest,11254,57413
blue,2478,2890,5368,0.3028080055564999,19.20711174063083,California,California_vs_rest,11254,57413
air,2151,2296,4447,0.33222391549292407,19.18533715685401,California,California_vs_rest,11254,57413
keychain,836,316,1152,0.6570710279510248,19.09398905591872,California,California_vs_rest,11254,57413
filled,2028,2103,4131,0.3418477565693214,19.02755606564418,California,California_vs_rest,11254,57413
hands,2064,2174,4238,0.3366496977145106,18.978989326345854,California,California_vs_rest,11254,57413
fire,2039,2136,4175,0.3384623050557751,18.93896123448458,California,California_vs_rest,11254,57413
words,3173,4310,7483,0.2526468848065724,18.902737477670765,California,California_vs_rest,11254,57413
setting,2108,2348,4456,0.31804165665370476,18.383035556611823,California,California_vs_rest,11254,57413
line,2722,3534,6256,0.2674097388635861,18.299927490850678,California,California_vs_rest,11254,57413
mon,611,138,749,0.7812088788692169,18.100763687531153,California,California_vs_rest,11254,57413
topic,1173,844,2017,0.46272205108460085,17.970530185990327,California,California_vs_rest,11254,57413
bracelet,896,476,1372,0.5586390056265813,17.826499917634436,California,California_vs_rest,11254,57413
type,2674,3551,6225,0.25999345248854766,17.745298358333592,California,California_vs_rest,11254,57413
vintage,1995,2264,4259,0.31182417698222764,17.619677905318074,California,California_vs_rest,11254,57413
below,2370,2984,5354,0.2774721092170056,17.569993573745748,California,California_vs_rest,11254,57413
chemical,635,199,834,0.7059294457343448,17.385160463773826,California,California_vs_rest,11254,57413
particles,562,126,688,0.7827446159851785,17.379306862569784,California,California_vs_rest,11254,57413
role,1627,1659,3286,0.34741437680114284,17.246854903980505,California,California_vs_rest,11254,57413
clear,2140,2626,4766,0.28593511006786443,17.085358876333885,California,California_vs_rest,11254,57413
real,2248,2839,5087,0.27645889654338074,17.063423398691874,California,California_vs_rest,11254,57413
