token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
maria,282,159,441,0.8746833731867891,15.838561047572272,District of Columbia,District of Columbia_vs_rest,109,68558
textbox,36,0,36,1.3812913400536821,6.76691793851345,District of Columbia,District of Columbia_vs_rest,109,68558
kaynes,31,0,31,1.381290125184547,6.279428567839731,District of Columbia,District of Columbia_vs_rest,109,68558
page,180,1604,1784,0.14292128535276305,5.039428682867228,District of Columbia,District of Columbia_vs_rest,109,68558
littlegpt,42,63,105,0.5546141734607541,4.910763230093541,District of Columbia,District of Columbia_vs_rest,109,68558
rat,38,77,115,0.4610871321498635,4.25470824106511,District of Columbia,District of Columbia_vs_rest,109,68558
lab,80,488,568,0.19980168621665229,4.003905474207812,District of Columbia,District of Columbia_vs_rest,109,68558
laboratory,58,258,316,0.25977569629790764,3.9091838526856453,District of Columbia,District of Columbia_vs_rest,109,68558
genesis,56,270,326,0.2433287410146452,3.7126054085089097,District of Columbia,District of Columbia_vs_rest,109,68558
listbox,13,8,21,0.847203259228225,3.3516279280105303,District of Columbia,District of Columbia_vs_rest,109,68558
screenplay,37,163,200,0.2618015766925996,3.134903076673769,District of Columbia,District of Columbia_vs_rest,109,68558
breakthrough,21,46,67,0.4380894731976319,3.081380620026374,District of Columbia,District of Columbia_vs_rest,109,68558
ext,22,57,79,0.3906063425534825,2.9736870326725846,District of Columbia,District of Columbia_vs_rest,109,68558
stakes,25,96,121,0.29185067678575827,2.726551386076275,District of Columbia,District of Columbia_vs_rest,109,68558
labour,21,76,97,0.3055334829676344,2.559035859238948,District of Columbia,District of Columbia_vs_rest,109,68558
playername,13,25,38,0.4768294570813669,2.5314305330109685,District of Columbia,District of Columbia_vs_rest,109,68558
outbreak,14,39,53,0.3710428246579802,2.310238357830714,District of Columbia,District of Columbia_vs_rest,109,68558
city,100,2284,2384,0.057297306042248586,2.3070747694100704,District of Columbia,District of Columbia_vs_rest,109,68558
deepening,12,29,41,0.40993497601961515,2.2513829530052973,District of Columbia,District of Columbia_vs_rest,109,68558
reduced,35,304,339,0.14625474227901947,2.2490067970914285,District of Columbia,District of Columbia_vs_rest,109,68558
improvement,34,294,328,0.14684755334232769,2.2213584459883053,District of Columbia,District of Columbia_vs_rest,109,68558
dialogue,99,2421,2520,0.0533823277518124,2.208573138491478,District of Columbia,District of Columbia_vs_rest,109,68558
cut,55,783,838,0.0919361984634115,2.2060794139544897,District of Columbia,District of Columbia_vs_rest,109,68558
conveys,14,47,61,0.3234956622107745,2.1522138711096592,District of Columbia,District of Columbia_vs_rest,109,68558
voters,16,69,85,0.2663071582528911,2.079858538229062,District of Columbia,District of Columbia_vs_rest,109,68558
emotional,52,788,840,0.08650599225338951,2.0766129073411133,District of Columbia,District of Columbia_vs_rest,109,68558
foreboding,8,14,22,0.5058157880558252,2.0461256084338424,District of Columbia,District of Columbia_vs_rest,109,68558
conservatives,10,25,35,0.40045574937887096,2.030681282508296,District of Columbia,District of Columbia_vs_rest,109,68558
fade,28,243,271,0.1463623258035298,2.012339180223375,District of Columbia,District of Columbia_vs_rest,109,68558
urgency,26,211,237,0.15550235772122,2.001792505892425,District of Columbia,District of Columbia_vs_rest,109,68558
accelerated,17,89,106,0.22732426731753996,1.9742497941756938,District of Columbia,District of Columbia_vs_rest,109,68558
exitexitfailure,9,21,30,0.41987359552298287,1.9738525224556374,District of Columbia,District of Columbia_vs_rest,109,68558
narrative,40,519,559,0.10054355572424178,1.9729246560443174,District of Columbia,District of Columbia_vs_rest,109,68558
elixir,8,16,24,0.46499379190576917,1.9605859736807973,District of Columbia,District of Columbia_vs_rest,109,68558
impending,15,69,84,0.252820929592648,1.9600902399659401,District of Columbia,District of Columbia_vs_rest,109,68558
fprintfstderr,10,28,38,0.3696840882676451,1.9488163703623291,District of Columbia,District of Columbia_vs_rest,109,68558
election,27,255,282,0.1354849475035209,1.8974583356163206,District of Columbia,District of Columbia_vs_rest,109,68558
applause,14,65,79,0.25092495471179177,1.8862202445085585,District of Columbia,District of Columbia_vs_rest,109,68558
infusing,7,13,20,0.4874664072307535,1.8784858125495951,District of Columbia,District of Columbia_vs_rest,109,68558
tension,29,309,338,0.12115776067115824,1.854032884048558,District of Columbia,District of Columbia_vs_rest,109,68558
dread,14,70,84,0.23615363331808936,1.8275436540556393,District of Columbia,District of Columbia_vs_rest,109,68558
moment,72,1902,1974,0.0492343345055648,1.8016837824721854,District of Columbia,District of Columbia_vs_rest,109,68558
subtle,24,226,250,0.135851311937639,1.7914799951065026,District of Columbia,District of Columbia_vs_rest,109,68558
audience,44,755,799,0.07652491611148093,1.7889909339899346,District of Columbia,District of Columbia_vs_rest,109,68558
triumphant,8,21,29,0.38703224636155475,1.7847335532770734,District of Columbia,District of Columbia_vs_rest,109,68558
personal,85,2641,2726,0.041425119013037914,1.7792477780467248,District of Columbia,District of Columbia_vs_rest,109,68558
baltimore,13,64,77,0.2391882989269387,1.7728204438539061,District of Columbia,District of Columbia_vs_rest,109,68558
dawn,21,182,203,0.14654308423862972,1.7438577483054003,District of Columbia,District of Columbia_vs_rest,109,68558
manifesto,7,17,24,0.40855223721398737,1.716540758760011,District of Columbia,District of Columbia_vs_rest,109,68558
suggestions,34,499,533,0.08924862507653053,1.707295440536072,District of Columbia,District of Columbia_vs_rest,109,68558
stevens,8,24,32,0.35166510007955587,1.698703817913086,District of Columbia,District of Columbia_vs_rest,109,68558
scientific,36,578,614,0.08172820434090688,1.676185001174415,District of Columbia,District of Columbia_vs_rest,109,68558
crisis,24,260,284,0.11929156821137532,1.6728798827961404,District of Columbia,District of Columbia_vs_rest,109,68558
science,55,1314,1369,0.0546819489939967,1.667811503563046,District of Columbia,District of Columbia_vs_rest,109,68558
hints,15,101,116,0.18343894444260656,1.657934754148357,District of Columbia,District of Columbia_vs_rest,109,68558
partys,7,19,26,0.377982169499429,1.649252833481901,District of Columbia,District of Columbia_vs_rest,109,68558
unfolding,11,54,65,0.23974788834913063,1.6327427418530454,District of Columbia,District of Columbia_vs_rest,109,68558
ctx,8,28,36,0.31344388399974576,1.600531580276212,District of Columbia,District of Columbia_vs_rest,109,68558
amid,12,72,84,0.202630453700813,1.5620767275407481,District of Columbia,District of Columbia_vs_rest,109,68558
zombies,12,74,86,0.19793193128974274,1.5430465875016064,District of Columbia,District of Columbia_vs_rest,109,68558
triumph,12,75,87,0.19566178194044426,1.5337721771364639,District of Columbia,District of Columbia_vs_rest,109,68558
palpable,10,53,63,0.22500704905750268,1.506106374186964,District of Columbia,District of Columbia_vs_rest,109,68558
montage,6,17,23,0.3665532323338532,1.5029395143214122,District of Columbia,District of Columbia_vs_rest,109,68558
helicopter,9,43,52,0.24513453676339836,1.4940630452081192,District of Columbia,District of Columbia_vs_rest,109,68558
facility,21,253,274,0.10791511664444364,1.484098381015375,District of Columbia,District of Columbia_vs_rest,109,68558
poignant,8,35,43,0.26325413377155904,1.4618833969089902,District of Columbia,District of Columbia_vs_rest,109,68558
enabled,36,750,786,0.06294703042225613,1.4565817457600008,District of Columbia,District of Columbia_vs_rest,109,68558
nuanced,14,118,132,0.15028442180236468,1.4428221603657219,District of Columbia,District of Columbia_vs_rest,109,68558
enclosure,6,20,26,0.32523136032700783,1.4128596404124982,District of Columbia,District of Columbia_vs_rest,109,68558
anchor,10,62,72,0.19701723899532553,1.4051952671169432,District of Columbia,District of Columbia_vs_rest,109,68558
underscore,8,39,47,0.24112321345616472,1.3965614084786926,District of Columbia,District of Columbia_vs_rest,109,68558
discovery,20,262,282,0.09961782905198291,1.388208863023978,District of Columbia,District of Columbia_vs_rest,109,68558
stark,11,78,89,0.1753143951905738,1.3865009857481425,District of Columbia,District of Columbia_vs_rest,109,68558
adding,29,543,572,0.0701272672397888,1.3858076146078846,District of Columbia,District of Columbia_vs_rest,109,68558
cues,8,40,48,0.23615219991923908,1.3814847628637517,District of Columbia,District of Columbia_vs_rest,109,68558
toast,10,65,75,0.18914662311849284,1.3755640393700925,District of Columbia,District of Columbia_vs_rest,109,68558
awaits,10,66,76,0.18665802707489476,1.3660690295243907,District of Columbia,District of Columbia_vs_rest,109,68558
monologue,6,22,28,0.3024743715744336,1.3607345148891552,District of Columbia,District of Columbia_vs_rest,109,68558
grounding,7,31,38,0.2606930731970234,1.3605292039009595,District of Columbia,District of Columbia_vs_rest,109,68558
stillness,5,15,20,0.35166437849840726,1.3429405280737936,District of Columbia,District of Columbia_vs_rest,109,68558
edward,11,84,95,0.1641913050017525,1.3396988136574148,District of Columbia,District of Columbia_vs_rest,109,68558
silence,21,314,335,0.08763827331189233,1.3287954391815124,District of Columbia,District of Columbia_vs_rest,109,68558
entwined,6,24,30,0.2826717426482901,1.3137395420643077,District of Columbia,District of Columbia_vs_rest,109,68558
approvals,6,24,30,0.2826717426482901,1.3137395420643077,District of Columbia,District of Columbia_vs_rest,109,68558
glimpse,10,72,82,0.17297375816904292,1.3127044028869426,District of Columbia,District of Columbia_vs_rest,109,68558
hum,10,72,82,0.17297375816904292,1.3127044028869426,District of Columbia,District of Columbia_vs_rest,109,68558
richer,7,34,41,0.24184998295071125,1.3084127146289553,District of Columbia,District of Columbia_vs_rest,109,68558
portrayal,9,59,68,0.18775588654779618,1.299947165244628,District of Columbia,District of Columbia_vs_rest,109,68558
desperation,8,46,54,0.21010151782985176,1.2997730483883834,District of Columbia,District of Columbia_vs_rest,109,68558
cure,11,90,101,0.1543634550900972,1.297026565872199,District of Columbia,District of Columbia_vs_rest,109,68558
undead,10,74,84,0.1688375311469965,1.2961676942574942,District of Columbia,District of Columbia_vs_rest,109,68558
scene,57,2147,2204,0.033549005477122584,1.2940708393027636,District of Columbia,District of Columbia_vs_rest,109,68558
nuances,7,35,42,0.2361519610211289,1.2922593596344965,District of Columbia,District of Columbia_vs_rest,109,68558
reactions,25,466,491,0.07044448135494719,1.2898120270885243,District of Columbia,District of Columbia_vs_rest,109,68558
presentation,20,305,325,0.08596462115538372,1.283504122733072,District of Columbia,District of Columbia_vs_rest,109,68558
buildup,6,26,32,0.2652799983064593,1.2710852663392407,District of Columbia,District of Columbia_vs_rest,109,68558
crowd,19,283,302,0.08796907434321533,1.266474274496051,District of Columbia,District of Columbia_vs_rest,109,68558
argv,10,78,88,0.1611174689586381,1.2647589147103537,District of Columbia,District of Columbia_vs_rest,109,68558
subtly,10,78,88,0.1611174689586381,1.2647589147103537,District of Columbia,District of Columbia_vs_rest,109,68558
alarm,11,95,106,0.14700703450630037,1.2641992154608153,District of Columbia,District of Columbia_vs_rest,109,68558
monitors,8,49,57,0.1990854921116938,1.2637209018447877,District of Columbia,District of Columbia_vs_rest,109,68558
ripple,6,28,34,0.2498819165653714,1.2321414927082195,District of Columbia,District of Columbia_vs_rest,109,68558
unease,7,40,47,0.21121300859914882,1.2191793910237019,District of Columbia,District of Columbia_vs_rest,109,68558
frantic,6,30,36,0.23615172212350544,1.1963984789589817,District of Columbia,District of Columbia_vs_rest,109,68558
maryland,8,56,64,0.17731168685776488,1.1894429550573553,District of Columbia,District of Columbia_vs_rest,109,68558
perhaps,35,1016,1051,0.04454603034035998,1.1885902792096474,District of Columbia,District of Columbia_vs_rest,109,68558
brink,7,43,50,0.19858885292591388,1.1805602054860418,District of Columbia,District of Columbia_vs_rest,109,68558
equivalence,6,31,37,0.22982925556903488,1.1795938648912159,District of Columbia,District of Columbia_vs_rest,109,68558
