token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
manipulation,1943,235,2178,1.1390912819489198,44.437429712238384,Georgia,Georgia_vs_rest,3129,65538
tommy,1117,78,1195,1.2004207717668613,34.39513658804653,Georgia,Georgia_vs_rest,3129,65538
ranger,769,66,835,1.180357203218703,28.35137765480382,Georgia,Georgia_vs_rest,3129,65538
abilities,1194,851,2045,0.7156243800707012,27.982247724013558,Georgia,Georgia_vs_rest,3129,65538
spongebob,794,252,1046,0.9525505283188078,26.278938004245017,Georgia,Georgia_vs_rest,3129,65538
saiyan,585,5,590,1.2840285239435598,25.51910591561671,Georgia,Georgia_vs_rest,3129,65538
girlfriend,711,300,1011,0.876286568951846,23.9071534693778,Georgia,Georgia_vs_rest,3129,65538
eddy,495,15,510,1.2528908408097639,23.26645417548564,Georgia,Georgia_vs_rest,3129,65538
billy,498,30,528,1.212610799612463,23.053380742562748,Georgia,Georgia_vs_rest,3129,65538
powers,912,938,1850,0.5942565998214713,22.135316902494555,Georgia,Georgia_vs_rest,3129,65538
mastery,502,92,594,1.07209157617101,22.021422468353787,Georgia,Georgia_vs_rest,3129,65538
scpxxxx,463,117,580,1.0066087212958887,20.57522570175708,Georgia,Georgia_vs_rest,3129,65538
zack,412,45,457,1.1522703426826535,20.554049755221058,Georgia,Georgia_vs_rest,3129,65538
power,1575,3794,5369,0.32643730936756743,20.51710871082612,Georgia,Georgia_vs_rest,3129,65538
desired,521,231,752,0.8620714530099107,20.30320861505189,Georgia,Georgia_vs_rest,3129,65538
combat,628,472,1100,0.6981853532237547,20.031427695760332,Georgia,Georgia_vs_rest,3129,65538
physiology,380,31,411,1.185508486490841,19.96284824629932,Georgia,Georgia_vs_rest,3129,65538
edd,352,6,358,1.2716256175502583,19.72590757483571,Georgia,Georgia_vs_rest,3129,65538
rangers,379,56,435,1.1090360561227364,19.40856196564933,Georgia,Georgia_vs_rest,3129,65538
joshua,365,45,410,1.1360824638794593,19.235959328618286,Georgia,Georgia_vs_rest,3129,65538
kid,509,315,824,0.7608264456910927,18.855510861101216,Georgia,Georgia_vs_rest,3129,65538
superhuman,346,39,385,1.1481927063516277,18.80898709345483,Georgia,Georgia_vs_rest,3129,65538
super,648,708,1356,0.5740697789817268,18.30534496767142,Georgia,Georgia_vs_rest,3129,65538
rocky,340,61,401,1.075946781056512,18.15047807770403,Georgia,Georgia_vs_rest,3129,65538
martial,398,186,584,0.8467229784039318,17.590387286459922,Georgia,Georgia_vs_rest,3129,65538
possesses,424,245,669,0.7823780520862673,17.45525313718147,Georgia,Georgia_vs_rest,3129,65538
donatello,262,7,269,1.257855581995173,16.951019192112906,Georgia,Georgia_vs_rest,3129,65538
durability,304,67,371,1.0359967111370665,16.88494833878902,Georgia,Georgia_vs_rest,3129,65538
strength,704,1174,1878,0.4363434119592,16.318881377398245,Georgia,Georgia_vs_rest,3129,65538
jason,393,270,663,0.7273581239433131,16.188390921066283,Georgia,Georgia_vs_rest,3129,65538
mandy,226,5,231,1.2643380116181024,15.772868376288395,Georgia,Georgia_vs_rest,3129,65538
personality,777,1565,2342,0.3783295175426842,15.755984570692831,Georgia,Georgia_vs_rest,3129,65538
level,904,2124,3028,0.33337040818250774,15.742843052121875,Georgia,Georgia_vs_rest,3129,65538
skilled,383,298,681,0.686776254223016,15.507552041248408,Georgia,Georgia_vs_rest,3129,65538
dark,840,1925,2765,0.3404849633475777,15.371944148871883,Georgia,Georgia_vs_rest,3129,65538
manipulate,303,157,460,0.8158904193231837,15.069440955566005,Georgia,Georgia_vs_rest,3129,65538
michelangelo,209,8,217,1.2418215349423285,15.068317106633577,Georgia,Georgia_vs_rest,3129,65538
selftimerinterval,200,0,200,1.2966278792806243,14.97216910282884,Georgia,Georgia_vs_rest,3129,65538
enoch,208,12,220,1.2158681341587858,14.913527716179825,Georgia,Georgia_vs_rest,3129,65538
physiologymimicryimitation,196,0,196,1.2966269871290201,14.82168102421249,Georgia,Georgia_vs_rest,3129,65538
deity,240,63,303,0.9979646997851042,14.756171548224351,Georgia,Georgia_vs_rest,3129,65538
ability,721,1547,2268,0.3595728778468299,14.720243773986887,Georgia,Georgia_vs_rest,3129,65538
transcendent,204,20,224,1.165436273184639,14.528497137104067,Georgia,Georgia_vs_rest,3129,65538
speed,544,882,1426,0.4451969314153903,14.513855249703324,Georgia,Georgia_vs_rest,3129,65538
enhanced,347,290,637,0.6631816432590938,14.489038595325525,Georgia,Georgia_vs_rest,3129,65538
skills,752,1782,2534,0.33092016743516517,14.293342494319687,Georgia,Georgia_vs_rest,3129,65538
arts,349,316,665,0.6365951081979251,14.214949731104495,Georgia,Georgia_vs_rest,3129,65538
doki,188,10,198,1.2217771680396954,14.204439531533831,Georgia,Georgia_vs_rest,3129,65538
mabel,220,56,276,1.0049253109956133,14.171913621312646,Georgia,Georgia_vs_rest,3129,65538
backstory,297,213,510,0.7134137135327023,13.931621083415108,Georgia,Georgia_vs_rest,3129,65538
patrick,251,121,372,0.8375276764155402,13.89423221668543,Georgia,Georgia_vs_rest,3129,65538
intelligence,484,783,1267,0.44588003673933585,13.702161973264866,Georgia,Georgia_vs_rest,3129,65538
regeneration,190,32,222,1.0871670898953774,13.62776540957391,Georgia,Georgia_vs_rest,3129,65538
warping,169,6,175,1.2456183242897811,13.565126420388621,Georgia,Georgia_vs_rest,3129,65538
often,835,2405,3240,0.2776883021329022,13.50890763579261,Georgia,Georgia_vs_rest,3129,65538
affirmations,167,7,174,1.2368586837288458,13.449350381296624,Georgia,Georgia_vs_rest,3129,65538
nate,312,290,602,0.627865943583723,13.34023803586981,Georgia,Georgia_vs_rest,3129,65538
infinite,304,271,575,0.6417655318717479,13.324823267813445,Georgia,Georgia_vs_rest,3129,65538
supernatural,256,165,421,0.7478422967374119,13.254138106451833,Georgia,Georgia_vs_rest,3129,65538
dragon,524,1034,1558,0.38443727939732675,13.06288195573649,Georgia,Georgia_vs_rest,3129,65538
helltaker,152,2,154,1.2771990588952367,12.982568253492305,Georgia,Georgia_vs_rest,3129,65538
timmy,164,21,185,1.1306681204150077,12.868708972353549,Georgia,Georgia_vs_rest,3129,65538
harem,190,60,250,0.9536800338112013,12.861133427492009,Georgia,Georgia_vs_rest,3129,65538
attacks,350,438,788,0.5290233485814024,12.85190392114201,Georgia,Georgia_vs_rest,3129,65538
stamina,177,42,219,1.0203687680071738,12.798006278038427,Georgia,Georgia_vs_rest,3129,65538
wears,311,336,647,0.5777392772254135,12.72561088461767,Georgia,Georgia_vs_rest,3129,65538
weaknesses,215,115,330,0.8061939009437253,12.618280215882717,Georgia,Georgia_vs_rest,3129,65538
ballister,142,0,142,1.296614943218911,12.615648065239146,Georgia,Georgia_vs_rest,3129,65538
momo,138,6,144,1.2347385609632724,12.218090050779017,Georgia,Georgia_vs_rest,3129,65538
