token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
kirby,318,62,380,1.13676786777458,18.700714910216323,Indiana,Indiana_vs_rest,385,68282
circleradius,213,0,213,1.3729806595243836,16.360952801801538,Indiana,Indiana_vs_rest,385,68282
eventkey,114,27,141,1.0971091310689474,11.040897473986025,Indiana,Indiana_vs_rest,385,68282
iscrouching,97,0,97,1.3729527081277748,11.040679823853628,Indiana,Indiana_vs_rest,385,68282
immigrants,141,89,230,0.8308268967562302,10.88098718168276,Indiana,Indiana_vs_rest,385,68282
atheism,97,11,108,1.2236919897552596,10.618178533969322,Indiana,Indiana_vs_rest,385,68282
incivility,86,0,86,1.3729500576323819,10.395810054207333,Indiana,Indiana_vs_rest,385,68282
inair,77,0,77,1.3729478890540143,9.836798759977974,Indiana,Indiana_vs_rest,385,68282
theist,75,1,76,1.3532746393820059,9.663898410197133,Indiana,Indiana_vs_rest,385,68282
echo,146,244,390,0.5119020127373055,8.724105926473106,Indiana,Indiana_vs_rest,385,68282
intkirby,56,0,56,1.3729428290685206,8.388819252071084,Indiana,Indiana_vs_rest,385,68282
ismovingleft,56,0,56,1.3729428290685206,8.388819252071084,Indiana,Indiana_vs_rest,385,68282
ismovingright,56,0,56,1.3729428290685206,8.388819252071084,Indiana,Indiana_vs_rest,385,68282
jumpheight,56,0,56,1.3729428290685206,8.388819252071084,Indiana,Indiana_vs_rest,385,68282
isfloating,55,0,55,1.372942588117903,8.313580226141392,Indiana,Indiana_vs_rest,385,68282
suffering,189,619,808,0.3212475088553095,7.782749039722329,Indiana,Indiana_vs_rest,385,68282
printmagic,45,0,45,1.3729401786170818,7.519903059337477,Indiana,Indiana_vs_rest,385,68282
tippett,45,0,45,1.3729401786170818,7.519903059337477,Indiana,Indiana_vs_rest,385,68282
elif,165,531,696,0.3255878229322615,7.323636217502891,Indiana,Indiana_vs_rest,385,68282
immigrant,55,26,81,0.9196214024419138,7.116513479937755,Indiana,Indiana_vs_rest,385,68282
crouchscale,40,0,40,1.3729389738703262,7.0898263748784975,Indiana,Indiana_vs_rest,385,68282
xspeed,40,0,40,1.3729389738703262,7.0898263748784975,Indiana,Indiana_vs_rest,385,68282
god,331,2505,2836,0.1572283714310334,7.0105565375950025,Indiana,Indiana_vs_rest,385,68282
