token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
lizard,75,50,125,0.8241846487496183,7.96238016897102,Iowa,Iowa_vs_rest,176,68491
lizardgame,31,0,31,1.3837897392644916,6.29079196483794,Iowa,Iowa_vs_rest,176,68491
lizards,32,2,34,1.2967786050420376,6.258769664830912,Iowa,Iowa_vs_rest,176,68491
runneronfirst,28,0,28,1.3837890085183648,5.978651830342953,Iowa,Iowa_vs_rest,176,68491
runneronsecond,26,0,26,1.3837885213547736,5.761171030711493,Iowa,Iowa_vs_rest,176,68491
segment,102,366,468,0.3100626636075159,5.705403612935796,Iowa,Iowa_vs_rest,176,68491
runneronthird,24,0,24,1.3837880341915803,5.535152136766321,Iowa,Iowa_vs_rest,176,68491
currentouts,23,0,23,1.383787790610132,5.418608612129034,Iowa,Iowa_vs_rest,176,68491
jarusersajglasm,22,0,22,1.3837875470287813,5.299502835604015,Iowa,Iowa_vs_rest,176,68491
groundlizard,21,0,21,1.3837873034475319,5.177657985668451,Iowa,Iowa_vs_rest,176,68491
updatescore,20,0,20,1.3837870598663802,5.052875916483787,Iowa,Iowa_vs_rest,176,68491
bodysegment,20,0,20,1.3837870598663802,5.052875916483787,Iowa,Iowa_vs_rest,176,68491
ballcount,20,0,20,1.3837870598663802,5.052875916483787,Iowa,Iowa_vs_rest,176,68491
inning,20,3,23,1.193743455754495,4.805154544950409,Iowa,Iowa_vs_rest,176,68491
batter,24,21,45,0.7350926076376272,4.269447565767451,Iowa,Iowa_vs_rest,176,68491
cell,100,813,913,0.15776866953669177,3.9861153798117175,Iowa,Iowa_vs_rest,176,68491
venn,15,12,27,0.7647466286574272,3.4389986898612728,Iowa,Iowa_vs_rest,176,68491
col,36,153,189,0.2719333794288499,3.1679280002914725,Iowa,Iowa_vs_rest,176,68491
param,56,427,483,0.16691944606560227,3.0710566013992477,Iowa,Iowa_vs_rest,176,68491
