token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
quadeca,43,0,43,1.384052523332855,7.410391787024212,Kansas,Kansas_vs_rest,138,68529
knots,30,30,60,0.690902164413675,4.63471261629214,Kansas,Kansas_vs_rest,138,68529
smart,61,452,513,0.1714108588191472,3.2519107958381235,Kansas,Kansas_vs_rest,138,68529
chorus,19,56,75,0.35899693386542353,2.655822555178701,Kansas,Kansas_vs_rest,138,68529
evilbot,15,65,80,0.2680416460976289,2.0306845250725165,Kansas,Kansas_vs_rest,138,68529
casket,7,15,22,0.44727448340370124,1.803441320381185,Kansas,Kansas_vs_rest,138,68529
iot,8,24,32,0.3544245697881152,1.712033322968563,Kansas,Kansas_vs_rest,138,68529
haunt,7,18,25,0.39543235206885896,1.6937557525857105,Kansas,Kansas_vs_rest,138,68529
verse,27,354,381,0.10229799024950914,1.6569817972827146,Kansas,Kansas_vs_rest,138,68529
appliances,10,54,64,0.2242777514523464,1.5124897581320194,Kansas,Kansas_vs_rest,138,68529
album,15,142,157,0.13794937216257885,1.4414815640144762,Kansas,Kansas_vs_rest,138,68529
closed,24,406,430,0.08036915002545442,1.3785597218025756,Kansas,Kansas_vs_rest,138,68529
homeowners,9,56,65,0.19917158594337536,1.3496421122482671,Kansas,Kansas_vs_rest,138,68529
haha,9,58,67,0.19331664058761966,1.3290245806246086,Kansas,Kansas_vs_rest,138,68529
amnesia,5,17,22,0.3231712979161756,1.2908476851329087,Kansas,Kansas_vs_rest,138,68529
seizure,5,18,23,0.3095285211460581,1.262545596263668,Kansas,Kansas_vs_rest,138,68529
standardized,9,69,78,0.1663725654514714,1.2299630887222524,Kansas,Kansas_vs_rest,138,68529
remotely,8,54,62,0.18580184636585884,1.227641518980609,Kansas,Kansas_vs_rest,138,68529
somewhere,18,307,325,0.07974019234413632,1.188996483606847,Kansas,Kansas_vs_rest,138,68529
anesthesia,5,23,28,0.25557800458565616,1.143999645918089,Kansas,Kansas_vs_rest,138,68529
home,58,3315,3373,0.023444677497764133,1.11643631935778,Kansas,Kansas_vs_rest,138,68529
wasnt,19,409,428,0.0636338697921417,1.0862313018265186,Kansas,Kansas_vs_rest,138,68529
lyric,4,17,21,0.2721854995397308,1.0569550368994483,Kansas,Kansas_vs_rest,138,68529
smoothing,4,17,21,0.2721854995397308,1.0569550368994483,Kansas,Kansas_vs_rest,138,68529
coma,5,28,33,0.21760836956491403,1.0529668858448535,Kansas,Kansas_vs_rest,138,68529
wanna,10,121,131,0.1102280610490638,1.0481072367436308,Kansas,Kansas_vs_rest,138,68529
devices,19,447,466,0.05831234210915781,1.03779878408562,Kansas,Kansas_vs_rest,138,68529
afterlife,6,46,52,0.16637184293849927,1.0042562953650307,Kansas,Kansas_vs_rest,138,68529
settling,7,72,79,0.1279640046234647,0.9472210681686212,Kansas,Kansas_vs_rest,138,68529
dream,21,648,669,0.044479641420863913,0.9464660145857103,Kansas,Kansas_vs_rest,138,68529
dont,45,2812,2857,0.021292223049524495,0.9328400682000649,Kansas,Kansas_vs_rest,138,68529
refrain,8,99,107,0.10795273851663723,0.9273927107325711,Kansas,Kansas_vs_rest,138,68529
choir,4,27,31,0.1858008816771921,0.8680691358733835,Kansas,Kansas_vs_rest,138,68529
ive,22,936,958,0.0320061818253663,0.8133800411152965,Kansas,Kansas_vs_rest,138,68529
standin,3,17,20,0.2154718940393625,0.8114836688631369,Kansas,Kansas_vs_rest,138,68529
yesterday,14,411,425,0.046768926625068374,0.7934831507763425,Kansas,Kansas_vs_rest,138,68529
continuum,3,19,22,0.1961993481855071,0.773192308531093,Kansas,Kansas_vs_rest,138,68529
born,22,1072,1094,0.027768549541518084,0.7536075322609568,Kansas,Kansas_vs_rest,138,68529
kart,3,21,24,0.18006996552280086,0.7397128653451168,Kansas,Kansas_vs_rest,138,68529
illusion,6,88,94,0.09205979458943325,0.739573159418374,Kansas,Kansas_vs_rest,138,68529
begging,4,40,44,0.13128003803592492,0.7255577577370058,Kansas,Kansas_vs_rest,138,68529
granny,3,22,25,0.17295249738752716,0.7244762459413806,Kansas,Kansas_vs_rest,138,68529
grave,6,99,105,0.08230649911694243,0.6978393030115644,Kansas,Kansas_vs_rest,138,68529
aint,4,44,48,0.12035096603823803,0.6936875820068666,Kansas,Kansas_vs_rest,138,68529
fractions,4,46,50,0.11553167886953908,0.6791847896578944,Kansas,Kansas_vs_rest,138,68529
assignment,12,416,428,0.039519869800411556,0.672094830229035,Kansas,Kansas_vs_rest,138,68529
automatic,8,190,198,0.05776757478252037,0.6701011846633308,Kansas,Kansas_vs_rest,138,68529
tests,13,492,505,0.036122325620773665,0.6669324454301804,Kansas,Kansas_vs_rest,138,68529
knock,8,198,206,0.05545787974704375,0.6559437425181459,Kansas,Kansas_vs_rest,138,68529
cried,5,79,84,0.08578222425408377,0.6508573866071232,Kansas,Kansas_vs_rest,138,68529
controlled,10,314,324,0.04369989714581379,0.6470395910673185,Kansas,Kansas_vs_rest,138,68529
shit,3,29,32,0.13536978367360142,0.6383885045115012,Kansas,Kansas_vs_rest,138,68529
demo,4,55,59,0.09783209847276275,0.6231856385125982,Kansas,Kansas_vs_rest,138,68529
shouldve,3,31,34,0.12742622837326145,0.618751526393286,Kansas,Kansas_vs_rest,138,68529
witnesses,5,89,94,0.07652974895847997,0.6134072104692967,Kansas,Kansas_vs_rest,138,68529
