token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
yae,33,0,33,1.3839600481772472,6.491348020936552,Louisiana,Louisiana_vs_rest,231,68436
ahri,35,6,41,1.1713990911625967,6.312596818888109,Louisiana,Louisiana_vs_rest,231,68436
cagentwork,30,0,30,1.383959317306351,6.189254223182404,Louisiana,Louisiana_vs_rest,231,68436
jobexecution,26,0,26,1.3839583428132105,5.761878053823509,Louisiana,Louisiana_vs_rest,231,68436
jsonproperty,25,0,25,1.3839580991901723,5.649985280680053,Louisiana,Louisiana_vs_rest,231,68436
sserversrcpaystarpaystarcorefeaturesjobstasksinitiatefunctionorchestrationcsline,25,0,25,1.3839580991901723,5.649985280680053,Louisiana,Louisiana_vs_rest,231,68436
syndra,24,3,27,1.2214389249287851,5.308538384802582,Louisiana,Louisiana_vs_rest,231,68436
aether,37,41,78,0.6566224617967258,5.021462308573403,Louisiana,Louisiana_vs_rest,231,68436
sona,30,25,55,0.7514367490631297,4.823973514506821,Louisiana,Louisiana_vs_rest,231,68436
meter,61,183,244,0.35434738318557635,4.726476974775048,Louisiana,Louisiana_vs_rest,231,68436
objecttype,20,8,28,0.9784917699252418,4.438021513963921,Louisiana,Louisiana_vs_rest,231,68436
chip,39,87,126,0.4354676045245771,4.198959891266182,Louisiana,Louisiana_vs_rest,231,68436
chips,32,64,96,0.46766904836501233,3.943731690658357,Louisiana,Louisiana_vs_rest,231,68436
panties,21,37,58,0.5063808909327712,3.3256614226739267,Louisiana,Louisiana_vs_rest,231,68436
lumine,13,10,23,0.7778193683445291,3.2274715910221454,Louisiana,Louisiana_vs_rest,231,68436
legends,32,122,154,0.2961583856399539,3.1218645735016,Louisiana,Louisiana_vs_rest,231,68436
mast,12,9,21,0.7861179279177772,3.1162696019740235,Louisiana,Louisiana_vs_rest,231,68436
facebook,36,196,232,0.22267730898487414,2.858647633170758,Louisiana,Louisiana_vs_rest,231,68436
wellendowed,11,14,25,0.6107647949142105,2.6425725423737205,Louisiana,Louisiana_vs_rest,231,68436
genshin,11,14,25,0.6107647949142105,2.6425725423737205,Louisiana,Louisiana_vs_rest,231,68436
