token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
natsuki,17187,351,17538,1.1993937870064357,130.32426786268613,Michigan,Michigan_vs_rest,6603,62064
sayori,12374,298,12672,1.1931931459016907,110.29776610998826,Michigan,Michigan_vs_rest,6603,62064
monika,12030,278,12308,1.1945007116739186,108.79735788836155,Michigan,Michigan_vs_rest,6603,62064
yuri,10959,221,11180,1.198465051080361,103.96671399869415,Michigan,Michigan_vs_rest,6603,62064
player,6260,1096,7356,1.0106684789962985,72.98468684454535,Michigan,Michigan_vs_rest,6603,62064
clubroom,3573,22,3595,1.2172770343257904,59.68326954949097,Michigan,Michigan_vs_rest,6603,62064
baby,3729,641,4370,1.0134170358445997,56.38515201655564,Michigan,Michigan_vs_rest,6603,62064
club,3148,610,3758,0.9912774974999596,51.27560982834079,Michigan,Michigan_vs_rest,6603,62064
okay,2848,561,3409,0.9880658731263461,48.69564271842489,Michigan,Michigan_vs_rest,6603,62064
literature,2398,595,2993,0.9401728483126988,43.63697151751852,Michigan,Michigan_vs_rest,6603,62064
alright,1827,191,2018,1.087162427918071,40.721077071690665,Michigan,Michigan_vs_rest,6603,62064
sakura,1679,213,1892,1.0614276936533287,38.626930340190164,Michigan,Michigan_vs_rest,6603,62064
don,2671,2075,4746,0.6168243861271012,36.7684400863763,Michigan,Michigan_vs_rest,6603,62064
belly,1588,343,1931,0.9695117654820651,36.03347802677208,Michigan,Michigan_vs_rest,6603,62064
pain,1821,694,2515,0.8339075768937017,35.81111086730708,Michigan,Michigan_vs_rest,6603,62064
wait,1785,689,2474,0.8304207817987415,35.37864130812779,Michigan,Michigan_vs_rest,6603,62064
let,3175,3657,6832,0.48607785408157955,34.78486092130482,Michigan,Michigan_vs_rest,6603,62064
little,2624,2607,5231,0.5351990642007687,33.52262989525226,Michigan,Michigan_vs_rest,6603,62064
pregnant,1217,106,1323,1.1079935945312318,33.50654690640765,Michigan,Michigan_vs_rest,6603,62064
ambulance,1043,24,1067,1.192363666598407,31.975658699547857,Michigan,Michigan_vs_rest,6603,62064
maybe,1605,892,2497,0.723804587750787,31.180641459232202,Michigan,Michigan_vs_rest,6603,62064
yeah,1402,658,2060,0.7747788304443803,30.232340218372283,Michigan,Michigan_vs_rest,6603,62064
sure,2135,2212,4347,0.5211320439398035,29.755390878971298,Michigan,Michigan_vs_rest,6603,62064
contractions,873,11,884,1.2072748802648103,29.39793348294064,Michigan,Michigan_vs_rest,6603,62064
room,1928,1813,3741,0.5534026698844539,29.31183010713927,Michigan,Michigan_vs_rest,6603,62064
something,2510,3397,5907,0.43279773630622653,28.770961922166286,Michigan,Michigan_vs_rest,6603,62064
bump,855,52,907,1.1410444632461747,28.43482453738517,Michigan,Michigan_vs_rest,6603,62064
everyone,1539,1175,2714,0.6223164705787916,28.0486788119361,Michigan,Michigan_vs_rest,6603,62064
help,2899,4797,7696,0.3682474218910814,27.88241639542969,Michigan,Michigan_vs_rest,6603,62064
worry,1006,287,1293,0.9078054392015309,27.779915465532845,Michigan,Michigan_vs_rest,6603,62064
hospital,992,359,1351,0.8476900884625644,26.652196273552942,Michigan,Michigan_vs_rest,6603,62064
everything,1696,1788,3484,0.5152560907401753,26.33758888730493,Michigan,Michigan_vs_rest,6603,62064
labor,1021,431,1452,0.8053212134036043,26.330701026209454,Michigan,Michigan_vs_rest,6603,62064
strange,966,397,1363,0.8128701200546535,25.73674874094191,Michigan,Michigan_vs_rest,6603,62064
snow,845,245,1090,0.9038997652397089,25.40548644081376,Michigan,Michigan_vs_rest,6603,62064
school,2000,2781,4781,0.4238874388101799,25.345201987703163,Michigan,Michigan_vs_rest,6603,62064
hey,995,520,1515,0.7425347453652877,24.89252225689195,Michigan,Michigan_vs_rest,6603,62064
calm,901,384,1285,0.8025805376554374,24.690488355227192,Michigan,Michigan_vs_rest,6603,62064
thank,1766,2276,4042,0.4486964737220962,24.68294577506996,Michigan,Michigan_vs_rest,6603,62064
worried,748,174,922,0.9538618703471613,24.53708195167183,Michigan,Michigan_vs_rest,6603,62064
sorry,994,574,1568,0.7117944565221404,24.31197501751095,Michigan,Michigan_vs_rest,6603,62064
shadecleaver,574,0,574,1.2258209833274964,23.979347860708227,Michigan,Michigan_vs_rest,6603,62064
really,1824,2605,4429,0.41517234909901823,23.886930732021295,Michigan,Michigan_vs_rest,6603,62064
stay,1143,910,2053,0.6084663037726186,23.85891233666325,Michigan,Michigan_vs_rest,6603,62064
pregnancy,625,65,690,1.087556910971804,23.817883792129624,Michigan,Michigan_vs_rest,6603,62064
going,2144,3599,5743,0.36360303786957715,23.777890319248492,Michigan,Michigan_vs_rest,6603,62064
