token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
alaric,54,2,56,1.331391220877764,8.204675089956279,Minnesota,Minnesota_vs_rest,219,68448
kace,48,0,48,1.3844995842381511,7.831912356518019,Minnesota,Minnesota_vs_rest,219,68448
mindgame,24,0,24,1.3844937341247228,5.537974936498891,Minnesota,Minnesota_vs_rest,219,68448
boomer,16,4,20,1.0968097104743695,4.162100213866616,Minnesota,Minnesota_vs_rest,219,68448
boomers,10,13,23,0.6043317602185372,2.5076048077961888,Minnesota,Minnesota_vs_rest,219,68448
crusader,12,31,43,0.39461171145857676,2.216523395985143,Minnesota,Minnesota_vs_rest,219,68448
minnesota,13,41,54,0.34215958803947544,2.1447190586543488,Minnesota,Minnesota_vs_rest,219,68448
archival,8,17,25,0.4501805917114261,1.935253007758791,Minnesota,Minnesota_vs_rest,219,68448
randy,12,48,60,0.28587850633218714,1.8789852794882682,Minnesota,Minnesota_vs_rest,219,68448
yumi,8,27,35,0.32540837623996666,1.639699071688615,Minnesota,Minnesota_vs_rest,219,68448
deprivation,6,18,24,0.3548699241082911,1.484527400602941,Minnesota,Minnesota_vs_rest,219,68448
engineers,15,182,197,0.11039437597575485,1.287184329455873,Minnesota,Minnesota_vs_rest,219,68448
mentorship,6,29,35,0.2460311408427689,1.229921366521612,Minnesota,Minnesota_vs_rest,219,68448
cia,8,55,63,0.18333788994401168,1.2206509813801316,Minnesota,Minnesota_vs_rest,219,68448
muttered,5,22,27,0.2652575204909855,1.1670735471105227,Minnesota,Minnesota_vs_rest,219,68448
transitioning,6,33,39,0.22133852707735002,1.1647603809287752,Minnesota,Minnesota_vs_rest,219,68448
gpus,7,48,55,0.1837477924858053,1.1431273489871503,Minnesota,Minnesota_vs_rest,219,68448
aim,26,702,728,0.05130948014003245,1.1400528618456622,Minnesota,Minnesota_vs_rest,219,68448
businesses,16,271,287,0.0807183671629268,1.1311213662590696,Minnesota,Minnesota_vs_rest,219,68448
owners,13,181,194,0.09713658645511636,1.1218173482236167,Minnesota,Minnesota_vs_rest,219,68448
methodologies,7,62,69,0.14687840864338852,1.0186271084383551,Minnesota,Minnesota_vs_rest,219,68448
entrepreneurs,6,45,51,0.17004522916464992,1.0169316888587903,Minnesota,Minnesota_vs_rest,219,68448
highstakes,4,19,23,0.249508920651893,1.0115050594402009,Minnesota,Minnesota_vs_rest,219,68448
sins,7,71,78,0.1300473394595354,0.9567448652237227,Minnesota,Minnesota_vs_rest,219,68448
glucose,6,53,59,0.14723054904836985,0.9442282464060497,Minnesota,Minnesota_vs_rest,219,68448
sale,13,265,278,0.06755774174348161,0.9299048395190154,Minnesota,Minnesota_vs_rest,219,68448
responded,10,160,170,0.08520729047739017,0.9195702018426142,Minnesota,Minnesota_vs_rest,219,68448
odds,10,161,171,0.08470515610342666,0.9167681016388675,Minnesota,Minnesota_vs_rest,219,68448
business,45,3083,3128,0.019706370086944425,0.9030845984753271,Minnesota,Minnesota_vs_rest,219,68448
marginal,5,40,45,0.16071365945129124,0.9017379984947538,Minnesota,Minnesota_vs_rest,219,68448
transition,15,419,434,0.04960757709360486,0.8508249364237035,Minnesota,Minnesota_vs_rest,219,68448
replied,10,192,202,0.0715784500260348,0.8403535114951649,Minnesota,Minnesota_vs_rest,219,68448
buyers,8,124,132,0.08780759523362391,0.8353500268905544,Minnesota,Minnesota_vs_rest,219,68448
successors,4,31,35,0.165248573508066,0.8181771397067419,Minnesota,Minnesota_vs_rest,219,68448
itinerary,3,17,20,0.21591773305135753,0.8131627327558503,Minnesota,Minnesota_vs_rest,219,68448
overdose,3,17,20,0.21591773305135753,0.8131627327558503,Minnesota,Minnesota_vs_rest,219,68448
luthor,4,32,36,0.1607134180488341,0.8065377735370957,Minnesota,Minnesota_vs_rest,219,68448
recommendations,10,211,221,0.06533520135086768,0.8015642383902446,Minnesota,Minnesota_vs_rest,219,68448
opensource,5,52,57,0.1271284098037775,0.7991966469706636,Minnesota,Minnesota_vs_rest,219,68448
junior,6,76,82,0.10608392514247456,0.7975389577104626,Minnesota,Minnesota_vs_rest,219,68448
planning,18,696,714,0.03578041748604477,0.7854178501232453,Minnesota,Minnesota_vs_rest,219,68448
succession,8,143,151,0.07666704640527655,0.7788106088040949,Minnesota,Minnesota_vs_rest,219,68448
mentoring,3,19,22,0.19664518734256653,0.7749492940168673,Minnesota,Minnesota_vs_rest,219,68448
spark,8,150,158,0.07323061485084281,0.7605590036405127,Minnesota,Minnesota_vs_rest,219,68448
niccolo,7,121,128,0.07916425620198275,0.7406790847838953,Minnesota,Minnesota_vs_rest,219,68448
gpu,7,123,130,0.07793381074140449,0.7347069585918529,Minnesota,Minnesota_vs_rest,219,68448
sin,10,251,261,0.055137263168481,0.7339795337832167,Minnesota,Minnesota_vs_rest,219,68448
valuation,4,40,44,0.13172587882485232,0.7280218280401645,Minnesota,Minnesota_vs_rest,219,68448
listing,6,92,98,0.0887089659718523,0.7272560149612095,Minnesota,Minnesota_vs_rest,219,68448
grinned,3,22,25,0.17339833676217964,0.7263438109740922,Minnesota,Minnesota_vs_rest,219,68448
amber,7,127,134,0.07558185552135122,0.7231598949791922,Minnesota,Minnesota_vs_rest,219,68448
berkeley,4,41,45,0.12881466832355137,0.719690385688806,Minnesota,Minnesota_vs_rest,219,68448
reused,3,24,27,0.16071317664710527,0.6984811518303778,Minnesota,Minnesota_vs_rest,219,68448
onboarding,4,44,48,0.12079680711729246,0.6962573529881011,Minnesota,Minnesota_vs_rest,219,68448
homes,8,179,187,0.061708826113090254,0.6960231788578486,Minnesota,Minnesota_vs_rest,219,68448
accomplishment,4,47,51,0.11370737126527786,0.6748966720696821,Minnesota,Minnesota_vs_rest,219,68448
nodded,6,111,117,0.0741808598273419,0.6630683278802632,Minnesota,Minnesota_vs_rest,219,68448
avogadros,3,28,31,0.14016450724419727,0.6509716039969471,Minnesota,Minnesota_vs_rest,219,68448
retirement,5,80,85,0.08520609519098166,0.6502252040240357,Minnesota,Minnesota_vs_rest,219,68448
infiltration,3,29,32,0.13581562355597754,0.6404910346924457,Minnesota,Minnesota_vs_rest,219,68448
believers,4,54,58,0.09997717639647696,0.6315839702487215,Minnesota,Minnesota_vs_rest,219,68448
sell,11,412,423,0.036956073071605644,0.6245153373581159,Minnesota,Minnesota_vs_rest,219,68448
asked,20,1316,1336,0.02057030980660457,0.6161601128156612,Minnesota,Minnesota_vs_rest,219,68448
elevator,6,132,138,0.06273346781781264,0.6079421470762563,Minnesota,Minnesota_vs_rest,219,68448
exit,10,361,371,0.03836189619442543,0.6072541787274366,Minnesota,Minnesota_vs_rest,219,68448
surveys,3,33,36,0.12079656659673965,0.6029753546626516,Minnesota,Minnesota_vs_rest,219,68448
gas,12,542,554,0.030515080122228255,0.5895389417877231,Minnesota,Minnesota_vs_rest,219,68448
survey,8,264,272,0.04199801808459824,0.5695674045748588,Minnesota,Minnesota_vs_rest,219,68448
recommendation,6,151,157,0.05499253949170324,0.5677569801446037,Minnesota,Minnesota_vs_rest,219,68448
price,16,1009,1025,0.021521799494584215,0.5647508067898803,Minnesota,Minnesota_vs_rest,219,68448
machine,17,1154,1171,0.019895690635204133,0.5578785242050248,Minnesota,Minnesota_vs_rest,219,68448
specializes,4,71,75,0.07718288840981735,0.5526112749430784,Minnesota,Minnesota_vs_rest,219,68448
smiled,5,115,120,0.06007011163617193,0.542620411405196,Minnesota,Minnesota_vs_rest,219,68448
mustache,2,18,20,0.14479747935236453,0.5404910604009945,Minnesota,Minnesota_vs_rest,219,68448
navigating,5,118,123,0.0585752180255632,0.5355675272433679,Minnesota,Minnesota_vs_rest,219,68448
krypton,2,19,21,0.13795594724172844,0.5271862402311958,Minnesota,Minnesota_vs_rest,219,68448
pray,6,176,182,0.04725109074340317,0.5246092632062176,Minnesota,Minnesota_vs_rest,219,68448
tapped,2,20,22,0.13172539719717413,0.5147872892418376,Minnesota,Minnesota_vs_rest,219,68448
atoms,11,600,611,0.025081557809640387,0.5084409697269733,Minnesota,Minnesota_vs_rest,219,68448
target,13,822,835,0.021460249373152607,0.5082648537454896,Minnesota,Minnesota_vs_rest,219,68448
