token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
spells,1012,248,1260,1.0097230054881905,30.399132175464242,New York,New York_vs_rest,5068,63599
shortest,889,202,1091,1.0259518723663348,28.693653089536053,New York,New York_vs_rest,5068,63599
selfcurrenttoken,704,0,704,1.2929292231323863,28.01015110187638,New York,New York_vs_rest,5068,63599
mishaali,646,7,653,1.2768792310557018,26.712168671273812,New York,New York_vs_rest,5068,63599
stats,672,129,801,1.0596448286644033,25.30033579349072,New York,New York_vs_rest,5068,63599
cassy,784,317,1101,0.884475462614219,25.160849206084876,New York,New York_vs_rest,5068,63599
kareen,564,4,568,1.2823531409248208,24.997355840204204,New York,New York_vs_rest,5068,63599
spell,739,330,1069,0.8562484409733795,24.04686050730486,New York,New York_vs_rest,5068,63599
path,1068,1175,2243,0.568040009570514,23.295352232181934,New York,New York_vs_rest,5068,63599
lily,702,371,1073,0.8061594202667735,22.74800003293228,New York,New York_vs_rest,5068,63599
mul,390,19,409,1.2239497369945358,20.433208950791986,New York,New York_vs_rest,5068,63599
leaf,550,391,941,0.7125074243068727,18.89839356688333,New York,New York_vs_rest,5068,63599
duel,347,56,403,1.090724874376816,18.405136450257782,New York,New York_vs_rest,5068,63599
cast,620,612,1232,0.604083213713329,18.362496920466242,New York,New York_vs_rest,5068,63599
selfnexttoken,293,0,293,1.2928379006308184,18.06892253439771,New York,New York_vs_rest,5068,63599
nondet,268,0,268,1.292832346206767,17.280805293866685,New York,New York_vs_rest,5068,63599
int,1239,3211,4450,0.30224481149744875,17.26946642853435,New York,New York_vs_rest,5068,63599
quickcheck,255,0,255,1.2928294579276791,16.856433823277925,New York,New York_vs_rest,5068,63599
counterexample,243,5,248,1.2627341753360497,16.31648002004367,New York,New York_vs_rest,5068,63599
evalintexpr,238,0,238,1.292825680969445,16.284814633005762,New York,New York_vs_rest,5068,63599
jannet,235,0,235,1.2928250144500062,16.181845418597963,New York,New York_vs_rest,5068,63599
length,750,1415,2165,0.39427807534441595,15.804248256677818,New York,New York_vs_rest,5068,63599
scp,825,1775,2600,0.3549772814420207,15.558673755771068,New York,New York_vs_rest,5068,63599
def,811,1882,2693,0.33307608782031295,14.83686854513815,New York,New York_vs_rest,5068,63599
pmatrix,192,0,192,1.2928154610904574,14.626537269758009,New York,New York_vs_rest,5068,63599
points,817,2026,2843,0.3143513585227824,14.369005609781325,New York,New York_vs_rest,5068,63599
reply,471,660,1131,0.48819909754770485,14.196591674825719,New York,New York_vs_rest,5068,63599
melissa,205,41,246,1.051655677362115,13.92754624314547,New York,New York_vs_rest,5068,63599
evalmaybeexpr,165,0,165,1.2928094625512863,13.559100033218874,New York,New York_vs_rest,5068,63599
britannia,178,18,196,1.1579446824942625,13.50957968935962,New York,New York_vs_rest,5068,63599
fiona,191,42,233,1.0326297857848523,13.336913525353227,New York,New York_vs_rest,5068,63599
redacted,306,272,578,0.6389102415016765,13.299977264447358,New York,New York_vs_rest,5068,63599
match,464,761,1225,0.4377313739059421,13.22462757340022,New York,New York_vs_rest,5068,63599
regress,182,34,216,1.064656636139997,13.1926974522556,New York,New York_vs_rest,5068,63599
sapphire,233,129,362,0.7917927320102063,12.986610861676532,New York,New York_vs_rest,5068,63599
dueling,163,16,179,1.161472776088786,12.943515574891588,New York,New York_vs_rest,5068,63599
tweets,190,67,257,0.9214819097809084,12.629492268037138,New York,New York_vs_rest,5068,63599
postfixexpr,142,0,142,1.2928043527344428,12.578572240435326,New York,New York_vs_rest,5068,63599
catfight,136,1,137,1.2818739342090186,12.272845652291876,New York,New York_vs_rest,5068,63599
node,260,241,501,0.6249638875523615,12.113501958246642,New York,New York_vs_rest,5068,63599
opexpr,131,0,131,1.2928019089252096,12.081531846014872,New York,New York_vs_rest,5068,63599
evalidexpr,129,0,129,1.2928014645973853,11.988947573094247,New York,New York_vs_rest,5068,63599
reward,212,143,355,0.7294298052174746,11.877222763783772,New York,New York_vs_rest,5068,63599
professionally,164,54,218,0.9392797919033775,11.839196754969228,New York,New York_vs_rest,5068,63599
rivals,170,67,237,0.8914478715872001,11.759670371383816,New York,New York_vs_rest,5068,63599
stat,173,75,248,0.8646434444860134,11.689418151936682,New York,New York_vs_rest,5068,63599
alizia,120,0,120,1.2927994651264676,11.563149941192602,New York,New York_vs_rest,5068,63599
none,566,1516,2082,0.2931551485796495,11.449489044716756,New York,New York_vs_rest,5068,63599
halfsize,118,1,119,1.2802202235880227,11.426556500626116,New York,New York_vs_rest,5068,63599
inf,165,82,247,0.8246266502209032,11.153080046854825,New York,New York_vs_rest,5068,63599
rivalry,174,100,274,0.7802002160905399,11.138968238101661,New York,New York_vs_rest,5068,63599
casts,156,67,223,0.8673145592871805,11.116861162804138,New York,New York_vs_rest,5068,63599
problem,551,1593,2144,0.2728392112087912,10.79629396385827,New York,New York_vs_rest,5068,63599
namedexpr,102,0,102,1.2927954662057033,10.660664518971483,New York,New York_vs_rest,5068,63599
leftfrac,102,0,102,1.2927954662057033,10.660664518971483,New York,New York_vs_rest,5068,63599
yuki,110,11,121,1.159265685810329,10.624845511581455,New York,New York_vs_rest,5068,63599
caster,111,15,126,1.118950310770618,10.520796751328623,New York,New York_vs_rest,5068,63599
tracker,121,31,152,0.9996376838982286,10.463261192206534,New York,New York_vs_rest,5068,63599
selfkind,97,0,97,1.2927943553993657,10.396081723392673,New York,New York_vs_rest,5068,63599
voluptuous,121,35,156,0.9713960596724913,10.328326991683685,New York,New York_vs_rest,5068,63599
import,639,2241,2880,0.22456112318184296,10.25568615145007,New York,New York_vs_rest,5068,63599
jujutsu,116,31,147,0.9900214126207185,10.200305250213082,New York,New York_vs_rest,5068,63599
rewrite,376,858,1234,0.3378099245572841,10.189385079775489,New York,New York_vs_rest,5068,63599
uminus,93,0,93,1.292793466755855,10.179465936706627,New York,New York_vs_rest,5068,63599
adoquery,93,0,93,1.292793466755855,10.179465936706627,New York,New York_vs_rest,5068,63599
scanner,128,52,180,0.883015692896798,10.157594997193188,New York,New York_vs_rest,5068,63599
brunette,100,10,110,1.1592634791955874,10.130373429019345,New York,New York_vs_rest,5068,63599
rbrace,92,0,92,1.2927932445951953,10.12458796991856,New York,New York_vs_rest,5068,63599
fight,425,1116,1541,0.29850666517524616,10.034127609950552,New York,New York_vs_rest,5068,63599
test,538,1719,2257,0.24727519590145786,10.017705073312356,New York,New York_vs_rest,5068,63599
env,130,62,192,0.836870854390984,9.972223315922756,New York,New York_vs_rest,5068,63599
frac,102,18,120,1.0750717122486293,9.917500127008301,New York,New York_vs_rest,5068,63599
reps,104,21,125,1.0497637966851219,9.912201598693427,New York,New York_vs_rest,5068,63599
wrestling,136,76,212,0.7888966984251304,9.903243248595587,New York,New York_vs_rest,5068,63599
string,534,1767,2301,0.2386082280393511,9.752893517994703,New York,New York_vs_rest,5068,63599
fighters,132,77,209,0.775544461577697,9.672375234477233,New York,New York_vs_rest,5068,63599
candace,83,2,85,1.2576998953282459,9.521847063850025,New York,New York_vs_rest,5068,63599
dictates,99,27,126,0.9853096948021332,9.40294358624551,New York,New York_vs_rest,5068,63599
selectnapart,79,0,79,1.2927903565144963,9.382012775016294,New York,New York_vs_rest,5068,63599
error,413,1197,1610,0.2721646891997125,9.332056536871635,New York,New York_vs_rest,5068,63599
yamir,78,0,78,1.2927901343550499,9.322442235662225,New York,New York_vs_rest,5068,63599
add,656,2693,3349,0.18853949371010437,9.25285499173391,New York,New York_vs_rest,5068,63599
appweb,76,0,76,1.2927896900364146,9.202144455958736,New York,New York_vs_rest,5068,63599
prj,76,0,76,1.2927896900364146,9.202144455958736,New York,New York_vs_rest,5068,63599
kyoto,83,10,93,1.1353989213333548,9.15211190957873,New York,New York_vs_rest,5068,63599
researcher,182,236,418,0.5134848216242123,9.083293381116682,New York,New York_vs_rest,5068,63599
pos,162,181,343,0.5627256446015405,9.024026302676244,New York,New York_vs_rest,5068,63599
adjmatrixij,72,0,72,1.2927888014001905,8.956703549924804,New York,New York_vs_rest,5068,63599
intexpr,71,0,71,1.2927885792413498,8.894285208446961,New York,New York_vs_rest,5068,63599
