token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
llama,223,31,254,1.179887319171586,15.759581025904158,North Carolina,North Carolina_vs_rest,1989,66678
numsteps,122,11,133,1.2362863720726818,11.85998037369746,North Carolina,North Carolina_vs_rest,1989,66678
shapka,108,0,108,1.357980034505939,11.522842693381095,North Carolina,North Carolina_vs_rest,1989,66678
classlcstyledtexttext,106,0,106,1.3579795597916693,11.415647138615473,North Carolina,North Carolina_vs_rest,1989,66678
nbsp,97,0,97,1.3579774235821702,10.920255193813322,North Carolina,North Carolina_vs_rest,1989,66678
latticesize,91,0,91,1.357975999446797,10.577113411250759,North Carolina,North Carolina_vs_rest,1989,66678
freddy,127,65,192,0.8809520834397837,10.510005625447725,North Carolina,North Carolina_vs_rest,1989,66678
classlcstyledtextdiv,89,0,89,1.3579755247357674,10.460231985781292,North Carolina,North Carolina_vs_rest,1989,66678
efg,89,2,91,1.3251856927346193,10.377031659081212,North Carolina,North Carolina_vs_rest,1989,66678
datalognode,86,0,86,1.357974812669939,10.282419329410505,North Carolina,North Carolina_vs_rest,1989,66678
classlink,87,2,89,1.324452348808169,10.257882905119624,North Carolina,North Carolina_vs_rest,1989,66678
lclink,83,0,83,1.3579741006049684,10.101477568714106,North Carolina,North Carolina_vs_rest,1989,66678
displacement,97,32,129,1.0039607304684246,9.734830653502708,North Carolina,North Carolina_vs_rest,1989,66678
addicts,79,3,82,1.3035790653521815,9.72281953007845,North Carolina,North Carolina_vs_rest,1989,66678
pxdiv,71,1,72,1.3372092563154876,9.296124841049206,North Carolina,North Carolina_vs_rest,1989,66678
shapkamob,70,0,70,1.3579710150000146,9.276708088203554,North Carolina,North Carolina_vs_rest,1989,66678
ydirection,69,0,69,1.3579707776464573,9.210205921439504,North Carolina,North Carolina_vs_rest,1989,66678
xdirection,67,0,67,1.3579703029396217,9.075739970772528,North Carolina,North Carolina_vs_rest,1989,66678
lcnavigationmenulink,67,0,67,1.3579703029396217,9.075739970772528,North Carolina,North Carolina_vs_rest,1989,66678
dataclickabletrue,67,0,67,1.3579703029396217,9.075739970772528,North Carolina,North Carolina_vs_rest,1989,66678
maxwidth,87,37,124,0.9352814681571218,8.937684601859415,North Carolina,North Carolina_vs_rest,1989,66678
numstepsa,64,0,64,1.3579695908800868,8.870220223659311,North Carolina,North Carolina_vs_rest,1989,66678
squared,95,62,157,0.8051868414932901,8.715825832634899,North Carolina,North Carolina_vs_rest,1989,66678
addiction,115,119,234,0.6534378347235137,8.656369518173202,North Carolina,North Carolina_vs_rest,1989,66678
hoa,81,34,115,0.9389946425808802,8.63922404201193,North Carolina,North Carolina_vs_rest,1989,66678
zeros,73,21,94,1.037886134171261,8.565097509150217,North Carolina,North Carolina_vs_rest,1989,66678
lctextblocksizes,57,0,57,1.3579679294111742,8.371076519645028,North Carolina,North Carolina_vs_rest,1989,66678
sasuke,69,19,88,1.0482404807659087,8.36181738722552,North Carolina,North Carolina_vs_rest,1989,66678
cam,76,36,112,0.90405478240395,8.226874865870657,North Carolina,North Carolina_vs_rest,1989,66678
lpcsection,53,0,53,1.357966980002466,8.07200672675562,North Carolina,North Carolina_vs_rest,1989,66678
chica,57,6,63,1.218205959494318,8.063154584627751,North Carolina,North Carolina_vs_rest,1989,66678
classlcsection,52,0,52,1.357966742650527,7.995491690343749,North Carolina,North Carolina_vs_rest,1989,66678
numwalks,49,0,49,1.357966030595282,7.761422346979305,North Carolina,North Carolina_vs_rest,1989,66678
minwidth,53,6,59,1.2089313732993787,7.753194958613576,North Carolina,North Carolina_vs_rest,1989,66678
oblozhkaskartinkoj,47,0,47,1.3579655558922639,7.60137317403989,North Carolina,North Carolina_vs_rest,1989,66678
foxy,77,61,138,0.7421584193568656,7.544704180433259,North Carolina,North Carolina_vs_rest,1989,66678
xmin,47,1,48,1.3268749642315765,7.544120148623874,North Carolina,North Carolina_vs_rest,1989,66678
ymin,47,1,48,1.3268749642315765,7.544120148623874,North Carolina,North Carolina_vs_rest,1989,66678
ymax,47,3,50,1.2692374265116104,7.4305513919287,North Carolina,North Carolina_vs_rest,1989,66678
bonnie,70,48,118,0.7892777886018134,7.410733896257195,North Carolina,North Carolina_vs_rest,1989,66678
plaintiff,78,70,148,0.7008653484872145,7.382875925610438,North Carolina,North Carolina_vs_rest,1989,66678
classlcoffsets,44,0,44,1.3579648438384506,7.354772362326032,North Carolina,North Carolina_vs_rest,1989,66678
handyman,48,6,54,1.1954468362022244,7.347650168464358,North Carolina,North Carolina_vs_rest,1989,66678
lcsectionisexpanded,41,0,41,1.3579641317854918,7.099611722333971,North Carolina,North Carolina_vs_rest,1989,66678
important,384,2737,3121,0.1512681047069533,7.083673713836417,North Carolina,North Carolina_vs_rest,1989,66678
alli,46,8,54,1.14285390219837,7.070156920645901,North Carolina,North Carolina_vs_rest,1989,66678
urlhttpsavatarsmdsyandexnetgetlpc,40,0,40,1.3579638944346968,7.012495397195396,North Carolina,North Carolina_vs_rest,1989,66678
xmax,43,5,48,1.205384995938111,6.975946900685782,North Carolina,North Carolina_vs_rest,1989,66678
walker,69,64,133,0.6898872719976783,6.889702709424211,North Carolina,North Carolina_vs_rest,1989,66678
names,244,1218,1462,0.21319420644806364,6.883320559476326,North Carolina,North Carolina_vs_rest,1989,66678
width,183,709,892,0.26653963204439357,6.759563269297828,North Carolina,North Carolina_vs_rest,1989,66678
easeout,38,2,40,1.2838554383976852,6.708067879576089,North Carolina,North Carolina_vs_rest,1989,66678
xlim,37,2,39,1.281977266222901,6.615857120162948,North Carolina,North Carolina_vs_rest,1989,66678
ffffff,49,24,73,0.8941288060908867,6.572700025925642,North Carolina,North Carolina_vs_rest,1989,66678
rnaruto,35,0,35,1.3579627076821552,6.559583068099211,North Carolina,North Carolina_vs_rest,1989,66678
npts,35,0,35,1.3579627076821552,6.559583068099211,North Carolina,North Carolina_vs_rest,1989,66678
classlcbackgroundempty,35,0,35,1.3579627076821552,6.559583068099211,North Carolina,North Carolina_vs_rest,1989,66678
dataimagesrcsection,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
lctextblockfonttext,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
stylefontweight,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
colorrgba,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
lctextblockbpsizes,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
classlctextblock,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
fontfamilyys,34,0,34,1.3579624703319322,6.465194527015158,North Carolina,North Carolina_vs_rest,1989,66678
stylepadding,41,12,53,1.033724408509256,6.408063607914349,North Carolina,North Carolina_vs_rest,1989,66678
otzyvy,33,0,33,1.357962232981805,6.369407458822874,North Carolina,North Carolina_vs_rest,1989,66678
lineheight,42,17,59,0.9492042870868396,6.250871064596032,North Carolina,North Carolina_vs_rest,1989,66678
classlcheaderlpcburgerlinkcontent,31,0,31,1.357961758281835,6.173376399002018,North Carolina,North Carolina_vs_rest,1989,66678
fontweight,45,27,72,0.8318718613426164,6.091722154844299,North Carolina,North Carolina_vs_rest,1989,66678
context,224,1304,1528,0.18462922589838726,6.074238214999778,North Carolina,North Carolina_vs_rest,1989,66678
fichi,30,0,30,1.3579615209319957,6.072988543265892,North Carolina,North Carolina_vs_rest,1989,66678
helvetica,34,6,40,1.1402389589401825,6.072954513924085,North Carolina,North Carolina_vs_rest,1989,66678
acres,55,55,110,0.6648200216749771,6.03852772210604,North Carolina,North Carolina_vs_rest,1989,66678
pts,100,251,351,0.37603969748346877,6.038179586692205,North Carolina,North Carolina_vs_rest,1989,66678
