token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
script,2922,1950,4872,0.7907576938043919,47.69416142074729,Pennsylvania,Pennsylvania_vs_rest,5486,63181
stadium,342,13,355,1.2956619262368108,20.10745898299501,Pennsylvania,Pennsylvania_vs_rest,5486,63181
conference,417,228,645,0.8529495029600067,18.6703395347529,Pennsylvania,Pennsylvania_vs_rest,5486,63181
state,1032,3135,4167,0.3174217652872633,17.49222874694534,Pennsylvania,Pennsylvania_vs_rest,5486,63181
round,674,1261,1935,0.45409732417468973,17.210292662599755,Pennsylvania,Pennsylvania_vs_rest,5486,63181
bowl,302,102,404,0.9900280808403767,16.99706017645483,Pennsylvania,Pennsylvania_vs_rest,5486,63181
prometheus,228,12,240,1.2759718225198924,16.330445500580925,Pennsylvania,Pennsylvania_vs_rest,5486,63181
espn,213,6,219,1.3092543031286503,15.9248172681792,Pennsylvania,Pennsylvania_vs_rest,5486,63181
wordgirl,199,0,199,1.3500730361292579,15.55027852641813,Pennsylvania,Pennsylvania_vs_rest,5486,63181
write,1996,16013,18009,0.12623097475809875,14.168037818525885,Pennsylvania,Pennsylvania_vs_rest,5486,63181
ncaa,165,11,176,1.2576916453223355,13.82150093492228,Pennsylvania,Pennsylvania_vs_rest,5486,63181
whammer,135,0,135,1.3500579657740026,12.807774435298485,Pennsylvania,Pennsylvania_vs_rest,5486,63181
bully,186,88,274,0.8965045560784972,12.759974114234288,Pennsylvania,Pennsylvania_vs_rest,5486,63181
championship,152,33,185,1.092502462281427,12.56953264207207,Pennsylvania,Pennsylvania_vs_rest,5486,63181
butcher,145,48,193,0.9951618204252668,11.803785135702164,Pennsylvania,Pennsylvania_vs_rest,5486,63181
villains,209,209,418,0.656926985117094,11.63150400823012,Pennsylvania,Pennsylvania_vs_rest,5486,63181
michigan,134,41,175,1.014973178493193,11.444083802682046,Pennsylvania,Pennsylvania_vs_rest,5486,63181
