token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
tob,51,0,51,1.379087064998357,8.041390334808813,South Carolina,South Carolina_vs_rest,823,67844
sigmas,33,0,33,1.379082701113333,6.468471235401841,South Carolina,South Carolina_vs_rest,823,67844
tensor,39,26,65,0.8194683373204441,5.7088974012728215,South Carolina,South Carolina_vs_rest,823,67844
ratesamplerate,24,1,25,1.3196570975389914,5.438951425141106,South Carolina,South Carolina_vs_rest,823,67844
zerogpt,19,1,20,1.3049713336756685,4.821334875365245,South Carolina,South Carolina_vs_rest,823,67844
samplerate,20,6,26,1.048837855529019,4.556327759794722,South Carolina,South Carolina_vs_rest,823,67844
villian,19,9,28,0.9251618049498767,4.209474109393538,South Carolina,South Carolina_vs_rest,823,67844
elitebot,23,21,44,0.7162384210484767,4.114004175547827,South Carolina,South Carolina_vs_rest,823,67844
carla,15,5,20,1.0224033874547818,3.9043674281590013,South Carolina,South Carolina_vs_rest,823,67844
josh,33,84,117,0.393265808088719,3.6448217077463623,South Carolina,South Carolina_vs_rest,823,67844
fictional,89,778,867,0.14321043633081132,3.5214083453223806,South Carolina,South Carolina_vs_rest,823,67844
tax,66,510,576,0.16027472680083044,3.2194049158491054,South Carolina,South Carolina_vs_rest,823,67844
sexybot,14,14,28,0.6859308978376628,3.143330260850111,South Carolina,South Carolina_vs_rest,823,67844
peter,55,375,430,0.1792470282759666,3.1183576132286217,South Carolina,South Carolina_vs_rest,823,67844
globalization,23,62,85,0.3776316638042907,2.979674724060058,South Carolina,South Carolina_vs_rest,823,67844
negligence,10,11,21,0.6541812333010544,2.595874203042211,South Carolina,South Carolina_vs_rest,823,67844
autohotkey,9,11,20,0.6192383146816702,2.3969669210707587,South Carolina,South Carolina_vs_rest,823,67844
solubility,24,118,142,0.23723935754981795,2.3879358615401025,South Carolina,South Carolina_vs_rest,823,67844
kwargs,23,113,136,0.23738426938876955,2.338406936338704,South Carolina,South Carolina_vs_rest,823,67844
anarchist,10,17,27,0.5126582033004077,2.298331143321915,South Carolina,South Carolina_vs_rest,823,67844
triumvirate,10,19,29,0.4782905574491334,2.2186311326743304,South Carolina,South Carolina_vs_rest,823,67844
sue,14,47,61,0.32128774552817596,2.1375246203232083,South Carolina,South Carolina_vs_rest,823,67844
bob,31,263,294,0.1471946696475097,2.1087595806429884,South Carolina,South Carolina_vs_rest,823,67844
lyrics,29,231,260,0.15591684020063568,2.1029812032307076,South Carolina,South Carolina_vs_rest,823,67844
solvent,11,30,41,0.37449399329473465,2.0517438800032464,South Carolina,South Carolina_vs_rest,823,67844
solute,8,14,22,0.5036078864303679,2.0371942066005486,South Carolina,South Carolina_vs_rest,823,67844
ask,84,1970,2054,0.053539957908974145,2.0005527853656977,South Carolina,South Carolina_vs_rest,823,67844
superinit,8,15,23,0.482330486809472,1.9929335265276797,South Carolina,South Carolina_vs_rest,823,67844
dodging,10,29,39,0.3582425034265455,1.9117745532847987,South Carolina,South Carolina_vs_rest,823,67844
papa,9,23,32,0.3921685565693167,1.9006862209189364,South Carolina,South Carolina_vs_rest,823,67844
questions,94,2647,2741,0.043814889090048936,1.888412631303054,South Carolina,South Carolina_vs_rest,823,67844
populace,12,46,58,0.29003471832344374,1.8760355047493475,South Carolina,South Carolina_vs_rest,823,67844
amendment,18,120,138,0.18282816554651404,1.8026652349018193,South Carolina,South Carolina_vs_rest,823,67844
noise,24,216,240,0.13938937888267766,1.802386058438629,South Carolina,South Carolina_vs_rest,823,67844
abolitionist,7,15,22,0.44230711695770886,1.7834125589950989,South Carolina,South Carolina_vs_rest,823,67844
paranoia,8,21,29,0.3848243422251194,1.7745521778703475,South Carolina,South Carolina_vs_rest,823,67844
pros,14,79,93,0.21126517921594612,1.7158603277661386,South Carolina,South Carolina_vs_rest,823,67844
africanamerican,11,48,59,0.26159653821903994,1.7017128104103665,South Carolina,South Carolina_vs_rest,823,67844
nsfwgpt,12,59,71,0.2372365175013904,1.6885054269939705,South Carolina,South Carolina_vs_rest,823,67844
man,101,3671,3772,0.03270311617295096,1.6505946219244214,South Carolina,South Carolina_vs_rest,823,67844
highschool,11,53,64,0.2412443035026115,1.6309100741104925,South Carolina,South Carolina_vs_rest,823,67844
