token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
oii,551,0,551,1.3149768684676246,25.202770412493827,Texas,Texas_vs_rest,4074,64593
double,1038,1177,2215,0.5800848081911596,23.638175499024513,Texas,Texas_vs_rest,4074,64593
oiii,432,0,432,1.3149498244903661,22.31543850761276,Texas,Texas_vs_rest,4074,64593
ldr,275,11,286,1.2577556063049329,17.527189136894002,Texas,Texas_vs_rest,4074,64593
nii,238,0,238,1.314905738708573,16.56294157050451,Texas,Texas_vs_rest,4074,64593
mindfulness,272,58,330,1.0610177233933449,16.297430947655275,Texas,Texas_vs_rest,4074,64593
superman,248,67,315,1.0096190800011282,15.230968642357183,Texas,Texas_vs_rest,4074,64593
patients,408,439,847,0.5973910930897528,15.05562391950722,Texas,Texas_vs_rest,4074,64593
data,1244,4969,6213,0.21677806451043047,14.499260269176865,Texas,Texas_vs_rest,4074,64593
avelumab,177,0,177,1.3148918773808482,14.283381833650305,Texas,Texas_vs_rest,4074,64593
suffering,359,449,808,0.547489319085992,13.46828848151435,Texas,Texas_vs_rest,4074,64593
kraitchar,144,0,144,1.314884378768662,12.883183194958674,Texas,Texas_vs_rest,4074,64593
megamind,133,1,134,1.3037085671575337,12.344969117732356,Texas,Texas_vs_rest,4074,64593
hyperforce,110,0,110,1.31487665302779,11.25993094693249,Texas,Texas_vs_rest,4074,64593
mia,214,210,424,0.6280400194538451,11.199502499664405,Texas,Texas_vs_rest,4074,64593
batman,219,224,443,0.6142271758503863,11.195885509086306,Texas,Texas_vs_rest,4074,64593
burleson,102,0,102,1.314874835221449,10.842735660169302,Texas,Texas_vs_rest,4074,64593
niidouble,100,0,100,1.3148743807707604,10.735904362487869,Texas,Texas_vs_rest,4074,64593
buddha,140,66,206,0.8623722392419992,10.641994533312904,Texas,Texas_vs_rest,4074,64593
sprite,120,33,153,1.0054564867787512,10.575349600188403,Texas,Texas_vs_rest,4074,64593
oiidouble,94,0,94,1.3148730174208403,10.408834673247217,Texas,Texas_vs_rest,4074,64593
oiit,92,0,92,1.3148725629715834,10.297503478374498,Texas,Texas_vs_rest,4074,64593
function,653,2754,3407,0.20476511270159037,10.129730514339643,Texas,Texas_vs_rest,4074,64593
