token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
benedetto,44,0,44,1.3788934089773672,7.468122006954355,Utah,Utah_vs_rest,251,68416
towt,42,0,42,1.3788929241942771,7.296415524009392,Utah,Utah_vs_rest,251,68416
alyx,36,3,39,1.265562780929315,6.5666828258890435,Utah,Utah_vs_rest,251,68416
icee,33,0,33,1.378890742675237,6.467570870518565,Utah,Utah_vs_rest,251,68416
sleep,152,639,791,0.2694082003386491,6.422229287839495,Utah,Utah_vs_rest,251,68416
owens,26,3,29,1.2273391442042865,5.520282372230853,Utah,Utah_vs_rest,251,68416
ebsco,21,1,22,1.3114465519957683,5.076644749294247,Utah,Utah_vs_rest,251,68416
delaying,28,26,54,0.7104349314500666,4.52083565582358,Utah,Utah_vs_rest,251,68416
jackson,42,139,181,0.3245963520177355,3.7210982801192256,Utah,Utah_vs_rest,251,68416
lad,15,10,25,0.8192705796805573,3.539653459162658,Utah,Utah_vs_rest,251,68416
gale,14,12,26,0.737032236645355,3.2535761530707097,Utah,Utah_vs_rest,251,68416
archetypes,17,26,43,0.5459777101885059,3.093002194870251,Utah,Utah_vs_rest,251,68416
renewable,25,78,103,0.33927476172572213,2.9377618497109292,Utah,Utah_vs_rest,251,68416
selfcare,16,33,49,0.4534074243737489,2.730194355175431,Utah,Utah_vs_rest,251,68416
tardiness,12,16,28,0.5904282728568369,2.702612844840475,Utah,Utah_vs_rest,251,68416
mla,24,91,115,0.2923390353658508,2.663288858990196,Utah,Utah_vs_rest,251,68416
openai,57,649,706,0.11144989674942707,2.462343339684701,Utah,Utah_vs_rest,251,68416
dan,83,1608,1691,0.06537124034101716,2.2203541959675315,Utah,Utah_vs_rest,251,68416
archetype,32,257,289,0.15456515771036727,2.197611353826111,Utah,Utah_vs_rest,251,68416
quality,74,1357,1431,0.0692202737764891,2.1640510576222085,Utah,Utah_vs_rest,251,68416
service,87,1838,1925,0.059667182618577286,2.1604321661472583,Utah,Utah_vs_rest,251,68416
students,102,2540,2642,0.049982862974781384,2.1170682175048476,Utah,Utah_vs_rest,251,68416
evidence,76,1591,1667,0.06024632829776344,2.030141879614741,Utah,Utah_vs_rest,251,68416
exemption,8,15,23,0.48213852906899746,1.9921403794487986,Utah,Utah_vs_rest,251,68416
citation,21,135,156,0.18856695625798103,1.9782254834121364,Utah,Utah_vs_rest,251,68416
admission,15,79,94,0.22379539167537033,1.8300497061503063,Utah,Utah_vs_rest,251,68416
adolescent,19,133,152,0.1749143847093091,1.8082713047062358,Utah,Utah_vs_rest,251,68416
prompt,403,29701,30104,0.012664654339404002,1.8000688200173511,Utah,Utah_vs_rest,251,68416
tbi,7,15,22,0.44211515926384237,1.78263857243935,Utah,Utah_vs_rest,251,68416
start,108,3680,3788,0.03508047996657648,1.7750538912084968,Utah,Utah_vs_rest,251,68416
deferred,10,39,49,0.2859385696022603,1.699344439673585,Utah,Utah_vs_rest,251,68416
outcomes,30,377,407,0.10126655578461374,1.6963167759942699,Utah,Utah_vs_rest,251,68416
admitted,15,94,109,0.1928146724391766,1.6917066797537952,Utah,Utah_vs_rest,251,68416
scientific,37,577,614,0.08170490996439383,1.6762921755203197,Utah,Utah_vs_rest,251,68416
australian,12,64,76,0.22143278670744238,1.6277205857971895,Utah,Utah_vs_rest,251,68416
rivalries,7,20,27,0.3619501588035714,1.6076616409631594,Utah,Utah_vs_rest,251,68416
api,30,426,456,0.08975888993348669,1.5888644624480022,Utah,Utah_vs_rest,251,68416
freed,19,177,196,0.1347995639651618,1.5742491599186192,Utah,Utah_vs_rest,251,68416
description,310,22890,23200,0.012613155273272447,1.5737972819957384,Utah,Utah_vs_rest,251,68416
endorsed,8,30,38,0.29487115755140714,1.5445900796408758,Utah,Utah_vs_rest,251,68416
times,75,2500,2575,0.03598385106710644,1.5014101821799979,Utah,Utah_vs_rest,251,68416
detailed,302,23072,23374,0.011952663485698345,1.4968072220113637,Utah,Utah_vs_rest,251,68416
dans,15,122,137,0.15279151129534796,1.4953745728807721,Utah,Utah_vs_rest,251,68416
delayed,14,107,121,0.16166797730790883,1.4886924984249723,Utah,Utah_vs_rest,251,68416
scrolling,7,25,32,0.3062476081684302,1.4736923202673968,Utah,Utah_vs_rest,251,68416
academic,29,470,499,0.07857369846657569,1.452597008729469,Utah,Utah_vs_rest,251,68416
compromised,8,35,43,0.2608542662491953,1.4485566299729424,Utah,Utah_vs_rest,251,68416
improve,43,998,1041,0.053943196254818915,1.4350728153998467,Utah,Utah_vs_rest,251,68416
jailbroken,10,58,68,0.20616483702319144,1.4309751278372558,Utah,Utah_vs_rest,251,68416
functioning,13,101,114,0.15928765098975362,1.4232793397126102,Utah,Utah_vs_rest,251,68416
school,104,4677,4781,0.025063491926508696,1.422504070619612,Utah,Utah_vs_rest,251,68416
prompts,220,15267,15487,0.013856984597392596,1.4129340283706053,Utah,Utah_vs_rest,251,68416
quote,40,932,972,0.053715771491921416,1.3808032040283427,Utah,Utah_vs_rest,251,68416
corrupt,13,110,123,0.1473550139875588,1.3655234090519484,Utah,Utah_vs_rest,251,68416
doi,9,53,62,0.20348542959642657,1.3482019154037974,Utah,Utah_vs_rest,251,68416
mech,7,31,38,0.25829320781742027,1.348004563739488,Utah,Utah_vs_rest,251,68416
health,62,2118,2180,0.034966569793041025,1.3421936067695577,Utah,Utah_vs_rest,251,68416
conjecture,5,18,23,0.30436919700079024,1.2415010671353455,Utah,Utah_vs_rest,251,68416
imagine,173,12465,12638,0.013079346379760715,1.204593643435353,Utah,Utah_vs_rest,251,68416
style,194,14763,14957,0.012011183665210368,1.2032281541373115,Utah,Utah_vs_rest,251,68416
adverse,11,103,114,0.13415448922635598,1.1947499760724958,Utah,Utah_vs_rest,251,68416
gpt,36,986,1022,0.04498423387307682,1.1841287924124086,Utah,Utah_vs_rest,251,68416
improved,23,442,465,0.06591356166174656,1.174089570616186,Utah,Utah_vs_rest,251,68416
markings,6,31,37,0.22742939077264346,1.1672766088335274,Utah,Utah_vs_rest,251,68416
mental,35,960,995,0.044911499947893674,1.166480237280099,Utah,Utah_vs_rest,251,68416
symptom,5,21,26,0.2695763526902706,1.1651028581626404,Utah,Utah_vs_rest,251,68416
useful,29,687,716,0.0527579036204866,1.163797348871959,Utah,Utah_vs_rest,251,68416
reputable,9,75,84,0.14943294534655926,1.1446853446250007,Utah,Utah_vs_rest,251,68416
gradual,8,61,69,0.1620084002878226,1.126599099371423,Utah,Utah_vs_rest,251,68416
scroll,9,79,88,0.14245481568108254,1.1158845752248538,Utah,Utah_vs_rest,251,68416
activity,30,784,814,0.04738625922234618,1.1136256023998925,Utah,Utah_vs_rest,251,68416
premier,7,48,55,0.1781425989776455,1.1082564538930626,Utah,Utah_vs_rest,251,68416
behaviors,16,248,264,0.08220412090017959,1.1059741967967731,Utah,Utah_vs_rest,251,68416
judgments,6,36,42,0.2002291584491367,1.091465391493466,Utah,Utah_vs_rest,251,68416
lens,129,8936,9065,0.013879878381179545,1.082783663743328,Utah,Utah_vs_rest,251,68416
coffee,131,9149,9280,0.013710029088754183,1.0821127957281278,Utah,Utah_vs_rest,251,68416
scenes,129,9009,9138,0.013710449858323592,1.0738348682007361,Utah,Utah_vs_rest,251,68416
cliff,7,54,61,0.16031277174601755,1.047963012471028,Utah,Utah_vs_rest,251,68416
ace,8,71,79,0.14101024140000185,1.04636146900495,Utah,Utah_vs_rest,251,68416
verified,13,185,198,0.08956163576456255,1.0446466337223708,Utah,Utah_vs_rest,251,68416
crystalline,5,28,33,0.21244903703391493,1.0280018244408913,Utah,Utah_vs_rest,251,68416
improvements,14,220,234,0.08107023982685568,1.0267073440621166,Utah,Utah_vs_rest,251,68416
chapter,34,1128,1162,0.036173284377206016,1.0139290874607247,Utah,Utah_vs_rest,251,68416
insufficient,11,143,154,0.09795139237401429,1.008811031893912,Utah,Utah_vs_rest,251,68416
later,48,2044,2092,0.02682142962904077,1.0072507676504028,Utah,Utah_vs_rest,251,68416
chatgpt,44,1801,1845,0.028160972778142224,0.9933748290499925,Utah,Utah_vs_rest,251,68416
structure,132,10100,10232,0.0118976832305826,0.9857692381450618,Utah,Utah_vs_rest,251,68416
use,210,19588,19798,0.008484718018929804,0.9773247652914459,Utah,Utah_vs_rest,251,68416
