token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
float,666,830,1496,0.5888249089824598,19.710264373351375,Washington,Washington_vs_rest,1345,67322
endif,116,10,126,1.238098064332167,11.552774114035547,Washington,Washington_vs_rest,1345,67322
prompt,2202,27902,30104,0.07687556382471517,11.073722533501313,Washington,Washington_vs_rest,1345,67322
description,1691,21509,23200,0.07641129534658919,9.662101439881933,Washington,Washington_vs_rest,1345,67322
detailed,1679,21695,23374,0.07487496795400883,9.501197208896635,Washington,Washington_vs_rest,1345,67322
wireconnection,70,0,70,1.3549515700000683,9.256081352033572,Washington,Washington_vs_rest,1345,67322
vertex,126,160,286,0.5825212264148298,8.524799014941634,Washington,Washington_vs_rest,1345,67322
prompts,1193,14294,15487,0.0823378450565393,8.513788973939553,Washington,Washington_vs_rest,1345,67322
selectedpart,59,0,59,1.3549489670421764,8.497737561415233,Washington,Washington_vs_rest,1345,67322
vertexinput,52,0,52,1.3549473106204104,7.977713755915668,Washington,Washington_vs_rest,1345,67322
imagine,976,11662,12638,0.08258222150289107,7.714055666100254,Washington,Washington_vs_rest,1345,67322
vertexoutput,45,0,45,1.3549456542032914,7.421342990007372,Washington,Washington_vs_rest,1345,67322
ifdef,44,0,44,1.3549454175726545,7.338419072363836,Washington,Washington_vs_rest,1345,67322
tessvalue,43,0,43,1.3549451809421118,7.254547404417216,Washington,Washington_vs_rest,1345,67322
style,1039,13918,14957,0.07132594128792391,7.236546077354358,Washington,Washington_vs_rest,1345,67322
itemtype,44,2,46,1.2904068862797882,7.219863756253886,Washington,Washington_vs_rest,1345,67322
asenormal,40,0,40,1.3549444710510556,6.996903161888741,Washington,Washington_vs_rest,1345,67322
clickedpart,39,0,39,1.3549442344208948,6.908887091142179,Washington,Washington_vs_rest,1345,67322
lens,717,8348,9065,0.08524218369591452,6.74622255723267,Washington,Washington_vs_rest,1345,67322
scenes,716,8422,9138,0.08416853927658519,6.687012279532496,Washington,Washington_vs_rest,1345,67322
coffee,721,8559,9280,0.08321317055034605,6.6613832477269375,Washington,Washington_vs_rest,1345,67322
