state,topic,topic_proportion,topic_zscore,rank_within_topic_desc
Indiana,topic_merged_0,0.0,-0.6744143757222093,33.0
Kentucky,topic_merged_0,0.0,-0.6744143757222093,33.0
Nebraska,topic_merged_0,0.0,-0.6744143757222093,33.0
Tennessee,topic_merged_0,0.0,-0.6744143757222093,33.0
Michigan,topic_merged_0,0.00018281535648994517,-0.6723257462337738,32.0
Alabama,topic_merged_1,0.0,-0.41711729234255096,33.0
Kansas,topic_merged_1,0.0,-0.41711729234255096,33.0
Kentucky,topic_merged_1,0.0,-0.41711729234255096,33.0
Louisiana,topic_merged_1,0.0,-0.41711729234255096,33.0
Michigan,topic_merged_1,0.00036563071297989033,-0.41034612134731796,32.0
Alabama,topic_merged_10,0.0,-0.19990898880392785,10.0
Arkansas,topic_merged_10,0.0,-0.19990898880392785,10.0
Colorado,topic_merged_10,0.0,-0.19990898880392785,10.0
District of Columbia,topic_merged_10,0.0,-0.19990898880392785,10.0
Illinois,topic_merged_10,0.0,-0.19990898880392785,10.0
South Carolina,topic_merged_11,0.0,-1.056311219033899,36.0
Michigan,topic_merged_11,0.0010968921389396709,-1.0090249548289505,35.0
Connecticut,topic_merged_11,0.001969796454366382,-0.9713946513382101,34.0
Pennsylvania,topic_merged_11,0.004627487274409995,-0.8568234315889904,33.0
Georgia,topic_merged_11,0.005491153142159854,-0.8195913912110784,32.0
Alabama,topic_merged_12,0.0,-0.21281468380179244,9.0
Arizona,topic_merged_12,0.0,-0.21281468380179244,9.0
Arkansas,topic_merged_12,0.0,-0.21281468380179244,9.0
Colorado,topic_merged_12,0.0,-0.21281468380179244,9.0
District of Columbia,topic_merged_12,0.0,-0.21281468380179244,9.0
Nebraska,topic_merged_13,0.0,-1.4421528700295259,36.0
Michigan,topic_merged_13,0.0009140767824497258,-1.3657975961902844,35.0
Connecticut,topic_merged_13,0.0026263952724885093,-1.2227630615459273,34.0
Ohio,topic_merged_13,0.0033259423503325942,-1.1643280266366318,33.0
Pennsylvania,topic_merged_13,0.0041647385469689956,-1.0942611410979335,32.0
Alabama,topic_merged_14,0.0,-0.8596480233869668,32.0
Kansas,topic_merged_14,0.0,-0.8596480233869668,32.0
Kentucky,topic_merged_14,0.0,-0.8596480233869668,32.0
Louisiana,topic_merged_14,0.0,-0.8596480233869668,32.0
Utah,topic_merged_14,0.0,-0.8596480233869668,32.0
Alabama,topic_merged_15,0.0,-0.4654996583576868,19.0
Arizona,topic_merged_15,0.0,-0.4654996583576868,19.0
Arkansas,topic_merged_15,0.0,-0.4654996583576868,19.0
Colorado,topic_merged_15,0.0,-0.4654996583576868,19.0
District of Columbia,topic_merged_15,0.0,-0.4654996583576868,19.0
Alabama,topic_merged_16,0.0,-0.4013166502176183,28.0
District of Columbia,topic_merged_16,0.0,-0.4013166502176183,28.0
Iowa,topic_merged_16,0.0,-0.4013166502176183,28.0
Kentucky,topic_merged_16,0.0,-0.4013166502176183,28.0
Louisiana,topic_merged_16,0.0,-0.4013166502176183,28.0
Arkansas,topic_merged_17,0.0,-0.431802350333549,21.0
Colorado,topic_merged_17,0.0,-0.431802350333549,21.0
District of Columbia,topic_merged_17,0.0,-0.431802350333549,21.0
Indiana,topic_merged_17,0.0,-0.431802350333549,21.0
Iowa,topic_merged_17,0.0,-0.431802350333549,21.0
Alabama,topic_merged_18,0.0,-0.4788576819908843,20.0
Arkansas,topic_merged_18,0.0,-0.4788576819908843,20.0
Colorado,topic_merged_18,0.0,-0.4788576819908843,20.0
District of Columbia,topic_merged_18,0.0,-0.4788576819908843,20.0
Illinois,topic_merged_18,0.0,-0.4788576819908843,20.0
Alabama,topic_merged_19,0.0,-0.19532134778219584,20.0
Arizona,topic_merged_19,0.0,-0.19532134778219584,20.0
Arkansas,topic_merged_19,0.0,-0.19532134778219584,20.0
Colorado,topic_merged_19,0.0,-0.19532134778219584,20.0
District of Columbia,topic_merged_19,0.0,-0.19532134778219584,20.0
Alabama,topic_merged_2,0.0,-0.5768724582491964,31.0
Iowa,topic_merged_2,0.0,-0.5768724582491964,31.0
Kansas,topic_merged_2,0.0,-0.5768724582491964,31.0
Kentucky,topic_merged_2,0.0,-0.5768724582491964,31.0
Nebraska,topic_merged_2,0.0,-0.5768724582491964,31.0
