topic_label,super_topic,abs_rho,spearman_rho,ci_sig,fdr_q_value,n_subtopics,ctm_topic_id,jaccard
Game Dev Scripting,Coding & Technical Help,0.0968012772405976,0.0968012772405976,False,0.835351027759419,1,52,0.5
Career Resume Help,Career & Professional Writing,0.077992277992278,0.077992277992278,False,0.8891061987270152,1,7,0.2857
Character Fusion Descriptions,"Media, Art, and Entertainment",0.1904686097313082,0.1904686097313082,False,0.6990645651867834,1,59,0.2857
Political History Questions,"Politics, Religion, and Society",0.1784128213774568,0.1784128213774568,False,0.6990645651867834,1,40,0.2
Math Problem Solving,Education & Homework,0.2974834272751102,-0.2974834272751102,False,0.6147020741256545,1,37,0.2
Fetish Comedy Stories,Creative Writing & Roleplay,0.2496498924446868,0.2496498924446868,False,0.6990645651867834,1,65,0.2
Customer Service Emails,Career & Professional Writing,0.2461528794086503,0.2461528794086503,False,0.621287248949923,1,57,0.1429
Sports Script Writing,Creative Writing & Roleplay,0.0691653878500505,-0.0691653878500505,False,0.835351027759419,1,12,0.1333
Adult Fantasy Fiction,Creative Writing & Roleplay,0.1378913542200794,-0.1378913542200794,False,0.8240738795334718,1,25,0.1333
Azur Lane Roleplay,Creative Writing & Roleplay,0.2139968230694193,0.2139968230694193,False,0.7172131442807851,1,21,0.1333
Scam-Baiting Emails,"Finance, Law, and Practical Life",0.1866641384251119,0.1866641384251119,False,0.7172131442807851,1,57,0.1333
Rivalry Fight Fiction,Creative Writing & Roleplay,0.1826801329643265,0.1826801329643265,False,0.6990645651867834,1,58,0.125
Tattoo SEO Writing,Career & Professional Writing,0.3987478494122898,0.3987478494122898,False,0.2840007935455234,1,38,0.125
Monster-Girl Roleplay,Creative Writing & Roleplay,0.1795225331835745,-0.1795225331835745,False,0.7172131442807851,1,32,0.125
China History/Politics,"Politics, Religion, and Society",0.2667355566185719,0.2667355566185719,False,0.621287248949923,1,40,0.125
Product Listing Copy,Career & Professional Writing,0.2717520361675984,0.2717520361675984,False,0.621287248949923,1,64,0.125
Programming Help,Coding & Technical Help,0.2583735825673222,0.2583735825673222,False,0.621287248949923,1,52,0.125
Professional Email Writing,Career & Professional Writing,0.1963435061979654,0.1963435061979654,False,0.6990645651867834,1,57,0.1176
Short Reply Generation,Personal Advice & Communication,0.1410634963158292,0.1410634963158292,False,0.7171665797564347,1,57,0.0714
ChatGPT/OpenAI Help,Coding & Technical Help,0.0643542056805928,-0.0643542056805928,False,0.8903288881593535,1,55,0.0625
