topic_id,top_words,topic_label
0,"respects, fulfilled, ticking, evoking, revels, cushions, diving, swell, delicacy, entrusted",
1,"evoking, respects, fulfilled, entrusted, delicacy, cushions, expertly, reassures, ticking, diving",
2,"quotes, neural, product, categories, term, risk, processing, choices, cost, cycle",
3,"view, triplet, sound, dream, newest, daughters, alive, loudly, portrait, phoenix",
4,"year, than, points, old, every, age, scenario, cast, because, years",
5,"digital, based, data, such, deployment, network, scikit, used, provide, and",
6,"please, your, thank, person, you, cassy, good, most, have, any",
7,"job, work, experience, resume, working, team, professional, dental, needs, customer",
8,"stage, move, button, display, self, text, 360, height, tkinter, gif",
9,"back, go, said, nightshade, out, tantrum, he, circus, before, then",
10,"diving, delicacy, respects, fulfilled, entrusted, valuables, imbued, ticking, snippets, tedious",
11,"kc, demographic, hemisphere, social, agriculture, africans, divergent, 1607, innovations, 1491",
12,"17, 13, 14, 21, round, 19, state, 18, 22, division",
13,"respects, diving, delicacy, entrusted, reassures, fulfilled, ticking, wary, intensified, evoking",
14,"magic, points, cast, ll, mage, base, spell, every, keep, don",
15,"multifaceted, in, and, to, of, aspirations, acknowledging, students, the, our",
16,"diving, delicacy, respects, imbued, entrusted, evoking, snippets, blockbuster, fulfilled, ticking",
17,"diving, delicacy, entrusted, ticking, respects, evoking, reassures, cushions, imbued, blossoms",
18,"delicacy, entrusted, evoking, diving, respects, cushions, reassures, expertly, valuables, ticking",
19,"respects, delicacy, entrusted, evoking, diving, reassures, snippets, ticking, polaris, wary",
20,"air, fire, william, setting, cup, depth, filled, field, shop, hands",
21,"lane, quarters, fellow, iron, base, commander, carrier, wizard, aircraft, resting",
22,"to, most, from, pray, before, over, been, details, person, money",
23,"respects, fulfilled, diving, delicacy, entrusted, reassures, expertly, snippets, imbued, evoking",
24,"diving, fulfilled, delicacy, respects, ticking, valuables, reassures, entrusted, expertly, evoking",
25,"apartment, plenty, detail, extremely, bully, changing, throughout, describe, vagueness, feminine",
26,"20, 18, 2024, 21, 15, 30, 25, 19, 03, 14",
27,"call, minute, takes, everything, school, phone, running, push, hope, late",
28,"rest, characters, clever, later, roasting, limitation, deepen, really, meeting, power",
29,"level, side, strength, muscle, energy, tool, plastic, home, dna, eye",
30,"fun, share, great, together, too, today, everyone, things, good, group",
31,"prompts, follow, words, never, suppress, user, sensual, you, make, warn",
32,"player, female, 8000, rods, summons, patrol, across, spheres, 283, looking",
33,"respects, ticking, delicacy, diving, cushions, entrusted, fulfilled, exposes, imbued, evoking",
34,"respects, diving, delicacy, fulfilled, evoking, entrusted, intensified, cushions, infused, imbued",
35,"diving, delicacy, fulfilled, ticking, respects, entrusted, accentuate, imbued, cushions, intensified",
36,"model, true, train, test, xt, df, amd, dataframe, wifi, ensemble",
37,"mass, units, sample, ph, triangle, pure, teach, equal, equation, solve",
38,"word, sentence, sentences, meanings, tone, headings, 2500, literary, 1500, bold",
39,"air, fire, william, setting, cup, depth, 3d, filled, shop, field",
40,"bullet, ancient, dynasty, japan, europe, china, roman, war, soviet, empire",
41,"tiering, being, physical, within, his, abilities, npc, such, and, world",
42,"her, she, hugs, animatronic, woman, possessive, alluring, fazbear, lineup, dislikes",
43,"delicacy, respects, imbued, entrusted, evoking, cushions, expertly, valuables, diving, ticking",
44,"web, post, com, error, run, string, eq, file, mov, buf",
45,"hijab, quran, mohammad, bollywood, lecture, that, verses, hadith, sceptical, it",
46,"air, fire, william, cup, setting, depth, filled, 3d, shop, spirit",
47,"screenplay, delicacy, ticking, respects, reassures, diving, wary, entrusted, valuables, finesse",
48,"fire, air, face, camera, place, form, field, without, filled, dog",
49,"delicacy, respects, diving, entrusted, expertly, reassures, valuables, cushions, infused, nullify",
50,"follow, air, words, beautiful, warm, with, hands, user, create, face",
51,"world, the, after, of, were, great, its, most, was, archaeologists",
52,"private, void, public, int, position, float, generic, system, class, transform",
53,"respects, entrusted, delicacy, ticking, imbued, diving, rosy, wary, channeling, evoking",
54,"air, fire, william, cup, setting, depth, filled, 3d, shop, field",
55,"playing, assistant, trigger, creates, extra, previous, refer, bot, simply, draw",
56,"fire, air, face, filled, setting, camera, 3d, hands, form, without",
57,"sense, potential, professionally, reply, security, email, person, 5m, recipient, mr",
58,"fight, match, cage, gorgeous, since, romanian, having, indian, another, respectively",
59,"fusion, shorts, suggest, casual, freeman, attire, basics, combined, names, dated",
60,"delicacy, respects, diving, cushions, wary, evoking, ticking, expertly, subdued, finesse",
61,"web, post, expert, front, cd, design, curly, related, printing, graphic",
62,"delicacy, entrusted, respects, reassures, valuables, subdued, cushions, ticking, diving, imbued",
63,"act, anything, disclaimer, always, free, aim, never, simulate, hacking, promotes",
64,"gift, men, party, same, girls, chain, silver, gold, 80, cute",
65,"die, dinner, smell, throughout, comedic, dead, relief, water, vividly, eat",
66,"diving, delicacy, fulfilled, ticking, entrusted, evoking, cushions, respects, valuables, reassures",
67,"ranked, frost, defeating, football, blowing, losing, finishing, winning, overtime, miami",
68,"delicacy, entrusted, diving, ticking, reassures, valuables, swell, revels, urged, evoking",
69,"still, bricks, happened, valefor, room, bark, anima, started, didn, aeons",
70,"the, code, is, used, two, primitive, squares, each, called, use",
71,"respects, diving, delicacy, entrusted, imbued, cushions, ticking, crisp, expertly, reassures",
72,"respects, delicacy, entrusted, imbued, wary, diving, ticking, evoking, expertly, rune",
73,"air, fire, setting, filled, william, cup, depth, hands, camera, face",
74,"respects, fulfilled, delicacy, diving, ticking, entrusted, expertly, imbued, cushions, artistry",
75,"animation, comedy, animated, film, screenplay, fi, drama, pictures, rating, adventure",
