topic,log_odds,z_score,group1_mean,group2_mean,significant,direction
topic_7,2.845630308270014,0.6033920852969785,0.0835502799029694,0.004197904948924189,False,high_income
topic_4,1.6258240095863816,0.5445724387898078,0.07131475257535896,0.013946416467555916,False,high_income
topic_2,1.0706079395611865,0.4770613178747597,0.08206503341309557,0.02891520567673355,False,high_income
topic_13,2.140895410645796,0.40464491852811596,0.03561613007092835,0.003339161144499601,False,high_income
topic_47,1.054142540367672,0.2676740992459514,0.0262728888796143,0.008591595312824824,False,high_income
topic_25,1.4862424212678098,0.2642825830291264,0.017723855278532128,0.003207798606911689,False,high_income
topic_24,0.6521265695525034,0.23589418498087725,0.040819637761018,0.02114440396033342,False,high_income
topic_60,2.222351763778497,0.2223849600092212,0.010174499619788129,0.0001231830500123183,False,high_income
topic_51,2.1241568287350505,0.21661127482456902,0.009626264836555494,0.00018365472910927456,False,high_income
topic_26,0.9041946574739481,0.20857335946385708,0.019240883513599136,0.0072218267343814825,False,high_income
topic_72,1.6003863328422856,0.153805509963132,0.004977343348352103,0.0001231830500123183,False,high_income
topic_63,1.637786867158681,0.14980651228843944,0.004580029580727871,0.0,False,high_income
topic_3,0.3060579209928531,0.14614931882714222,0.05813786795676231,0.04315415550817973,False,high_income
topic_48,0.7767206579762931,0.12218869964520639,0.0075915227280541975,0.0029087553108247863,False,high_income
topic_62,0.9688414339764906,0.11676498080337976,0.0047410083735704095,0.0011173615451690318,False,high_income
topic_74,1.3107189064252323,0.11629035137340443,0.002998415395524657,0.0,False,high_income
topic_55,1.2241008716909976,0.11338149559425674,0.003075413671440161,0.0001231830500123183,False,high_income
topic_41,0.5590777365218091,0.10344221000108407,0.00931814031125368,0.004876328855028833,False,high_income
topic_15,0.3963877199395238,0.09129541340992878,0.013505519389789646,0.008765731351705873,False,high_income
topic_53,0.5749778716211198,0.090283290298695,0.006481801739110899,0.003174674275930743,False,high_income
topic_28,0.544424420861275,0.08297673164855299,0.0059065679725879994,0.0029714666817401477,False,high_income
topic_54,0.4544216851460243,0.06954737952084625,0.005581925719204982,0.003147326927814733,False,high_income
topic_50,0.30376731059877393,0.052136744057645235,0.006588709043347419,0.004582196752296716,False,high_income
